acc_x,acc_y,acc_z,eul_x,eul_y,eul_z
-4.94,0.94,-8.36,-118.31161725753306,-51.70399820056569,24.751846283145643
-4.86,1.0,-8.71,-118.45600764024076,-51.72346150833793,24.46829589597473
-5.07,0.99,-8.27,-118.25750164007364,-51.725236966736354,24.75764690413657
-4.91,1.22,-8.62,-118.47296806557834,-51.64243291020728,24.36968129708511
-5.0,0.98,-8.35,-118.22995390992337,-51.70891186103008,24.70426917103976
-5.07,0.83,-8.34,-118.07904485768547,-51.82376773999365,25.024053868581728
-4.99,0.96,-8.28,-118.25370901629658,-51.65694944531587,24.76108002944301
-4.91,0.87,-8.55,-118.3940381993705,-51.734667809476576,24.57025510258463
-5.0,0.88,-8.5,-118.45303974633468,-51.82680621212518,24.56766890932648
-4.92,0.64,-8.45,-118.54154632587624,-51.810204279640296,24.66388726734003
-4.82,0.72,-8.73,-118.81558276822348,-51.69330054389707,24.411818323529925
-4.88,0.34,-8.97,-119.10395198164848,-51.108851810077,24.505078120929213
-5.36,3.22,-7.82,-118.94908258779736,-50.02009330088848,24.799059399810304
-6.03,6.91,-5.37,-117.52109776158268,-50.86177417049308,26.623601923425326
-5.22,3.01,-5.01,-114.50336544719818,-54.61688974864294,28.272561980086326
-5.41,-0.44,-4.74,-110.78728763113416,-60.00322368915642,27.69898581292057
-4.3,-2.39,-3.26,-110.51938471727328,-64.41473214832007,21.089575039181216
-2.16,-3.71,-6.59,-111.81496850917937,-66.60482068799345,12.565041585568574
-0.09,-3.14,-7.5,-112.9292139789824,-66.87850117747739,3.2486896812421144
1.77,-3.18,-8.03,-112.97719515197666,-65.90072906146638,-6.798310607118228
5.12,-4.02,-9.94,-113.11943145863016,-62.794535943067245,-16.292979258721086
7.71,-3.6,-10.78,-114.7084164475084,-57.19980024565466,-24.767385450743365
9.67,-0.6,-11.79,-118.18808899499469,-49.1852439862177,-32.205644423223745
11.88,1.6,-15.27,-123.36886666782806,-41.42220008839089,-35.255238716681035
13.13,3.04,-17.28,-132.13112986232872,-34.81641441898213,-31.52151322783493
9.68,8.83,-11.06,-140.9143440953133,-32.020894837541434,-21.43835991348568
7.92,6.91,-9.74,-143.9420405686051,-33.597192936231345,-9.350684642128014
3.27,4.15,-6.84,-142.07389852443166,-35.85739201149793,2.34394934361829
0.58,3.28,-7.38,-136.99201767164985,-37.96960050091229,11.677156643591609
-2.07,1.15,-6.64,-129.73540002968306,-41.50978594611215,18.987292769970765
-5.16,4.06,-2.73,-123.23280526677196,-44.327701209260766,24.38985232771907
-5.96,1.88,-4.25,-117.84125707874291,-47.79128037853944,28.708642960818327
-6.62,-0.69,-3.99,-112.6475580627346,-52.16460995150449,31.787710903161265
-6.96,-1.45,-3.71,-108.77350825345178,-56.12285309027051,33.262376067361004
-6.6,-2.31,-5.63,-107.36730149479072,-58.768372618108536,33.34244998484952
-6.21,-3.16,-7.21,-106.51467459831596,-60.60073950892826,33.202723247901915
-6.18,-1.81,-7.11,-106.39407344364416,-61.46151164970448,32.34798489619687
-5.79,-0.42,-8.05,-107.14502856632636,-61.70913892866475,30.791289381489666
-5.22,-0.74,-9.26,-107.67528522202755,-62.129695696588925,29.66088526008823
-5.42,-0.56,-8.57,-107.77947237935452,-62.4438600885861,29.05250285347185
-5.25,-0.27,-8.81,-108.24170743304263,-62.39328849317898,28.22665031817752
-5.02,-0.51,-9.18,-108.69763057945838,-62.298049441053855,27.654143234825977
-5.16,0.27,-8.57,-108.91485822561825,-61.94761575551325,27.478705986717195
-5.48,0.6,-7.82,-108.89060425859994,-61.90248902179478,27.366045206893524
-5.4,0.15,-8.15,-108.84548381318542,-61.96108149576538,27.26794056208759
-5.2,-0.1,-8.33,-108.68092298103186,-62.04351998428939,27.387128681670685
-5.23,-0.13,-8.47,-108.5712425203083,-62.14572697447588,27.22516945298976
-5.22,-0.33,-8.31,-108.2796280881976,-62.26957290533054,27.70582149408045
-5.23,-0.42,-8.3,-108.01432607154696,-62.35743259852116,28.16741529326725
-5.4,-0.41,-8.11,-107.72314652664664,-62.42118422711739,28.572856700080084
-5.38,-0.52,-8.0,-107.57950894774244,-62.48549599889289,28.897620507625582
