acc_x,acc_y,acc_z,eul_x,eul_y,eul_z
-3.84,-0.72,-9.1,-136.11726461635146,-36.16672963333162,22.413561186274112
-3.94,0.26,-9.08,-136.45028353684444,-36.08888572564909,21.803234082921897
-4.05,1.63,-8.48,-136.47465299288638,-35.91122056736286,21.747660279591063
-3.88,-0.7,-8.82,-136.30823338679969,-36.38909752125959,21.784036409042688
-3.7,0.0,-9.46,-136.53043283486144,-36.53609425702472,21.27064139139804
-3.7,0.39,-8.85,-136.62267043952923,-36.40897995907429,21.062838897048465
-3.7,-0.31,-9.05,-136.5561131001778,-36.54724112587581,21.1509696501294
-3.64,-0.36,-9.69,-136.60225527902764,-36.69373715907087,21.052667192208084
-3.67,-0.34,-9.8,-136.7639380308863,-36.55869545766063,21.021815979570235
-3.68,0.29,-9.53,-136.8732038392979,-36.03967626165083,21.29055825039027
-4.07,2.88,-8.43,-136.07061470992826,-36.15643734417328,22.45932897304036
-4.24,2.91,-7.73,-134.24635270825448,-37.31947398527638,24.195668155637154
-3.99,0.33,-7.44,-131.2630021783371,-40.21557126909463,25.39487097451729
-3.63,-0.41,-7.55,-128.54501198023345,-44.08767043342469,24.67989401038816
-4.01,-5.15,-3.43,-126.3642644991077,-47.86596434514186,22.65062397287437
-1.22,-3.13,-7.7,-127.85700413949272,-49.47138605334359,15.390833772116885
1.12,-5.65,-16.78,-128.3331476336574,-50.40515114979931,9.643976170082428
0.74,-6.76,-11.58,-130.59873670122403,-48.7355378891849,6.232407217904407
-0.01,-2.16,-10.82,-134.11341184899018,-45.50578258811015,3.1011176692655544
2.54,-0.58,-17.42,-137.87587459342237,-41.95215370759321,3.263783871255362
1.95,2.06,-14.09,-140.74911336302569,-38.1714896269236,8.187908485234999
-0.45,1.96,-11.5,-138.466348957517,-38.3346183815797,15.110608577979828
-2.57,-0.57,-7.67,-136.1689503328016,-37.6695033283726,21.0491615687218
-4.97,5.24,-2.74,-133.43570319294847,-37.34357469817103,25.89632067161737
-5.35,-1.97,-4.46,-132.61305064921817,-37.88325490582,26.55573322682465
-5.3,-1.3,-4.87,-133.16984524825804,-38.76097804578668,24.67431143673565
-4.76,-2.8,-2.83,-135.6225553622904,-39.327023801175,19.43250240427714
-1.98,-3.26,-6.09,-139.23326756821726,-39.11163862881675,10.929987535688213
1.23,-2.34,-11.88,-142.30909237454392,-37.65264691589122,1.459047790689982
2.95,-1.28,-14.63,-143.90481033299008,-35.647022360302074,-5.477626147221288
3.08,0.24,-15.27,-146.27065059920955,-32.96408934275032,-6.789935769300658
1.88,1.46,-9.78,-148.47742836645597,-30.30986009454548,-7.7915378456456175
2.31,1.85,-12.02,-148.50993143625428,-29.904808346426268,-9.181029736011306
2.36,1.22,-11.65,-148.95130764916587,-29.32797340734368,-9.394729084307675
1.26,1.45,-9.28,-149.86902489138868,-28.474033571131063,-8.542055738094179
0.8,2.48,-9.01,-149.93236682164982,-28.295090043846606,-8.630838147988358
1.01,1.61,-10.4,-149.82874038551546,-28.420445433322385,-8.364969359759566
0.63,1.51,-8.97,-149.77187034961716,-28.65824556955647,-7.603820451348581
0.73,-0.48,-9.74,-149.7300136617371,-28.84564962130764,-7.4757921628800785
0.84,0.95,-10.06,-149.90030500806728,-28.775805868353785,-7.164248600573015
