acc_x,acc_y,acc_z,eul_x,eul_y,eul_z
-3.86,-0.82,-8.9,-128.8665914557287,-44.44635132446,23.8448054518808
-3.55,-1.44,-9.62,-128.88006899126006,-44.701796983094255,23.417907846698085
-3.59,-0.92,-9.44,-129.01826284942578,-44.65965989604722,23.186570561524743
-3.69,-0.34,-9.0,-128.99546171067206,-44.70697469958906,23.12742282578834
-3.62,-1.77,-8.89,-128.7017695779672,-45.02449825699696,23.22314621699707
-3.58,-1.57,-8.92,-128.4309095849068,-45.248632302809455,23.389376553804983
-3.55,-0.71,-9.29,-128.50369721217268,-45.30776402501178,23.118235571624915
-3.57,-1.56,-9.06,-128.41281835101913,-45.395278812503086,23.176721044567383
-3.57,-1.4,-8.93,-128.2800481630045,-45.46481528015642,23.329745613581142
-3.63,-0.59,-9.12,-128.27449021335755,-45.54993108837322,23.173184617143622
-3.51,-1.75,-9.48,-128.0853911966039,-45.82571710454685,23.07208625445412
-3.56,-1.49,-9.32,-128.20736827494062,-45.80272111714169,22.86892095895433
-3.75,-1.26,-8.71,-128.03507652278066,-45.74287526738718,23.31395806856225
-3.65,-1.32,-9.25,-128.16654994400582,-45.76142253178193,23.00941404347062
-3.67,-1.52,-9.16,-127.94797692154263,-45.836755776059896,23.322697467274622
-3.77,-1.44,-8.95,-127.755607386802,-45.80570533045018,23.755993415525733
-3.71,-1.41,-9.28,-127.8973143383274,-45.78992018328244,23.50151665435589
-3.71,-1.8,-9.12,-127.5846396496714,-45.949404971676,23.84471930395647
-3.78,-1.76,-8.88,-127.3498864259904,-45.95001133806305,24.301077657274565
-3.73,-1.7,-8.73,-127.27042988559728,-45.76600148794309,24.770894526341834
-3.7,0.27,-6.74,-127.80246727736056,-45.27327130964875,24.592619702278604
-3.68,-3.1,-4.27,-128.35956215101058,-45.471540707391824,23.16652273901597
-2.15,-0.37,-5.46,-131.31303159242424,-45.406811047235145,16.548973436625936
0.05,-0.68,-7.77,-133.3035695712667,-45.781290723539406,7.534413655864168
2.14,-1.92,-11.14,-133.90806587897882,-45.33607658749507,-2.0646308582681496
3.29,-0.59,-13.74,-133.49876749521968,-44.55385151169053,-8.180066957585451
5.54,0.96,-19.67,-132.71777553377927,-45.24091371584999,-8.206265631387234
3.81,-3.8,-11.84,-131.35820413641292,-46.89165380137444,-4.263446077402703
2.94,-2.54,-13.52,-131.5329675859301,-47.186003645592784,0.0865557939285466
1.73,-3.2,-11.79,-130.84667516163495,-47.61611643642438,6.17931941062646
0.19,-4.26,-10.39,-130.94018413348766,-46.62396597446446,12.36258587020919
-2.32,-3.7,-5.42,-131.64436544577129,-44.56855411864253,16.892410666819966
-3.03,-3.05,-6.08,-133.75891518294594,-41.53099175427597,19.092087312737764
-2.77,-2.58,-5.01,-138.1392195347069,-37.42549856382827,18.06623773968069
-2.33,2.15,-3.33,-144.09184739955543,-33.366176045472514,12.69219173050885
-0.69,4.63,-5.67,-147.53737119484626,-32.238585565088776,3.6983878382434767
1.72,4.27,-9.81,-146.2641750504126,-33.072270439744145,-5.8791218177805575
3.94,6.78,-17.1,-141.78384675572275,-36.56008601068254,-9.17190944516438
3.23,-3.45,-8.99,-136.2706852034227,-41.9743381054976,-6.764151215535311
2.49,-2.9,-10.12,-133.8237378164884,-44.35235370956542,-6.919654254144278
3.14,-2.02,-13.7,-132.0313318347547,-46.302544414657625,-5.451060074228227
1.59,-3.37,-8.83,-131.16340386639814,-47.341702742127744,-3.3023047277042883
0.74,-1.5,-8.76,-131.49288849808656,-47.22983155023657,-2.2133978728459445
0.98,-2.0,-9.76,-131.32861573171974,-47.330368495369214,-2.079193219887744
1.14,-1.61,-9.25,-131.16788417857148,-47.46110915482378,-1.347906898809814
0.74,-1.06,-8.94,-131.29026822555608,-47.44021711199236,-1.1508823345692965
1.12,-0.5,-10.3,-131.26294079153809,-47.53725194393216,-1.4004636619357185
0.81,-1.3,-9.19,-131.2940100470801,-47.59138935793542,-1.3159314936567732
0.86,-1.08,-9.64,-131.2149712556689,-47.66831767258842,-1.6392616117227934
1.02,-0.78,-10.15,-131.34908693420735,-47.60050047223432,-2.0160213156375804
1.14,-0.34,-10.07,-131.3526783381134,-47.6360429900141,-2.441934282814875
1.09,-1.66,-9.97,-131.42234568699664,-47.503671147448216,-2.3016647847637164
1.13,-1.27,-10.16,-131.45259399179,-47.466389396488346,-2.703549378247021
0.87,-0.02,-9.35,-131.79496868395802,-47.25820489082582,-2.8498915737548467
