acc_x,acc_y,acc_z,eul_x,eul_y,eul_z
-5.33,-0.13,-8.04,-124.40461120035128,-43.008835864733314,31.29385757295137
-5.2,-0.25,-8.15,-124.62380603753178,-43.06243997197821,30.970652322297248
-5.13,-0.05,-8.52,-124.97309209064464,-42.99477033801014,30.502648779060483
-5.17,0.06,-8.32,-125.21231805780438,-42.9426358917672,30.10206551197396
-5.12,0.07,-8.39,-125.42419659589218,-42.95505239219089,29.70687200152377
-5.31,-0.16,-8.18,-125.16980061373307,-43.05712742236813,30.022974528918663
-5.24,-0.16,-8.63,-125.26182325888983,-43.2181314374382,29.768273529185176
-5.33,-0.31,-8.13,-124.89639371243985,-43.25438639383636,30.352257853565177
-5.31,-0.29,-7.88,-124.64235000205971,-43.23312777387285,30.79462488291004
-5.41,-0.13,-7.18,-124.51957054091268,-43.1982902680279,30.99330341186657
-5.36,-0.46,-6.74,-124.5913037319412,-43.19531672641215,30.962503668302112
-5.29,-0.85,-4.74,-125.34411303935936,-43.09294948844166,30.08857170920472
-5.07,-0.86,-1.98,-128.12321056232966,-42.74664186420991,26.22786786343079
-1.76,1.06,-6.23,-132.89388458446405,-43.32107181340452,16.354896462271373
0.67,-0.15,-9.11,-135.0092103929128,-44.57547996397417,5.301576025818363
2.12,0.48,-10.74,-135.0775815121264,-44.61845907447183,-4.917907416014066
2.69,0.93,-10.37,-133.9422812992061,-43.62761829950038,-13.593122684837356
4.59,1.61,-10.78,-131.36194408845284,-42.898008859536965,-20.916581158553328
5.33,1.11,-11.28,-128.5628025864735,-42.95148943904629,-25.732146480377224
5.86,0.33,-10.45,-126.7670605597973,-42.7603540025793,-28.64560405352444
6.46,0.74,-9.93,-125.9278234090692,-42.137782155148734,-30.67360528986012
6.61,1.11,-10.28,-125.1929582665668,-41.84056361842987,-32.2457005385265
6.27,0.85,-9.41,-124.86215443680167,-41.84351350210258,-32.838103573127874
5.97,0.76,-8.96,-124.80197923501755,-41.88947935281413,-32.99135086657189
5.58,0.79,-8.74,-124.99121969952564,-41.92754640120288,-32.77136278506236
5.23,0.77,-8.52,-125.31515595398136,-41.91746189109332,-32.37357109776149
5.36,0.67,-8.69,-125.52101714041264,-41.95729283881249,-32.02962312138746
5.24,0.77,-8.49,-125.72405598009334,-42.02940630947318,-31.69845894140189
5.04,0.95,-8.13,-125.87753196564287,-42.09908126290563,-31.49076793818692
