acc_x,acc_y,acc_z,eul_x,eul_y,eul_z
-2.85,-1.08,-9.67,-122.87845160065557,-53.871278200016135,17.09197317429095
-3.09,-0.88,-9.37,-122.90022902218904,-53.659238213284645,17.561198491730146
-3.24,0.28,-9.15,-122.98335311145736,-53.571412878148095,17.463178600468243
-3.06,-0.79,-9.35,-122.85196914781204,-53.61289547686488,17.773880296109635
-3.0,-0.87,-9.42,-122.80319284068764,-53.61903051411666,17.993146394968267
-3.11,-0.38,-9.54,-122.78446033820693,-53.65736069168046,17.909915765101626
-3.14,-0.77,-9.5,-122.58533927534774,-53.65178946861171,18.437891349043355
-3.12,-1.31,-9.52,-122.4247340884103,-53.69547537528735,18.8367383024258
-3.16,-1.03,-9.28,-122.33560410050956,-53.567804654326544,19.41195428473434
-3.23,-1.06,-8.52,-122.3239752135922,-53.282587711894216,20.074495874361407
-3.11,-0.65,-7.79,-122.3867542144392,-53.195000701357,20.1282809323922
-2.81,-1.73,-5.7,-123.04285243476993,-52.98791632795757,19.11885742354363
-2.89,-0.61,-4.48,-124.876251327196,-52.310888402592965,15.974921005201375
-0.63,-0.31,-5.86,-127.38302505910208,-51.99385433696271,7.455382134544902
0.37,0.47,-9.17,-128.12317736058108,-51.60814798700444,-1.0274653370090607
2.05,-1.02,-10.15,-127.2643108797642,-51.434674141684894,-6.909192407230512
4.37,-0.65,-14.53,-125.85788974881572,-51.25478506893203,-12.045654869381242
6.31,-1.47,-17.58,-125.45617551333864,-51.424382340818674,-12.405870384474303
5.82,-1.39,-15.65,-125.75659523560192,-51.9532388802789,-9.829208577359788
4.29,-0.99,-14.02,-126.1162897287712,-52.56600027499535,-6.040383382935254
2.24,-2.13,-11.09,-126.5396423956251,-52.86506027688422,-0.83464285143115
0.39,-2.18,-8.42,-127.14116605028212,-52.34854106649888,3.9102908622232975
-0.55,-2.13,-8.89,-128.0255950479759,-51.139450689856574,7.96772282356192
-2.07,-0.6,-6.07,-128.73245658771756,-49.74065324951559,11.586864977396088
-3.2,-1.53,-4.74,-129.78951539287337,-48.13447466054653,13.446153548630743
-3.1,-0.63,-5.16,-132.0371226143827,-45.86036993205914,13.173841864093829
-2.73,0.12,-4.22,-134.39859859911226,-44.02747825079128,11.115074554814038
-1.36,0.36,-4.41,-138.0417554724985,-41.71424453679671,4.059989038919449
2.47,3.31,-18.61,-139.6743336687286,-40.22581962777951,-2.7058591558475547
2.02,1.6,-12.6,-140.26259369026286,-39.657636513451216,-2.4164539303850607
0.9,0.99,-9.46,-140.92999711354753,-38.844797875276576,-4.028898244565739
1.99,1.47,-13.43,-141.05866984905995,-38.61299197763106,-4.853284201778483
1.04,0.12,-9.74,-141.30104265567573,-38.44523071899346,-4.2582859250700205
0.54,0.61,-9.98,-141.6305349787756,-38.01455550364231,-4.991379722662633
1.01,1.21,-11.05,-141.74006473908818,-37.73445268285472,-6.011870352122742
0.79,0.79,-9.54,-141.60416699813368,-37.97895596438622,-5.252906542931012
0.51,0.18,-9.6,-141.60310466874526,-38.03558445997032,-4.934408722706557
0.87,0.55,-10.58,-141.6300603678153,-37.899870183603774,-5.614626182377709
0.82,0.62,-9.66,-141.55406274406607,-37.99347816579152,-5.3910917622362176
0.73,0.22,-10.04,-141.41753439070115,-38.16378738406031,-5.3077483570486255
0.81,-0.01,-9.9,-141.48590495759277,-38.13221348947163,-5.121479377928353
