acc_x,acc_y,acc_z,eul_x,eul_y,eul_z
-1.6,-3.29,-9.09,-91.26228787101826,-84.77817683746734,19.806264909483065
-1.51,-3.16,-9.26,-91.22380256193028,-84.90116757928713,19.629304221115863
-1.52,-3.27,-9.19,-90.89045293773636,-85.05800604592439,20.06645659356257
-1.66,-3.46,-8.56,-90.36191481179016,-85.34430295702359,20.56515628955911
-1.43,-3.61,-8.6,-89.82442637760903,-85.64943863460633,20.82877571185169
-0.76,-4.64,-9.61,-89.03243310253575,-86.17516691028423,20.992598381939363
-0.55,-8.35,-9.88,-88.95555995441684,-85.70250606097527,21.930074341225748
-0.92,-9.27,-8.88,-90.6437231780925,-84.03177953970662,22.027637889665176
-0.57,-10.24,-8.95,-94.90254366666944,-80.01377919540475,21.815064702307872
-0.68,-3.6,-8.02,-102.26533440371963,-73.91380828109716,19.51180428763969
-1.52,5.35,-7.3,-108.92772819991288,-68.35315705238038,17.050184876611972
-0.47,4.46,-10.45,-112.69842793927786,-64.86447103503642,15.995376152807816
-1.55,3.82,-8.98,-114.03286197687152,-63.6252603400128,15.623564684648452
-1.32,3.14,-9.79,-113.99027278695722,-63.74875487097204,15.349578471042385
-1.68,0.29,-9.68,-112.47747984714786,-65.29983221875828,15.270457027606568
-1.93,-0.21,-9.55,-110.4838229092704,-67.31391274792637,15.305256471889356
-1.78,-1.51,-9.5,-107.3896201701504,-70.34083251612853,15.576735445152474
-1.82,-4.26,-8.95,-104.4434538274826,-73.02250230286174,16.390861415664855
-1.8,-2.4,-8.9,-102.29806983571171,-74.98603916379494,16.969389397239638
-1.79,-4.81,-8.44,-100.35321989148989,-76.59652230126537,17.687798240702513
-2.0,-4.61,-7.28,-99.85987337791713,-77.19009685347466,16.9131141052317
-2.34,-4.93,-4.32,-101.21611089677302,-76.35757691749258,13.13611545876503
1.77,-1.74,-7.87,-103.63370056773825,-74.57930657146439,3.0033334651225787
3.22,0.03,-8.6,-104.42381886778276,-72.58698940940461,-6.392409455907594
5.68,0.34,-10.89,-103.68787934405292,-70.66610972571927,-14.714120216886018
6.49,0.14,-11.85,-102.41877039107604,-69.74202393752378,-19.510234822596143
6.97,0.58,-11.93,-101.80271735183656,-69.54470895684808,-21.16660456256892
4.91,1.21,-8.43,-101.47118158031424,-70.63879253048302,-19.79885956734812
4.57,1.7,-8.26,-100.16382272396235,-72.46602147537033,-18.484510645211788
4.37,0.63,-8.34,-97.1852180371429,-75.91412894873673,-16.126068253901266
4.04,-1.49,-7.51,-93.06079852664408,-79.8242112114087,-13.606169365676212
4.18,-1.89,-7.64,-89.24542048464309,-83.20377895184718,-12.17424407608542
5.22,-6.04,-8.54,-85.40305385435201,-85.83836557987642,-10.997843660546094
5.41,-5.79,-9.02,-84.25181924434034,-86.70526768609614,-11.812153145471274
5.03,-5.99,-8.44,-84.39110814348506,-86.4273044804795,-12.33067733752564
5.0,-6.62,-8.03,-86.04826211840508,-84.66888606698572,-12.8977644446221
5.2,-3.48,-8.14,-89.68036250805191,-81.22365132992971,-14.476178205496405
5.88,-5.17,-7.98,-93.5972128803988,-77.01915346876113,-15.620992375090616
5.78,0.97,-7.75,-100.02862142106537,-71.01244964487664,-18.572222433748728
6.13,1.49,-8.49,-104.52328410004608,-66.26728047796546,-20.767422080921342
6.63,0.76,-9.83,-107.63984527767248,-62.89951998646426,-22.522201668851856
5.66,2.08,-8.51,-110.59348526215548,-60.305728077189855,-22.84589581156317
4.86,2.02,-8.25,-112.49527512257752,-58.76440903074138,-23.319281110784804
4.73,0.15,-8.56,-113.32595771235653,-58.128173423215074,-23.530517504868
4.62,0.49,-8.78,-114.84241968265792,-56.96938770408677,-23.3982198850506
4.26,1.94,-7.87,-115.56810699675783,-56.70381478866908,-23.23783158492788
4.53,-0.31,-8.64,-114.91175049124044,-57.62808953402303,-22.78721299527371
4.54,-0.83,-8.66,-115.5072319314815,-57.19250614628742,-22.290525605822907
4.17,1.21,-8.16,-115.52229039518568,-57.29775797929929,-22.686363288968096
4.8,-1.43,-9.16,-114.78534713036998,-57.99071005214217,-22.30890260109853
4.41,-0.61,-8.77,-115.12965888940155,-57.889648608260536,-21.603333713233685
4.38,-0.39,-8.36,-114.68974103100012,-58.23952920810992,-21.860727592872014
4.71,-1.03,-9.15,-114.30349157809816,-58.51569584634888,-21.799194711186328
4.46,0.07,-8.56,-114.44747744976944,-58.56210356003489,-21.67684710887329
4.34,-0.31,-8.67,-113.98608970801534,-59.09722619881187,-21.813982609703743
4.66,-1.35,-9.23,-113.83193505138662,-59.17185458596536,-21.580623629265386
4.62,-0.24,-9.33,-113.97745730943674,-59.29662762244875,-21.386489898004847
4.03,-0.75,-8.6,-113.8538203298366,-59.68323644108175,-20.73098614717749
4.28,-0.63,-8.87,-114.04141248739872,-59.4907863133387,-20.448062226804925
4.41,-0.27,-8.87,-113.92136244687627,-59.61764192327274,-20.647670323910468
4.42,-0.6,-8.86,-113.58015320334114,-59.831050485751256,-20.62563338103972
4.48,-0.99,-8.96,-113.56317513015092,-59.80076962069066,-20.361144186132822
4.3,-0.24,-8.78,-113.41452221083765,-60.04946780286292,-20.453535531059792
4.41,-0.55,-8.97,-113.01694875328816,-60.36743413954439,-20.535402257696763
4.12,-0.92,-8.8,-113.13090611851928,-60.35761273881506,-20.047204040163127
4.17,-0.66,-8.72,-113.23477151910956,-60.34808471899636,-19.72570675591634
4.28,-0.69,-8.9,-112.94857462310269,-60.40243558379368,-19.89283624566028
4.3,-0.8,-8.94,-112.95535825231433,-60.45828868249027,-19.51807579647283
