TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
1168986.0,1075.837686,1.0,-1.83,-0.75,-9.58,-1.37,15.19,45.19,0.12,2.94,0.31,0.1215700274690642,-0.16475440657012552,0.026779003205772867,-144.3714661681964,-33.813207980970745,10.900725999312748,0.0009400541534136475,-0.9520532436709003,-0.29081247531893095,0.09498337598118023
1169020.0,1075.890284,1.0,-1.73,-0.47,-9.87,-1.37,15.19,44.75,0.06,0.0,2.94,-0.015059337745926708,0.05751535752682113,-0.22465924655377378,-144.58448144645456,-33.69823369752339,10.579144296350442,-0.0011404394659856939,-0.9526202988626891,-0.2898523534795285,0.09218936367588132
1169057.0,1075.914184,1.0,-1.86,-0.31,-9.43,-1.75,15.19,45.19,4.19,1.88,1.06,-0.20372836851506268,-0.02068084128653358,0.1921470458860508,-144.61485244276616,-33.60990573740365,10.744395331858536,-0.002851359638723601,-0.9527008795888499,-0.28911455026308575,0.09362521351119145
1169092.0,1075.93668,1.0,-1.86,-0.52,-9.53,-1.75,15.19,45.19,5.81,5.19,0.75,-0.05498230281301543,-0.060083879128548845,0.08326237665358782,-144.57555898550373,-33.5583746525392,11.020818621599126,-0.0003413093702519632,-0.9525966129547555,-0.28868403187944036,0.09602659128008008
1169125.0,1075.975547,1.0,-1.92,-0.26,-9.58,-2.88,14.75,44.75,6.06,-0.5,3.38,-0.25821658017607335,0.05678120811144538,0.036261057274762365,-144.69325328311527,-33.37982792795543,11.175823499928656,-0.002133720806907477,-0.9529085843580615,-0.287191905558727,0.09737292474697805
1169160.0,1076.024994,1.0,-1.79,-0.72,-9.32,-2.5,15.56,43.88,9.0,-2.56,4.44,0.10027710851702609,-0.05538873762491625,0.2897294587087256,-144.72876380653693,-33.224195464546966,11.502225176906686,0.0033454504468903596,-0.9530025144553703,-0.285890706304483,0.10020738222193484
1169197.0,1076.042725,1.0,-1.79,-0.76,-9.07,-2.5,15.19,45.56,11.94,0.25,11.19,0.034286255282410014,-0.04479943557206467,0.5306908871496656,-144.98764705613948,-32.81699620396885,11.818311243750504,0.009473528471304183,-0.9536845291903899,-0.28248373905097734,0.10295148475367917
1169231.0,1076.083926,1.0,-2.23,-2.25,-7.72,-2.5,15.19,45.56,12.63,10.5,21.69,0.928610972575766,-1.4321769620515525,1.638397383253828,-145.69024911848874,-32.027334221007045,11.843560507798934,0.01588149646866279,-0.9555109572526124,-0.27586664356743607,0.10317065283766291
1169268.0,1076.120964,1.0,-2.61,-1.63,-4.56,-1.75,16.69,44.25,-30.25,118.37,54.19,0.11545853865870892,-2.3996122795316834,4.857798594494724,-148.708936724107,-30.161646526584992,7.920565264348268,0.016302475325456364,-0.9629485583008255,-0.2601813530758089,0.06906494679839958
1169303.0,1076.147891,1.0,0.08,-0.23,-5.41,-2.06,15.56,45.19,-64.25,278.56,73.25,-0.0048651967802894325,-0.20908311302012733,4.395212059700758,-152.30656791328798,-27.50215407812574,-2.4057155641920733,0.01823752986703192,-0.9709394691680113,-0.2377041514537271,-0.020992286625161182
1169338.0,1076.185993,1.0,3.55,3.1,-8.18,-2.06,15.56,45.19,-123.25,305.5,50.38,-1.7756698809054547,2.4911543616942557,0.8754660683895406,-150.9280006997672,-25.316900262156494,-14.054460522586663,0.0024494076742099377,-0.9679901324202025,-0.21913870649979855,-0.12234104484088457
1169373.0,1076.232999,1.0,5.04,4.61,-9.77,-10.75,14.75,43.88,-89.69,274.63,22.25,-2.915147410414439,2.011656436741381,-1.5758696664038698,-145.5001518850634,-24.055334959429352,-24.345675176450374,-0.007051939868796241,-0.955020337506554,-0.2083840029007274,-0.21086140573377538
1169410.0,1076.277516,1.0,7.02,4.23,-11.79,-20.87,10.69,41.0,9.81,211.88,-29.19,-2.4967811908561925,1.0288464310166567,-4.296007859650819,-139.0649828038639,-25.177024145877848,-31.73323082844321,0.0050371292123108265,-0.9368706349113055,-0.21794756360265338,-0.27339879350475016
1169446.0,1076.284464,1.0,7.73,2.97,-12.02,-28.75,9.56,35.69,54.94,119.31,-63.13,-1.5069024290035111,0.11498614921193573,-4.71127765014872,-134.18784816622386,-27.88776383477345,-35.5129861824569,0.02044974179511717,-0.9211441358323385,-0.24097142811232328,-0.3049722281056339
1169481.0,1076.346456,1.0,7.5,0.35,-11.54,-28.75,9.56,35.69,103.69,-12.06,-55.5,0.3888630221936572,-0.5605671507911882,-3.9439372608926853,-133.1768401395903,-30.784371325117853,-33.96403218827847,0.046019521813416425,-0.9176743402106579,-0.265424625981413,-0.2920715269478096
1169518.0,1076.355383,1.0,6.95,0.2,-12.01,-33.0,9.75,32.69,80.94,-100.31,-41.13,0.25146347892628695,-0.22070783909230496,-4.066729334845913,-134.49338866691366,-33.12082606782573,-29.536839158756656,0.058017710192855274,-0.9221786589374924,-0.2850261722560743,-0.25491282320290753
1169553.0,1076.404808,1.0,5.43,0.08,-10.01,-32.19,10.56,33.5,84.69,-150.0,-45.75,0.3917427222038413,0.6496115285035802,-1.5562696292869909,-136.1421191800909,-35.671312671173176,-23.426703636634297,0.06664974396300792,-0.9276477373885528,-0.3062877753266859,-0.20301548126434554
1169588.0,1076.448201,1.0,5.13,-1.84,-11.77,-32.19,10.56,33.5,98.81,-186.31,-22.44,1.6183863701560095,0.2583842376223058,-3.0599526262817953,-137.9371274042262,-37.4683913952026,-16.03558359398769,0.07864243358551405,-0.9333836613537788,-0.32117825460495486,-0.13948059767034596
1169623.0,1076.476717,1.0,3.53,-1.95,-10.07,-28.5,12.06,37.25,79.62,-227.0,6.06,1.643632740889013,0.8239559540735191,-0.8839004067295093,-139.82767897291401,-38.15343941147423,-7.5504975282714035,0.08240406077824669,-0.9391772338440814,-0.32683392242918274,-0.0658428534147003
1169659.0,1076.535951,1.0,1.07,-2.84,-8.39,-22.37,15.0,39.88,52.69,-238.0,34.88,1.706109333981465,-0.29371190372530354,1.0541918162603352,-141.2459332370941,-37.63471105954018,1.2025474127505087,0.07700505095023165,-0.9433557266694804,-0.3225524310459452,0.010494013264702982
1169696.0,1076.546696,1.0,-0.56,-2.23,-7.68,-13.75,16.75,42.75,-29.62,-142.06,60.19,0.8954696637904072,-0.7070626922111718,1.8714690675628454,-142.9796250458986,-35.878352645873036,6.043922798200096,0.056049746776446654,-0.9482672218562205,-0.30800720411691784,0.052718725814088846
1169731.0,1076.609522,1.0,-1.3,1.27,-8.3,-13.75,16.75,42.75,-48.5,-106.94,60.25,-1.82614017961226,1.0434857878445518,1.5744419453543852,-144.5048994729262,-34.05178705951497,9.196728111895059,0.027495690111914457,-0.9524088335406853,-0.2928038551246913,0.08017046365750512
1169768.0,1076.617502,1.0,-2.18,0.91,-7.61,-7.0,16.37,44.38,-1.19,-87.75,9.94,-1.7245046337077992,0.35065131398843163,2.035181192604677,-143.91790333729543,-33.75192748215547,12.251963407928704,0.015824111684601384,-0.9508348836473571,-0.29030077338519733,0.10671495912319959
1169805.0,1076.681336,1.0,-2.74,-1.0,-6.77,-2.88,15.88,45.19,29.25,-43.94,-4.19,-0.46332319068065847,-1.0481443576178537,2.5246705282786364,-143.02686733400165,-33.78347643918487,14.394341648068007,0.020432253274830843,-0.9483980249351878,-0.29056422258327697,0.1252842443395179
1169838.0,1076.709267,1.0,-2.4,-0.62,-7.89,-2.88,15.88,45.19,-3.94,14.63,10.13,-0.5119234051015231,-0.3392957146085538,1.55926781864345,-143.50840977208958,-33.39056258147635,14.153778285142767,0.017850685102380838,-0.9497221064561724,-0.2872816354755441,0.12320119913508544
1169872.0,1076.751144,1.0,-1.88,-0.08,-9.39,-2.5,16.25,45.06,-10.5,18.37,0.31,-0.5851203794422282,0.5650342633878542,0.26457106390021856,-143.91157415883038,-33.38607421453838,13.222483860189705,0.013452939224041803,-0.9508177767863569,-0.28724411796278915,0.11513205665262428
1169909.0,1076.759123,1.0,-1.93,-1.29,-8.43,-1.0,16.69,44.56,10.38,22.25,-0.69,0.20702009203153787,-0.37512438414884297,1.0733617087598564,-144.03296579773018,-33.382728264326836,12.771162787785757,0.021441251529672682,-0.9511453752123746,-0.2872161494347412,0.11121884484579346
1169944.0,1076.793045,1.0,-2.15,-0.15,-8.05,-1.0,16.69,44.56,-15.81,52.25,3.0,-0.8909865979474931,-0.28587896720054995,1.5258338507070857,-144.8101993461672,-33.25206689187515,10.997601050134199,0.01808383889443249,-0.9532175767778088,-0.2861237703022102,0.0958249140919543
1169979.0,1076.85389,1.0,-0.64,-0.68,-10.89,-1.37,17.37,44.19,-15.0,69.06,-15.25,0.23133670235648945,0.70077188941921,-1.098371874766812,-145.0965440557355,-33.799376834557904,8.124574169629598,0.020448592132595457,-0.9539699586235346,-0.29069699030354423,0.07084089886546854
1170016.0,1076.869845,1.0,-0.54,-0.4,-11.31,-4.0,15.88,46.38,7.44,15.56,-6.19,-0.054408234199472105,0.8599791727836277,-1.4904812980964213,-145.0786718403116,-33.99352288721901,7.28624911620969,0.023311498378481062,-0.9539231729268581,-0.2923176505905942,0.06354168198671444
1170051.0,1076.907744,1.0,-0.85,-2.15,-10.11,-5.88,16.25,43.75,27.62,-30.06,-19.44,1.106948686660808,-0.2566779554817331,-0.5018843784783318,-144.02465890123537,-34.647422744836135,8.617942283512003,0.03244770723797652,-0.9511229914896371,-0.2977699682609994,0.07513486112748041
1170085.0,1076.953283,1.0,-1.93,-2.06,-8.39,-5.88,16.25,43.75,-9.06,-41.06,2.69,0.5904788021302523,-1.1538733389115878,1.0499091050103626,-143.66257709002517,-34.619613736340334,10.21209306565589,0.02791691501782728,-0.9501424722606856,-0.29753828862153003,0.0889994104835032
1170120.0,1076.982204,1.0,-1.7,-0.86,-9.02,-5.88,16.69,44.75,-20.62,1.63,27.56,-0.09184794674773358,-0.21775944350594967,0.5906777355320685,-144.61375162335858,-33.68703520444052,10.286007270640779,0.019255122500885777,-0.9526979600491713,-0.28975882202023884,0.08964185538612578
1170157.0,1077.016366,1.0,-1.66,0.39,-9.12,-4.0,17.37,45.0,-25.94,36.56,6.69,-1.0364025540887818,0.2371835810012961,0.5897246072900391,-145.30254383169424,-33.47947309013396,8.757666929255072,0.011299047859163868,-0.9545075471751336,-0.2880247327179959,0.07635068595574888
1170192.0,1077.042297,1.0,-0.77,-0.18,-10.68,-4.0,17.37,45.0,-2.44,14.88,-6.56,-0.07589275052710151,0.7312240797715371,-0.8773217163412479,-145.3082246652579,-33.711327878801214,7.8540979340392125,0.01090676466259984,-0.9545223284988857,-0.2899617144943231,0.06848628336515833
1170227.0,1077.103264,1.0,-0.86,-0.82,-10.55,-5.5,14.75,45.06,-1.19,-17.56,-2.06,0.4096816394853855,0.3353885963618305,-0.7968482644266519,-145.1362910409934,-33.818895458364544,8.122518149892745,0.01129295932204517,-0.9540739246699115,-0.2908599624464522,0.0708230017745013
1170262.0,1077.110448,1.0,-1.43,-1.02,-8.93,-5.06,15.5,45.5,18.31,-11.19,-10.69,0.14074970053303915,-0.30733607258154094,0.7118199268051182,-144.54951646642397,-34.15526254100834,8.974685714894791,0.018158923102775403,-0.9525274464541328,-0.2936671536137753,0.07823886599191049
1170298.0,1077.163026,1.0,-1.37,-0.64,-9.52,-4.38,16.69,45.5,-4.19,3.81,0.19,-0.06089361316085365,-0.0054069757514478844,0.16750259307186255,-144.64884310352355,-34.12893959300524,8.801428418504743,0.01378951185401158,-0.9527909846947914,-0.29344756329210747,0.07673145668552346
1170333.0,1077.213375,1.0,-1.22,-0.77,-9.58,-4.38,16.69,45.5,3.63,10.19,1.19,0.018375353465810235,-0.007321992154457724,0.11865182004476793,-144.78357042329318,-34.10325768254334,8.256203937529838,0.018503080522260518,-0.9531473056814319,-0.293233305686621,0.0719866523704937
1170370.0,1077.224184,1.0,-1.25,-0.63,-9.9,-5.06,15.88,44.69,0.81,2.94,-3.06,-0.07370474746788137,0.03874980979806608,-0.19147312698945207,-144.77797507307852,-34.186870729258146,8.022161357403311,0.015815568770475432,-0.9531325335610628,-0.2939308137944364,0.06994939566626864
1170405.0,1077.270234,1.0,-1.22,-0.89,-9.54,-6.25,15.88,44.69,0.94,4.31,-2.06,0.08399858629861881,-0.10567111375531013,0.14880977284685315,-144.66105381994504,-34.27045541742041,8.057156612138579,0.019658316484906107,-0.9528233333515297,-0.29462792892162964,0.07025403556529772
