acc_x,acc_y,acc_z,eul_x,eul_y,eul_z
-1.1,-1.36,-9.77,-144.81747794619875,-33.428084325043095,8.309857160578055
-1.18,-1.4,-9.82,-144.8176366686896,-33.406208948887546,8.640606564176688
-1.2,-1.47,-9.64,-144.7009660613564,-33.39406061472437,9.160976220002652
-1.26,-1.33,-9.44,-144.65778954129556,-33.404881947653024,9.503668657744004
-1.15,-1.68,-9.33,-144.39979151505725,-33.512037960719304,9.732136129414824
-1.33,-1.69,-8.59,-144.23689710149762,-33.510510443996914,10.060520366878537
-1.09,-1.98,-8.54,-144.2676081131494,-33.44116489714716,9.7453924258782
-0.99,-2.4,-7.85,-144.73218656968012,-33.09690853166459,8.689598278292841
-2.09,-3.46,-3.81,-146.59530175205668,-31.75931342835025,4.6150043357249615
3.15,-2.17,-5.81,-148.72767402080984,-28.306495024737263,-9.296975147389947
4.95,1.64,-8.08,-146.33009664330532,-24.80441969316,-21.609825719683
7.84,2.59,-13.16,-141.1028589179232,-22.89141941969332,-30.57611068575472
7.72,1.0,-12.03,-137.64954120025422,-22.64171036151788,-34.67918703084132
7.25,-0.44,-9.51,-136.5541803807852,-22.389042339785245,-35.95065546427672
7.27,0.15,-9.84,-136.51293436632255,-21.74969774396528,-36.56050935934
7.44,0.95,-11.59,-138.06362868745933,-21.36899965977334,-35.16056696149217
6.87,0.42,-11.44,-141.27892997881955,-21.66166018369169,-31.156917727206665
6.56,-0.55,-11.63,-145.40986480799273,-22.18143609153008,-25.30141414577231
8.14,-2.5,-15.72,-152.2147838985291,-21.88674834924791,-15.584837653876324
2.3,-0.56,-6.38,-158.34741103571668,-20.777024831599416,-3.960247477655012
-0.68,-0.38,-6.87,-160.2109619203789,-19.12799636172784,4.412489378650198
-1.29,0.74,-7.75,-160.22798655427428,-17.4289538473822,9.262643541615876
-1.81,1.07,-7.64,-159.17354290453576,-16.36538601187322,12.722744750969284
-2.9,2.65,-6.52,-158.0293993309088,-16.376313847504832,14.45386214977742
-1.62,-1.19,-8.58,-157.8444340042826,-17.058644969969347,14.024558508435376
-1.51,-0.32,-9.78,-157.9437979326393,-17.082405915390588,13.8379427548288
-2.08,-0.46,-8.7,-157.94141201270642,-16.974497313575167,13.953306211488412
-2.12,-0.14,-8.79,-158.3078549851321,-17.076145915144632,13.263672215196571
-1.71,-0.64,-9.94,-158.5234043183014,-17.129697524756953,12.825063817321626
-1.81,-0.52,-9.93,-158.7161614329945,-17.323771618592033,12.225685315939346
-1.96,-0.63,-9.42,-158.59845165907032,-17.6337533265302,11.92873473254089
-1.68,-0.88,-9.88,-158.50750873864104,-17.84032682105238,11.68973404411206
-1.88,-0.64,-9.58,-158.6114385507206,-17.995705294938194,11.296002967825927
-1.5,-0.79,-10.22,-158.73687876326886,-18.138079018580388,10.775682566376725
-1.67,-0.78,-9.7,-158.66525168417098,-18.282515568270306,10.600475403301049
-1.9,-0.48,-9.47,-158.51723755115157,-18.349819521936347,10.85025645398113
-1.83,-0.85,-9.42,-158.24281281241826,-18.552971167404973,10.916822465139074
-1.81,-0.59,-9.42,-158.19598830704285,-18.59874491970115,11.038105608892865
-1.64,-0.46,-9.69,-158.23558483763446,-18.8291508577486,10.579310569761557
-1.64,-0.97,-9.69,-158.04359143247984,-19.0533206932766,10.44854494611002
-1.65,-0.71,-9.59,-158.1543731999116,-19.134776246178287,10.179254805299813
-1.67,-0.61,-9.59,-158.08750912127854,-19.198787909013,10.29251277253526
-1.57,-0.84,-9.81,-157.9087710760235,-19.453191105903528,10.087268229456512
