TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
736800.0,689.732803,1.0,3.94,-0.97,-9.08,-26.87,18.37,35.19,-6.31,-0.19,2.38,-0.027194519566872688,-0.0023588112038268605,-0.13870845981004365,-153.48559028248908,-10.76630822356149,-22.728392674967903,0.07043398834383009,-0.9733504291575941,-0.09381559789462973,-0.19704473841334022
736835.0,689.75202,1.0,3.75,-0.65,-8.86,-27.25,18.0,35.19,-3.56,-2.44,2.13,-0.24628723270740646,-0.005450536341477852,0.16694497906398809,-153.78337597619787,-10.749537388197629,-22.56736543932222,0.06614615080109648,-0.9739430762772396,-0.093669889219964,-0.19566686678981976
736870.0,689.800452,1.0,3.86,-1.01,-9.03,-26.56,19.06,34.38,2.38,3.06,-1.25,0.017718583841064534,-0.029042286671140616,-0.06550491153636173,-153.69851450817967,-10.71905629627374,-22.52120159748467,0.07004965974673683,-0.9737748566013549,-0.09340505771178136,-0.19527178243216725
736905.0,689.836763,1.0,3.85,-1.04,-9.05,-26.56,19.06,34.38,-0.44,3.44,-2.06,0.0029940197886320075,-0.020524928238842444,-0.08305018570665901,-153.76331397843597,-10.708782384264119,-22.359596298633353,0.07219196143411444,-0.9739033558729717,-0.09331579250304128,-0.1938884653433219
736937.0,689.864692,1.0,4.04,-1.03,-9.45,-26.87,19.06,36.0,-2.06,5.69,1.19,0.02444682230322376,-0.036422765179096483,-0.5220999599446188,-153.71111604678342,-10.720093915264084,-22.573709067287226,0.06841676106802348,-0.9737998702168255,-0.0934140730553941,-0.19572115502892454
736972.0,689.902506,1.0,4.28,-0.91,-9.89,-27.25,18.69,36.0,-0.5,1.06,1.94,-0.060427762841872235,0.017674086046997495,-1.0079066766354483,-153.729240339418,-10.731144026021433,-22.681189619098372,0.06505394905092857,-0.9738358256577166,-0.09351008137177412,-0.19664087332057073
737009.0,689.937475,1.0,4.12,-0.9,-10.2,-27.69,17.56,35.56,4.31,-4.13,5.38,-0.143567278458907,-0.14022057989241055,-1.2289345620216459,-154.22189165712757,-10.602130888960174,-22.17072738779065,0.06521890765452376,-0.9748038262723521,-0.09238910344332917,-0.19227128733659202
737044.0,689.984152,1.0,4.87,-0.99,-11.49,-27.69,17.56,35.56,15.5,-8.81,7.94,-0.1815718046002615,0.12360973430434186,-2.7100928795737182,-154.4552434577299,-10.536951395368238,-21.873639332758284,0.06669415081746868,-0.9752560473241961,-0.09182272290636521,-0.18972643453768612
737079.0,690.017465,1.0,5.73,-1.58,-13.27,-27.25,18.69,35.19,34.44,-31.06,11.94,-0.11242423781570554,0.4367387411657191,-4.726719191715892,-154.88416330487533,-10.376816517887486,-20.862330836188022,0.07947241312261936,-0.9760767169263277,-0.09043109694081823,-0.18105412155725625
737116.0,690.049379,1.0,5.05,-1.48,-11.97,-26.19,18.69,36.38,54.13,-83.75,32.81,-0.39212605612799234,0.9511552168407849,-3.228507878199334,-156.68734071212688,-9.872401149300305,-18.041938520054686,0.09397642188816842,-0.9793770889265718,-0.08604641615311207,-0.1567959313311937
737150.0,690.106356,1.0,5.21,-0.42,-13.08,-26.19,18.69,36.38,61.88,-107.87,33.56,-1.9313962983735324,1.9681543719282861,-4.006495069349288,-158.85377212139713,-9.48516249644424,-14.147326659773533,0.108018496720795,-0.9830215601504214,-0.08267916987787839,-0.12314532680502262
737185.0,690.128444,1.0,3.19,-1.02,-9.58,-23.87,21.69,35.19,99.06,-168.75,27.31,-1.1559026347803192,1.7984279383592106,-0.11415873968634394,-160.25312656114068,-9.66217913512555,-8.130182997599778,0.13147112798508756,-0.9851889294851508,-0.08421854327579208,-0.07088972206698894
737220.0,690.150296,1.0,2.53,-2.67,-10.3,-19.37,23.56,36.88,108.75,-178.69,14.13,-0.3460815871050378,1.9527294141795526,-0.949133345255003,-158.77735093396237,-10.29655553879921,-1.9531412814062155,0.159896907874415,-0.9828989718945575,-0.08973353541970484,-0.01704354780857598
737259.0,690.178311,1.0,-1.53,-4.14,-4.96,-14.19,27.69,36.5,107.12,-246.81,6.63,1.69036568872636,-1.409363304758796,3.5425891036184796,-154.50639174724492,-11.4341018406956,7.135512314200411,0.1867822133067372,-0.9753546291669158,-0.09961586860564778,0.062228858874698645
737292.0,690.234492,1.0,-1.89,-4.06,-4.79,-14.19,27.69,36.5,59.63,-156.0,21.25,1.438937060242064,-1.1612417409111464,3.51532440392507,-150.80924498803085,-11.548868442563826,13.042259497390402,0.20119319414538744,-0.9677295037187916,-0.10061236438665043,0.11356961915180312
737331.0,690.243467,1.0,-2.35,-3.97,-5.33,-5.88,32.0,36.38,38.44,-105.87,27.12,0.9589860170168738,-0.940233639817501,2.886490571076295,-147.97961508922856,-11.178491710289574,17.231386074587736,0.2101008412090185,-0.9612126470743495,-0.09739609859967449,0.14980615342884715
737366.0,690.297448,1.0,-3.09,-4.16,-4.01,-2.88,33.06,35.25,19.25,-58.31,12.44,1.3833416639597953,-1.8427911524850709,3.6727860783698763,-146.19616883865973,-11.055615806392575,19.608436975771312,0.21506078574402093,-0.9568038644212481,-0.0963288462750255,0.17028205084227913
737400.0,690.336453,1.0,-3.31,-4.82,-3.96,-2.88,33.06,35.25,-2.19,25.75,5.56,1.9355625452343692,-2.178285862992664,3.3740169207258406,-146.56456643082493,-10.669709709716164,18.96320526142617,0.21671525470987776,-0.9577335925209375,-0.0929763014922822,0.1647309063102242
737435.0,690.363383,1.0,-2.66,-4.89,-5.38,0.75,33.75,34.75,-14.5,62.63,14.5,1.6601693436259464,-1.2623384580952215,2.351286872177294,-148.03140964916176,-9.787238017215177,17.04698737511366,0.21583787874607693,-0.9613372122735337,-0.0853059603203786,0.14821493693404303
737470.0,690.386191,1.0,-2.14,-4.52,-6.31,1.19,33.75,34.69,-36.31,97.69,18.06,1.208517168121267,-0.8126012672610473,1.887984365260655,-150.66711261993106,-8.636214583123634,13.849343161058664,0.20952557799878987,-0.9674162048091951,-0.07529386534568396,0.12056430930483664
737507.0,690.422062,1.0,-1.73,-4.62,-6.39,-2.19,33.75,35.56,-50.0,114.06,16.62,1.524779464082161,-0.8601906082408112,1.9260079129992462,-153.73449968044568,-7.453206485255931,10.021571258452399,0.19942465047856575,-0.9738462547143254,-0.0649956476477064,0.08734326961614251
737542.0,690.485463,1.0,-0.63,-3.91,-6.15,-2.19,33.75,35.56,-73.5,190.38,18.0,1.3619305062982,-0.5001384980747731,2.637095845189685,-157.8039507133323,-5.761521587888897,3.3762990588466155,0.18346115483086417,-0.9812993008883387,-0.05025757976345568,0.029459504756583942
737579.0,690.501191,1.0,1.93,-3.95,-8.54,-4.75,32.56,38.19,-77.19,236.94,17.06,1.0361395088280985,0.9409849242772829,0.30402076959600954,-160.0178751860408,-3.786947833478214,-5.141511034467087,0.1643071220819707,-0.9848348284835342,-0.03304133915484579,-0.04485309516413127
737613.0,690.54891,1.0,2.91,-3.03,-9.87,-10.38,28.5,38.06,-93.06,216.0,22.31,0.1968121959372255,0.5037595924012666,-0.90658439641801,-159.41296561446123,-1.6892785335349838,-12.94316913554511,0.137874896427307,-0.9839052624502105,-0.014741202259822684,-0.11271044500788892
737648.0,690.585651,1.0,4.28,-1.57,-11.23,-10.38,28.5,38.06,-70.06,152.19,19.37,-1.1692474198978,0.4786121500778453,-2.2473945859827538,-157.235501087131,-0.08390349629471126,-18.418194673978515,0.11548067273589027,-0.980332362894999,-0.0007321960667157005,-0.16003792167512595
737683.0,690.614625,1.0,5.03,-2.16,-11.7,-17.56,26.56,37.25,-31.5,81.81,26.31,-0.5505433551861433,0.35858090625189387,-3.0939244735547344,-155.26773668008565,1.2503717218702965,-21.46207356193219,0.10523573502833108,-0.9767990407624569,0.010911335186399196,-0.1861988635922383
737720.0,690.666531,1.0,5.13,-1.17,-11.29,-22.06,24.69,36.0,-45.0,36.69,30.5,-1.148442569403323,0.3448187471361872,-2.591417579119163,-154.81222821349343,2.6340061957451013,-22.742881600449984,0.09020691922802844,-0.975940034729643,0.02298401622707636,-0.19716869765093215
737757.0,690.683193,1.0,4.55,-0.47,-10.78,-22.06,24.37,34.75,-28.56,16.87,23.06,-1.4985532195784492,-0.10108954938582837,-1.8069592215596781,-154.74113070253634,3.591768380144539,-23.218076080181277,0.0795539020063938,-0.9758045660995082,0.03133896000847935,-0.20123244032832932
737792.0,690.721456,1.0,5.33,-0.82,-12.02,-22.06,24.37,34.75,-7.75,3.31,19.31,-1.3169874358713582,0.1134221764202179,-3.3011484232155883,-154.76067387634617,4.230930412807203,-23.291086016538035,0.07499368855944748,-0.9758418409450397,0.036913444860538644,-0.20185649785372872
737828.0,690.751694,1.0,5.14,-1.01,-11.98,-22.37,23.56,35.19,3.25,-31.62,9.38,-1.0787810299304634,0.2264096701016105,-3.2219750291712153,-155.8593390739036,4.365767684648136,-22.14223950855195,0.07350259257424069,-0.977891652670482,0.03808929426374787,-0.19202731624627817
737863.0,690.795674,1.0,4.55,-1.72,-11.52,-22.06,24.69,37.69,14.19,-47.13,7.44,-0.3205117366976214,0.2788719826789796,-2.6909818814372137,-157.41183510104275,4.348462490672539,-20.343552185174815,0.07568595432052451,-0.980634890779339,0.03793838711026777,-0.17659990398711214
737898.0,690.81714,1.0,5.18,-1.94,-13.49,-22.06,24.69,37.69,27.25,-113.31,24.87,-0.6873268042922418,1.1510592873030818,-4.711571116280558,-160.32709760901201,4.653210242257555,-16.5065859365662,0.08325017779518902,-0.9852994129166289,0.0405957610707241,-0.14354950012558146
737933.0,690.869594,1.0,3.27,-2.14,-10.61,-19.37,24.0,37.69,46.69,-152.06,19.37,-0.3006324372298462,1.1346453608536395,-1.4390958642269975,-162.89804375575437,4.652079793256568,-11.482007277924763,0.1022493476140733,-0.9888839605461578,0.04058590417241577,-0.10003183428063844
