acc_x,acc_y,acc_z,eul_x,eul_y,eul_z
-2.82,-2.71,-9.47,-123.59490888099263,-50.38136345113443,22.56110818753761
-3.06,-2.61,-8.73,-123.59659932364217,-50.3542340832257,22.708374014742645
-2.9,-2.64,-9.31,-123.72184514995055,-50.467841006994206,22.249469067037925
-2.76,-2.66,-9.71,-123.784467494453,-50.63790473215806,21.769842792886934
-3.14,-2.0,-8.84,-123.62321923410548,-50.737159599455474,22.12346127295537
-2.96,-2.03,-9.28,-123.36769649350052,-51.04874645944165,22.12785801233208
-2.97,-1.99,-8.89,-122.56971196888028,-51.86717827827977,22.31381197626572
-2.93,-1.26,-8.63,-121.36364493512276,-53.24466662946765,22.253538514490533
-2.77,-1.09,-7.89,-118.78811094864103,-56.03539863639942,21.99943683837132
-2.77,-2.06,-6.61,-115.64062808144187,-59.33594826438525,21.553821018942408
-1.91,-2.87,-6.1,-112.86895319977312,-63.084727354081295,17.568338594689322
-0.76,-4.27,-7.45,-110.15311779960636,-66.37089593278179,12.169632786182715
1.55,-6.97,-9.15,-108.39573333408045,-68.00956541647787,5.572236870401494
2.13,-4.91,-9.84,-107.59773561818255,-68.0550431531553,0.8991404472653514
3.32,-5.3,-9.7,-107.32747516270796,-67.26560798245701,-3.818228395559348
4.07,-4.5,-10.01,-107.51368450226109,-65.80400907704761,-7.6645130444380225
5.56,-4.93,-12.72,-108.84388956301208,-63.50234074652868,-9.890406983120323
4.15,-4.01,-9.25,-111.237873358388,-61.29186587699035,-9.625628450600674
4.04,-4.41,-8.99,-114.48801231148956,-58.092632040294745,-10.118190523775755
4.26,-3.78,-10.13,-118.18965927386432,-54.28616170260515,-10.08291602657795
4.05,-2.09,-9.78,-122.4547973822017,-50.74116064474037,-10.191288410351252
3.68,-1.19,-9.73,-125.81516970485372,-48.134113874890005,-9.601007678885376
3.17,-0.19,-8.96,-128.4348782359163,-46.24020397580553,-9.41887545189415
2.64,0.89,-9.23,-129.6159496605747,-45.53245732780756,-9.589569691174948
2.5,-0.95,-9.37,-129.71131837352823,-45.834568162602345,-8.990817846343743
2.26,-1.84,-8.97,-129.9113296829371,-45.97578472995031,-8.06831066466012
2.08,-1.37,-9.28,-129.9038098233363,-46.28126911251401,-7.709623710739861
1.99,-2.1,-9.11,-129.7348168511619,-46.531832891075496,-6.890512586496775
2.34,-2.26,-9.69,-129.49010859696736,-46.68010599156467,-6.942633682614348
2.2,-2.0,-9.51,-129.39732554128753,-46.97696306241424,-6.689496624000558
2.14,-2.37,-9.36,-129.24326090769307,-47.07447064295084,-6.3905661348801255
2.19,-1.72,-9.55,-129.35038094492555,-47.13289399353811,-6.4781830867187296
2.27,-2.31,-9.68,-128.95612626757142,-47.40407021586508,-6.354716794289009
2.16,-2.15,-9.46,-128.7914899766438,-47.60705755206183,-6.506073813902347
2.11,-2.27,-9.48,-128.71885101638722,-47.62350307459168,-6.209120421231966
2.24,-1.96,-9.6,-128.60970730932843,-47.85601927945289,-6.526437901196688
2.14,-2.16,-9.39,-128.541312157426,-47.88759672734319,-6.0206312522263845
2.01,-1.82,-9.34,-128.5830793599142,-48.03443632079091,-5.9748648456152536
2.04,-2.0,-9.36,-128.51558358362735,-48.23180173414314,-6.134732763577842
2.21,-2.16,-9.85,-128.2142819882088,-48.37458088074872,-6.268156765837486
1.93,-2.12,-9.29,-128.31680259832515,-48.35555777126793,-5.596589092814399
1.8,-1.89,-9.06,-128.32254740395788,-48.50924656194513,-5.496246242654153
2.14,-2.07,-9.7,-127.97944550300144,-48.81336292292754,-5.93463385591789
2.04,-2.39,-9.56,-127.80404206995505,-48.89746297088038,-5.488562659838298
1.8,-1.88,-9.25,-127.98638241549996,-48.9133458203612,-5.390343684718506
2.05,-2.0,-9.64,-127.77399412241267,-49.136452446891525,-5.972867907453848
2.1,-2.11,-9.39,-127.63601208240884,-49.100820802448,-5.878802209714994
1.98,-1.97,-9.57,-127.67714385565608,-49.19950939640055,-5.7599385453754985
2.07,-2.27,-9.7,-127.48694276655192,-49.28926966115597,-5.608758443962807
2.01,-2.09,-9.48,-127.5163767808311,-49.22884233980482,-5.138940659301375
1.96,-2.14,-9.45,-127.3450805144848,-49.28646823495371,-4.897118442983358
2.07,-2.09,-9.46,-127.11802380605208,-49.54547190423874,-5.319183137022357
2.19,-2.26,-9.76,-127.03382164718973,-49.488992727255976,-5.5615673816652205
2.04,-1.8,-9.42,-127.11581521876673,-49.57266345583024,-5.691775370215058
2.02,-2.37,-9.7,-127.04167536963227,-49.61657066391821,-5.334154897092621
2.0,-2.17,-9.51,-127.27892935811944,-49.463990752625314,-4.858614224309632
1.97,-2.06,-9.4,-127.20316777176758,-49.64251838197902,-5.121105572324644
