Unnamed: 0.1,TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
0,898455.0,846.7949179999997,1.0,6.65,0.85,-7.12,-24.37,-19.87,27.75,0.81,-0.25,0.75,-0.14138944031623035,-0.06387228340834272,0.028340874308621974,-135.336709981557,-6.764830589593756,-43.986826321433156,-0.0273,-0.925,-0.059000000000000004,-0.3745
1,898455.0,846.7949179999997,1.0,6.65,0.85,-7.12,-24.37,-19.87,27.75,0.81,-0.25,0.75,-0.14138944031623035,-0.06387228340834272,0.028340874308621974,-135.336709981557,-6.764830589593756,-43.986826321433156,-0.0273,-0.925,-0.059000000000000004,-0.3745
2,898490.0,846.8256210000003,1.0,6.72,0.86,-7.09,-24.69,-19.56,27.37,-0.56,0.37,0.12,-0.06974356743816212,-0.06283831779721086,0.0006677860340058572,-135.336709981557,-6.764830589593756,-43.986826321433156,-0.0273,-0.925,-0.059000000000000004,-0.3745
3,898490.0,846.8256210000003,1.0,6.72,0.86,-7.09,-24.69,-19.56,27.37,-0.56,0.37,0.12,-0.06974356743816212,-0.06283831779721086,0.0006677860340058572,-135.336709981557,-6.764830589593756,-43.986826321433156,-0.0273,-0.925,-0.059000000000000004,-0.3745
4,898527.0,846.874305,1.0,6.68,0.89,-7.18,-24.69,-19.56,27.37,-0.37,-0.37,-0.06,-0.15822325181101116,-0.028476690076889438,-0.03921484168397349,-135.336709981557,-6.764830589593756,-43.986826321433156,-0.0273,-0.925,-0.059000000000000004,-0.3745
5,898527.0,846.874305,1.0,6.68,0.89,-7.18,-24.69,-19.56,27.37,-0.37,-0.37,-0.06,-0.15822325181101116,-0.028476690076889438,-0.03921484168397349,-135.336709981557,-6.764830589593756,-43.986826321433156,-0.0273,-0.925,-0.059000000000000004,-0.3745
6,898562.0,846.896482,1.0,6.58,0.85,-7.2,-24.69,-19.19,27.37,0.94,0.12,0.19,-0.2468357593518831,-0.05347743685309286,0.01915224665911808,-135.336709981557,-6.764830589593756,-43.986826321433156,-0.0272,-0.925,-0.059000000000000004,-0.3745
7,898562.0,846.896482,1.0,6.58,0.85,-7.2,-24.69,-19.19,27.37,0.94,0.12,0.19,-0.2468357593518831,-0.05347743685309286,0.01915224665911808,-135.336709981557,-6.764830589593756,-43.986826321433156,-0.0272,-0.925,-0.059000000000000004,-0.3745
8,898598.0,846.907167,1.0,6.74,0.95,-7.1,-24.69,-19.87,29.06,3.38,0.25,0.69,-0.05382002813157128,0.03213683859082947,-0.02880477485292765,-135.336709981557,-6.776309776380446,-43.986826321433156,-0.0268,-0.925,-0.0591,-0.3745
9,898598.0,846.907167,1.0,6.74,0.95,-7.1,-24.69,-19.87,29.06,3.38,0.25,0.69,-0.05382002813157128,0.03213683859082947,-0.02880477485292765,-135.336709981557,-6.776309776380446,-43.986826321433156,-0.0268,-0.925,-0.0591,-0.3745
10,898633.0,846.976522,1.0,6.66,0.94,-7.13,-24.69,-19.87,29.06,-2.75,-0.25,-0.63,-0.13300598607730185,0.027654008487590587,0.00574980341182041,-135.336709981557,-6.764830589593756,-43.986826321433156,-0.0271,-0.925,-0.059000000000000004,-0.3745
11,898633.0,846.976522,1.0,6.66,0.94,-7.13,-24.69,-19.87,29.06,-2.75,-0.25,-0.63,-0.13300598607730185,0.027654008487590587,0.00574980341182041,-135.336709981557,-6.764830589593756,-43.986826321433156,-0.0271,-0.925,-0.059000000000000004,-0.3745
12,898666.0,847.004415,1.0,6.64,0.82,-7.19,-25.5,-19.87,28.69,0.75,1.06,0.56,-0.20382755826986945,-0.08525625859267838,-0.01217303012232307,-135.30656135192416,-6.764830589593756,-44.011544446012536,-0.0269,-0.9249,-0.059000000000000004,-0.3747
13,898666.0,847.004415,1.0,6.64,0.82,-7.19,-25.5,-19.87,28.69,0.75,1.06,0.56,-0.20382755826986945,-0.08525625859267838,-0.01217303012232307,-135.30656135192416,-6.764830589593756,-44.011544446012536,-0.0269,-0.9249,-0.059000000000000004,-0.3747
14,898701.0,847.04213,1.0,6.65,0.93,-7.06,-25.06,-19.19,28.25,0.19,0.5,0.06,-0.0983221267180534,0.021552799322444718,0.0639158747023707,-135.30656135192416,-6.764830589593756,-44.0239043163285,-0.027000000000000003,-0.9249,-0.059000000000000004,-0.3748
15,898701.0,847.04213,1.0,6.65,0.93,-7.06,-25.06,-19.19,28.25,0.19,0.5,0.06,-0.0983221267180534,0.021552799322444718,0.0639158747023707,-135.30656135192416,-6.764830589593756,-44.0239043163285,-0.027000000000000003,-0.9249,-0.059000000000000004,-0.3748
16,898738.0,847.056033,1.0,6.71,0.83,-7.1,-24.0,-19.87,27.37,-0.88,0.69,-0.12,-0.09732974717364183,-0.08364641333525755,0.003256189800838527,-135.24632190274463,-6.764830589593756,-44.04862567408432,-0.0269,-0.9247,-0.059000000000000004,-0.375
17,898738.0,847.056033,1.0,6.71,0.83,-7.1,-24.0,-19.87,27.37,-0.88,0.69,-0.12,-0.09732974717364183,-0.08364641333525755,0.003256189800838527,-135.24632190274463,-6.764830589593756,-44.04862567408432,-0.0269,-0.9247,-0.059000000000000004,-0.375
18,898772.0,847.089917,1.0,6.68,0.86,-7.11,-24.0,-19.87,27.37,0.69,0.06,0.12,-0.12282637408347208,-0.04896596994593908,0.013968241890180977,-135.24632190274463,-6.776309776380446,-44.04862567408432,-0.0268,-0.9247,-0.0591,-0.375
