acc_x,acc_y,acc_z,eul_x,eul_y,eul_z
6.72,2.22,-6.29,-117.58578661368068,-34.24312448272413,-50.49129103156368
6.92,2.62,-6.32,-117.51946956763666,-34.17118813606689,-50.605340832368576
7.15,2.92,-6.28,-117.38702490663178,-34.267106355147284,-50.681403847895496
6.76,2.76,-6.34,-117.2328235497882,-34.50701040671306,-50.681403847895496
6.34,3.28,-5.4,-116.4886280777146,-35.44414023991489,-50.83360168709925
7.0,2.53,-6.34,-115.77371350268422,-36.29930145114271,-51.03668173616908
6.81,3.09,-5.91,-114.85268180222258,-37.54363247388456,-51.138286174965344
6.87,2.25,-6.0,-113.92207363516452,-39.24238573337944,-50.85897732637935
6.98,1.95,-6.2,-112.4031992471798,-40.9501654253067,-51.2272254279677
7.77,2.09,-6.33,-111.15670835013724,-41.72175180713575,-52.04193081398262
7.58,2.28,-5.91,-110.00958136957878,-42.11442571308733,-53.02589040849176
7.4,2.21,-4.54,-108.15279095507611,-41.9548397514564,-55.23930804894636
8.3,2.56,-5.55,-106.4131295533326,-41.42758281113211,-57.540683062151366
7.74,2.4,-5.13,-104.72685126814748,-40.91347187505044,-59.76196847937517
7.72,2.15,-4.54,-103.20120702389664,-40.36359153375482,-61.80784574236153
8.38,2.47,-4.57,-101.12175699059144,-39.38840578330453,-64.7556530727814
8.6,3.54,-3.67,-99.93861474574966,-38.31911836146923,-66.73402593846353
8.89,2.09,-3.93,-98.61153960499006,-37.33794513405029,-68.77680821232158
8.86,1.98,-2.95,-97.94594136084784,-36.10640826375515,-70.28332279396642
9.49,2.92,-3.29,-96.69682377932163,-34.17118813606689,-72.81154842528053
8.97,2.51,-3.04,-96.817590777602,-33.0340215452869,-73.41069853307816
9.14,1.83,-2.83,-97.89358356014311,-31.20953939428692,-73.39640598031606
9.0,3.8,-2.58,-98.3657986482455,-29.80796936990455,-73.72547201814446
8.41,3.02,-2.78,-99.42333079065403,-29.0733898303354,-73.06804274776654
8.06,3.53,-2.91,-100.02773556408856,-28.51734540609927,-72.74037515744728
8.09,2.9,-2.87,-100.56420761524464,-28.28093937794029,-72.32820965004784
8.57,3.04,-3.07,-100.72573922895168,-28.22185710635222,-72.18633490403623
8.64,2.45,-3.17,-100.72573922895168,-28.399126966206964,-72.08709874052984
9.12,2.37,-3.01,-100.61802099879914,-28.51734540609927,-72.12962086079537
8.86,2.38,-2.95,-100.65391350970894,-28.60011675110229,-72.058757038671
8.64,2.44,-3.01,-100.6898195801236,-28.76570522000204,-71.93128239622219
8.84,2.65,-3.18,-100.70777770605255,-28.81302746748213,-71.88881371666841
8.64,2.54,-3.12,-100.77964420318249,-28.90768703373302,-71.7614760712347
8.64,2.53,-3.01,-100.61802099879914,-29.15626451062837,-71.80391056917499
9.06,2.43,-3.26,-100.51042463462828,-29.2983716924918,-71.83220655514127
8.91,2.37,-3.1,-100.58214202852676,-29.393135398012305,-71.69077715376791
8.57,2.29,-3.08,-100.61802099879914,-29.45237314889127,-71.63424070118842
8.96,2.5,-3.25,-100.58214202852676,-29.40498230512227,-71.69077715376791
8.75,2.45,-3.03,-100.6359655604961,-29.40498230512227,-71.63424070118842
8.61,2.57,-2.97,-100.67186484879734,-29.40498230512227,-71.57772437161505
8.79,2.61,-3.0,-100.67186484879734,-29.393135398012305,-71.59185156940322
8.78,2.35,-3.21,-100.72573922895168,-29.487919662093987,-71.49298753090414
8.68,2.52,-2.96,-100.74370415119088,-29.464221664430085,-71.49298753090414
9.0,2.53,-3.24,-100.70777770605255,-29.42867708363529,-71.56359842931408
8.64,2.42,-3.08,-100.72573922895168,-29.42867708363529,-71.5071072040017
8.71,2.33,-3.17,-100.77964420318249,-29.40498230512227,-71.46475194075083
8.92,2.62,-3.1,-100.79761933768772,-29.33390567781849,-71.49298753090414
8.88,2.5,-3.31,-100.85156520381317,-29.33390567781849,-71.4506360226007
8.77,2.37,-2.92,-100.92354086053491,-29.36944254732168,-71.3377536515333
8.81,2.48,-3.18,-100.97755856330473,-29.36944254732168,-71.2813423920703
8.51,2.4,-3.25,-101.12175699059144,-29.393135398012305,-71.1404012489265
8.73,2.45,-3.19,-101.10372013014188,-29.36944254732168,-71.18267056189946
8.84,2.58,-3.16,-101.12175699059144,-29.36944254732168,-71.1544897805901
8.67,2.37,-3.21,-101.06765675595229,-29.49976914452507,-71.1404012489265
8.75,2.39,-3.33,-101.12175699059144,-29.487919662093987,-71.08405950295473
8.49,2.4,-2.97,-101.10372013014188,-29.523469077350697,-71.11222790088254
9.01,2.61,-3.17,-100.92354086053491,-29.464221664430085,-71.30954553159043
8.99,2.48,-3.39,-100.94154333267473,-29.523469077350697,-71.25314422862833
8.53,2.42,-3.1,-100.95954923279672,-29.55902139879445,-71.22495103692498
8.59,2.42,-3.07,-100.94154333267473,-29.57087281914313,-71.23904701158034
