acc_x,acc_y,acc_z,eul_x,eul_y,eul_z
1.35,-0.05,-9.89,-172.05927522066784,-3.163128706652845,-7.304427851725569
1.28,0.09,-9.9,-172.05927522066784,-3.1287382797377283,-7.269980754447582
1.45,-0.13,-10.07,-172.05927522066784,-3.082884815106741,-7.269980754447582
1.13,0.01,-9.88,-172.05927522066784,-3.15166519950434,-7.269980754447582
1.38,-0.46,-9.83,-172.05927522066784,-3.2892294003721183,-7.304427851725569
1.24,0.17,-9.76,-172.05927522066784,-3.0714215263829594,-7.281463046960031
1.53,0.15,-9.98,-171.89546411123382,-3.0370318442136965,-7.430739554030821
1.55,0.03,-9.85,-171.89546411123382,-3.094348134689141,-7.488156943849511
1.29,-0.18,-9.9,-171.89546411123382,-3.094348134689141,-7.47667331573405
1.44,-0.27,-9.96,-171.89546411123382,-3.0026424356334624,-7.534092210574165
1.34,-0.22,-9.94,-171.7348937308485,-3.082884815106741,-7.557060298129735
1.21,0.0,-9.79,-171.89546411123382,-3.048495041051397,-7.522608280519941
1.09,0.2,-9.88,-172.05927522066784,-2.9338644268256844,-7.47667331573405
1.27,0.24,-10.13,-171.89546411123382,-2.9338644268256844,-7.580028689727107
1.43,0.12,-10.07,-171.7348937308485,-2.9338644268256844,-7.6259663887868285
1.49,0.55,-9.91,-171.7348937308485,-2.8536247508829486,-7.660420468145224
1.83,0.27,-10.13,-171.7348937308485,-2.7733864743736323,-7.752301412421159
1.19,0.54,-9.6,-171.7348937308485,-2.865087475133015,-7.660420468145224
1.43,0.03,-9.81,-171.89546411123382,-2.8994758203914888,-7.602997386301143
1.4,-0.1,-10.17,-171.89546411123382,-2.7619239753850606,-7.614481849246593
0.95,0.06,-9.53,-171.7348937308485,-2.956790311078442,-7.6259663887868285
1.74,-0.32,-9.98,-171.7348937308485,-2.750461504037132,-7.660420468145224
1.2,-0.16,-9.92,-171.89546411123382,-2.681687249969397,-7.660420468145224
