acc_x,acc_y,acc_z,eul_x,eul_y,eul_z
0.39,-1.02,-9.77,-165.86324083896642,-12.549930441445206,-1.100095864564908
0.2,-0.87,-9.63,-165.6781993872616,-12.711338126294772,-1.0771765184626354
0.42,-1.1,-9.71,-165.6781993872616,-12.7228682118641,-1.100095864564908
0.25,-0.51,-9.66,-165.86324083896642,-12.653689634339962,-1.0313379546174166
0.43,-1.28,-9.77,-165.6781993872616,-12.596044357776794,-1.0771765184626354
0.27,-0.83,-9.53,-165.6781993872616,-12.688278342697654,-1.1344749665222489
0.44,-1.15,-9.73,-165.6781993872616,-12.58451568698019,-1.0886361860699356
0.16,-0.96,-9.59,-165.6781993872616,-12.538402281482076,-1.100095864564908
0.64,-1.15,-9.96,-165.6781993872616,-12.526874248925028,-1.2146932735575866
0.29,-0.8,-9.76,-165.86324083896642,-12.538402281482076,-1.1803139285143014
0.31,-1.09,-9.67,-165.77042087262134,-12.480763390340035,-1.1917736982377245
0.53,-1.34,-9.84,-165.77042087262134,-12.469235993000286,-1.3522117780748235
0.38,-0.57,-9.63,-165.86324083896642,-12.434654560583263,-1.3407518310456548
0.35,-1.21,-9.73,-165.86324083896642,-12.273289521851868,-1.3407518310456548
0.47,-1.09,-9.76,-165.77042087262134,-12.353968967121856,-1.5355728478655368
0.55,-1.08,-9.76,-165.86324083896642,-12.181091916848366,-1.6501754833924644
0.46,-0.91,-9.58,-166.05072408085044,-12.134996086138983,-1.7647797695524667
0.51,-0.66,-9.73,-166.05072408085044,-12.134996086138983,-2.0283765158457068
0.28,-1.13,-9.71,-166.05072408085044,-12.042810329741007,-2.0627594617091103
0.61,-1.23,-9.87,-165.95667115359868,-12.042810329741007,-2.223215714892369
0.38,-0.97,-10.29,-165.95667115359868,-12.100425506938455,-2.337829975144579
0.3,-1.06,-10.83,-165.86324083896642,-12.400074265032766,-2.2919839967771853
-0.11,-1.38,-11.55,-165.86324083896642,-12.377021364647929,-2.051298459271143
0.73,-1.22,-12.3,-165.77042087262134,-12.469235993000286,-1.6960169933572922
0.65,-1.92,-13.1,-165.6781993872616,-12.169567773976445,-0.1145915781247664
-0.2,-1.63,-13.01,-165.13681976050614,-11.881504040605064,3.15166519950434
-1.65,-2.3,-10.97,-164.02631287450075,-11.777819636455906,5.720494487173099
-1.35,0.01,-10.98,-163.22171672296716,-12.111948910357556,7.683390239501281
-0.02,-0.77,-11.11,-160.94065918134044,-11.858462221253813,10.591876570929834
-2.22,-2.06,-9.35,-157.27480743211564,-12.07737906844118,14.638747929971784
-2.31,-3.06,-8.03,-155.2682499537731,-12.158043754647911,16.55875139620892
-1.35,-2.01,-8.12,-152.00202441389632,-11.294085603048902,19.85477908376032
-2.23,-3.21,-6.12,-149.11579237958978,-11.478340954533572,22.36094364221954
-3.12,-2.8,-5.42,-146.79094642726758,-11.628070333672753,24.63162225772855
-1.64,-3.62,-6.82,-145.53094905314887,-10.67243717618693,25.84113356281753
-2.69,-4.17,-4.35,-144.0161283848301,-10.833574298853826,27.50166431915293
-3.44,-2.32,-3.94,-143.9049982588089,-10.48830635783265,28.31639242391693
-1.96,-5.51,-5.52,-145.10802458844395,-9.372576979838527,27.26577791911556
-2.41,-5.3,-5.64,-147.43869005154224,-7.809729533725751,25.44156044788709
-2.51,-2.09,-5.74,-150.61456567249238,-6.879625535030392,23.858067126010045
-1.9,-2.16,-6.34,-154.01525359440276,-4.573417240623146,21.660511797125544
-2.5,-1.73,-8.28,-157.1587733939545,-3.254837913384077,19.36635943259494
-1.3,-3.17,-7.44,-162.22975145954382,-1.432431792389882,14.650301303680088
-0.01,-1.06,-11.5,-166.33674754112943,0.6302567522155992,11.501374957383891
-2.73,2.03,-8.21,-170.00697332479714,2.18883187578443,9.384074619875276
-1.15,1.24,-9.34,-172.75138501198413,3.082884815106741,6.3631010384043885
0.02,-0.47,-10.46,-173.3172743700655,6.099150260471113,2.6129139620146145
-0.17,-0.27,-10.11,-172.57231796598282,7.338875609975954,-0.1489690686936551
0.74,0.03,-12.88,-169.24641346971595,9.119652615329128,-4.321125783265932
1.45,4.02,-13.08,-165.2256794561049,11.478340954533572,-6.799268354310192
2.74,1.78,-12.97,-163.30044367130742,12.619102083523115,-8.315183354403652
1.56,2.67,-13.1,-161.57402592832648,13.437990937987554,-9.292096140833058
1.78,3.23,-13.15,-160.59764077497127,14.24602144035678,-9.315090195791669
2.55,3.51,-14.24,-159.9290177639615,14.89295693159816,-9.45306245260688
2.29,1.07,-14.16,-160.8715680310398,14.84673166768115,-8.361141590530956
0.76,0.99,-13.88,-162.60463181843892,15.30909493616346,-4.66516502390792
0.63,2.03,-12.65,-163.53886738912243,15.22816347918777,-1.1573944243672372
-0.84,-0.11,-11.15,-163.94405112777469,15.147239662385427,3.6331610823402585
-1.16,-0.34,-10.21,-163.22171672296716,14.823619947246296,7.683390239501281
-1.27,2.21,-9.77,-162.0085427715158,14.442363367873067,10.591876570929834
-1.51,0.48,-8.28,-159.99488438452408,14.604088706058509,13.461068017168213
-1.43,-1.2,-7.84,-159.0283735374385,14.061267443693245,15.170359975770204
-0.93,1.46,-7.37,-156.70033876277134,14.592535930080526,17.462507245696994
-1.22,-1.05,-6.33,-155.16145880106285,14.881400387429183,18.715683728517146
-2.51,0.13,-6.24,-154.58200075536982,14.061267443693245,19.95948754584176
-2.45,-1.07,-6.64,-153.76161968319718,14.269118297459285,20.49492914898236
-2.75,-2.24,-7.3,-153.01476916887475,14.373061379793723,20.83272200177108
-3.54,-2.74,-6.61,-153.06392657993817,13.807290567361374,21.13572637929078
-3.79,-0.31,-7.93,-153.06392657993817,14.061267443693245,21.147383365420364
-3.99,-2.68,-7.91,-153.4604028099656,13.726494094235369,20.49492914898236
-3.46,-0.98,-8.5,-153.96433257658236,13.668786527863627,20.168955080859902
-3.31,-2.13,-9.52,-154.16860854190614,13.772662665221276,19.72682480222871
-3.12,-1.23,-9.27,-154.63414056108863,13.588001782657653,19.36635943259494
-3.73,-0.74,-8.33,-154.63414056108863,13.703410648771609,19.273367657733324
-3.28,-0.3,-9.38,-155.214797761141,13.576461659580188,18.68084346973021
-2.6,-1.2,-9.61,-155.91878451766874,13.045763563399612,18.03080801097451
-3.66,-1.32,-9.6,-155.6456486519571,13.230321745568984,18.07721946422553
-3.31,-1.35,-8.86,-155.75453926974473,13.011162702254634,17.81039419409229
-2.49,-1.55,-9.84,-155.91878451766874,12.999629346780695,17.508882729880764
-3.04,-0.94,-9.13,-155.8639137604186,12.815113562902276,17.659623057349798
-3.2,-1.89,-8.96,-155.75453926974473,12.792051445699697,17.682816604505923
-2.7,-1.66,-9.28,-155.6456486519571,12.872771138472864,17.717608294742977
-3.37,-0.95,-9.12,-155.75453926974473,12.699808169946316,17.891591511712036
-3.25,-2.02,-8.93,-155.2682499537731,12.838176201349,18.05401336431272
-3.47,-1.39,-9.11,-155.214797761141,12.999629346780695,18.06561632088332
-2.86,-1.65,-9.25,-155.591382770185,12.918899554710151,17.729205890532434
-3.29,-1.49,-9.16,-155.5372354443148,12.953497246186648,17.682816604505923
-3.45,-1.41,-8.95,-155.48320588867858,12.88430304585338,17.856791554733764
-3.12,-1.82,-9.13,-155.48320588867858,12.918899554710151,17.798795314151782
-2.97,-1.23,-9.33,-155.591382770185,12.838176201349,17.787196618044018
-3.27,-2.05,-9.11,-155.3754969883622,12.803582439206052,17.949595138790567
-4.03,-0.87,-8.64,-155.5372354443148,12.561458728935325,18.12363390787068
-2.7,-2.09,-9.39,-155.591382770185,12.67674864442774,17.82199325799314
-3.13,-1.63,-9.44,-155.75453926974473,12.653689634339962,17.81039419409229
-3.01,-1.6,-8.95,-155.75453926974473,12.734398426775371,17.891591511712036
-3.5,-0.79,-8.98,-155.91878451766874,12.688278342697654,18.019205613951
-3.05,-1.06,-9.25,-155.97377873337675,12.757459245108164,17.914792407087575
-3.41,-1.04,-9.05,-155.91878451766874,12.838176201349,17.787196618044018
-3.21,-1.76,-8.9,-156.13951067883625,12.549930441445206,17.717608294742977
-3.15,-1.61,-9.24,-155.8639137604186,12.976563032466052,17.787196618044018
-2.9,-1.16,-9.4,-156.13951067883625,12.872771138472864,17.648026557290144
-2.86,-1.45,-9.39,-156.36226771891504,12.768989848771891,17.404541942676424
-3.21,-0.4,-9.38,-156.47442582901172,12.67674864442774,17.54366623938741
-3.13,-1.35,-9.37,-156.47442582901172,12.596044357776794,17.485694626999518
-3.09,-1.48,-9.37,-156.75715530060586,12.307865676783145,17.462507245696994
-3.13,-1.42,-9.07,-156.58711361479934,12.365495103087907,17.566856150665245
-2.93,-1.53,-9.43,-156.70033876277134,12.250239375241623,17.54366623938741
-3.01,-1.53,-9.16,-156.70033876277134,12.215665087929844,17.613238149656624
-3.37,-0.87,-9.03,-156.814109146573,12.07737906844118,17.763999776816537
-2.82,-1.8,-9.2,-156.814109146573,12.07737906844118,17.648026557290144
-3.3,-0.93,-9.06,-156.98580474112185,11.985198208002224,17.717608294742977
-2.85,-1.17,-9.2,-156.98580474112185,12.00824269100582,17.706010881893693
-3.18,-1.22,-9.19,-156.98580474112185,12.00824269100582,17.555261104447528
-2.6,-1.78,-9.35,-157.21671751944734,11.939110700430104,17.219083051744406
-3.31,-1.02,-9.0,-157.1587733939545,11.939110700430104,17.485694626999518
