TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
925788.0,873.896809,1.0,7.79,1.33,-5.57,-34.88,-17.25,20.06,0.75,-4.13,-4.19,-0.1518734177994978,0.19855964985587427,0.14148530764141398,-123.11607559607694,12.665219075015518,-53.14117252914141,-0.1206,-0.8793,0.1103,-0.4473
925820.0,873.900359,1.0,7.77,1.08,-5.84,-34.88,-16.56,17.87,7.19,-2.19,-0.88,-0.2785720946508915,-0.11255014123184864,0.031445140060210264,-123.26060567533968,12.469235993000286,-53.077119755232744,-0.1193,-0.8799,0.1086,-0.4468
925855.0,873.908252,1.0,7.98,0.88,-5.78,-35.19,-17.25,19.19,5.69,-2.5,-4.56,-0.03638275698084234,-0.2508619409598445,-0.08268489075844876,-123.42965193046732,12.330917071488786,-53.000280019764396,-0.11800000000000001,-0.8806,0.1074,-0.4462
925892.0,873.97241,1.0,7.83,0.43,-5.65,-34.5,-17.0,20.06,4.56,-1.12,3.94,0.1148318580093835,-0.6265527462199307,0.16245250613922654,-123.52645816564731,12.319391311580372,-52.94906780042738,-0.1166,-0.8809999999999999,0.1073,-0.4458
925925.0,873.980026,1.0,7.81,0.67,-5.74,-34.5,-17.0,20.06,-1.19,0.88,2.13,-0.04244314141581565,-0.41797746274101055,0.10015251530515634,-123.4780360314948,12.434654560583265,-52.97467248448692,-0.1165,-0.8808,0.1083,-0.446
925962.0,874.0405380000003,1.0,7.89,0.51,-5.74,-34.5,-16.56,20.37,-2.13,3.56,7.44,0.022332303522906854,-0.5310041298611885,0.05076275781184236,-123.30885743015295,12.7228682118641,-53.102738717719355,-0.1157,-0.8801,0.1108,-0.447
925997.0,874.102145,1.0,8.2,0.22,-5.93,-35.19,-17.75,20.87,-27.0,7.63,17.56,0.1061389460226484,-0.8256007020178323,-0.2809868890322811,-122.92389068833596,13.322613734970494,-53.26933184501482,-0.1175,-0.8785,0.11599999999999999,-0.4483
926029.0,874.118606,1.0,7.25,1.08,-4.9,-35.19,-17.75,20.87,-33.19,14.06,9.75,-0.00029719029861136065,0.1271370275006225,0.990600085899228,-121.99534211175566,14.24602144035678,-53.667084063629616,-0.1263,-0.8746,0.124,-0.4514
926066.0,874.125593,1.0,8.01,1.0,-5.04,-34.5,-18.19,18.75,-19.94,65.81,13.0,0.09910352112192043,-0.0054159833556560715,0.29077646368051546,-120.31578829659293,14.661854827129085,-55.12294254171616,-0.131,-0.8674,0.1276,-0.4627
926103.0,874.161252,1.0,9.44,0.89,-5.8,-36.0,-17.06,16.75,-42.75,58.56,6.19,-0.1785653169690576,-0.4662967101698952,-1.2972403905640402,-117.29886813726064,15.309094936163461,-57.71070049009757,-0.1415,-0.8540000000000001,0.1332,-0.4826
926138.0,874.2225289999999,1.0,7.74,1.59,-3.75,-36.0,-17.06,16.75,-22.87,85.69,-7.31,0.0776206190693681,0.5941773322142779,1.0808762040906623,-115.30102772408483,15.401597439742238,-59.39226049534915,-0.1514,-0.8448,0.134,-0.4954
926171.0,874.24233,1.0,7.65,1.92,-3.44,-36.38,-16.25,15.06,-16.44,137.69,-6.31,-0.5298821360006091,0.6334097721446663,1.2415745781196377,-110.32991436609802,14.731179119281881,-64.28137325688984,-0.16399999999999998,-0.8208,0.1282,-0.532
926208.0,874.289718,1.0,9.39,2.12,-3.32,-38.56,-16.25,12.19,-11.75,193.44,-28.87,-0.6787379430172361,0.4048136199846286,-0.3454109108586234,-104.98995994505607,13.357225465957494,-69.65393554150937,-0.1762,-0.7933,0.1163,-0.5711
926244.0,874.307898,1.0,9.4,2.69,-2.06,-39.69,-18.56,5.25,7.63,96.19,-13.44,-0.5453569233275346,0.9735149334025188,-0.12282906491679844,-100.20622564478924,12.134996086138985,-74.3282126664446,-0.1879,-0.7672,0.1057,-0.6041
926277.0,874.3486550000001,1.0,9.36,2.68,-1.99,-39.69,-18.56,5.25,20.56,77.37,-12.56,-0.8930566389832535,0.7718845086522786,-0.060403468228019015,-97.6844263573576,10.741493332748478,-77.18832949283414,-0.188,-0.7529,0.0936,-0.6238
926316.0,874.365031,1.0,9.09,0.59,-1.38,-39.69,-18.87,2.75,49.25,55.44,6.5,0.16392742352408493,-0.9444803396388796,0.643589120149187,-96.57619970569807,9.522053719499675,-78.8103048383864,-0.1815,-0.7465,0.083,-0.6348
926351.0,874.4040769999997,1.0,9.96,1.46,-1.04,-38.88,-19.25,-0.06,10.81,59.31,-10.88,-0.03893070575926296,-0.26754425914208496,-0.3097576860093589,-94.49620014403057,8.602444609340731,-81.0982837378557,-0.1804,-0.7343,0.075,-0.6501
926386.0,874.4624130000003,1.0,10.12,0.56,-1.19,-38.88,-19.25,-0.06,17.5,27.25,-4.25,-0.005563119792528715,-1.2757585150566737,-0.31839366721243145,-93.62199370524858,7.878645873813733,-82.11255362771533,-0.1797,-0.7291,0.0687,-0.6568
926418.0,874.4783800000001,1.0,10.34,1.29,-0.64,-39.38,-19.69,-0.06,-10.25,4.88,2.56,0.2302399841437309,-0.4413490453936776,-0.6212692828594335,-93.32103704825495,7.832701331508732,-82.46253949499254,-0.179,-0.7273,0.0683,-0.6591
926455.0,874.5305480000003,1.0,9.58,1.56,-0.44,-38.5,-20.06,-1.25,-15.75,-2.38,0.12,0.2352387466644184,-0.02057136401542681,0.09336839432983624,-93.30434180891346,7.936078336486531,-82.41683612578922,-0.1801,-0.7272,0.0692,-0.6588
926490.0,874.5336060000003,1.0,9.5,1.93,-0.86,-38.5,-20.06,-1.25,-9.94,-1.5,-7.56,-0.284773068458182,0.1499360094655069,0.07983533678437382,-93.25427154355759,8.073924421552888,-82.29503842028417,-0.1835,-0.7269,0.0704,-0.6579999999999999
926525.0,874.5818939999997,1.0,10.92,2.07,-1.21,-39.25,-19.69,-2.56,-9.5,-20.5,2.75,-0.4177443049655811,-0.02001136945501125,-1.365659038008273,-93.571775871417,8.395611151395807,-81.86963350668476,-0.1851,-0.7288,0.0732,-0.6552
926560.0,874.641821,1.0,8.91,1.67,-0.87,-38.5,-19.69,-1.25,4.69,-64.81,2.31,0.08745807889029224,0.14324931710229682,0.7013915897413145,-95.65040635419015,8.809306149715164,-79.80752374562414,-0.1827,-0.7411,0.0768,-0.6415
926597.0,874.68045,1.0,9.84,1.44,-2.0,-38.5,-19.25,-0.5,-7.19,-94.62,12.94,-0.38747832704125,-0.3952117768941127,-0.3221637606275252,-97.70183943099724,9.53355259965066,-77.77599278422385,-0.1787,-0.753,0.0831,-0.6278
926629.0,874.687757,1.0,9.17,0.89,-1.93,-38.5,-19.25,-0.5,-9.44,-136.19,23.06,0.4589185636687879,-0.4239632659850892,0.4143367119428216,-102.2651416958551,11.248026360967863,-73.02526419838799,-0.1737,-0.7786,0.098,-0.595
926666.0,874.752058,1.0,9.41,1.42,-3.12,-38.5,-19.25,2.38,-24.0,-126.56,6.38,-0.17339836689691454,-0.1961461901581336,-0.2048613583536376,-105.38610597876014,12.423127669242316,-69.55624736247115,-0.174,-0.7954,0.1082,-0.5704
926703.0,874.770648,1.0,8.99,1.35,-3.25,-38.5,-18.87,6.5,-18.56,-115.56,19.25,0.2724301149525291,0.03512417943014212,0.15627963796278088,-109.41237708953594,13.968904250085993,-65.16317122703664,-0.1705,-0.8162,0.1216,-0.5385
926736.0,874.8177189999999,1.0,8.21,1.03,-3.68,-38.5,-18.87,6.5,-26.69,-100.25,15.81,0.15607679948252598,-0.23899325476973945,0.7553560451647083,-111.99230089793316,15.22816347918777,-62.15539687050149,-0.1697,-0.8290000000000001,0.1325,-0.5162
926771.0,874.8355650000003,1.0,8.13,0.97,-4.02,-38.06,-18.87,9.38,-32.56,-46.44,19.06,0.15450342873931222,-0.2939210294181133,0.6913914123913294,-113.44021811063548,16.767216307875252,-60.01323233461206,-0.1724,-0.836,0.1458,-0.5001
926808.0,874.8804970000001,1.0,8.56,1.06,-4.5,-37.38,-18.19,11.75,-24.25,-26.37,7.38,0.036900619722399434,-0.3635993180360326,0.08483772655078248,-113.71219000408917,17.601642377536205,-59.247204266053025,-0.1763,-0.8373,0.153,-0.4943
926842.0,874.9394,1.0,8.25,0.58,-4.53,-37.38,-18.56,12.56,-39.0,-20.87,13.13,0.21104291948659828,-0.8139545367963613,0.4144863036964068,-113.92207363516451,18.820214993044136,-58.26094192949911,-0.1833,-0.8383,0.1635,-0.4868
926877.0,875.0033080000003,1.0,8.18,2.53,-4.33,-37.38,-18.56,12.56,-52.56,-2.81,12.0,-0.558416428341914,0.922987286022896,0.2725813217075075,-113.41933793772672,20.05257586733213,-57.82848630952777,-0.1926,-0.8359,0.1741,-0.4835
926914.0,875.0108869999997,1.0,8.45,1.47,-4.48,-37.69,-18.19,12.56,-32.63,0.88,14.06,-0.03254397624526688,-0.09035062040147744,0.1306705841990734,-112.9614299666055,20.890980569305803,-57.61913540426363,-0.1997,-0.8337,0.1813,-0.4819
926949.0,875.0296369999999,1.0,8.54,2.33,-4.6,-37.69,-17.75,12.25,-22.94,-8.19,5.13,-0.5205806621885158,0.5568271707319118,-0.1401806146274609,-112.54753437473772,21.625511921173292,-57.475328633054886,-0.2048,-0.8317,0.1876,-0.4808
926984.0,875.0324619999999,1.0,7.65,3.04,-4.35,-37.69,-17.75,12.25,-21.87,-3.06,-1.75,-1.0778983535197242,1.1371276966579882,0.6288683649330178,-112.50626800349724,22.057320868979353,-57.03145830719132,-0.2099,-0.8315,0.1913,-0.4774
927019.0,875.0752970000003,1.0,7.93,2.04,-4.5,-37.25,-17.75,11.75,18.94,8.0,1.56,-0.5550781770619568,0.26816187498047195,0.4837493019255792,-112.50626800349724,21.893896745024186,-57.2010626785079,-0.2079,-0.8315,0.1899,-0.4787
927055.0,875.139232,1.0,8.86,1.27,-4.85,-37.38,-18.19,11.38,3.56,6.19,1.94,-0.05745880012192206,-0.4337923522404914,-0.3640688871498288,-112.36201050539013,21.590514086807822,-57.73686934640835,-0.204,-0.8308,0.1873,-0.4828
927090.0,875.1564380000003,1.0,8.59,1.35,-4.62,-37.38,-18.19,11.38,3.81,5.63,-5.88,-0.05679151353243645,-0.3188895463901037,-0.034594036258516425,-112.21802358107666,21.56718332965744,-57.763041497816594,-0.2062,-0.8301,0.1871,-0.483
927123.0,875.200716,1.0,8.38,2.23,-4.45,-37.25,-17.06,11.0,10.94,10.69,-6.56,-0.5259225373552925,0.4667676243951194,0.08526463218753301,-112.01279388618185,21.34558610673021,-58.12979906907962,-0.2058,-0.8291,0.1852,-0.4858
927158.0,875.2950119999997,1.0,8.7,3.01,-4.35,-36.88,-18.19,11.0,38.94,10.81,-6.19,-0.7338728497157252,1.2352243721391094,-0.2734418344489118,-112.05379617607242,20.70457229377833,-58.58916597096109,-0.2012,-0.8293,0.1797,-0.4893
927195.0,875.3061550000001,1.0,8.29,0.48,-4.22,-36.88,-17.37,11.75,65.37,10.38,-10.25,0.3625313643003936,-0.8274539154514211,0.5359007839062624,-112.87847065921488,18.92476206303288,-59.194482438730184,-0.1862,-0.8333,0.1644,-0.4939
927229.0,875.341773,1.0,8.44,-0.06,-4.39,-36.88,-17.37,11.75,38.25,37.0,6.0,0.3019672107834114,-1.3273378902964368,0.390903087057028,-112.2796992436405,17.984399539927896,-60.68925941563211,-0.1752,-0.8304,0.1563,-0.5052
927266.0,875.365561,1.0,8.55,0.15,-4.01,-37.25,-16.69,13.06,7.5,62.0,-6.56,0.3084479864316337,-1.0799786749792024,0.42882477763332894,-110.93403529967293,17.33498950133432,-62.34280299111539,-0.1754,-0.8238,0.1507,-0.5176
927301.0,875.403508,1.0,8.87,0.28,-3.0,-38.06,-17.06,10.19,5.63,89.75,-6.44,0.7277154950115035,-0.7477459437297395,0.4971598871121898,-107.99668693087187,16.570331326030242,-65.44898558136794,-0.1799,-0.809,0.1441,-0.5406
927336.0,875.422589,1.0,10.35,1.33,-3.73,-38.06,-17.06,10.19,-21.44,97.94,-8.5,-0.2932506885416139,-0.4048507265177045,-1.2637790758266425,-105.0276111512958,16.03782888845279,-68.37459501300991,-0.1878,-0.7935,0.1395,-0.5619
927371.0,875.4312859999999,1.0,8.87,1.95,-2.57,-38.5,-17.37,8.06,-14.63,59.69,-14.19,-0.4183320507329349,0.3722870013481353,0.3848295451220345,-102.50284081699965,15.656031584502133,-70.57786992125247,-0.1986,-0.7799,0.1362,-0.5777
927408.0,875.476852,1.0,9.23,1.61,-2.07,-39.56,-17.75,5.25,-5.0,74.25,1.88,-0.06314594851515695,0.14222182180209852,0.21260572542061773,-100.474586173471,15.262847451308847,-72.66923443071872,-0.2011,-0.7687,0.1328,-0.5925
927442.0,875.4932230000003,1.0,9.6,1.54,-2.29,-39.56,-17.75,5.25,-11.25,54.44,-7.31,-0.3835842527606585,-0.21340309905614266,-0.17247933267964655,-98.75223846738031,14.996972698908555,-74.24196019139418,-0.2065,-0.759,0.1305,-0.6035
927475.0,875.583802,1.0,9.64,1.52,-1.69,-41.06,-18.19,2.75,-7.13,37.38,-3.81,-0.08372178286781247,-0.12100100806569515,-0.0966044862343356,-97.1287952916504,14.858287755594215,-75.64249040650832,-0.2127,-0.7497,0.1293,-0.6132
927510.0,875.587779,1.0,9.61,1.62,-1.51,-39.5,-18.87,0.37,-7.5,35.88,1.94,-0.1952476774864199,-0.05568361675630629,-0.05313588404743541,-95.76994903311295,14.7196246947995,-76.93930059020846,-0.2154,-0.7418,0.1281,-0.6221
927547.0,875.590621,1.0,9.44,1.32,-1.14,-39.25,-18.56,0.0,-5.81,24.87,-0.06,0.14144670684209715,-0.18811628184243068,0.2097648233591265,-95.1566161753118,14.61564163128423,-77.49655117938742,-0.2172,-0.7382,0.1272,-0.6259
