acc_x,acc_y,acc_z,eul_x,eul_y,eul_z
-3.14,4.24,-8.38,-146.83107004149562,-1.9710720103882065,18.564721836939235
-3.14,4.2,-8.36,-146.67085725236174,-1.9366895446536667,18.83183055191492
-3.16,4.3,-8.45,-146.5511870394875,-1.9252287616436885,19.017706136871343
-3.24,4.44,-8.22,-146.35265556905202,-1.9252287616436885,19.43611171140661
-3.19,4.61,-8.71,-146.0373496598969,-1.9137679978932431,19.95948754584176
-3.43,4.24,-8.6,-145.6083860120317,-1.9137679978932431,21.0191686635752
-3.79,4.3,-7.72,-145.10802458844395,-1.8908465277120163,21.987276416568136
-4.04,4.32,-7.48,-144.57683474921032,-1.8793858210517669,23.07391806563097
-4.14,4.21,-7.86,-144.27673180622273,-1.9252287616436885,23.740958889771715
-4.34,4.08,-7.18,-143.86802831777294,-1.959611168911186,24.737194611496925
-4.33,4.11,-7.5,-143.68372432172094,-2.0283765158457068,25.18318095723705
-4.31,4.18,-7.81,-143.57357451370328,-2.2117544130994498,25.52379962585345
-4.33,3.84,-8.08,-143.53692935464713,-2.372214704126748,25.79410846671756
-4.5,3.65,-7.12,-143.42720670361226,-2.544141615361497,26.21749449261709
-4.44,3.78,-7.95,-143.53692935464713,-2.750461504037132,26.13514108768563
-4.34,3.55,-8.4,-143.72051272987528,-2.87655022805785,26.01751718039721
-4.38,3.57,-7.93,-143.72051272987528,-2.956790311078442,26.05280141790223
-4.43,3.56,-7.67,-143.75733722307018,-3.014105541619682,26.041039726290627
-4.31,3.6,-8.19,-143.79419791151398,-2.9911793597011727,25.923438140144054
-4.34,3.93,-7.67,-143.72051272987528,-2.922401528803221,26.00575632582789
-4.29,3.94,-7.98,-143.64697188895283,-2.888013009772368,26.00575632582789
-4.27,3.97,-8.11,-143.72051272987528,-2.910938660030132,25.89992116016652
-4.39,3.79,-7.53,-143.83109490597238,-2.956790311078442,25.74708778893412
-4.27,3.81,-8.28,-143.94200484154302,-3.0026424356334624,25.5003013557049
-4.43,3.74,-7.43,-144.05324557319378,-3.0370318442136965,25.35933459116607
-4.26,3.74,-8.03,-144.388983618951,-3.117274866889664,24.77239013171025
-3.96,4.2,-9.02,-144.53918747848587,-3.15166519950434,24.279867169785643
-4.27,3.82,-7.46,-144.53918747848587,-3.048495041051397,24.40881688456287
-3.99,4.02,-8.6,-144.65224571956077,-3.0714215263829594,24.15094866150093
-4.09,3.94,-8.04,-144.690009668053,-3.025568677774776,24.13923033811999
-4.13,4.0,-7.85,-144.65224571956077,-2.9911793597011727,24.15094866150093
-4.15,3.82,-7.78,-144.841458151918,-2.9797163137078666,23.95177191669858
-4.04,4.31,-8.12,-144.7656551188059,-2.922401528803221,23.91663071897709
-4.08,3.89,-7.99,-144.690009668053,-2.865087475133015,24.05720924110893
-4.17,4.1,-7.74,-144.65224571956077,-2.87655022805785,24.06892577380089
-4.09,3.86,-8.25,-144.7656551188059,-2.9338644268256844,23.98691540045918
-4.22,3.83,-7.5,-144.690009668053,-2.9453273542124467,23.98691540045918
-4.08,4.03,-7.95,-144.841458151918,-2.9911793597011727,23.68241421184977
-3.94,4.03,-8.25,-144.9554604078314,-3.025568677774776,23.506817731301982
-4.0,4.29,-7.99,-144.87941908090357,-3.0370318442136965,23.53022735154268
-4.03,3.87,-8.12,-144.9174197897038,-3.094348134689141,23.5419325351228
-4.12,3.99,-7.92,-144.9174197897038,-3.15166519950434,23.518522416981742
-4.08,3.96,-7.76,-144.9554604078314,-3.1860558160551733,23.49511329436541
-4.01,4.03,-8.01,-145.10802458844395,-3.243374149708243,23.28447580744025
-3.88,3.98,-8.31,-145.18454955392758,-3.2892294003721183,23.17918701849416
-3.96,4.06,-7.95,-145.18454955392758,-3.300693295071686,23.155792207151627
-3.99,4.05,-7.95,-145.22287322309495,-3.35801326652208,23.10900551875196
-4.1,3.9,-7.94,-145.37657897397716,-3.495584654482353,22.95697570537593
-3.93,4.02,-8.31,-145.49229376528544,-3.610231319265168,22.851748300506443
-4.1,3.97,-7.43,-145.5696464213463,-3.724881599063971,22.79329707445838
-3.88,4.3,-8.0,-145.76376947074462,-3.851001219583861,22.524498571325392
-3.79,4.08,-8.43,-146.07660730478975,-4.103254614165427,22.185757394813148
-3.88,4.27,-7.88,-146.19464572787078,-4.355527902560735,22.068995754971112
-3.84,4.18,-7.98,-146.35265556905202,-4.6078223124450055,21.893896745024183
-3.84,4.02,-8.23,-146.5511870394875,-5.020716482682318,21.660511797125544
-3.95,4.03,-7.74,-146.63092085313292,-5.364844561963229,21.590514086807826
-3.8,3.83,-8.22,-146.9114591288739,-5.777862453568277,21.28728450329616
-3.72,3.76,-8.27,-147.23493252348757,-6.328670789467022,20.890980569305803
-3.73,3.5,-8.44,-147.43869005154224,-6.902585349926143,20.599742008899195
-3.65,3.41,-8.28,-147.6025936178383,-7.304427851725569,20.39013361769746
-3.51,3.22,-8.85,-147.97436096195162,-7.855673444559318,19.85477908376032
-3.44,3.49,-8.82,-148.0992206918234,-8.177316654862214,19.6570420373131
-3.51,3.35,-8.12,-148.1827256280383,-8.579461739762628,19.505871262305693
-3.54,3.57,-7.57,-148.35037934063973,-8.901253805563371,19.13390399645449
-3.16,3.33,-9.54,-148.85861645005238,-9.418568108565768,18.228077382152183
-3.26,3.45,-8.64,-148.94411093259438,-9.683046840720888,18.03080801097451
-3.26,3.66,-8.43,-148.98694437514695,-10.074110549810433,17.740803669389525
-3.33,3.71,-8.43,-149.0298356031949,-10.419264327291232,17.54366623938741
-3.26,3.46,-8.63,-149.0298356031949,-10.902639624835572,17.253853117357277
-3.34,3.42,-8.28,-149.0298356031949,-11.294085603048902,17.09160645080068
-3.21,3.44,-8.61,-149.11579237958978,-11.674144907935558,16.871469682269606
-3.17,3.51,-8.73,-149.11579237958978,-12.204140573704526,16.581911426258042
-3.19,3.52,-8.43,-148.98694437514695,-12.596044357776794,16.442961442690333
-3.2,3.31,-8.5,-148.85861645005238,-13.114968872872083,16.223006993376618
-3.2,3.46,-8.66,-148.7733502639536,-13.507223821905177,16.003112701402525
-3.16,3.52,-8.7,-148.73080219796103,-14.003539375629764,15.656031584502133
-3.06,3.39,-8.7,-148.8159549371668,-14.39616145402999,15.343782195666376
-3.0,3.4,-8.83,-148.90133503664836,-14.916070477056891,14.916070477056891
-3.01,3.08,-8.33,-149.0298356031949,-15.29753283007483,14.523222401516824
-2.82,2.97,-8.88,-149.4184972482763,-15.817984589415364,13.564921674838883
-2.86,2.65,-7.96,-149.72415559222358,-16.10726571114575,12.838176201349
-2.43,3.26,-8.29,-150.43438697810743,-16.442961442690333,11.178940913568928
-2.05,2.74,-8.23,-151.48561418277666,-16.871469682269606,8.705871826379285
-1.4,2.72,-9.91,-152.19213918576153,-17.219083051744406,6.225383461526625
-0.82,3.11,-9.71,-152.81901206638815,-17.474100846214462,3.851001219583861
-0.63,3.22,-10.75,-153.3110465719337,-17.508882729880764,2.681687249969397
-0.98,3.54,-8.61,-153.61058909469406,-17.54366623938741,1.7762402933693409
-0.71,3.76,-9.2,-153.81215335885898,-17.62483410357088,0.9625804159917916
-0.51,3.5,-9.86,-154.0662728728033,-17.845191938186247,-0.011459155921715
-0.67,3.35,-8.62,-154.16860854190614,-18.06561632088332,-0.6187974261216272
-0.73,2.84,-7.22,-154.16860854190614,-18.52988910265012,-2.1773706400327653
0.13,2.63,-7.66,-153.91350924378722,-18.99446893703411,-4.825730880475589
1.37,2.87,-12.52,-153.06392657993817,-19.494244164289388,-8.636919564056372
1.3,2.24,-8.47,-153.11317220133924,-19.645412292934687,-9.499056247386587
1.87,2.63,-10.03,-152.52794284369597,-19.85477908376032,-11.37469368630907
2.25,1.96,-10.22,-152.19213918576153,-19.8664125287693,-12.688278342697654
2.52,2.15,-10.6,-151.8602645048557,-19.57563811342796,-13.968904250085991
2.26,2.55,-9.15,-151.71920090048613,-19.215254308568724,-14.500119080393963
1.95,2.63,-7.98,-151.48561418277666,-18.541499822002773,-15.459416628401115
2.3,2.52,-7.28,-150.65977940351803,-18.08882279446736,-17.253853117357277
3.14,2.77,-9.37,-148.56117141184754,-17.439320584956548,-21.0191686635752
3.83,3.45,-10.21,-147.03240000479886,-16.813549410004512,-23.41318918903326
3.52,3.13,-7.82,-145.9981360073074,-15.771709071970363,-25.13621688663897
3.43,3.12,-7.03,-144.9554604078314,-14.996972698908555,-26.58236880563043
4.08,3.19,-8.01,-142.77543036661098,-13.8765501759761,-29.440524955343967
4.93,3.68,-9.33,-140.67807487589178,-12.423127669242316,-32.19825231317595
5.23,3.8,-8.5,-139.70199765652578,-11.132886214620822,-33.380796277367786
5.46,4.23,-7.87,-139.07460705159409,-9.867062460142211,-34.111251783016854
5.62,4.2,-8.44,-138.4239905330992,-8.211782210366408,-34.795101425948374
5.41,3.98,-7.55,-138.26285199839916,-6.684478178549483,-34.78309311529889
5.37,4.21,-7.58,-138.1664535645985,-5.479564528582773,-34.60301565627788
5.33,3.73,-7.9,-138.3272359651665,-4.103254614165427,-34.18317656247093
5.1,3.74,-7.81,-138.48861330559183,-2.807774138332147,-33.632105380362496
5.1,4.38,-7.37,-138.68306126823978,-0.93966131468631,-32.651734221557824
5.04,4.63,-7.54,-138.9763854221543,0.2750200056824314,-31.79294414962257
5.04,4.21,-8.11,-139.5028685781741,1.5699534720315549,-30.52004779633356
5.15,4.22,-9.27,-140.1367137765361,2.532679647359437,-29.06155185997118
