TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
3485089.0,409.321948,1.0,-2.8,0.53,-9.68,19.87,-14.38,36.19,3.31,1.37,-2.94,0.4534431490942372,-0.003992536305946814,-0.2739091794400608,-147.68484875398153,-26.22926038886817,17.49728858817925,-0.0529,-0.9605,-0.2269,0.1521
3485124.0,409.32853,1.0,-3.15,-0.1,-9.03,19.19,-14.0,37.0,8.31,-0.06,-6.69,-0.2780221599084413,-0.2779491054179826,0.2505604245828046,-147.52054122823532,-26.39401255557817,17.601642377536205,-0.0513,-0.9601,-0.2283,0.153
3485159.0,409.367639,1.0,-3.07,-0.25,-9.01,18.75,-14.75,35.38,-3.56,4.88,0.75,-0.29492942614031764,-0.4144174416254599,0.29829710280097466,-147.56154217602332,-26.452866060028953,17.49728858817925,-0.0501,-0.9602,-0.2288,0.1521
3485194.0,409.376504,1.0,-2.86,0.37,-9.48,19.19,-14.38,36.56,2.44,3.88,-0.44,0.2674160686027312,-0.027643184201092408,-0.09863265627085838,-147.6436957459843,-26.452866060028953,17.358172932119437,-0.0503,-0.9604,-0.2288,0.1509
3485229.0,409.437713,1.0,-3.08,0.01,-8.75,19.19,-14.38,36.56,1.44,5.0,-0.19,-0.3078081206630684,-0.1041541680484897,0.5360833468696741,-147.8086150107539,-26.452866060028953,17.137959104392678,-0.0491,-0.9608,-0.2288,0.149
3485263.0,409.45428599999997,1.0,-2.45,-0.38,-8.77,17.69,-14.0,36.19,-30.12,118.06,22.31,-0.3058730374208227,-0.6407158107684909,0.7206318988288274,-149.33171261025748,-26.076325639174165,14.788953503219902,-0.0489,-0.9644,-0.2256,0.1287
3485302.0,409.544744,1.0,-1.81,0.86,-10.34,18.06,-14.38,36.56,-37.81,90.94,21.12,0.3253943481579801,0.0031691448870764805,-0.7207147450208335,-151.67233263341282,-25.476804175852642,10.338720083250598,-0.0555,-0.9696,-0.2205,0.0901
3485337.0,409.549099,1.0,-0.73,0.1,-9.0,18.06,-14.38,36.56,-41.81,168.69,33.63,0.06271181278419727,-0.7997958556258259,0.8122465279591164,-153.41052586239525,-25.03056340197877,5.881128455236522,-0.0567,-0.9732,-0.2167,0.0513
3485372.0,409.561156,1.0,-0.51,0.39,-9.59,14.69,-16.25,37.0,-80.19,177.75,51.69,-0.8028346790125653,-0.652981777736355,0.25105628343172803,-154.89643727544532,-23.776088713509264,-1.3865917007687605,-0.0673,-0.9761,-0.20600000000000002,-0.0121
3485407.0,409.60657799999996,1.0,1.48,3.02,-10.74,9.0,-17.75,38.69,-41.56,168.31,28.06,0.679860082385343,0.9619771918337476,-1.3857934396949592,-154.3228637180319,-22.82836708787642,-8.200293609338797,-0.07200000000000001,-0.975,-0.1979,-0.0715
3485444.0,409.62804700000004,1.0,1.64,1.07,-8.9,1.06,-20.0,37.38,-11.25,91.19,20.62,-0.0079652168041838,-0.4984688244356674,0.7074211652916969,-154.11739099299157,-22.033971792326973,-10.937173775974523,-0.0676,-0.9746,-0.1911,-0.0953
3485478.0,409.66736000000003,1.0,2.96,-0.92,-9.49,1.06,-20.0,37.38,-19.25,175.13,63.75,-0.6123952567389543,-2.6103547314748403,0.1900435182211755,-152.23986727877062,-20.331921330362565,-17.126370676427072,-0.0642,-0.9708,-0.1765,-0.1489
3485513.0,409.729146,1.0,4.3,2.23,-11.5,-1.88,-19.56,37.75,-69.37,43.69,35.44,0.2273934017361143,-0.5028356600041501,-2.6596384829397017,-150.61456567249238,-18.88991127772655,-20.29699650405997,-0.0793,-0.9673,-0.1641,-0.1762
3485552.0,409.746095,1.0,2.65,3.54,-8.23,-7.88,-21.5,36.56,-63.63,-69.87,29.0,0.3615716553213424,1.2358200256484912,0.5530553037603614,-151.7661453802759,-16.69772182857332,-19.180388694494322,-0.1028,-0.9698,-0.1452,-0.1666
3485585.0,409.797545,1.0,2.31,2.62,-9.25,-7.88,-21.5,36.56,-23.12,-120.62,40.75,-0.1592436985294171,0.09753257704602958,-0.07910383270762011,-153.81215335885898,-15.22816347918777,-16.616652750638245,-0.1135,-0.9740000000000001,-0.1325,-0.1445
3485620.0,409.85222999999996,1.0,2.16,3.8,-9.98,-6.69,-23.37,35.0,-53.69,-194.0,30.31,0.6967469198010676,0.5930852736940571,-1.0500895468379436,-157.1587733939545,-12.780520582262024,-10.591876570929834,-0.1356,-0.9802,-0.1113,-0.0923
3485655.0,409.86827,1.0,0.53,4.75,-8.82,-4.06,-24.5,34.19,-22.31,-219.25,11.94,0.4219569500717237,1.8143594651549289,-0.05062406859974189,-158.840311807755,-11.271055753655435,-4.6078223124450055,-0.1495,-0.983,-0.0982,-0.0402
3485693.0,409.91236000000004,1.0,-0.61,3.41,-8.78,0.25,-25.25,34.56,59.94,-129.69,-27.69,0.102151733606955,0.7618089067101781,0.3993224191735454,-159.8633643903993,-10.833574298853826,1.9366895446536667,-0.146,-0.9846,-0.0944,0.0169
3485726.0,409.928848,1.0,-1.14,1.18,-8.61,0.25,-25.25,34.56,61.69,-80.12,-27.62,-0.2338068366473781,-0.9437801307091712,1.0958111524483165,-160.39468315225946,-11.397725602729444,5.754915093896803,-0.1287,-0.9854,-0.0993,0.0502
3485763.0,409.968929,1.0,-2.05,2.28,-8.55,5.88,-24.5,35.38,10.06,-32.25,-19.56,-0.6570775741573732,0.30638367503276553,0.752491943879436,-159.8633643903993,-11.881504040605064,7.189606746883267,-0.1263,-0.9846,-0.1035,0.0627
3485800.0,409.97614500000003,1.0,-1.47,1.52,-9.39,8.06,-22.56,35.38,31.69,-0.31,-18.19,-0.08773796939738499,-0.5666984849298521,0.19860363895946345,-160.06096636558732,-12.492290914481535,7.5915129998336095,-0.1171,-0.9849,-0.1088,0.0662
