TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
853671.0,425.771104,1.0,-8.59,-3.57,-4.05,41.25,-8.19,8.69,4.5,-0.69,-3.13,0.40592298802680027,-0.8033186899468912,-0.29906153408671976,-105.00878353257923,-24.479166312304468,69.45861698196556,0.0325,-0.7934,-0.212,0.5697
853706.0,425.81233899999995,1.0,-8.76,-2.93,-3.53,41.25,-8.19,8.69,-7.81,-11.88,2.63,0.10234148576008906,-0.08999078575663061,-0.08095981626860826,-104.78316565832016,-24.54952511022461,69.65393554150937,0.0305,-0.7922,-0.2126,0.5711
853739.0,425.8283,1.0,-8.83,-2.84,-3.2,40.19,-7.38,8.69,-5.38,-15.75,8.19,-0.1252535046078318,0.0062200339043831385,-0.004505531881129343,-104.37102298797173,-24.479166312304468,70.15725143860956,0.0269,-0.79,-0.212,0.5747
853776.0,425.901249,1.0,-8.87,-2.69,-3.19,41.0,-7.06,8.69,-3.5,-4.31,3.31,-0.07604803036088281,0.1150565414983742,0.005115493131361504,-104.20296893682892,-24.44399042905254,70.35340463071275,0.0246,-0.7891,-0.2117,0.5761
853811.0,425.93958200000003,1.0,-8.86,-2.99,-3.18,41.0,-7.06,8.69,-2.69,-3.75,4.0,-0.16206210267011745,-0.19239367641876468,-0.06699271928816407,-104.10974226118626,-24.40881688456287,70.479628139678,0.0229,-0.7886,-0.2114,0.5770000000000001
853846.0,425.95464100000004,1.0,-8.92,-2.58,-3.29,40.19,-8.19,7.5,-3.38,-3.0,3.25,0.05505402380949853,0.14884450201419305,-0.04331012015696345,-104.03523089910144,-24.420541139763646,70.54979476235701,0.021,-0.7882,-0.2115,0.5775
853880.0,425.957658,1.0,-8.87,-2.51,-3.23,39.75,-7.75,7.5,0.19,-2.06,0.19,0.043273069279766034,0.19806116329396373,0.04095498033704992,-103.97938807566652,-24.40881688456287,70.61999179043644,0.0206,-0.7879,-0.2114,0.578
853915.0,425.960358,1.0,-8.79,-2.88,-3.36,41.0,-7.75,7.5,4.44,0.25,-2.13,0.07786248241944449,-0.17714281008522828,-0.032590715556590766,-103.9421788631584,-24.420541139763646,70.64807912994407,0.0217,-0.7877,-0.2115,0.5782
853950.0,425.962936,1.0,-8.83,-2.72,-3.39,41.0,-7.75,7.5,-0.56,-1.12,-0.31,0.15078708938267305,-0.02055217779401972,-0.03389067933583867,-103.90498509276027,-24.44399042905254,70.67617134909206,0.0218,-0.7875,-0.2117,0.5784
853985.0,425.965362,1.0,-8.79,-2.92,-3.42,39.75,-8.19,7.75,-2.44,-3.38,1.5,0.13415779082635382,-0.2298164411236976,-0.06330876843210476,-103.84922334055193,-24.45571546342066,70.73237044324748,0.0214,-0.7872,-0.2118,0.5788
854020.0,425.96797699999996,1.0,-8.9,-2.75,-3.02,40.56,-7.75,9.19,-3.31,-4.88,3.38,-0.1909863537617822,0.01653796468787061,0.016034559262847026,-103.75636397061544,-24.33847679675364,70.87295386927123,0.0203,-0.7867,-0.2108,0.5798
854054.0,425.97555,1.0,-8.94,-2.64,-3.11,40.56,-7.75,9.19,-1.06,0.44,1.75,-0.08340908965907977,0.09671276260103444,-0.01928453903049032,-103.75636397061544,-24.303310245881057,70.9010852783508,0.0196,-0.7867,-0.2105,0.58
854087.0,426.009827,1.0,-8.91,-2.67,-3.19,41.0,-8.19,8.25,-0.37,1.25,-0.56,-0.02598605027516588,0.045941700421699566,-0.02647331283166033,-103.84922334055193,-24.291588578811197,70.81670578777461,0.0198,-0.7872,-0.2104,0.5794
854124.0,426.025426,1.0,-8.89,-2.73,-3.17,40.19,-8.19,6.56,0.88,0.63,0.06,-0.0616129268132628,-0.006098848868433676,-0.01832158526639205,-103.83064378585505,-24.38536915234885,70.78858910682754,0.0195,-0.7871,-0.2112,0.5792
854159.0,426.034824,1.0,-8.86,-2.86,-3.29,40.19,-8.19,6.56,4.75,2.94,0.5,0.011983358479915829,-0.15409912452931454,-0.06651615169312564,-103.88639399112431,-24.350199497398,70.76047732673608,0.0201,-0.7874,-0.2109,0.579
854192.0,426.088129,1.0,-8.89,-3.01,-3.42,40.56,-8.56,8.25,-1.0,4.38,2.81,0.060663569874572325,-0.30804568264389603,-0.17783936043774418,-104.01661275346248,-24.232984111333426,70.64807912994407,0.0206,-0.7881,-0.2099,0.5782
