acc_x,acc_y,acc_z,eul_x,eul_y,eul_z
-3.79,6.2,-6.58,-132.24132459051677,0.985499555804114,24.51434453810049
-3.76,6.26,-6.63,-132.269639855159,0.9969591404369118,24.467440757791284
-3.71,6.26,-6.8,-132.29797094336487,0.985499555804114,24.40881688456287
-3.76,6.34,-6.45,-132.24132459051677,0.985499555804114,24.43226565454688
-3.82,6.1,-6.54,-132.29797094336487,1.0084187350403075,24.38536915234885
-3.66,6.41,-6.78,-132.32631788342704,1.0198783397289315,24.25642512530879
-3.73,6.24,-6.68,-132.32631788342704,0.9969591404369118,24.279867169785643
-3.79,6.21,-6.55,-132.32631788342704,0.9969591404369118,24.279867169785643
-3.73,6.24,-6.67,-132.32631788342704,0.9969591404369118,24.25642512530879
-3.72,6.3,-6.7,-132.29797094336487,1.0084187350403075,24.25642512530879
-3.7,6.3,-6.6,-132.269639855159,0.9969591404369118,24.26814601866472
-3.79,6.22,-6.45,-132.24132459051677,0.9969591404369118,24.361922456785425
-3.72,6.2,-6.73,-132.24132459051677,1.0198783397289315,24.33847679675364
-3.65,6.31,-6.78,-132.15647345628565,1.0542572154525014,24.33847679675364
-3.69,5.82,-6.84,-132.07176372350168,1.1688541705956874,24.43226565454688
-3.68,6.3,-6.7,-131.53850453910292,1.4438918508267422,24.51434453810049
-3.72,5.95,-7.04,-131.14907903681728,1.638715147453804,24.58470803246293
-3.73,6.05,-6.91,-130.40615307468192,2.085681528609333,24.842788298368426
-3.92,6.13,-6.59,-129.72743673627951,2.589989743099661,25.21840683143225
-3.6,6.58,-7.28,-128.44773606463812,3.495584654482353,25.970475433904987
-3.85,6.84,-6.04,-126.81171301116376,4.240855681461491,27.48986718541275
-4.3,6.13,-5.8,-124.62622879876837,5.548399139371833,29.89098396291072
-4.19,7.9,-5.76,-122.20841159701892,6.902585349926143,32.34140081327868
-4.37,8.51,-4.48,-117.85169099664296,8.487533709607298,37.616257937648726
-5.46,8.68,-1.1,-114.238012277231,9.326587364176332,42.58140028916194
-6.14,8.64,-1.59,-111.9308545002648,9.45306245260688,47.4440830843744
-6.28,10.42,-1.55,-112.50626800349724,7.453706284964303,50.69408334093136
-6.71,2.61,-0.81,-115.21541543771308,5.341901218009245,52.84667753179352
-8.11,2.14,-1.89,-118.38659680691794,2.509755787270372,53.85979546306142
-7.45,3.3,-4.71,-121.196776153626,0.3093975852894872,52.258810985064926
-7.08,1.83,-4.53,-124.52765968867384,-2.1200647857418087,50.20007304637223
-7.23,3.07,-4.74,-126.20062569892964,-3.564372225995784,48.78685991006569
-7.05,3.66,-5.15,-128.97730409708814,-5.273072468222583,45.87166763185487
-6.31,2.6,-6.96,-132.49673400768697,-6.764830589593756,42.8397831220635
-6.2,1.55,-5.8,-134.7075870499225,-7.798243752767076,40.91347187505044
-5.74,0.78,-6.22,-138.585728177911,-9.108157120464725,37.07194645139856
-4.49,2.18,-8.58,-142.20517991761645,-9.91307033213892,32.890619725136126
-3.93,1.46,-8.71,-146.47163743677677,-10.994732910342313,27.90294467602473
-3.32,-0.09,-6.66,-149.94434113378782,-11.351662230904264,23.858067126010045
-1.59,1.58,-12.17,-155.75453926974473,-10.706964767003903,16.524012627926176
-1.07,-0.85,-11.02,-158.9028148870971,-9.660046657878476,12.653689634339962
0.01,-0.09,-10.67,-161.9354035928644,-6.638563994932457,8.211782210366408
1.23,1.78,-13.6,-163.06535294380294,-2.807774138332147,4.860139072417077
1.39,2.33,-13.9,-160.80272323312002,2.8994758203914888,3.025568677774776
1.43,2.75,-11.64,-155.591382770185,9.683046840720888,6.190955481383822
0.34,6.12,-8.16,-150.84131999821054,14.442363367873067,9.441564242690683
-0.02,3.17,-11.19,-145.7248595525418,19.61052428537218,13.253393932396618
-0.24,2.49,-9.97,-140.1031128223946,24.22126399043484,17.33498950133432
-1.15,5.7,-4.39,-129.80842917390058,31.757201337874307,24.127512270969643
-2.26,6.79,-4.4,-123.6476805433651,36.673335709404434,27.631452438914533
-2.18,3.61,-7.36,-117.98502779819528,43.061436120560906,29.58272456301425
-1.49,5.85,-6.36,-109.57120014176904,50.06091747705543,32.25789123557385
-1.47,7.91,-1.92,-103.97938807566652,55.09709191896828,33.428651899003285
-1.04,7.94,-3.21,-99.60070506032106,60.675981620918215,31.47137263789784
0.19,9.05,-5.38,-97.31944790610486,63.79482577106735,29.345750980318734
0.67,6.87,-4.02,-95.76994903311297,67.39388076848982,24.97187636961762
2.14,6.97,-3.13,-95.49691057600177,69.44467449288967,18.75052573300884
3.97,4.55,-6.76,-95.65040635419015,71.08405950295473,6.443440527613203
6.09,6.48,-5.9,-94.22644947426409,71.60598002322817,-5.594289991509483
7.6,5.76,-6.0,-93.839875903567,70.53575900749587,-14.118999098561428
8.59,3.7,-6.98,-94.0413918640216,67.35256585531921,-23.92834419777812
9.36,4.06,-7.04,-94.52996725950868,64.55223852912117,-29.487919662093987
9.12,4.2,-5.89,-97.1461124881882,60.02646555170329,-34.80711013090355
8.81,3.96,-3.62,-100.67186484879734,55.71835189030318,-37.446822845384496
9.53,3.35,-5.17,-106.45140340836085,48.0581282417445,-40.607862210384674
9.18,1.24,-5.4,-113.79607269247896,38.74398218156732,-42.33553232385557
8.92,-0.57,-6.33,-118.9708445669936,31.59044340777591,-43.01216531236248
6.85,-1.06,-5.99,-123.96398525409832,24.24470448957822,-42.99984891491943
6.73,-2.13,-8.87,-125.47069041747116,20.856024774540764,-43.7274156925049
6.54,-1.43,-8.6,-126.658333240647,19.54075377357945,-43.62865462912293
6.8,0.58,-7.36,-127.22274573469288,20.262073582983945,-42.97521768410124
7.09,1.59,-7.11,-127.50706277493772,21.415555412105128,-42.42156281061413
7.17,1.74,-6.95,-127.6108060653337,21.777192841624235,-42.22495842729175
7.12,1.28,-7.17,-127.76677999527551,21.85888316581779,-42.065313242449655
6.99,1.3,-7.12,-127.87100362286014,22.11569761985897,-41.83213929656368
6.89,1.88,-6.89,-127.9231881746902,22.86343926833653,-41.30509675325747
6.76,2.45,-6.6,-127.87100362286014,23.82293200606416,-40.66895994437228
6.63,2.46,-6.54,-127.89708982203928,24.26814601866472,-40.26593689865936
6.6,2.06,-6.99,-128.0015563372832,24.479166312304468,-39.88781236546699
6.52,2.3,-6.78,-128.0800345447506,24.70200146162693,-39.61974059674283
6.43,2.2,-6.79,-128.2635811405088,24.713732248446583,-39.266717795122325
6.44,2.14,-7.11,-128.31613447366578,24.76065802803315,-39.04779541564693
6.43,2.21,-7.01,-128.47409395200597,24.8662564695287,-38.68325358261289
6.34,2.09,-6.87,-128.55324310023371,24.842788298368426,-38.51327351873995
6.33,2.29,-7.0,-128.60607229870925,24.831054609816945,-38.31911836146923
6.28,2.01,-6.99,-128.6854111372357,24.80758802606676,-38.22208366616019
6.44,2.05,-7.13,-128.63250588646886,24.96013976228266,-38.13720165916782
6.53,2.28,-6.93,-128.60607229870925,25.112736460930662,-38.0038595239246
6.52,2.29,-7.05,-128.5268474503853,25.21840683143225,-37.9069169867096
6.5,2.4,-6.92,-128.50046440745706,25.265378432632108,-37.822115366775535
6.44,2.16,-7.09,-128.55324310023371,25.25363512809168,-37.72522554558885
6.29,2.35,-6.9,-128.5268474503853,25.47680417585264,-37.483123203499495
6.28,2.14,-6.99,-128.57965137649458,25.46505599443148,-37.42262477199783
