TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
4016164.0,941.3143060000001,1.0,2.99,1.62,-9.54,-3.38,-18.37,37.69,-1.63,6.63,0.19,0.14722257873232575,-0.10638172891237063,-0.31970711596549783,-145.2612378633091,-28.95502437185985,-18.088822794467358,-0.0439,-0.9544,-0.25,-0.1572
4016201.0,941.352403,1.0,2.57,1.61,-9.18,-4.5,-19.5,37.69,-1.56,-0.81,0.06,-0.0959090834087414,0.09485094196283904,0.13963366885995046,-145.22287322309495,-28.95502437185985,-18.13523798699121,-0.0439,-0.9543,-0.25,-0.1576
4016236.0,941.4239859999999,1.0,2.71,1.58,-9.32,-4.5,-19.5,37.69,-0.44,5.56,-0.25,-0.05584618786826999,-0.000325931934323731,-0.026954684807549256,-145.18454955392758,-28.943189564308163,-18.228077382152183,-0.0441,-0.9542,-0.2499,-0.1584
4016269.0,941.432258,1.0,2.76,1.57,-9.39,-3.38,-19.5,37.25,-2.56,2.81,1.12,-0.07053010387141702,-0.024465856959567708,-0.1054147156024552,-145.10802458844395,-28.93135507220408,-18.402183827223173,-0.044000000000000004,-0.9540000000000001,-0.2498,-0.1599
4016304.0,941.450826,1.0,2.78,1.64,-9.25,-4.88,-19.87,36.5,-3.19,1.19,0.37,0.0074175181616127905,0.02067363758766816,0.00971080547943437,-145.06982302382067,-28.88402025523559,-18.483448143006754,-0.0446,-0.9539,-0.2494,-0.1606
4016340.0,941.502834,1.0,2.59,1.62,-8.58,-3.75,-19.06,37.69,-10.5,73.75,-1.25,-0.1407013113365701,0.15673929985056326,0.7014571995772325,-144.27673180622273,-28.978694933911964,-19.81987998842397,-0.0441,-0.9518,-0.2502,-0.1721
4016373.0,941.520255,1.0,4.03,2.15,-10.22,-3.75,-19.06,37.69,-0.12,28.25,-3.38,0.4054446844884597,0.026052057316551025,-1.3802501916585328,-143.20870960086745,-29.09706672256259,-21.462206102543455,-0.0421,-0.9489,-0.2512,-0.1862
4016410.0,941.563317,1.0,3.39,1.75,-9.54,-6.38,-20.19,37.69,8.0,-12.13,-2.94,0.024423046203021104,-0.018554268567653742,-0.4678455717510577,-143.5003197378201,-29.014203146635065,-21.112413070583106,-0.0416,-0.9497,-0.2505,-0.1832
4016447.0,941.620851,1.0,3.47,1.58,-9.8,-6.38,-19.87,36.06,13.88,-39.38,-4.31,0.07678488461550198,-0.2254438410637289,-0.7062268258750706,-143.97904817901198,-29.073389830335397,-20.227152563579647,-0.0407,-0.951,-0.251,-0.1756
4016480.0,941.63906,1.0,3.51,1.77,-10.1,-6.38,-19.87,36.06,8.25,-108.62,-3.56,0.6156681358883297,-0.29659968491752275,-1.0098180637146346,-145.53094905314887,-29.168105022171197,-17.242262917799223,-0.0447,-0.9551,-0.2518,-0.1499
