TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
2133927.0,1078.597905,1.0,-7.24,-1.59,-6.22,30.75,-14.56,28.06,1.06,-0.56,-1.25,0.04117144209726353,0.2168469098501492,0.1326961893781995,-129.45833846115224,-2.4295230620087382,49.17721568249704,0.0932,-0.9043,-0.0212,0.4161
2133964.0,1078.644312,1.0,-7.18,-1.98,-6.53,30.06,-14.56,28.06,10.75,8.69,-5.5,0.2890983578109099,-0.07688096412633727,-0.09406772433019306,-129.64656611878056,-2.383676327772471,48.91271498969397,0.0961,-0.905,-0.0208,0.414
2133999.0,1078.651372,1.0,-6.8,-2.4,-7.36,30.37,-14.25,27.56,6.88,-3.94,4.75,1.2042217232121035,-0.3822638966205056,-0.4194599326520319,-129.51205087236005,-2.18883187578443,49.000850954751044,0.0977,-0.9045,-0.0191,0.4147
2134034.0,1078.703253,1.0,-7.63,-1.37,-5.08,30.37,-14.25,27.56,-3.88,-7.0,3.44,-1.0448380264810573,0.3231285843580143,0.60316688672218,-129.19057220176188,-2.1086036789736795,49.39154002007115,0.0959,-0.9033,-0.0184,0.4178
2134069.0,1078.742626,1.0,-7.68,-1.49,-5.46,30.06,-13.88,27.56,-3.0,22.06,-1.25,-0.8903826002197515,0.2551253635819927,0.31158655239296706,-129.83545382657294,-2.0971425933011094,48.74911561441486,0.0952,-0.9057,-0.0183,0.4127
2134104.0,1078.782462,1.0,-6.91,-1.64,-7.11,30.75,-14.56,28.5,1.75,22.81,0.12,0.7311468886355654,0.2852710111152553,-0.2120247964716313,-130.57034285366944,-1.9710720103882065,47.982860599138895,0.0959,-0.9084,-0.0172,0.4066
2134140.0,1078.796405,1.0,-6.86,-1.29,-7.03,30.75,-14.56,28.5,-4.75,-3.0,0.88,0.6686522143724978,0.5957325689600868,-0.05958570175044287,-130.70755912152916,-1.9825328715837247,47.8700003617391,0.0951,-0.9089,-0.0173,0.4057
2134173.0,1078.870376,1.0,-7.28,-1.55,-5.95,30.06,-15.0,27.69,0.31,7.38,-5.19,-0.4160132126460101,0.2280377475941017,0.2893850676480483,-130.76254599505174,-2.0971425933011094,47.78225428161778,0.0954,-0.9091,-0.0183,0.405
2134210.0,1078.877587,1.0,-7.27,-1.85,-5.95,30.06,-15.0,28.06,1.0,28.19,-2.13,-0.5516882110037464,-0.059634822399049735,0.2478852364023023,-131.67829939723129,-2.0971425933011094,46.84396830154976,0.0961,-0.9124,-0.0183,0.3975
2134245.0,1078.950073,1.0,-6.28,-1.38,-8.94,28.87,-15.0,28.87,-6.56,14.56,1.69,2.1382141087950304,0.7359384643496745,-0.9707724655824136,-132.46829135766265,-1.9710720103882065,46.070826818198796,0.0946,-0.9152,-0.0172,0.3913
2134280.0,1078.979261,1.0,-7.0,-1.39,-6.33,28.87,-15.0,28.87,1.06,-26.69,-0.81,-0.11701915916107185,0.3944621779311028,0.2760830647872208,-131.76235907719015,-2.0398374773549266,46.80650649596007,0.0947,-0.9127,-0.0178,0.3972
2134315.0,1079.008345,1.0,-7.34,-1.69,-5.88,29.25,-15.0,30.56,6.19,-4.31,-4.44,-0.6205308779518037,0.09208791353522468,0.2718421232942987,-131.45480922787246,-2.016915574628728,47.05635227559625,0.0963,-0.9116,-0.0176,0.3992
2134351.0,1079.023891,1.0,-7.24,-1.91,-5.67,29.25,-14.25,28.56,1.75,17.56,-4.56,-0.7821133445037982,-0.13598064134347013,0.44799582423685536,-131.93089302515688,-2.0627594617091103,46.519474929129665,0.0982,-0.9133,-0.018000000000000002,0.3949
2134386.0,1079.067057,1.0,-6.2,-1.63,-8.25,29.25,-14.25,28.56,1.5,1.06,-3.06,1.7207170809590426,0.4639152997564488,-0.4881698295039492,-132.29797094336487,-2.1200647857418087,46.13309422581874,0.0988,-0.9146,-0.0185,0.3918
2134419.0,1079.122773,1.0,-6.77,-1.81,-6.51,28.87,-13.88,29.0,4.94,-20.56,-2.88,0.20598633725371407,0.10338563414625644,0.2444336753440375,-131.48269259246572,-2.142987063023817,46.868945786012894,0.1009,-0.9117,-0.0187,0.3977
2134456.0,1079.154865,1.0,-7.08,-1.91,-6.34,30.06,-14.56,29.25,1.81,-12.06,1.19,-0.05772362229349338,0.02166545782827697,0.11302845842089936,-131.09368455172458,-2.1544482337672357,47.26890777482772,0.1013,-0.9103,-0.0188,0.4009
