acc_x,acc_y,acc_z,eul_x,eul_y,eul_z
0.4,-2.27,-9.49,-156.92843283344138,18.971232525472267,-4.66516502390792
0.41,-2.19,-9.52,-156.98580474112185,18.98285063278348,-4.642227799866185
0.31,-2.24,-9.51,-156.92843283344138,18.98285063278348,-4.6536963885673295
0.34,-2.06,-9.4,-156.98580474112185,18.99446893703411,-4.6536963885673295
0.35,-2.22,-9.43,-156.98580474112185,18.971232525472267,-4.6766337060034
0.39,-2.22,-9.61,-156.98580474112185,18.959614614971,-4.7225089042433
0.5,-2.14,-9.75,-156.98580474112185,18.959614614971,-4.7225089042433
0.46,-2.17,-9.47,-156.98580474112185,18.947996901150287,-4.733977821845079
0.35,-2.24,-9.4,-156.98580474112185,18.92476206303288,-4.745446786894516
0.45,-2.26,-9.61,-156.98580474112185,18.959614614971,-4.71104003397371
0.41,-2.22,-9.47,-156.92843283344138,18.98285063278348,-4.699571210920838
0.31,-2.05,-9.48,-156.98580474112185,18.98285063278348,-4.6766337060034
0.35,-2.07,-9.58,-156.98580474112185,18.98285063278348,-4.642227799866185
0.23,-2.15,-9.42,-156.98580474112185,18.92476206303288,-4.596353909147252
0.49,-2.16,-9.56,-157.04331809093284,18.88991127772655,-4.6536963885673295
0.5,-2.07,-9.6,-157.04331809093284,18.843446306043926,-4.699571210920838
0.2,-2.12,-9.4,-157.04331809093284,18.773754707559725,-4.66516502390792
0.33,-2.18,-9.4,-157.10097394877238,18.669230437467,-4.768384859798278
0.84,-3.36,-9.5,-156.87120131517742,18.51827857520288,-4.940426564140192
0.22,-1.4,-9.62,-156.92843283344138,18.44861943332721,-4.883078110442899
0.4,-2.4,-9.45,-156.75715530060586,18.320928845487863,-5.112479412053579
0.58,-2.5,-9.56,-156.58711361479934,18.193261198253683,-5.318958088351593
0.4,-2.4,-9.34,-156.36226771891504,18.146842253651585,-5.318958088351593
0.48,-2.76,-9.5,-156.0841409493743,18.019205613951,-5.513981585080581
0.79,-3.05,-9.6,-155.97377873337675,17.984399539927896,-5.674601147870103
0.55,-2.92,-9.11,-155.97377873337675,18.1816561801528,-5.468092286497271
0.45,-3.81,-8.61,-155.97377873337675,18.49505809550988,-5.284543793645802
1.15,-4.38,-9.75,-156.5307030363511,19.81987998842397,-4.561948975165956
0.73,-3.55,-9.38,-156.92843283344138,21.62551192117329,-3.15166519950434
0.08,-0.96,-9.11,-154.3228637180319,25.67656503656709,-0.1718874029970642
-0.12,3.67,-9.75,-150.65977940351803,28.552816976564145,2.2575997541901875
-0.43,5.08,-9.99,-146.992038514199,31.328533702747045,4.848669626539135
-0.29,4.91,-11.25,-146.15525518443252,32.36526393220739,6.48935022815341
-0.84,-0.57,-8.84,-146.5113892939378,32.68755772174567,7.028869316139518
-1.48,2.25,-10.03,-146.19464572787078,32.73532749855365,7.936078336486531
-1.71,-2.25,-8.63,-145.2612378633091,32.950364032221074,8.430081473298436
-2.73,-0.92,-8.05,-144.3141111196786,33.22530683110648,9.17713147157167
-2.21,-2.22,-8.16,-144.1648201843402,33.380796277367786,8.510515201802361
-2.54,-1.88,-6.97,-144.7656551188059,33.24922417976444,6.994427393261249
-0.82,-1.71,-9.51,-146.15525518443252,33.14160783025417,2.337829975144579
-1.07,0.51,-4.82,-148.30838490049834,30.971654123503782,-6.523783187455053
7.81,0.67,-14.54,-147.72605283657722,27.86752361625033,-14.627194705880914
5.02,1.07,-10.96,-145.41510886588998,26.1233774379412,-19.412860145181693
2.71,2.64,-7.07,-143.83109490597238,25.61780363221793,-21.61384574972068
6.16,1.88,-9.68,-140.54206620040912,23.296175790566195,-26.82969751246112
4.62,2.61,-7.85,-139.5691405181039,22.88682192770989,-27.58425258560056
4.71,2.1,-7.92,-138.68306126823978,22.898513619526447,-27.90294467602473
