acc_x,acc_y,acc_z,eul_x,eul_y,eul_z
-4.05,-1.35,-8.57,-154.11739099299157,-2.337829975144579,24.197824520118107
-3.81,-1.58,-8.9,-154.27134430279995,-2.3034454566839293,24.03377694135321
-3.85,-1.55,-8.98,-154.37448496866145,-2.4639083675369537,23.92834419777812
-4.07,-1.65,-8.31,-154.58200075536982,-2.360753104216733,23.729249451725817
-3.69,-1.41,-8.75,-155.16145880106285,-2.0742204847835874,23.272776070440536
-3.8,-1.29,-8.73,-155.91878451766874,-1.6960169933572922,22.62966555670664
-3.5,-1.85,-9.06,-157.21671751944734,-1.0198783397289315,21.473869337236096
-3.49,-1.92,-7.93,-159.15467994543428,-0.1145915781247664,19.72682480222871
-1.67,-0.28,-10.05,-165.13681976050614,1.6501754833924644,14.211377245158012
-2.05,0.42,-9.22,-168.88558009980704,2.7160742546883188,10.62640189942489
-2.14,-0.09,-7.44,-174.3856214977935,3.896864048753203,4.137654318321577
2.27,1.37,-11.54,-173.72277700249091,4.733977821845079,-3.3121572228147254
1.96,1.75,-10.75,-169.24641346971595,5.169832905126534,-8.832292528579133
2.18,0.39,-9.48,-166.43342218753332,5.513981585080581,-11.916067673936476
3.39,1.19,-10.42,-164.02631287450075,5.8581800447136345,-14.373061379793723
2.65,0.74,-9.94,-165.04848521846108,5.686074397008276,-13.426452603767608
1.94,0.44,-9.99,-169.00454610436458,5.307486603594608,-9.53355259965066
1.37,0.25,-10.12,-172.3974616580246,4.837200229263812,-5.8008100451393725
0.42,-0.34,-10.08,-175.71212631630448,4.355527902560735,0.2635608181333149
-0.89,-0.56,-9.83,-172.22653193357402,3.896864048753203,6.523783187455053
-2.22,-0.54,-8.87,-168.08593042045837,3.5185137037623337,11.063807546045703
-2.55,-0.09,-9.31,-164.61437509688025,3.5185137037623337,14.7196246947995
-3.23,-1.83,-8.8,-160.8715680310398,3.40386984812725,18.576333132780547
-3.76,-0.95,-8.36,-158.9028148870971,4.412865642375664,20.4017767128752
-3.48,-0.12,-9.07,-158.840311807755,5.4336758888612415,20.36684806544824
-3.19,-1.18,-9.34,-159.09143242656367,7.453706284964303,19.447737797457524
-3.27,0.0,-8.81,-159.2817477883131,9.09666171745326,18.564721836939235
-2.86,0.79,-8.59,-160.32749140960402,11.501374957383891,15.887402736014533
-1.55,-0.47,-10.06,-160.80272323312002,13.691869135619404,13.24185777158118
-2.16,1.26,-7.19,-160.4621037024181,16.5471716366683,8.935735653853008
1.16,3.38,-11.59,-159.73268910086296,18.05401336431272,4.103254614165427
0.26,1.68,-9.74,-157.80436691060555,20.134039115213792,0.3666936147093117
0.52,2.23,-8.42,-156.36226771891504,20.716221183013424,-3.243374149708243
2.85,2.56,-10.45,-153.1625065187994,21.403893300909647,-8.820799294692952
1.63,2.13,-8.36,-151.2538864729402,22.05732086897936,-11.121372822035768
3.07,3.33,-8.78,-148.73080219796103,21.917240280609395,-14.638747929971784
4.41,2.3,-9.95,-146.992038514199,22.22079043012782,-17.26544349477142
3.56,2.41,-8.84,-146.5113892939378,22.51281453874211,-17.381357078894993
3.47,3.17,-8.57,-146.39227073603638,22.19743483976268,-17.346581127291525
3.96,1.85,-9.18,-146.71084020226166,22.185757394813148,-17.416134643761747
3.3,1.93,-8.7,-147.27558529764082,22.068995754971112,-16.778799324271787
3.22,2.81,-8.7,-147.43869005154224,21.870554129176607,-16.396650200988272
3.65,2.36,-9.04,-147.8086150107539,21.95225731085252,-16.188282864682783
3.08,2.06,-8.98,-147.7673081897566,22.2091125181558,-15.945255673236543
3.19,2.65,-8.76,-147.6436957459843,22.05732086897936,-15.968397992715149
3.39,2.46,-8.86,-147.7673081897566,22.08067087291992,-16.003112701402525
3.47,1.92,-9.22,-147.8086150107539,22.05732086897936,-16.084119443363345
3.15,2.38,-8.71,-147.7673081897566,21.90556839778225,-16.095692494623034
3.58,2.39,-8.83,-147.56154217602332,21.987276416568136,-16.38507281218067
3.44,1.96,-9.02,-147.52054122823532,22.01062364188303,-16.489275388774946
3.41,2.57,-8.92,-147.35703857325038,21.95225731085252,-16.524012627926176
3.13,2.69,-8.56,-147.1943287474599,22.01062364188303,-16.59349169701811
3.61,2.51,-9.04,-147.31628725286762,21.84721243198945,-16.848301053200124
3.6,2.12,-9.23,-147.39783944401512,21.672178876755066,-16.97573712493423
3.43,2.4,-8.75,-147.35703857325038,21.50886039245491,-16.998909587512788
3.74,2.32,-9.0,-147.39783944401512,21.473869337236096,-17.09160645080068
3.38,2.07,-9.01,-147.43869005154224,21.46220610254345,-17.137959104392678
3.37,2.44,-8.7,-147.31628725286762,21.53218888989049,-17.056843809922572
3.59,2.54,-8.88,-147.23493252348757,21.56718332965744,-17.010496081346126
3.19,2.68,-8.66,-147.23493252348757,21.45054309281784,-16.940979741891212
3.48,2.41,-8.85,-147.1943287474599,21.415555412105128,-17.126370676427072
3.46,2.32,-8.82,-147.0728095954594,21.473869337236096,-17.195903895593172
3.47,2.76,-8.7,-146.9114591288739,21.46220610254345,-17.253853117357277
3.73,2.25,-9.01,-146.871240884656,21.497196482057948,-17.450913825320047
3.66,2.35,-8.91,-146.7508698708792,21.53218888989049,-17.555261104447528
