TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
1133312.0,1061.664395,1.0,4.25,3.68,-8.0,-1.75,-27.0,34.19,-2.5,-1.0,0.25,-0.07056195131504994,0.0481222020656511,0.029247212720806107,-115.6229775841169,-51.74882311470209,-34.57901199780452,-0.0703,-0.8463,-0.4364,-0.2972
1133346.0,1061.688101,1.0,4.25,3.84,-7.97,-1.75,-27.0,34.19,-0.88,-0.25,0.12,0.055120005871025064,0.13700150309995973,-0.006972795537901533,-115.6229775841169,-51.736087563875465,-34.57901199780452,-0.0706,-0.8463,-0.4363,-0.2972
1133383.0,1061.70442,1.0,4.15,3.75,-7.84,-1.75,-26.69,35.38,1.31,0.06,0.0,0.021831645547432558,0.13678915346921305,0.17693494156001144,-115.6229775841169,-51.76155935207183,-34.56701075551299,-0.0708,-0.8463,-0.4365,-0.2971
1133418.0,1061.718043,1.0,4.21,3.55,-7.97,-2.5,-26.25,32.88,-0.81,-0.63,-1.37,-0.1667730488813315,-0.01920375356964221,0.12061273153898887,-115.6229775841169,-51.77429627625306,-34.56701075551299,-0.0711,-0.8463,-0.4366,-0.2971
1133451.0,1061.754473,1.0,4.24,3.56,-8.06,-2.5,-26.25,32.88,-2.56,-0.5,0.0,-0.20176842432708453,-0.03181886621489949,0.030501624351366274,-115.6229775841169,-51.76155935207183,-34.56701075551299,-0.0716,-0.8463,-0.4365,-0.2971
1133486.0,1061.815954,1.0,4.26,3.77,-8.14,-1.75,-26.69,35.0,-4.0,-3.13,-0.44,-0.09551117832724908,0.07383469683339783,-0.12338152323083484,-115.64449198892322,-51.723352699323634,-34.53100937438062,-0.0726,-0.8464,-0.4362,-0.2968
1133522.0,1061.8330720000001,1.0,4.15,3.75,-7.97,-2.5,-27.0,35.38,-2.31,-0.88,0.44,-0.06076011787678181,0.11150512484311724,0.07064595238326987,-115.68754007027454,-51.68515222063561,-34.48301299993159,-0.0733,-0.8466,-0.4359,-0.2964
1133557.0,1061.87858,1.0,4.2,3.7,-7.97,-2.5,-27.0,35.38,3.69,0.56,-0.06,-0.06812900149645085,0.0430076500920924,0.06784058707951246,-115.68754007027454,-51.697885027971715,-34.45901715267948,-0.0731,-0.8466,-0.436,-0.2962
1133592.0,1061.905293,1.0,4.12,3.6,-8.11,-1.37,-27.0,34.19,2.38,0.56,-0.12,-0.2421861614047777,0.06829215912137487,0.026916770293446742,-115.70907375985723,-51.723352699323634,-34.42302630295278,-0.0726,-0.8467,-0.4362,-0.2959
1133627.0,1061.970995,1.0,4.33,3.73,-8.02,-1.75,-25.87,35.0,-0.69,0.75,0.5,-0.007588788742134422,-0.024663044452037042,-0.04127029539860594,-115.70907375985723,-51.723352699323634,-34.435022863600715,-0.0724,-0.8467,-0.4362,-0.29600000000000004
1133664.0,1061.977618,1.0,4.13,3.74,-7.94,-1.0,-27.0,34.88,0.81,-0.31,0.25,-0.042687711300109836,0.12602994150123925,0.10766066022087273,-115.70907375985723,-51.723352699323634,-34.42302630295278,-0.0724,-0.8467,-0.4362,-0.2959
1133697.0,1062.016617,1.0,4.26,3.74,-8.05,-1.0,-27.0,34.88,1.25,1.44,0.37,-0.04349011903753608,0.05022040675796025,-0.038820355462513945,-115.70907375985723,-51.723352699323634,-34.435022863600715,-0.0718,-0.8467,-0.4362,-0.29600000000000004
1133733.0,1062.0650560000001,1.0,4.09,3.61,-8.06,-1.75,-27.0,34.88,-0.19,0.25,1.12,-0.2089745762147439,0.10740324286752913,0.07687126819333122,-115.70907375985723,-51.74882311470209,-34.41103013134001,-0.0715,-0.8467,-0.4364,-0.2958
1133768.0,1062.083918,1.0,4.27,3.8,-7.93,-2.06,-26.25,34.5,0.31,1.56,-0.12,0.07397180326571684,0.06857098675929629,0.03180339291217038,-115.70907375985723,-51.736087563875465,-34.435022863600715,-0.0714,-0.8467,-0.4363,-0.29600000000000004
1133803.0,1062.136181,1.0,4.27,3.75,-8.08,-2.06,-26.25,34.5,0.81,-0.88,0.19,-0.04366091793818638,0.06207569519741751,-0.07140853051653727,-115.70907375985723,-51.736087563875465,-34.435022863600715,-0.0712,-0.8467,-0.4363,-0.29600000000000004
