TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
1158901.0,706.5495639999997,1.0,1.37,-0.81,-9.43,-17.69,-9.88,35.56,-11.81,-1.63,1.0,-0.1994448957080953,0.09933365514306816,0.24588357891575896,-138.03825139668672,40.44906443675953,-10.338720083250598,0.0234,-0.9337,0.3457,-0.0901
1158938.0,706.587047,1.0,1.37,-0.75,-9.52,-18.75,-10.25,36.0,-3.0,2.19,0.5,-0.2467777617715279,0.12253368297222195,0.16331622827809333,-137.97429037596618,40.53456083395825,-10.338720083250598,0.0222,-0.9335,0.3464,-0.0901
1158973.0,706.611738,1.0,1.56,-0.59,-9.54,-18.75,-10.75,36.5,0.31,8.06,-4.25,-0.2278873152708556,0.3270373676427389,0.13016231428965774,-138.03825139668672,40.43685258518578,-10.51132121524803,0.0206,-0.9337,0.3456,-0.0916
1159008.0,706.657358,1.0,1.68,-1.37,-9.79,-18.75,-10.75,36.5,12.31,1.63,2.25,0.26090746067001896,-0.16316150383201491,-0.21576017024518104,-137.94234469461358,40.43685258518578,-10.741493332748478,0.023,-0.9334,0.3456,-0.0936
1159043.0,706.6795,1.0,1.51,-1.19,-9.84,-19.19,-10.75,36.0,-6.75,0.5,-4.63,0.023486046469070262,-0.1525896533424426,-0.2182173209830616,-138.00625925895054,40.400219905352074,-10.695455461898506,0.0221,-0.9336,0.3453,-0.0932
1159077.0,706.760624,1.0,1.62,-0.75,-9.84,-18.75,-10.38,36.0,-6.75,-5.25,-4.31,-0.13446130929224165,0.22685307584549685,-0.1904974850720702,-138.1664535645985,40.302553807332,-10.52282880334764,0.0202,-0.9341,0.3445,-0.0917
1159114.0,706.764257,1.0,1.48,-0.82,-9.82,-18.75,-11.19,35.56,3.0,-6.56,-2.63,-0.16061095863587438,0.11803973886421212,-0.1560539873728537,-138.3272359651665,40.19271594298347,-10.292697102933527,0.0214,-0.9346,0.3436,-0.0897
1159147.0,706.7715599999997,1.0,1.35,-1.09,-9.78,-18.75,-11.19,35.56,8.81,-4.88,-1.0,-0.07847723250908156,-0.12580822920944032,-0.12496686803517855,-138.39171512082905,40.11951210127083,-10.200656128703407,0.0236,-0.9348,0.34299999999999997,-0.0889
1159184.0,706.81652,1.0,1.56,-1.27,-9.7,-18.0,-10.38,35.19,3.75,-5.25,-5.19,0.20079556073315508,-0.07476998837320012,-0.09741939553779666,-138.5209607780903,39.99754361581977,-10.13162973120474,0.0263,-0.9352,0.342,-0.0883
1159219.0,706.840772,1.0,1.01,-0.84,-9.53,-18.75,-10.38,36.0,-9.75,-8.5,-11.56,-0.4081664194933873,-0.10164150488080807,0.1957359342888978,-138.7806141249359,39.81467938235785,-9.878564278366849,0.0254,-0.9359999999999999,0.3405,-0.0861
