TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
1274998.0,822.926053,1.0,4.6,-1.17,-8.75,-25.06,-14.88,29.56,0.37,1.12,-0.31,0.0052629309569933716,-0.10192443445495036,-0.1472931237685291,-142.24057734218397,24.20954412674289,-28.56464145412097,0.0024,-0.9462,0.2097,-0.2467
1275033.0,822.944246,1.0,4.62,-1.13,-8.83,-25.75,-14.5,28.69,0.31,-0.5,0.25,-0.0309059168611463,-0.07109355324976863,-0.2225169908816138,-142.24057734218397,24.20954412674289,-28.56464145412097,0.0021,-0.9462,0.2097,-0.2467
1275068.0,822.9751660000003,1.0,4.51,-1.14,-8.67,-25.75,-15.25,30.37,0.25,-0.44,0.44,-0.039477973887225286,-0.10619410977882104,-0.03183384155943258,-142.24057734218397,24.20954412674289,-28.56464145412097,0.0022,-0.9462,0.2097,-0.2467
1275105.0,822.9874269999997,1.0,4.58,-1.12,-8.67,-25.06,-14.88,30.0,-0.75,0.88,-0.63,0.004098683678663395,-0.0637687243087092,-0.0622717623098108,-142.20517991761645,24.186105170420962,-28.588291341239625,0.0021,-0.9461,0.2095,-0.2469
1275140.0,822.989819,1.0,4.72,-1.15,-8.79,-25.06,-14.88,30.0,0.69,0.88,-0.31,0.06423629265785147,-0.048682395815259,-0.2361834509262497,-142.16981440543415,24.186105170420962,-28.62376850418663,0.0021,-0.946,0.2095,-0.2472
1275176.0,823.039795,1.0,4.48,-1.22,-8.81,-25.5,-15.56,28.69,2.44,0.12,0.31,-0.10366120630323873,-0.2053030490952714,-0.149353465866211,-142.20517991761645,24.186105170420962,-28.60011675110229,0.0023,-0.9461,0.2095,-0.247
1275213.0,823.055301,1.0,4.61,-1.28,-8.67,-25.06,-14.88,29.87,-2.31,-0.5,-0.12,0.08097459034533383,-0.19010353387495604,-0.09368856805547132,-142.16981440543415,24.186105170420962,-28.63559484770936,0.0026,-0.946,0.2095,-0.2473
1275248.0,823.069583,1.0,4.61,-1.05,-8.73,-25.06,-14.88,29.87,-1.19,-0.19,0.0,-0.02794932163538633,0.00701087028909912,-0.12142482259868714,-142.20517991761645,24.20954412674289,-28.588291341239625,0.0021,-0.9461,0.2097,-0.2469
1275281.0,823.14735,1.0,4.56,-1.16,-8.84,-26.19,-14.88,30.75,-0.06,-0.12,0.25,-0.07626183722679425,-0.12036117763594854,-0.20656613264693569,-142.20517991761645,24.20954412674289,-28.588291341239625,0.0023,-0.9461,0.2097,-0.2469
1275316.0,823.168544,1.0,4.59,-1.08,-8.68,-25.75,-16.0,30.37,0.37,-1.0,0.5,-0.00660863248222654,-0.02291393762932269,-0.0714232573432092,-142.20517991761645,24.20954412674289,-28.576466242296,0.0021,-0.9461,0.2097,-0.2468
1275353.0,823.197204,1.0,4.51,-1.19,-8.7,-26.19,-14.88,30.37,1.31,0.88,0.0,-0.04004714862173353,-0.1462530647084106,-0.06366946124089345,-142.20517991761645,24.20954412674289,-28.588291341239625,0.0027,-0.9461,0.2097,-0.2469
1275385.0,823.218322,1.0,4.55,-1.17,-8.72,-26.19,-14.88,30.37,-0.12,0.44,0.0,-0.0262005282375446,-0.11405233792484674,-0.09769781278070687,-142.16981440543415,24.20954412674289,-28.588291341239625,0.0027,-0.946,0.2097,-0.2469
1275422.0,823.260939,1.0,4.73,-1.13,-8.83,-26.19,-14.5,30.0,3.5,-1.25,1.44,0.04019713306773598,-0.0151228085978726,-0.2738686122120342,-142.16981440543415,24.197824520118107,-28.63559484770936,0.0029,-0.946,0.2096,-0.2473
1275457.0,823.305677,1.0,4.57,-1.17,-8.7,-24.69,-15.56,30.0,-1.56,-1.19,-0.19,-0.005004382247338235,-0.09517186913337418,-0.08954711159210582,-142.16981440543415,24.20954412674289,-28.60011675110229,0.0032,-0.946,0.2097,-0.247
1275492.0,823.3553400000003,1.0,4.57,-1.02,-8.7,-24.69,-15.56,30.0,-2.0,0.12,-0.69,-0.05425642655995011,0.034400761805632354,-0.07318668021714457,-142.20517991761645,24.221263990434842,-28.552816976564145,0.0027,-0.9461,0.2098,-0.2466
