TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
3801090.0,725.870903,1.0,8.2,5.0,-4.22,-24.87,-30.75,15.56,-3.94,-1.88,-0.63,0.05596237758264416,-0.06412165629383715,-0.6834003633438019,-108.50510319404415,-24.420541139763646,-62.704754110255,-0.1607,-0.8116,-0.2115,-0.5203
3801126.0,725.889876,1.0,7.46,4.87,-4.04,-24.87,-30.5,15.56,2.88,-15.13,-5.38,-0.014813682597175524,0.1809373234034988,0.02620306543675888,-108.8195376256316,-24.479166312304468,-62.30262894881712,-0.1617,-0.8132,-0.212,-0.5173
3801163.0,725.93457,1.0,7.19,4.67,-4.08,-24.87,-30.5,15.56,-0.06,-10.88,-1.94,-0.11341852599383034,0.12465532454911532,0.3133367065274335,-109.21428447215929,-24.537797991913113,-61.821201404862826,-0.1622,-0.8152,-0.2125,-0.5137
3801196.0,725.958353,1.0,7.6,4.96,-4.19,-24.56,-31.19,17.25,-0.37,-21.75,-1.75,0.05693086645752065,0.1430009679581783,-0.1880490749900741,-109.57120014176904,-24.50261820231894,-61.43426408705058,-0.1629,-0.8170000000000001,-0.2122,-0.5108
3801233.0,726.01271,1.0,7.19,4.74,-4.14,-24.87,-30.75,15.56,1.31,-9.94,-3.0,-0.013887226716660706,0.13252391200615765,0.2523031066911372,-110.02956467321043,-24.537797991913113,-60.87524327990863,-0.1643,-0.8193,-0.2125,-0.5066
3801268.0,726.049901,1.0,7.29,4.79,-4.22,-24.19,-30.06,16.0,-1.63,-2.75,2.13,-0.02771437505868924,0.12396554560393945,0.11745682115800625,-110.08954448644468,-24.51434453810049,-60.82208696099747,-0.1641,-0.8196,-0.2123,-0.5062
3801303.0,726.063917,1.0,7.37,5.17,-4.2,-24.19,-30.06,16.0,-3.06,0.12,-0.25,0.08334600152272552,0.398528696916808,-0.11907558162696576,-110.08954448644468,-24.43226565454688,-60.82208696099747,-0.1652,-0.8196,-0.2116,-0.5062
3801337.0,726.124797,1.0,7.43,4.69,-4.44,-23.75,-31.56,16.37,4.75,2.94,3.13,-0.1983415050910708,-0.03785599497808123,-0.035800282881920616,-110.04955295767435,-24.479166312304468,-60.88853462317393,-0.1639,-0.8194,-0.212,-0.5067
3801374.0,726.1313700000003,1.0,7.43,4.84,-4.24,-24.19,-30.75,16.37,-1.44,5.44,0.25,-0.011942632366750194,0.10747707519108518,-0.0216970661063094,-109.94966130041858,-24.43226565454688,-61.008197532736816,-0.1639,-0.8189,-0.2116,-0.5076
3801409.0,726.14892,1.0,7.39,4.86,-4.16,-24.19,-30.75,16.37,-1.37,1.56,0.94,0.03245138514850016,0.15953991561728653,0.03368760761729028,-109.88978590326799,-24.39709288880459,-61.114626396297396,-0.1636,-0.8186,-0.2113,-0.5084
3801444.0,726.1996230000003,1.0,7.67,4.77,-4.51,-23.75,-30.75,16.87,0.5,2.94,3.63,-0.19828227778077367,-0.06163807168338309,-0.2868521120737526,-109.86983734458828,-24.350199497398,-61.19448635278197,-0.1629,-0.8185,-0.2109,-0.509
3801479.0,726.241075,1.0,7.79,4.76,-4.53,-24.19,-30.75,16.37,-5.19,-12.44,-5.25,-0.1394640661308692,-0.155899245028154,-0.3825033112255181,-110.04955295767435,-24.31503217113493,-60.9683017245208,-0.1642,-0.8194,-0.2106,-0.5073
3801516.0,726.309796,1.0,7.19,5.09,-4.29,-23.75,-30.5,16.06,-4.81,-42.44,-2.38,0.047885315009552336,0.3840141750563246,0.015912534928112617,-110.99470186962543,-24.080642561887807,-59.88094864187493,-0.1682,-0.8241,-0.2086,-0.4991
3801550.0,726.327726,1.0,8.22,4.56,-6.08,-23.75,-30.5,16.06,13.5,-90.44,7.0,-0.8669704399213565,-0.768821765240147,-1.3282355112926771,-112.75420115193157,-23.82293200606416,-58.02494481779507,-0.1696,-0.8327,-0.2064,-0.485
3801587.0,726.364686,1.0,7.48,4.52,-6.14,-23.06,-31.56,18.87,-11.0,-256.38,11.63,-0.01577080252419616,-0.6693395235133539,-0.8531875167753213,-119.42372742198721,-22.19743483976268,-50.858977326379346,-0.1812,-0.8635,-0.1925,-0.4294
3801622.0,726.379582,1.0,6.41,5.6,-6.11,-20.75,-31.56,19.75,-21.75,-269.94,6.38,0.7295825138758824,0.5187957403081849,-0.6326392638955358,-125.84710760989958,-20.180594156388953,-43.480576858025245,-0.1978,-0.8904,-0.1752,-0.3704
3801657.0,726.425172,1.0,4.0,5.21,-7.08,-20.75,-31.56,19.75,18.06,-254.69,1.94,-0.24756167767163034,0.7553933464345239,0.18175550146595576,-133.99857662596108,-17.961196420173227,-33.69196539056284,-0.2104,-0.9205,-0.1561,-0.2898
3801692.0,726.442379,1.0,2.94,5.32,-7.63,-15.88,-30.5,23.75,49.88,-180.81,-11.81,-0.19921332363777566,1.0837327384879338,0.11393431226755445,-140.23768007093892,-17.137959104392678,-26.06456338881546,-0.2064,-0.9404,-0.149,-0.2255
3801729.0,726.483373,1.0,3.1,4.31,-7.65,-9.88,-30.06,27.19,68.19,-129.31,-21.25,0.4436461027340636,0.2727969373799626,0.5094805400791476,-143.53692935464713,-17.752401631441728,-21.975603150496873,-0.19399999999999998,-0.9498,-0.1543,-0.1906
