TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
1146152.0,1075.087013,1.0,-2.51,9.37,-1.64,31.69,-34.19,11.38,-2.44,-0.06,2.38,0.06962364868092985,-0.025759632064149333,-0.031088001639416163,-49.41676675386262,-79.89718008366354,-50.782858416372434,-0.4787,-0.418,-0.6421,-0.4288
1146187.0,1075.159916,1.0,-2.39,9.46,-1.73,30.56,-34.19,10.56,-0.81,-1.06,1.19,-0.035467792803768994,-0.1430763447191321,-0.10167332916399374,-49.441996043237744,-79.83740266974313,-50.820914868829576,-0.4788,-0.4182,-0.6417,-0.4291
1146222.0,1075.176937,1.0,-2.37,9.32,-1.43,31.69,-34.19,10.56,-1.12,-0.37,1.44,0.2375660317278581,-0.16510601692409033,0.08859966139069009,-49.47984477339551,-79.8224623931032,-50.80822871779234,-0.4788,-0.4185,-0.6416,-0.429
1146257.0,1075.223303,1.0,-2.37,9.4,-1.57,31.69,-34.19,10.56,0.0,-0.5,0.63,0.10349461076665832,-0.1570265733564753,-0.012027686980166765,-49.47984477339551,-79.76271757028876,-50.87166614791169,-0.4788,-0.4185,-0.6412,-0.4295
1146292.0,1075.242696,1.0,-2.5,9.23,-1.62,30.56,-34.56,10.19,-1.56,-0.63,1.69,0.05517279059292357,0.026260650097286842,0.1080126554327414,-49.505080460483725,-79.71792602911492,-50.88435563772038,-0.4789,-0.4187,-0.6409,-0.4296
1146327.0,1075.286954,1.0,-2.44,9.39,-1.59,31.0,-34.19,11.38,-0.88,1.12,0.56,0.08652414059450364,-0.07088325959840612,-0.023980149517534244,-49.492462296741046,-79.68807312130106,-50.960506625011796,-0.4788,-0.4186,-0.6407,-0.4302
1146361.0,1075.305939,1.0,-2.4,9.46,-1.57,31.69,-34.19,11.38,3.44,0.56,-1.69,0.11528506972374865,-0.13538756065605195,-0.07691613581951984,-49.5176992648741,-79.71792602911492,-50.90973662321184,-0.4787,-0.4188,-0.6409,-0.4298
1146396.0,1075.353836,1.0,-2.36,9.26,-1.55,31.69,-34.19,11.38,-0.56,0.44,-0.37,0.09960582403270736,-0.12279083445705208,0.12704767909899495,-49.47984477339551,-79.73285491812906,-50.92242811941736,-0.4787,-0.4185,-0.6409999999999999,-0.4299
1146433.0,1075.372651,1.0,-2.4,9.53,-1.75,31.69,-34.56,10.19,-0.94,-0.19,1.63,-0.06476360535645709,-0.11702633345371982,-0.17460796243637589,-49.492462296741046,-79.6582267018899,-51.01128734852718,-0.4788,-0.4186,-0.6405,-0.4306
1146468.0,1075.413482,1.0,-2.38,9.33,-1.46,29.5,-33.75,10.19,0.06,0.25,-0.94,0.1902528498316652,-0.1231453125509674,0.07045263731636986,-49.492462296741046,-79.6582267018899,-51.01128734852718,-0.4787,-0.4186,-0.6405,-0.4306
