acc_x,acc_y,acc_z,eul_x,eul_y,eul_z
-0.81,3.91,-9.24,-58.78635364877629,-115.6229775841169,-17.706010881893693
-0.86,4.1,-9.08,-58.78635364877629,-115.55847283517146,-17.77559810564146
-1.0,3.8,-8.88,-58.81265977015818,-115.57996801372803,-17.6712197397126
-0.8,3.98,-9.06,-58.917918323687886,-115.49402564842946,-17.6712197397126
-0.76,3.71,-9.12,-58.85212533574583,-115.57996801372803,-17.659623057349798
-0.82,3.89,-8.99,-58.82581410721354,-115.5369840524082,-17.740803669389525
-0.91,4.22,-8.74,-58.917918323687886,-115.38674111389928,-17.868391355752113
-1.05,3.86,-8.63,-58.838969295629816,-115.472556014324,-17.856791554733764
-0.8,4.04,-9.16,-58.77320186377301,-115.51550165897758,-17.961196420173227
-0.98,3.36,-8.89,-58.87843997243265,-115.472556014324,-17.868391355752113
-0.76,4.13,-9.31,-59.16812669186737,-115.1512723286105,-17.984399539927896
-0.92,3.7,-9.12,-59.16812669186737,-115.1726470817956,-17.90319186690899
-0.92,3.96,-9.19,-59.14177438587889,-115.21541543771308,-17.77559810564146
-0.84,3.37,-9.52,-59.10225237254154,-115.38674111389928,-17.439320584956548
-1.01,3.6,-9.32,-59.32631288225003,-115.19402811606795,-17.172725448331995
-0.89,3.94,-9.39,-59.65626789743028,-114.91656280775707,-17.056843809922572
-1.05,3.48,-9.27,-59.748752844997405,-114.87396927454428,-16.744050792597328
-1.55,3.37,-8.45,-59.80162063871753,-114.87396927454428,-16.477696648278283
-1.54,3.65,-8.34,-59.695899058507344,-114.91656280775707,-16.454539675361616
-1.63,3.18,-7.61,-59.286754689259176,-115.1726470817956,-16.674558377811383
-1.44,3.46,-7.15,-58.53661475812208,-115.57996801372803,-17.439320584956548
-1.55,3.89,-6.65,-58.11668937344475,-115.6229775841169,-18.286108128329392
-1.96,3.51,-5.57,-57.867763106675405,-115.40818530642284,-19.250121718432275
-2.04,3.95,-4.35,-58.19536005826746,-114.8952629410071,-20.029302535998788
-0.99,3.59,-5.61,-57.867763106675405,-114.76759373176696,-22.104021805228783
0.01,5.62,-6.65,-57.540683062151366,-114.4070649484192,-24.32675435471253
1.18,5.6,-7.99,-57.43612578553682,-113.92207363516452,-26.923951406436
2.43,6.58,-10.06,-57.2793877763047,-113.52379683838042,-28.801196435314267
2.8,6.4,-10.58,-56.78381993878929,-113.25250462483363,-30.76955920688244
2.08,6.39,-9.59,-56.14650176459217,-113.23167638730342,-32.01938920775377
2.06,6.63,-9.38,-55.34279598100365,-113.14842081555727,-33.64407662582565
2.24,5.31,-9.45,-54.60650529245762,-113.3984635573788,-34.60301565627788
2.22,5.5,-9.12,-54.14273717736637,-113.29417835148298,-35.52836049051285
2.51,6.05,-9.02,-53.538700860812206,-113.10682738081556,-36.818231622724255
3.05,5.31,-9.23,-53.11554927222101,-113.16922611259191,-37.39842842920397
3.11,5.76,-9.41,-52.79549944688719,-112.9821839632563,-38.14932632838656
3.25,5.94,-9.22,-52.59090035589804,-113.00294363849156,-38.42831653324454
3.03,6.08,-8.95,-52.43756945380554,-112.83702493862924,-38.85332219688672
3.03,6.28,-8.91,-52.29710483920904,-112.8163105430652,-39.084272157289
2.97,6.2,-8.91,-52.1184538275471,-112.9614299666055,-39.07211278567739
3.04,5.72,-8.89,-51.91444784867411,-113.29417835148298,-38.85332219688672
2.89,6.82,-8.58,-51.93993891277072,-113.3150238515142,-38.80472209856705
2.96,6.64,-8.69,-51.78703388751428,-113.75411958451244,-38.3312497043692
2.97,6.56,-8.93,-51.68515222063561,-114.21690781898718,-37.77366695276425
2.87,6.96,-9.27,-51.634227840640925,-114.91656280775707,-36.79407807568971
3.1,6.36,-9.68,-51.31619778683095,-116.22782989578606,-35.191597906700245
3.33,6.0,-10.21,-51.53241190190736,-116.96926663704076,-33.69196539056284
2.82,5.62,-9.67,-51.81251117235129,-117.78511905973166,-31.935947193238352
2.18,5.55,-8.45,-51.736087563875465,-119.0385830310132,-29.72497078004789
1.85,5.65,-8.29,-50.85897732637935,-120.66212588661212,-28.03284519878868
1.35,4.49,-7.85,-49.8965625443208,-122.13730880568986,-26.65302123047702
0.82,3.68,-7.88,-48.72395587995984,-124.0127932062898,-24.737194611496925
0.12,3.27,-7.64,-47.80732155074712,-125.3207938561998,-23.483409106034056
-0.28,2.85,-7.33,-46.38230826013582,-127.1197096819897,-22.022297601396428
-0.35,2.66,-7.89,-45.54834570673154,-128.10621848828742,-21.21732993545333
-0.65,2.27,-7.89,-44.605429900527255,-129.27076347961943,-20.20387293870638
-0.96,2.4,-7.77,-44.0857117567441,-129.88954402446632,-19.61052428537218
-1.06,2.44,-7.84,-43.5175891368055,-130.62518646665285,-18.86667840059343
-0.86,3.12,-8.19,-43.22162404932176,-130.95545525843715,-18.599556301853195
-0.74,2.8,-8.4,-42.93827474491775,-131.31561745343842,-18.437010245615284
-0.99,3.23,-8.08,-42.74132469735878,-131.45480922787246,-18.49505809550988
-1.26,2.77,-7.76,-42.48302850521899,-131.67829939723129,-18.634392500869453
-1.23,2.44,-7.61,-42.286383276048326,-131.84655671079122,-18.855062255560348
-1.05,2.2,-7.16,-42.18810962075827,-131.87465337051762,-19.38960938592485
-0.99,2.17,-6.42,-42.36010990852977,-131.56643317341502,-20.075850034388896
-0.76,2.17,-6.31,-42.64289936464318,-130.92785324394194,-21.43888030792546
-0.24,2.7,-6.19,-42.93827474491775,-130.10645331555745,-23.237678334824075
1.2,4.39,-7.52,-43.24627621237414,-129.1104989092044,-25.06577882303193
2.08,5.21,-8.28,-43.71506869334832,-127.5329807280848,-27.466273808985672
3.18,6.13,-9.43,-44.0239043163285,-126.47990511760632,-28.87218733809866
3.48,6.54,-9.74,-44.28358642561688,-125.17127559163816,-30.603201736078947
3.46,5.36,-9.83,-44.20936716761421,-124.52765968867384,-31.56662645811723
3.58,5.15,-10.1,-44.15989850900582,-123.69623657185858,-32.711441879621354
3.92,5.85,-10.03,-44.12280269978493,-123.26060567533968,-33.15356371555689
3.69,4.86,-9.99,-44.17226486112258,-122.97188128580086,-33.285102998046874
3.33,4.71,-9.11,-44.17226486112258,-122.58898532309728,-33.70393852830112
3.85,5.25,-9.21,-44.20936716761421,-122.06628574219845,-34.24312448272413
4.01,4.46,-9.23,-44.20936716761421,-121.8536919796764,-34.351055102879386
3.35,4.3,-7.76,-44.3578252491314,-121.54785831198568,-34.54300944397086
3.33,4.31,-7.7,-44.40732869091076,-121.40719542947475,-34.519009695351265
4.38,2.99,-8.77,-44.69214333160206,-121.2201221874496,-33.96744372977673
4.37,5.55,-8.21,-45.23782004339508,-120.66212588661212,-34.015373611081245
4.58,5.76,-8.81,-45.324731779489326,-120.38490958888936,-34.06330962524581
5.0,5.72,-9.6,-45.12611671542185,-120.26974778474064,-34.30308206548676
5.18,6.46,-9.61,-45.01445861245965,-120.26974778474064,-34.339061261923746
5.2,7.06,-9.66,-44.85325420187507,-120.66212588661212,-33.8955603834521
5.05,6.83,-9.46,-44.20936716761421,-121.99534211175566,-32.67561619029609
4.57,5.47,-8.59,-43.4312345665289,-123.5991628945627,-31.25713296863673
4.67,6.01,-8.31,-42.18810962075827,-125.84710760989958,-29.487919662093987
4.8,6.29,-8.54,-39.76593345094053,-129.03054304377298,-27.761276718209416
3.92,6.46,-6.87,-36.963188541466,-132.49673400768697,-26.06456338881546
3.87,1.1,-8.06,-33.775785318620265,-136.65191882638644,-23.43659483600268
2.83,1.84,-7.19,-30.531925921642927,-140.8487237731441,-21.08910064572278
2.37,1.47,-7.36,-27.14787893324093,-144.388983618951,-19.982758376303032
2.58,1.47,-8.62,-24.350199497398,-146.7508698708792,-19.73845598070809
2.45,0.26,-9.06,-21.46220610254345,-149.50552295905456,-18.93637938388069
1.75,0.75,-8.93,-19.982758376303032,-150.97820441576042,-18.564721836939235
1.63,0.7,-8.8,-18.471838381894354,-152.67309729035,-17.77559810564146
2.27,0.38,-9.5,-17.648026557290144,-153.61058909469406,-17.137959104392678
2.41,1.32,-9.74,-17.080018727926856,-154.16860854190614,-16.871469682269606
2.24,2.39,-9.51,-16.813549410004512,-154.3228637180319,-16.929394296591493
2.12,1.96,-9.41,-16.51243337847321,-154.58200075536982,-16.69772182857332
1.93,2.11,-9.44,-16.442961442690333,-154.73873772257048,-16.51243337847321
1.85,2.48,-9.02,-16.454539675361616,-154.79119639620873,-16.466118077182387
2.06,2.52,-9.43,-16.466118077182387,-154.63414056108863,-16.55875139620892
2.09,2.77,-9.59,-16.51243337847321,-154.52996593229264,-16.686140017359815
1.99,2.95,-9.47,-16.55875139620892,-154.42620867150097,-16.813549410004512
1.99,2.35,-9.4,-16.003112701402525,-154.73873772257048,-16.801965875210325
1.99,2.82,-9.33,-16.13041264048083,-154.52996593229264,-16.917809025605248
2.07,2.58,-9.5,-15.725436142775802,-154.63414056108863,-17.010496081346126
2.1,2.85,-9.35,-15.30909493616346,-154.79119639620873,-17.137959104392678
2.12,2.47,-9.47,-15.332219618835126,-154.73873772257048,-17.103194349757633
1.96,2.84,-9.25,-15.077882439571027,-154.79119639620873,-17.219083051744406
2.09,2.8,-9.26,-14.7196246947995,-154.89643727544532,-17.288624783675054
2.24,2.93,-9.49,-14.46546520944767,-154.89643727544532,-17.3929494210965
2.34,2.97,-9.7,-14.488567642103208,-154.84376268843482,-17.439320584956548
2.25,2.87,-9.35,-13.957359493385503,-155.16145880106285,-17.3929494210965
2.03,2.92,-9.1,-13.599542044193305,-155.32181611488016,-17.462507245696994
2.1,2.66,-9.42,-13.564921674838883,-155.32181611488016,-17.450913825320047
2.08,2.94,-9.43,-13.44952940908047,-155.32181611488016,-17.485694626999518
2.03,2.69,-9.19,-13.149573327758748,-155.4292933262199,-17.508882729880764
2.17,3.04,-9.3,-13.172643633299913,-155.32181611488016,-17.648026557290144
2.19,2.77,-9.41,-12.861239362009444,-155.4292933262199,-17.636430239406273
2.29,2.99,-9.45,-12.757459245108164,-155.4292933262199,-17.706010881893693
2.13,2.89,-9.23,-12.757459245108164,-155.32181611488016,-17.77559810564146
2.13,2.84,-9.34,-12.745928771149693,-155.4292933262199,-17.740803669389525
2.14,2.7,-9.2,-12.480763390340035,-155.5372354443148,-17.682816604505923
