acc_x,acc_y,acc_z,eul_x,eul_y,eul_z
-8.72,0.57,-4.48,-111.5428205011455,16.66297690980209,65.3400500368357
-8.81,0.27,-3.59,-111.6447470313604,16.53559204728263,65.24478588422559
-8.58,0.11,-4.09,-111.91038320685792,16.419805484293857,65.01364072680407
-8.7,0.04,-3.81,-112.07430548769128,16.361918539628213,64.85065821603297
-8.93,0.04,-3.57,-112.05379617607242,16.30403579859025,64.8778117314165
-8.93,0.14,-3.88,-112.15639729539848,16.350341655632345,64.7556530727814
-8.8,0.16,-4.37,-112.2796992436405,16.373495591769153,64.63357693133646
-8.86,0.58,-4.18,-112.03329231056664,16.51243337847321,64.83708299106056
-8.98,0.23,-3.46,-111.9308545002648,16.605072138436235,64.9185496744115
-8.9,0.67,-3.83,-112.23857664220154,16.686140017359815,64.55223852912117
-8.83,0.14,-4.59,-112.65079783642123,16.871469682269606,64.0109096555285
-8.81,0.4,-5.03,-113.06525678920109,17.045256614539127,63.49812368940196
-8.9,0.14,-4.53,-113.23167638730342,17.126370676427072,63.25572065292907
-8.88,0.24,-4.45,-113.52379683838042,17.068431181009654,62.95987835378689
-8.8,0.04,-4.45,-113.50289343995638,17.114782424924247,62.91957249352721
-8.78,0.12,-4.37,-113.37759496408128,17.09160645080068,62.986753750366496
-8.98,-0.14,-4.09,-113.44021811063548,17.09160645080068,62.86584483464826
-8.74,0.13,-3.93,-113.46110408162376,17.161136490218524,62.78528219858725
-8.46,-0.09,-4.85,-113.44021811063548,17.242262917799223,62.71817306273571
-8.58,0.18,-3.64,-113.16922611259191,17.26544349477142,62.94644210281149
-8.4,-0.36,-3.91,-113.25250462483363,17.184314583414665,62.81213256780961
-8.47,-0.5,-3.88,-113.41933793772672,17.184314583414665,62.59743692135864
-8.74,-0.5,-3.4,-113.3567321523323,17.381357078894993,62.557208730764245
-8.77,-0.07,-2.65,-113.92207363516452,17.6712197397126,61.92808029086676
-8.5,0.18,-4.8,-114.61892667196771,17.833592505981915,61.22111365086855
-8.72,-0.42,-3.3,-115.30102772408485,18.100426311736804,60.41061431817495
-8.36,-0.55,-3.89,-116.53218769347627,18.34414360467089,59.154950108935175
-7.4,-1.15,-4.6,-118.38659680691794,19.18038869449432,57.22716779893635
-7.55,1.03,-3.97,-120.31578829659291,20.49492914898236,55.22637549729378
-6.51,0.3,-4.94,-123.14014055583444,22.150726459273766,51.65968866130368
-5.94,4.29,-6.58,-127.17120439382435,24.80758802606676,45.051672965046905
-4.78,5.87,-11.92,-130.43348264858346,26.31162955164407,39.24238573337944
-5.07,3.05,-7.75,-133.41553604515124,27.36011828826252,34.015373611081245
-4.29,4.33,-6.61,-135.3668779333915,27.84391108565838,30.21133398212997
-2.34,2.97,-10.15,-138.84577222800962,28.16278249153404,23.83464346005029
-2.39,4.23,-7.83,-139.8686617976523,28.87218733809866,19.56400979675284
-0.59,3.97,-10.14,-141.02009032147248,29.12074488446725,15.760140597334962
-0.53,3.31,-9.72,-142.20517991761645,29.0497142065708,11.271055753655435
-0.34,3.8,-9.43,-141.9231418994875,29.357596603435567,9.464560757916416
-0.21,4.05,-9.38,-141.26122730722247,30.033332077879628,7.522608280519941
0.31,4.15,-9.96,-140.91718374591224,30.306298828005648,6.156528060600895
0.54,4.13,-10.29,-140.57602612666605,30.47253865250361,4.825730880475589
0.17,4.57,-8.86,-140.1031128223946,30.73390559555541,4.61929076192046
0.48,4.34,-9.44,-140.06953899210683,30.674489682178663,4.080321683767285
0.71,4.2,-9.71,-140.0359922172176,30.686372188368548,4.000057708800217
-0.09,4.52,-7.94,-139.9020743124711,30.73390559555541,4.584885551911774
0.61,4.45,-9.9,-140.0359922172176,30.650725683430657,4.4702044875913645
0.42,4.52,-9.11,-140.0359922172176,30.63884419055943,4.906017344265488
0.0,4.12,-8.64,-140.17034192327273,30.57944178497209,5.284543793645802
0.65,4.29,-10.06,-140.30512782111506,30.44878609284871,5.594289991509483
-0.16,4.17,-8.44,-140.47423039692836,30.24694330618832,6.087674884576738
-0.05,3.94,-9.18,-140.91718374591224,29.96215210560615,6.236859579751598
-0.04,4.2,-9.35,-141.08884000838947,29.79611144994345,6.581172764918962
-0.51,3.97,-8.48,-141.19218403998903,29.72497078004789,6.776309776380446
-0.14,4.06,-9.0,-141.43435545776626,29.59457663056109,6.592650878252481
0.0,4.35,-9.12,-141.46907086921098,29.59457663056109,6.615607303690656
-0.01,4.08,-9.23,-141.67799864882886,29.464221664430085,6.799268354310192
-0.22,3.91,-9.04,-141.85294621850556,29.33390567781849,6.868145731332586
-0.06,3.79,-9.39,-141.9231418994875,29.310216034057568,6.982946893042854
-0.18,3.98,-9.06,-141.95828650840244,29.23915478171118,7.143680335170353
-0.17,4.19,-9.17,-142.16981440543415,29.0023667595726,7.23553431499132
-0.21,3.86,-9.23,-142.31146828862353,28.93135507220408,7.338875609975954
-0.3,3.94,-9.08,-142.34696199162144,28.87218733809866,7.499640647274437
-0.29,3.87,-9.3,-142.4180463131718,28.801196435314267,7.5915129998336095
-0.48,3.95,-8.76,-142.63208125401738,28.552816976564145,7.614481849246593
-0.17,4.08,-9.56,-142.73954322436268,28.52916895270361,7.534092210574165
-0.36,4.11,-9.24,-142.77543036661098,28.48187662578674,7.648935698119245
-0.39,3.91,-8.98,-142.91931394004666,28.422768181257144,7.740816022621952
-0.4,3.91,-9.11,-143.13615512462272,28.28093937794029,7.752301412421159
-0.16,3.48,-9.73,-143.35423456188457,28.10371551481587,7.993512795919138
-0.74,4.05,-8.47,-143.35423456188457,28.009224192772628,8.384121213370948
-0.49,3.55,-9.44,-143.53692935464713,27.90294467602473,8.326672787534774
-0.73,3.88,-8.65,-143.53692935464713,27.855717200127582,8.395611151395807
-0.37,3.66,-9.29,-143.75733722307018,27.60785191517117,8.269226458088282
-0.39,3.97,-8.99,-143.9049982588089,27.36011828826252,8.188805090876484
-0.44,3.81,-9.18,-143.94200484154302,27.312945744821853,8.22327089407658
-0.62,3.75,-9.12,-143.86802831777294,27.312945744821853,8.349651905481078
-0.54,3.81,-9.26,-143.86802831777294,27.27756943376897,8.326672787534774
-0.61,3.82,-9.04,-143.83109490597238,27.301153346475186,8.41859128124216
-0.62,3.65,-9.07,-143.72051272987528,27.36011828826252,8.441571750266656
-0.45,3.99,-9.2,-143.64697188895283,27.324738438026905,8.41859128124216
