acc_x,acc_y,acc_z,eul_x,eul_y,eul_z
1.27,-2.54,-9.35,-162.52901727888843,-3.0599582684028324,-8.062436803571838
1.41,-2.52,-9.45,-162.60463181843892,-3.0026424356334624,-8.050949266749551
1.18,-2.29,-9.35,-162.75684793649998,-2.9797163137078666,-7.982025743589274
1.47,-2.54,-9.54,-162.68057392822612,-2.8421620551927376,-8.062436803571838
1.4,-2.45,-9.41,-162.75684793649998,-2.830699387947472,-8.062436803571838
1.27,-2.37,-9.41,-162.8334582675195,-2.830699387947472,-8.016487142063689
1.32,-2.27,-9.59,-162.8334582675195,-2.865087475133015,-8.062436803571838
1.29,-2.68,-9.36,-162.68057392822612,-2.87655022805785,-8.096899901459961
1.34,-2.51,-9.43,-162.68057392822612,-2.888013009772368,-8.119875707408232
1.6,-2.52,-9.74,-162.60463181843892,-2.704611892754087,-8.22327089407658
1.3,-2.5,-9.35,-162.68057392822612,-2.704611892754087,-8.165828301178744
1.67,-2.66,-9.53,-162.68057392822612,-2.681687249969397,-8.211782210366408
1.09,-2.38,-9.46,-162.8334582675195,-2.6473004867786654,-8.108387763620353
1.48,-2.75,-9.44,-162.68057392822612,-2.589989743099661,-8.200293609338797
1.29,-2.46,-9.35,-162.75684793649998,-2.6129139620146145,-8.188805090876484
1.22,-2.48,-9.32,-162.75684793649998,-2.6129139620146145,-8.177316654862214
1.41,-2.44,-9.54,-162.75684793649998,-2.6129139620146145,-8.292204739238791
1.48,-2.47,-9.55,-162.8334582675195,-2.6358382855186164,-8.384121213370948
1.32,-2.26,-9.39,-162.98770609304592,-2.670224968889185,-8.361141590530956
1.41,-2.48,-9.67,-162.98770609304592,-2.6931495578860725,-8.361141590530956
1.45,-2.3,-9.7,-163.06535294380294,-2.7160742546883188,-8.349651905481078
1.69,-2.37,-9.8,-163.06535294380294,-2.704611892754087,-8.280715556970401
1.44,-2.27,-9.64,-163.14335483645732,-2.704611892754087,-8.200293609338797
1.2,-2.31,-9.45,-163.22171672296716,-2.578527672575933,-8.062436803571838
1.29,-2.59,-9.4,-163.14335483645732,-2.589989743099661,-8.062436803571838
1.48,-2.31,-9.81,-163.06535294380294,-2.578527672575933,-7.970538771598189
1.3,-2.73,-9.62,-163.06535294380294,-2.486832027635776,-7.8212153932673
1.07,-2.47,-9.48,-163.14335483645732,-2.440984806055245,-7.534092210574165
1.02,-2.21,-10.03,-163.14335483645732,-2.4295230620087382,-7.281463046960031
1.22,-2.63,-10.46,-162.75684793649998,-2.4180613422720283,-6.3631010384043885
0.71,-2.18,-9.9,-162.75684793649998,-2.223215714892369,-4.412865642375664
0.0,-2.26,-9.54,-162.08197802585826,-2.1200647857418087,-2.360753104216733
0.09,-2.33,-9.9,-161.36053358743402,-2.4180613422720283,-1.6043342375287626
0.1,-2.71,-9.56,-160.19378503937315,-3.335085177891311,-0.343775192742598
-0.44,-2.82,-8.54,-158.71585002764485,-4.045922594423996,0.5615008861828721
-0.4,-3.03,-8.73,-156.92843283344138,-5.513981585080581,1.0542572154525014
0.39,-3.61,-8.81,-154.27134430279995,-7.534092210574165,2.051298459271143
-0.17,-3.69,-7.88,-152.3835367338065,-8.993207204284674,2.7848490011177405
-0.06,-4.75,-6.89,-150.56941987552764,-10.52282880334764,2.18883187578443
1.08,-5.39,-7.67,-148.7733502639536,-12.792051445699697,-0.3781528311358495
1.45,-5.28,-7.37,-147.52054122823532,-14.511670666824136,-3.163128706652845
1.86,-5.13,-7.13,-146.4319313048688,-15.540370148995088,-6.48935022815341
2.68,-4.81,-7.61,-144.50157885257724,-17.056843809922572,-12.861239362009444
4.63,-4.51,-8.53,-142.45363711540872,-17.90319186690899,-17.856791554733764
4.99,-4.51,-7.38,-140.00247242955643,-18.437010245615284,-22.95697570537593
5.7,-4.22,-7.33,-137.81479293008655,-18.69245669557365,-27.336531426237315
6.99,-3.62,-8.13,-135.2162310052641,-18.37896716762953,-32.651734221557824
7.22,-3.37,-8.02,-134.49971207203987,-17.474100846214462,-34.90319398604888
6.78,-2.95,-7.46,-134.73735728971755,-15.82955387412607,-36.46817032738551
7.06,-2.9,-7.88,-134.91636984441135,-14.569430825374988,-37.37423381555307
7.23,-2.34,-8.19,-135.8217429117077,-12.134996086138983,-37.94326713356112
7.6,-2.38,-8.18,-137.5924585129037,-9.786552516199244,-37.32584976988496
6.98,-1.17,-9.56,-140.54206620040912,-8.085412120809869,-34.831128724414064
4.8,-1.44,-8.84,-146.59103083752737,-5.571344453661866,-28.15096848573949
3.97,-1.7,-9.63,-150.29995438645182,-3.988591587846416,-23.62387580431868
2.24,-1.35,-9.58,-154.79119639620873,-1.8793858210517669,-16.720885966499374
0.92,-2.29,-8.66,-156.58711361479934,-0.3552344019497601,-10.787532942523711
-0.09,-3.07,-7.83,-156.70033876277134,0.8479852761926534,-4.733977821845079
-0.43,-3.42,-8.03,-156.19500732541923,1.2605325708995527,-2.7963115557322795
-0.25,-3.73,-8.43,-155.80916562137492,1.3636717386286217,-1.9366895446536667
0.79,-4.2,-9.71,-155.05511767406654,1.5126525087430307,-0.7792286067117273
-0.8,-4.27,-8.2,-154.3228637180319,1.7074774129745531,1.2490727279396536
-0.32,-4.76,-8.81,-153.06392657993817,1.9939937526124856,3.048495041051397
-2.03,-4.56,-6.87,-151.2538864729402,2.452446574526375,6.4778727055513645
-1.03,-4.81,-8.21,-151.57882322936237,2.200293133435064,6.236859579751598
-0.86,-4.26,-8.53,-152.62462859250311,1.9939937526124856,5.0551272004985615
-0.42,-4.84,-8.92,-153.01476916887475,1.7877008349543104,3.4726557451993814
-1.1,-4.3,-7.82,-153.11317220133924,1.7877008349543104,3.4267983429423063
-0.68,-4.34,-7.8,-153.76161968319718,1.306372069959298,1.9710720103882065
0.05,-4.65,-7.96,-154.47803544959174,0.9969591404369118,-0.6187974261216272
0.11,-3.81,-7.4,-155.6456486519571,0.4927452222969898,-5.697547703194251
2.17,-3.54,-9.66,-155.32181611488016,-0.2291832708413497,-11.132886214620822
2.24,-3.77,-8.25,-154.27134430279995,-0.2291832708413497,-14.742733694368155
2.25,-3.0,-7.82,-153.4604028099656,-0.4583674584234223,-17.277034050168414
4.04,-2.99,-8.87,-150.61456567249238,-0.8479852761926534,-22.769918267605057
3.94,-2.28,-8.03,-148.73080219796103,-0.8021474641450599,-26.158669228245632
5.34,-2.67,-8.43,-145.6471679681556,-1.1344749665222489,-30.318170931025325
4.81,-2.02,-7.38,-142.88329260111254,-1.1344749665222489,-34.18317656247093
6.96,-1.7,-8.32,-140.0359922172176,-1.1344749665222489,-37.83422856646789
6.85,-1.32,-7.78,-137.339715842895,-0.9511208605830096,-41.182660023882
6.54,-1.14,-6.74,-135.42727196097036,-1.0657168616283692,-43.406566594214624
7.62,-0.68,-7.36,-132.46829135766265,-1.2261530793833222,-46.83148044377096
6.88,-0.46,-6.05,-130.62518646665285,-1.1459346897143057,-48.887538949850274
7.73,-0.54,-6.32,-127.55891058236664,-1.6272548279067642,-52.131210091854
7.62,-0.06,-5.9,-125.57083317422124,-1.7074774129745531,-54.27146504851861
7.79,0.08,-5.14,-122.5651319143896,-2.486832027635776,-57.34468103045612
9.73,0.78,-6.13,-119.78825181236216,-3.174592245464794,-60.11912281043993
7.41,1.21,-4.38,-117.27684633570152,-3.724881599063971,-62.557208730764245
9.99,1.74,-5.15,-114.04828796434656,-4.928956774809122,-65.62614795647175
10.02,2.32,-5.24,-113.3984635573788,-6.133576755953128,-66.1040049398115
8.82,1.04,-3.98,-113.33587511663836,-7.878645873813733,-65.9536821068983
10.3,1.91,-5.07,-112.60947570576612,-9.430066128049686,-66.39134200709483
10.11,1.91,-5.35,-113.69123402259356,-11.259541000283244,-64.98646672733051
10.29,0.82,-5.75,-117.63003319551184,-11.628070333672753,-61.008197532736816
