TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
2513328.0,2121.353581,1.0,1.25,-3.49,-8.9,-5.0,-5.69,46.19,1.63,-3.06,0.37,-0.17518880071131662,-0.12982640954746127,0.1679232175100296,-157.44996317553057,-4.045922594423996,-7.855673444559318,0.1798,-0.9807,-0.0353,-0.0685
2513362.0,2121.384273,1.0,1.38,-3.45,-9.22,-5.0,-6.38,45.0,-0.56,0.75,0.31,-0.07744295708833482,0.02192138247896813,-0.13361267466748572,-157.44996317553057,-4.034456312516312,-7.832701331508732,0.1801,-0.9807,-0.0352,-0.0683
2513399.0,2121.429126,1.0,1.52,-3.6,-9.14,-4.56,-6.06,45.0,1.88,0.37,1.25,0.058571817024376215,-0.14670824275097782,-0.1324166580800945,-157.39142911741774,-4.034456312516312,-7.8212153932673,0.1804,-0.9806,-0.0352,-0.0682
2513432.0,2121.486444,1.0,1.54,-3.53,-9.07,-4.56,-6.06,45.0,-1.31,-1.69,0.0,0.09418523101516124,-0.10519166995364193,-0.04613964836004847,-157.39142911741774,-4.011523869819651,-7.8212153932673,0.1805,-0.9806,-0.035,-0.0682
2513467.0,2121.5025,1.0,1.49,-3.43,-9.19,-5.0,-5.69,46.25,-0.44,-1.06,1.94,0.04972105450534015,0.021203053515211682,-0.11495159688245593,-157.44996317553057,-3.988591587846416,-7.763786880218299,0.1799,-0.9807,-0.0348,-0.0677
2513502.0,2121.5054760000007,1.0,1.04,-3.41,-8.88,-4.56,-6.06,45.88,-0.63,-3.81,2.38,-0.33897022415755096,-0.049830084124055096,0.243872362208208,-157.50864759230302,-3.931261580029344,-7.671905315233598,0.18,-0.9808,-0.0343,-0.0669
2513539.0,2121.54176,1.0,1.37,-3.34,-9.15,-5.0,-6.38,46.19,1.56,3.94,-1.69,-0.048608499501768584,0.09220138784825016,-0.029209704055114468,-157.50864759230302,-3.942727502383202,-7.729330710703709,0.1797,-0.9808,-0.0344,-0.0674
2513571.0,2121.597291,1.0,1.53,-3.59,-9.12,-5.0,-6.38,46.19,1.75,0.06,0.63,0.08460459652061111,-0.14840391264425712,-0.1117278079361057,-157.44996317553057,-3.942727502383202,-7.763786880218299,0.1802,-0.9807,-0.0344,-0.0677
2513608.0,2121.613724,1.0,1.37,-3.39,-9.16,-5.38,-6.38,46.19,-1.56,-2.25,-0.37,-0.04969331296023579,0.05310455551440897,-0.05587049330345728,-157.50864759230302,-3.919795697049856,-7.706360320042279,0.1799,-0.9808,-0.0342,-0.0672
2513643.0,2121.670942,1.0,1.54,-3.43,-9.08,-5.75,-6.38,44.56,0.69,0.37,-1.19,0.12999985128380934,-0.02695589158791712,-0.02011312010088595,-157.50864759230302,-3.977125506843028,-7.660420468145224,0.1796,-0.9808,-0.0347,-0.0668
2513678.0,2121.674473,1.0,1.19,-3.22,-9.09,-5.75,-6.38,44.56,-2.31,-3.0,-2.69,-0.1883530441356897,0.16929071584070865,0.0933362614092932,-157.6264722380801,-4.034456312516312,-7.5915129998336095,0.1787,-0.981,-0.0352,-0.0662
2513713.0,2121.762624,1.0,1.34,-3.39,-9.2,-5.38,-6.06,46.25,1.0,-0.12,-4.88,-0.07347131036448422,0.04314588662970453,-0.08882575405145765,-157.6264722380801,-4.194987989089829,-7.5915129998336095,0.1788,-0.981,-0.0366,-0.0662
2513750.0,2121.774915,1.0,1.29,-3.43,-9.04,-5.38,-6.38,46.69,3.88,0.75,2.13,-0.1082228890873586,-0.036601665417970164,0.05280213752202202,-157.50864759230302,-4.206454848857137,-7.5915129998336095,0.1794,-0.9808,-0.0367,-0.0662
2513782.0,2121.817521,1.0,1.49,-3.58,-8.96,-5.38,-6.38,46.69,-0.19,-0.12,-4.56,0.0836365378797079,-0.20142677475659693,0.04598751306077276,-157.44996317553057,-4.240855681461491,-7.5915129998336095,0.1801,-0.9807,-0.037000000000000005,-0.0662
2513815.0,2121.837760000001,1.0,1.17,-3.25,-9.14,-4.69,-5.69,47.06,-1.25,-0.88,-9.75,-0.2275791877847297,0.16234856377972928,0.039723633065213086,-157.50864759230302,-4.561948975165956,-7.568544455864768,0.179,-0.9808,-0.0398,-0.066
2513852.0,2121.876582,1.0,1.31,-3.19,-9.15,-5.75,-6.06,45.38,1.88,-5.44,-16.75,-0.09122588423774083,0.2068162184006221,0.03098608956140758,-157.44996317553057,-4.9518964029981625,-7.5455762164051485,0.1788,-0.9807,-0.0432,-0.0658
2513889.0,2121.8935239999996,1.0,1.04,-2.83,-9.16,-5.0,-6.75,45.88,-7.06,-12.06,-54.63,-0.3291928404332328,0.4966641995921552,0.1816275716286757,-157.44996317553057,-6.443440527613203,-7.396290017779932,0.1758,-0.9807,-0.0562,-0.0645
2513922.0,2121.935874,1.0,0.79,-3.17,-9.15,-5.0,-6.75,45.88,-1.31,-14.38,-88.75,-0.6841738470894602,0.16404864123891796,0.1164232642488443,-156.87120131517742,-8.740349140335567,-7.396290017779932,0.1738,-0.9797,-0.0762,-0.0645
2513958.0,2122.0020640000002,1.0,2.07,-3.67,-9.63,-4.0,-6.38,45.88,-7.31,-13.75,-94.44,0.25133359347253265,-0.4643982066795605,-0.6915339253475175,-155.591382770185,-12.58451568698019,-7.5455762164051485,0.1683,-0.9774,-0.1096,-0.0658
2513995.0,2122.020397,1.0,2.6,-3.38,-9.17,-1.69,-7.5,45.38,16.37,-44.13,6.63,0.9633996982378614,-0.5063414388055187,-0.2476415896040933,-155.16145880106285,-13.830376539145913,-6.7418724197947295,0.1683,-0.9766,-0.1204,-0.0588
