acc_x,acc_y,acc_z,eul_x,eul_y,eul_z
5.08,0.87,-8.36,-125.22107317255428,-41.55011839728967,-33.4525819599508
4.88,1.03,-8.16,-125.29584795913512,-41.51335250906026,-33.368833308546726
4.26,1.95,-7.83,-125.3207938561998,-41.45208595969681,-33.428651899003285
3.92,2.21,-7.86,-124.972501010871,-41.63592288422485,-33.71591204499429
4.1,2.69,-7.36,-124.0127932062898,-42.49532318150223,-34.00339056621902
5.13,2.36,-7.15,-121.5243930799012,-44.65497713304196,-34.77108519878443
6.32,2.04,-7.06,-118.70056715200867,-46.8939256305629,-36.01000138130928
7.66,-0.13,-7.54,-113.98515404910734,-50.35196946524382,-38.197829443298346
8.02,-0.24,-7.19,-111.21754699943544,-51.97818068894304,-40.02193352838936
7.89,-0.5,-5.57,-107.8992703852027,-52.84667753179352,-43.38190073527359
8.78,-0.46,-6.95,-105.76506603938064,-51.76155935207183,-47.25639974151138
8.84,0.72,-8.05,-104.29629314706916,-48.76169642019097,-52.0164286876315
9.24,0.02,-6.65,-104.8395159971152,-46.13309422581874,-53.78269118475608
7.33,2.23,-3.86,-107.27847580775386,-41.35408524581363,-55.40750082753502
7.43,1.83,-3.31,-106.81586235047912,-37.88268575548643,-58.62858825496232
7.37,2.74,-2.71,-103.34891599443549,-32.80699313475501,-65.88539584221961
8.1,3.29,-2.43,-97.597406347569,-29.23915478171118,-73.9261202682898
9.12,4.26,-1.73,-92.47283299018945,-27.26577791911556,-80.15152621424113
9.38,4.52,-0.31,-85.32834664281017,-26.64124511049845,-87.4344931869869
10.34,4.05,-0.69,-80.52643023917007,-27.832105272694307,-91.30279024652516
10.4,3.44,0.02,-76.85151070141964,-31.03111257231891,-92.78805970081837
12.03,2.62,-2.16,-76.53006953196333,-34.65102767354547,-90.64896993931684
11.5,0.51,-1.08,-81.47583755660962,-40.53456083395825,-82.0214061143213
10.51,0.31,-1.9,-86.67586147437744,-43.5175891368055,-75.00557127858174
9.89,-0.04,-2.67,-93.53831032521614,-45.424093194951936,-66.8300983122929
9.66,-0.04,-5.46,-98.73464010261608,-45.20058056579144,-61.74108139765568
8.21,2.19,-3.51,-107.12399034350572,-43.24627621237414,-54.46469598924939
7.3,1.58,-5.41,-113.12762124009944,-41.46433827740303,-49.13941280029733
6.61,2.95,-6.89,-117.3429325945059,-39.5953816587114,-45.90899880278562
6.23,2.95,-6.74,-122.3984110822012,-37.88268575548643,-41.39083180240233
5.7,2.45,-6.24,-124.9229107357918,-37.30166033497223,-38.80472209856705
5.5,3.14,-6.95,-126.83731618493428,-36.93902480540506,-36.63712122701613
5.53,1.26,-7.96,-127.7407542896587,-37.26537941343616,-35.07140174532199
4.94,1.48,-7.07,-128.73836728652063,-37.39842842920397,-33.62013451285477
4.88,1.73,-7.49,-128.63250588646886,-37.83422856646789,-33.2731430190265
5.24,0.96,-8.07,-127.76677999527551,-38.75612925877516,-33.40472333858408
5.51,1.0,-8.67,-127.40350962041992,-39.05995387185956,-33.6081640231361
5.33,1.32,-7.89,-127.09397976921672,-39.33972504606741,-33.71591204499429
5.26,1.29,-7.56,-126.6838681332996,-39.5953816587114,-34.015373611081245
5.66,0.9,-9.09,-125.99835325546628,-39.98534936807032,-34.48301299993159
5.32,1.8,-8.13,-126.12469119973764,-39.948769456648414,-34.339061261923746
5.12,1.67,-7.66,-126.2513038466384,-40.08291658507028,-34.05132504616154
5.19,1.79,-7.87,-125.92268154117136,-40.40021990535208,-34.14721243955784
5.33,1.67,-8.43,-125.1463924412778,-41.20714343304567,-34.27909787153104
5.44,1.26,-7.8,-124.33100356461244,-42.00393403253583,-34.44701981345315
5.85,0.84,-7.91,-122.97188128580086,-42.96290285030923,-35.17957649356332
5.66,0.84,-8.3,-122.51745226375392,-43.27093047786308,-35.44414023991489
5.62,0.99,-8.16,-122.37462983210789,-43.38190073527359,-35.504295540348124
5.58,1.36,-7.67,-122.42220131273352,-43.27093047786308,-35.57649524988903
5.66,1.42,-7.88,-122.20841159701892,-43.22162404932176,-35.88952982832807
5.68,1.31,-8.09,-122.04262905399636,-43.283258399546064,-36.10640826375515
5.73,1.05,-7.8,-121.78298489723478,-43.344905905749854,-36.35960237870008
5.74,1.68,-8.1,-121.78298489723478,-43.19697398702748,-36.55263549385707
5.66,1.46,-7.62,-121.6183055994286,-43.29558684746807,-36.66126379400549
5.86,1.29,-8.04,-121.47748834883792,-43.283258399546064,-36.85446512108432
5.8,1.53,-8.02,-121.45404882910115,-43.20929875568471,-36.97527104810168
5.73,1.49,-7.41,-121.38378152894909,-43.22162404932176,-37.05986053192884
5.85,1.45,-7.96,-120.96377821929032,-43.35723698802017,-37.483123203499495
5.88,1.3,-7.8,-120.75479321636242,-43.49291375439449,-37.616257937648726
5.78,1.65,-7.38,-120.59271162762089,-43.52992762326994,-37.77366695276425
6.14,1.25,-8.2,-120.26974778474064,-43.62865462912293,-38.04022025359053
6.03,1.25,-7.82,-120.31578829659291,-43.57928687578811,-38.06446294953504
5.67,1.89,-7.16,-120.50027377126791,-43.406566594214624,-38.04022025359053
6.11,1.31,-8.11,-120.13181910251944,-43.5175891368055,-38.391913118452734
6.0,1.16,-7.68,-119.92546492630352,-43.6780308968355,-38.48899785121896
