acc_x,acc_y,acc_z,eul_x,eul_y,eul_z
6.29,4.9,-5.63,-115.98960027739392,-30.36566267714048,-51.138286174965344
6.41,4.87,-5.74,-115.94637091735842,-30.38941055279805,-51.18910455675295
6.51,4.95,-5.96,-116.0328557464382,-30.377536447956228,-51.0874785737173
6.17,4.91,-5.54,-116.22782989578606,-30.41315976518269,-50.80822871779234
6.36,4.94,-6.03,-116.3581094221592,-30.44878609284871,-50.6687250192297
6.07,4.73,-5.84,-116.77224597329428,-30.50817000692102,-50.13681071668797
5.93,4.72,-5.55,-117.013124056645,-30.496292553249216,-49.88392440352733
6.3,4.9,-5.86,-117.07896160834984,-30.401284991821623,-49.87128691094202
6.27,4.71,-5.94,-117.07896160834984,-30.306298828005648,-49.959762980286655
6.49,4.31,-5.96,-117.2328235497882,-29.92656655764556,-50.1115103596797
6.99,3.71,-6.26,-117.65216707446253,-29.274683969227155,-50.14946187500939
7.36,3.55,-6.17,-118.81305169988,-27.43088596976693,-50.07356471942519
7.4,2.85,-6.3,-119.90257635349056,-25.46505599443148,-50.0103350226896
6.96,3.67,-6.15,-121.5243930799012,-21.70718148045912,-49.79547555361781
6.16,4.66,-4.96,-122.7801400993836,-19.029325032716933,-49.164614087930325
5.86,4.73,-5.42,-123.28472684734406,-16.0609738361326,-49.12681310673511
6.17,6.26,-5.03,-123.16421485435568,-14.153639819523336,-49.41676675386262
6.37,5.98,-5.22,-122.68448977939887,-12.849707716341904,-49.87128691094202
5.6,6.33,-4.37,-122.11362560713808,-12.296340166976414,-50.44061941505198
5.98,6.2,-4.76,-120.70844309282911,-12.768989848771891,-51.95268548055449
5.97,5.92,-4.09,-117.98502779819528,-14.800508833176536,-54.50336228612648
5.64,4.97,-1.13,-113.37759496408128,-17.740803669389525,-58.64173070844467
8.46,4.05,-2.44,-101.827911474709,-21.917240280609395,-70.04526973118621
10.28,4.35,-3.66,-94.42869817988996,-23.740958889771715,-77.4231048305095
9.6,4.05,-1.42,-89.09494687724344,-24.737194611496925,-82.90516622575332
8.75,5.37,-0.53,-86.5026760902236,-25.03056340197877,-85.57793352438526
9.33,3.7,0.06,-83.41068938154757,-26.35870385587789,-88.5335263030476
