acc_x,acc_y,acc_z,eul_x,eul_y,eul_z
3.67,0.51,-9.11,-152.04943428155016,-16.026256661631813,-22.75822922439662
3.77,0.47,-9.13,-152.00202441389632,-16.049401279911372,-22.79329707445838
3.79,0.6,-9.17,-151.95469309277132,-16.049401279911372,-22.84005757373193
3.77,0.52,-9.11,-151.95469309277132,-16.0609738361326,-22.86343926833653
3.79,0.57,-9.07,-151.9074399210319,-16.0609738361326,-22.91020555294516
3.86,0.6,-9.2,-151.8602645048557,-16.072546557241562,-22.93359014513587
3.74,0.46,-9.11,-151.95469309277132,-16.049401279911372,-22.88682192770989
3.75,0.48,-9.15,-151.9074399210319,-16.049401279911372,-22.92189772810272
3.79,0.67,-9.06,-151.8602645048557,-16.014684599323402,-22.945282804181343
3.8,0.59,-9.16,-151.8602645048557,-16.026256661631813,-22.98036223475966
3.82,0.54,-9.24,-151.7661453802759,-16.026256661631813,-23.05052764872173
3.8,0.51,-8.82,-151.71920090048613,-16.03782888845279,-23.12070182440919
3.75,0.68,-8.54,-151.48561418277666,-16.072546557241562,-23.35467940290321
4.14,0.58,-8.94,-150.479330837061,-16.38507281218067,-24.40881688456287
4.13,0.7,-8.42,-148.7733502639536,-16.987323268750952,-26.029278313836883
4.26,1.17,-7.96,-146.71084020226166,-17.6712197397126,-27.950176987884003
4.81,1.36,-8.04,-142.45363711540872,-19.215254308568724,-31.90019165418321
4.72,2.2,-6.14,-138.71555439166974,-20.506574164810864,-35.33588611084891
5.22,2.47,-5.65,-130.5977575270689,-23.38978453262475,-42.63059851955768
8.35,2.3,-9.0,-124.9229107357918,-25.25363512809168,-47.75718944121001
6.7,3.06,-5.36,-120.36186107562722,-26.700128578583914,-51.799772186124144
6.47,3.76,-4.3,-115.34387175567552,-28.18641141984425,-56.2374309655145
9.08,4.04,-6.54,-108.62287531550987,-29.85540431723644,-62.262463418184296
9.02,3.68,-5.43,-105.49962088989868,-30.76955920688244,-65.01364072680407
7.22,4.91,-2.82,-104.09110859790351,-31.00732816596471,-66.25445619743063
7.74,4.71,-3.32,-100.04556964502136,-32.09092481112806,-69.73771440110959
8.84,5.6,-4.55,-98.12066633896302,-31.959785992705623,-71.52122812984334
7.88,4.87,-3.05,-97.92848570683064,-32.031310917714855,-71.69077715376791
8.41,4.85,-3.56,-98.12066633896302,-32.12669742786024,-71.49298753090414
8.79,4.7,-4.16,-99.63621890239712,-31.94786641552185,-70.14324952507593
9.08,4.18,-4.8,-102.1191689740896,-31.39994691440291,-68.00098090210307
7.65,4.29,-3.92,-106.89278954728871,-30.16385952856291,-63.79482577106735
7.78,3.91,-4.74,-110.1295559906411,-29.440524955343967,-60.88853462317393
8.34,3.55,-6.0,-114.21690781898718,-28.18641141984425,-57.31856128888758
6.78,3.65,-5.13,-117.43114513307,-27.253986698732728,-54.42603640579737
7.07,3.32,-5.87,-120.50027377126791,-26.170433719349266,-51.736087563875465
7.2,2.81,-6.72,-122.58898532309728,-25.371080328389592,-49.88392440352733
6.57,3.11,-6.39,-125.74649376545209,-24.11579445991055,-47.1313522186008
6.44,2.66,-6.68,-127.87100362286014,-23.30787601995589,-45.26264916304815
6.05,2.6,-6.79,-130.18802216268048,-22.314222150985408,-43.22162404932176
6.02,2.61,-7.38,-131.56643317341502,-21.62551192117329,-42.01620886419129
5.84,2.58,-7.55,-133.3576107786115,-20.762818905741057,-40.47348957852153
5.81,2.52,-7.44,-134.52935339042858,-20.21551264575777,-39.43709392400925
5.79,2.41,-8.03,-135.88272800413355,-19.61052428537218,-38.270597450084026
5.35,2.33,-7.95,-137.088392741319,-19.261744588057013,-37.1323824635344
4.97,2.09,-7.38,-139.04184146178912,-18.51827857520288,-35.408051904136364
5.23,2.14,-8.15,-139.70199765652578,-18.170051350104245,-34.843138613311
5.04,2.08,-7.96,-140.44035437538835,-17.763999776816537,-34.23113412634732
5.27,1.91,-8.21,-140.61001416599206,-17.636430239406273,-34.07529458830543
5.49,1.75,-8.37,-140.9514569794307,-17.381357078894993,-33.811713840931375
5.42,1.7,-8.34,-141.74788525089278,-16.801965875210325,-33.2133487153414
5.95,1.08,-8.6,-142.4180463131718,-16.084119443363345,-32.795047946580326
5.8,1.08,-8.68,-143.64697188895283,-14.950741939900691,-31.90019165418321
5.48,0.96,-8.0,-145.8027223342799,-12.88430304585338,-30.28255562108873
4.82,1.69,-8.2,-147.84997349806363,-10.22366575133618,-28.74204597594341
4.85,1.64,-8.25,-149.1588584140195,-8.349651905481078,-27.82029976108695
4.53,1.89,-8.06,-150.56941987552764,-5.743441500733661,-26.77079822131657
4.44,1.38,-8.07,-151.34635737161238,-3.793673550039814,-26.21749449261709
4.01,2.24,-7.74,-151.3927025567389,-1.2490727279396536,-25.98223545272544
4.17,2.57,-8.19,-150.84131999821054,0.6531754234266163,-26.22926038886817
3.8,2.42,-7.42,-149.72415559222358,2.888013009772368,-26.74724052277769
