acc_x,acc_y,acc_z,eul_x,eul_y,eul_z
3.98,-3.01,-8.98,-139.14021367291954,-27.855717200127582,-18.228077382152183
3.77,-2.8,-8.62,-139.14021367291954,-27.832105272694307,-18.286108128329392
3.68,-3.03,-8.4,-139.1073977684417,-27.832105272694307,-18.36735912324753
3.8,-2.92,-8.36,-139.00910093867893,-27.796689641349,-18.564721836939235
3.73,-2.98,-7.86,-138.71555439166974,-27.666855466190324,-19.192010366536685
3.64,-3.05,-5.84,-137.97429037596618,-27.183245547895737,-20.9608980601766
4.38,-1.97,-6.1,-134.14543141113884,-25.852890528278607,-28.25730554929696
7.34,-2.38,-6.46,-127.5329807280848,-24.67854067669555,-37.03568997450844
8.87,-1.67,-4.56,-116.27122992614628,-22.44271531767953,-50.98589564550729
11.15,-1.56,-5.5,-106.6238479083088,-20.471639758994087,-61.88799370587642
11.48,-2.38,-4.33,-99.42333079065403,-19.18038869449432,-69.29138458685418
9.97,-1.8,-1.66,-97.91103310726488,-18.83183055191492,-71.18267056189946
9.94,-1.81,-1.61,-97.25007802261707,-18.69245669557365,-71.84635644599051
10.14,-2.14,-1.89,-97.42359233173356,-18.88991127772655,-71.64837292642449
9.75,-2.33,-1.66,-98.75223846738032,-19.08742247639564,-70.46559845800101
9.31,-2.94,-1.43,-100.90554181397611,-18.947996901150287,-68.65188033330544
9.45,-5.11,-2.27,-102.0644885076778,-17.798795314151782,-68.0148037838229
9.54,-4.02,-2.31,-105.1029620001446,-13.080365619179068,-67.33879642330523
8.72,-2.53,-2.26,-107.7630780368658,-9.315090195791669,-66.52833488574433
8.68,-1.5,-2.73,-110.00958136957878,-4.504608331312204,-66.1040049398115
8.21,-0.95,-2.57,-110.99470186962544,-1.8450038134157023,-65.99466654035382
8.99,0.01,-2.97,-111.0351722213916,0.8136069048374162,-66.65172039063913
9.26,-0.02,-2.72,-110.65153929836842,1.9023072532875973,-67.26996578520281
9.41,-0.34,-2.69,-109.92969787688708,2.2919839967771853,-68.05627918144376
9.37,-1.7,-2.85,-109.03641233282303,1.9710720103882065,-68.87403881539461
9.36,-2.59,-2.83,-108.44628015323634,1.959611168911186,-69.37497967027187
9.21,-2.26,-2.63,-108.19186283336568,1.7303983035632713,-69.55624736247115
9.05,-2.78,-2.55,-107.7825204980392,1.1803139285143014,-69.93336466039091
9.46,-3.82,-2.73,-107.104699496576,1.0427975798203954,-70.49365903494044
9.25,-1.6,-2.62,-107.35582470459704,1.8220825674649568,-70.40949185665009
8.81,-2.08,-2.46,-107.5107359806462,1.5241126706819226,-70.2973367467073
9.33,-2.52,-2.8,-107.25914966329704,1.5699534720315549,-70.54979476235701
9.26,-1.73,-2.51,-107.29780638051407,1.8106219718874,-70.57786992125247
9.01,-2.08,-2.5,-107.25914966329704,1.5355728478655368,-70.60594994922624
9.13,-2.84,-2.65,-106.98904660999506,1.2605325708995527,-70.78858910682754
9.28,-2.16,-2.6,-106.98904660999506,1.3751317128217122,-70.80264683442816
9.03,-2.11,-2.47,-107.02758003485113,1.4438918508267422,-70.81670578777461
9.3,-2.61,-2.49,-106.77742482625295,1.2490727279396536,-71.0277375402144
9.54,-2.24,-2.53,-106.681406842105,1.5584932484256673,-71.1544897805901
9.08,-2.12,-2.42,-106.79664141842296,1.7074774129745531,-71.0981430834236
9.04,-2.15,-2.52,-106.81586235047912,1.5699534720315549,-71.0981430834236
9.26,-2.05,-2.72,-106.681406842105,1.7189378496716434,-71.23904701158034
9.18,-2.05,-2.57,-106.64302990624311,1.7074774129745531,-71.30954553159043
9.05,-1.98,-2.32,-106.5663277531852,1.5126525087430307,-71.38007517925647
9.49,-2.45,-2.64,-106.18384425288782,1.2261530793833222,-71.71905293720884
9.29,-2.26,-2.53,-106.18384425288782,1.2490727279396536,-71.69077715376791
8.9,-1.97,-2.28,-106.43226434357533,1.3407518310456548,-71.49298753090414
9.35,-2.56,-2.59,-106.24110823664704,1.1688541705956874,-71.69077715376791
9.43,-2.28,-2.59,-106.24110823664704,1.3751317128217122,-71.71905293720884
9.09,-1.91,-2.4,-106.39399903423676,1.6043342375287626,-71.60598002322817
8.98,-2.13,-2.58,-106.39399903423676,1.5355728478655368,-71.62010973363981
9.23,-1.93,-2.6,-106.29841038740038,1.6960169933572922,-71.73319272014939
9.34,-2.08,-2.33,-106.05037621061464,1.5126525087430307,-71.95960119494845
9.31,-2.39,-2.48,-105.95516818414836,1.4095117183833985,-72.01625404214369
9.12,-2.39,-2.53,-105.99323879892164,1.6272548279067642,-72.00208892273058
9.26,-2.06,-2.38,-105.93613916476912,1.6960169933572922,-72.0729272521427
9.36,-2.31,-2.46,-105.84105681640696,1.6616358358374437,-72.15797532584308
9.22,-2.2,-2.59,-105.87907721917452,1.8335431812694831,-72.14379745445741
