acc_x,acc_y,acc_z,eul_x,eul_y,eul_z
0.32,-1.09,-9.6,-102.13740297255076,-77.30566907284118,2.3034454566839293
0.33,-0.84,-9.79,-102.17388174945586,-77.29099637299755,1.9710720103882065
0.45,-0.77,-9.26,-101.90064026735676,-77.51124498215967,1.6730962049034406
0.38,-0.2,-8.68,-100.76167247514276,-78.48441476201302,0.8709042326408071
1.17,-0.69,-8.17,-98.73464010261608,-80.04673804640113,-0.3552344019497601
1.72,-1.54,-7.4,-95.05474342247336,-82.41683612578922,-3.105811485245125
3.97,-3.54,-9.5,-92.2246080237603,-83.34930824823599,-6.3631010384043885
4.63,-3.68,-8.89,-89.98269667432403,-82.81346469014701,-11.178940913568928
5.35,-2.5,-6.98,-89.14319448171844,-81.03797395445109,-15.7832777083714
7.11,-2.0,-6.23,-87.60902244316307,-77.0271439519232,-23.62387580431868
8.93,-1.56,-7.12,-85.9219396467963,-72.86851051764684,-30.22320342475908
9.94,-1.56,-7.73,-83.90279877211277,-67.29749473790226,-38.0038595239246
10.13,-1.64,-6.56,-84.11869444886841,-63.05395914548726,-42.815165407712406
9.64,0.18,-6.4,-86.01592640293836,-60.91512002849741,-44.37020029186166
8.85,-0.74,-5.02,-88.66161388971882,-60.31782031136974,-43.135358011103925
8.58,-0.86,-5.96,-91.33558129123824,-60.06617050138386,-41.45208595969681
7.32,0.15,-4.91,-95.1226475867278,-59.973537976801865,-38.97485427752672
7.92,-0.62,-7.59,-96.95578604014553,-60.3443284261737,-37.09611957275582
6.62,-0.64,-6.51,-99.86737745872108,-61.367629313530685,-33.440616741828144
6.07,-0.5,-6.34,-101.55568290678625,-62.04839058120868,-30.91220422108664
6.42,-0.54,-8.36,-102.66776223181776,-63.1077408741901,-28.24548909512887
5.64,-1.28,-7.86,-103.42286086216532,-64.34905178938227,-25.58255007875368
4.83,-1.21,-7.02,-104.37102298797171,-65.65341937322533,-22.267504416511223
5.06,-0.96,-8.45,-104.67057274431016,-65.9810040052897,-21.33392533931821
5.02,-1.21,-9.25,-104.53939520886964,-66.5420400796265,-20.57644875978384
4.73,-1.56,-8.54,-104.61433000481748,-67.31126086505994,-18.99446893703411
4.26,-0.97,-8.5,-104.93351333870716,-67.68336405721995,-17.787196618044018
4.1,-0.76,-8.63,-105.04644280430534,-68.05627918144376,-16.96415115593626
4.33,-1.2,-9.45,-104.57685468499146,-68.86014526786532,-15.875832638109523
4.0,-1.79,-8.25,-104.05385291977898,-69.77961983723269,-14.534774284595128
3.81,-1.52,-8.35,-103.92358004914206,-69.98930763271481,-14.25756979612918
3.81,-1.51,-8.6,-103.75636397061544,-70.04526973118621,-14.407711711634985
4.11,-1.66,-8.99,-103.5709322566378,-70.0032963629689,-14.742733694368155
4.29,-1.78,-8.93,-103.47835920176271,-69.77961983723269,-15.216602467156427
4.14,-1.55,-8.45,-103.58945826629656,-69.47256064706727,-15.725436142775802
4.57,-1.24,-9.37,-103.75636397061544,-68.90182937625673,-16.651395613206027
