TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
1933346.0,1842.0723239999998,1.0,1.68,4.37,-8.43,4.88,-32.25,27.87,-1.06,-5.88,1.06,-0.2304120146386324,-0.04840780983029891,0.16669320614155406,-130.40615307468192,-38.23421144458892,-20.075850034388896,-0.1957,-0.9078,-0.3275,-0.1743
1933383.0,1842.1028399999998,1.0,1.82,3.96,-8.55,5.19,-31.87,27.87,0.81,-3.13,4.94,-0.3842780106834016,-0.4534075929950046,0.2283802206964473,-130.62518646665285,-38.028099568652365,-19.982758376303032,-0.1954,-0.9086,-0.3258,-0.1735
1933416.0,1842.1882870000002,1.0,2.02,4.71,-8.89,5.19,-31.87,27.87,-5.13,-3.25,8.19,-0.018851867502740705,-0.1565920526271265,-0.4535509500860009,-130.79006103529238,-37.688899081409396,-19.994394103683586,-0.1973,-0.9092,-0.32299999999999995,-0.1736
1933453.0,1842.192594,1.0,1.64,4.64,-8.48,4.88,-32.25,27.87,-7.56,-11.81,3.75,-0.14168118177449007,0.1210419180814868,0.003850639776503685,-131.03834889093932,-37.362137156703376,-19.81987998842397,-0.1987,-0.9101,-0.3203,-0.1721
1933490.0,1842.2433219999998,1.0,1.16,4.5,-7.92,5.19,-31.56,27.5,-1.0,-3.56,5.06,-0.31613116339210434,0.4500407264463195,0.640433526881333,-131.1767984012427,-37.168649209123814,-19.691932497848974,-0.2001,-0.9106,-0.3187,-0.171
1933522.0,1842.2606039999998,1.0,1.19,4.64,-8.14,5.19,-31.56,27.5,0.81,5.69,10.81,-0.34530188311826937,0.5071387239464271,0.3817427365735302,-131.37124925693712,-36.90278239165085,-19.85477908376032,-0.1992,-0.9113,-0.3165,-0.1724
1933557.0,1842.302452,1.0,1.59,5.22,-8.58,5.56,-32.25,26.69,4.56,10.06,5.0,0.015991879301790586,0.6088712139476176,-0.3433214336850394,-131.45480922787246,-36.74577605968171,-20.122400879873982,-0.1974,-0.9116,-0.3152,-0.1747
1933594.0,1842.362565,1.0,0.83,5.15,-7.87,4.5,-32.69,27.06,6.19,11.63,-8.13,-0.28290201726330944,1.2612163608211802,0.4537039539765662,-131.2600452849924,-36.975271048101675,-20.378490735265764,-0.1956,-0.9109,-0.3171,-0.1769
1933629.0,1842.370084,1.0,0.12,3.9,-7.7,4.5,-32.69,27.06,12.06,29.37,-8.69,-1.3876490632119358,0.9474564710913712,1.3395869724352387,-130.95545525843715,-37.41052638436744,-20.856024774540764,-0.1913,-0.9098,-0.3207,-0.18100000000000002
1933664.0,1842.430355,1.0,1.12,5.54,-8.79,4.88,-31.56,26.75,3.56,15.06,-29.94,-0.3864997029454773,1.2908257011740711,-0.5564811382618124,-129.99788861220236,-38.306987464775865,-21.707181480459113,-0.1885,-0.9063,-0.3281,-0.1883
