TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
3537879.0,449.23554400000006,1.0,1.29,2.48,-9.42,14.69,-19.87,26.37,-0.06,0.31,0.44,0.0007251560155468463,0.05331955755570705,-0.019237059137756408,-122.44600053491276,-54.709696245156145,-13.691869135619404,-0.0797,-0.8765,-0.4595,-0.1192
3537913.0,449.244022,1.0,1.41,2.5,-9.68,15.06,-20.25,26.37,0.12,1.5,-0.75,0.002902065041569591,-0.03733413248693873,-0.2898393770344736,-122.42220131273352,-54.735501492602346,-13.738036026791262,-0.0796,-0.8764,-0.4597,-0.1196
3537950.0,449.31107599999996,1.0,1.39,2.32,-9.55,15.75,-20.25,24.75,1.75,-0.75,-0.06,-0.10415951861712852,-0.11478144838576695,-0.11771275101771472,-122.39841108220119,-54.74840524433751,-13.703410648771609,-0.0792,-0.8763,-0.4598,-0.1193
3537985.0,449.318567,1.0,1.45,2.53,-9.6,15.75,-20.25,24.75,-0.88,2.19,-0.12,0.07666474684667253,-0.04115075734518636,-0.22608786818736706,-122.39841108220119,-54.76130974847422,-13.738036026791262,-0.079,-0.8763,-0.4599,-0.1196
3538018.0,449.371774,1.0,1.41,2.43,-9.67,14.25,-20.25,26.37,1.0,0.06,-0.31,-0.04904306295978828,-0.06381138889780225,-0.2628794271689987,-122.39841108220119,-54.76130974847422,-13.772662665221276,-0.079,-0.8763,-0.4599,-0.1199
3538053.0,449.418741,1.0,1.37,2.35,-9.52,15.38,-20.69,26.37,0.88,-0.25,-0.44,-0.08782023669564787,-0.06940844916826627,-0.09371716860596102,-122.39841108220119,-54.774215005307816,-13.761120312162008,-0.0788,-0.8763,-0.46,-0.1198
3538089.0,449.436563,1.0,1.37,2.51,-9.52,14.25,-20.25,25.19,-0.12,-0.37,0.63,0.03722738547019061,0.019155857436613518,-0.13345297607106765,-122.39841108220119,-54.774215005307816,-13.761120312162008,-0.0789,-0.8763,-0.46,-0.1198
3538124.0,449.49710899999997,1.0,1.39,2.4,-9.55,14.25,-20.25,25.19,2.63,0.56,-0.81,-0.043407539768652526,-0.05807983423169194,-0.13766206863234132,-122.37462983210787,-54.78712101513374,-13.749578099392743,-0.0787,-0.8762,-0.4601,-0.1197
3538161.0,449.50051900000005,1.0,1.52,2.25,-9.76,15.06,-20.25,26.37,1.63,0.44,-0.5,-0.1408464615748714,-0.23988188527352736,-0.3202013840867366,-122.39841108220119,-54.800027778247525,-13.749578099392743,-0.0778,-0.8763,-0.4602,-0.1197
3538196.0,449.57716600000003,1.0,1.37,2.35,-9.42,15.06,-20.69,26.87,-1.0,-1.56,-0.25,-0.04354897240522032,-0.05326088263170359,0.002004837354707689,-122.39841108220119,-54.78712101513374,-13.714952301602876,-0.0778,-0.8763,-0.4601,-0.1194
