acc_x,acc_y,acc_z,eul_x,eul_y,eul_z
-1.05,1.77,-9.41,-131.2878239276356,-46.95638557950453,0.8136069048374162
-0.89,1.75,-9.72,-131.2600452849924,-46.9938686467816,0.7448503787209418
-0.88,1.65,-9.71,-131.23228149999522,-47.03135704516996,0.8479852761926534
-1.11,1.78,-9.31,-131.20453254720215,-47.03135704516996,0.9740399810272836
-1.0,1.75,-9.56,-131.20453254720215,-47.05635227559625,0.9282017781870658
-0.85,1.8,-9.72,-131.1767984012427,-47.09384957314965,0.8250663536663884
-1.0,1.63,-9.44,-131.20453254720215,-47.0813498800656,0.8938232239278141
-0.98,1.8,-9.55,-131.1767984012427,-47.09384957314965,0.8709042326408071
-0.99,1.76,-9.65,-131.14907903681728,-47.11885074218369,0.9052827329224428
-0.99,1.76,-9.66,-131.14907903681728,-47.11885074218369,0.9282017781870658
-0.81,1.76,-9.72,-131.09368455172458,-47.18136407572362,0.8938232239278141
-0.91,1.76,-9.6,-131.0660093808112,-47.2313854664036,0.9625804159917916
-1.18,1.75,-9.37,-130.9830718545965,-47.29392563415834,1.0771765184626354
-0.69,1.68,-9.86,-130.95545525843715,-47.343968530185975,1.0198783397289315
-1.08,1.55,-9.44,-130.92785324394194,-47.36899357064292,1.1115555540621913
-0.93,1.63,-9.58,-130.92785324394194,-47.36899357064292,1.1115555540621913
-0.87,1.74,-9.71,-130.92785324394194,-47.35648075084825,1.100095864564908
-0.99,1.69,-9.43,-130.92785324394194,-47.35648075084825,1.1459346897143057
-1.05,1.77,-9.55,-130.92785324394194,-47.35648075084825,1.2032334798806037
-0.88,1.82,-9.82,-130.92785324394194,-47.33145690842096,1.1803139285143014
-1.09,1.67,-9.46,-130.9830718545965,-47.29392563415834,1.2605325708995527
-0.99,1.9,-9.66,-130.9830718545965,-47.281416405631816,1.2605325708995527
-1.08,1.62,-9.73,-130.9830718545965,-47.26890777482772,1.3865917007687605
-1.15,1.76,-9.43,-130.9830718545965,-47.26890777482772,1.4438918508267422
-1.01,1.74,-9.64,-131.01070305716067,-47.25639974151138,1.5126525087430307
-1.08,1.77,-9.66,-131.01070305716067,-47.24389230544818,1.6272548279067642
-1.18,1.87,-9.49,-131.01070305716067,-47.2313854664036,1.741858774764144
-1.05,1.68,-9.63,-131.01070305716067,-47.24389230544818,1.8450038134157023
-1.34,1.69,-9.26,-131.01070305716067,-47.24389230544818,2.0054546535892377
-1.14,1.5,-9.44,-131.01070305716067,-47.26890777482772,1.9710720103882065
-0.96,1.53,-9.49,-131.0660093808112,-47.26890777482772,1.9252287616436885
-1.27,1.57,-8.83,-131.0660093808112,-47.25639974151138,2.0054546535892377
-1.71,1.51,-8.3,-131.09368455172458,-47.30643546064212,1.8908465277120163
-1.08,1.37,-8.76,-131.14907903681728,-47.33145690842096,1.4782721132478738
-1.13,1.53,-8.28,-131.2600452849924,-47.343968530185975,0.8479852761926534
-1.05,1.53,-8.04,-131.31561745343842,-47.40653562717492,0.1718874029970642
-0.75,0.98,-8.75,-131.4269409010407,-47.50667419847937,-1.1115555540621913
-0.47,1.52,-8.59,-131.3990875860209,-47.58180340274293,-2.2575997541901875
0.03,1.63,-8.75,-131.45480922787246,-47.60685129535253,-3.908329853329541
0.02,1.42,-8.97,-131.31561745343842,-47.71959673028522,-5.341901218009245
0.92,1.2,-9.09,-131.14907903681728,-47.78225428161778,-7.3733240323499585
1.23,0.64,-9.48,-131.03834889093932,-47.71959673028522,-8.866772764864926
1.65,0.96,-9.8,-130.79006103529238,-47.53171485619927,-11.121372822035768
2.53,0.9,-10.04,-130.6800872399157,-47.25639974151138,-12.815113562902276
2.87,0.5,-10.48,-130.62518646665285,-46.7191162156521,-14.858287755594215
2.81,0.9,-10.22,-130.57034285366944,-46.23275206665912,-16.38507281218067
3.35,0.77,-10.38,-130.76254599505174,-45.26264916304815,-18.286108128329392
3.42,0.93,-10.05,-130.9830718545965,-44.456840863061686,-19.56400979675284
3.42,1.01,-10.03,-131.4269409010407,-43.24627621237414,-21.04247844328356
3.87,1.28,-10.28,-132.07176372350168,-41.81987201497412,-22.384305799332328
4.29,1.64,-10.58,-132.63918862221735,-40.69340241756593,-23.16748949044666
4.2,1.8,-10.39,-133.58972143720712,-39.19372713365675,-23.83464346005029
4.53,1.88,-10.83,-134.38132917213414,-38.12507743338386,-24.13923033811999
4.43,1.87,-10.51,-135.57859793518082,-36.74577605968171,-24.06892577380089
4.06,1.9,-10.03,-136.62090215577362,-35.745018073663594,-23.76437852052494
3.88,1.85,-9.98,-137.81479293008655,-34.63902408126335,-23.296175790566195
3.87,2.18,-10.08,-138.81318085103794,-33.79973728659347,-22.79329707445838
3.6,2.52,-9.81,-140.17034192327273,-32.84283089936096,-21.84721243198945
3.42,2.49,-9.67,-141.02009032147248,-32.37719603241224,-21.04247844328356
3.37,2.3,-10.03,-142.06390845011202,-31.924028325694472,-19.92458285893285
2.97,2.06,-9.52,-142.73954322436268,-31.697637029521523,-19.017706136871343
2.89,1.79,-9.58,-143.57357451370328,-31.59044340777591,-17.59004678708234
3.13,1.51,-9.97,-144.05324557319378,-31.614261757826505,-16.570331326030242
2.56,1.2,-9.49,-144.72781275910324,-31.70954918748255,-14.985414779298193
2.6,1.13,-9.58,-145.10802458844395,-31.81677445459612,-13.8765501759761
2.17,0.69,-9.44,-145.53094905314887,-32.007467853657644,-12.330917071488786
2.16,0.93,-9.76,-145.91984007134727,-32.150547625319554,-10.879617409371033
1.98,1.04,-9.56,-146.1159090950019,-32.25789123557385,-9.92457255015729
1.81,1.2,-9.53,-146.23408088100356,-32.412994497933816,-8.947229783297066
1.41,1.07,-9.54,-146.2735608004224,-32.75921457984873,-7.3733240323499585
1.09,0.66,-9.45,-146.15525518443252,-33.105742400688804,-6.236859579751598
0.71,1.03,-9.12,-145.9981360073074,-33.51241368583526,-4.71104003397371
0.39,0.85,-9.12,-145.76376947074462,-33.883581162404816,-3.266301709643329
0.23,0.42,-9.53,-145.49229376528544,-34.20715457242007,-2.3263684457528235
-0.13,0.51,-9.13,-145.06982302382067,-34.675036035061034,-1.1230152546764245
-0.31,0.47,-9.16,-144.80353687392875,-34.89118212049759,-0.3323159869732291
-0.44,0.52,-9.34,-144.46400874868328,-35.21564193303898,0.4583674584234223
-0.71,0.42,-9.13,-144.20208645663692,-35.44414023991489,0.9969591404369118
