TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
1491689.0,1201.666922,1.0,-5.14,-1.87,-8.16,33.19,-14.25,13.25,-0.88,0.06,-0.06,0.0240182621514417,0.035138736089645906,-0.016806030965337726,-117.23282354978821,-51.16369401723818,33.62013451285477,-0.0324,-0.8537,-0.4318,0.2892
1491726.0,1201.682762,1.0,-5.06,-1.92,-8.11,34.25,-12.75,15.38,0.06,-0.06,0.44,-0.0016732008544633331,-0.03577035049265353,0.056736273077870436,-117.254831475668,-51.16369401723818,33.6081640231361,-0.0323,-0.8538,-0.4318,0.2891
1491761.0,1201.7316119999996,1.0,-5.07,-1.89,-8.16,34.25,-12.75,15.38,-1.88,0.37,-0.31,0.03302043103979571,-0.029518790237893836,0.01580538412763488,-117.254831475668,-51.17639894970855,33.58422417640036,-0.0327,-0.8538,-0.4319,0.2889
1491795.0,1201.860228,1.0,-5.08,-1.92,-8.12,32.75,-13.88,14.06,0.81,-0.81,-0.56,-0.013039087372507169,-0.029458738268060117,0.038018459966353994,-117.23282354978821,-51.20181083863503,33.58422417640036,-0.0328,-0.8537,-0.4321,0.2889
1491830.0,1201.9503,1.0,-5.07,-1.92,-8.03,33.5,-13.5,13.25,-1.0,0.25,-0.44,-0.0530543661876524,-0.011661766621927859,0.11803558732840892,-117.21082255070309,-51.20181083863503,33.57225481905068,-0.033,-0.8536,-0.4321,0.2888
1491865.0,1202.000869,1.0,-5.0,-2.02,-8.09,33.88,-13.5,13.25,0.44,0.69,0.25,-0.07004911074037984,-0.14021083496459075,0.08533660911278851,-117.23282354978821,-51.20181083863503,33.56028583882476,-0.0329,-0.8537,-0.4321,0.2887
1491902.0,1202.017909,1.0,-5.11,-1.91,-8.07,33.88,-13.5,13.25,-1.94,-0.69,0.12,-0.053532855835044135,0.003957403658479519,0.06589958885084535,-117.21082255070309,-51.2272254279677,33.548317235556404,-0.0336,-0.8536,-0.4323,0.2886
1491937.0,1202.164115,1.0,-5.03,-1.91,-8.2,33.88,-13.5,13.25,-1.06,1.75,0.37,0.037982011747173416,-0.09026276652860564,-0.000460175773607574,-117.23282354978821,-51.23993373594613,33.51241368583526,-0.0336,-0.8537,-0.4324,0.2883
1491974.0,1202.219618,1.0,-4.98,-2.0,-8.13,33.5,-13.88,13.69,0.31,2.25,0.88,-0.054045333005140056,-0.15401811888862715,0.06649304433268277,-117.27684633570152,-51.23993373594613,33.416687431310486,-0.0336,-0.8539,-0.4324,0.2875
1492008.0,1202.318607,1.0,-4.99,-1.99,-8.18,33.5,-13.88,13.69,-1.75,0.44,0.88,-0.03498421408629936,-0.15546249404606316,0.021599794829372243,-117.32089688772969,-51.2272254279677,33.380796277367786,-0.0337,-0.8541,-0.4323,0.2872
1492043.0,1202.364315,1.0,-5.06,-1.93,-8.26,33.19,-13.88,13.69,-3.38,0.37,1.06,0.0008454550114692232,-0.10697132868502136,-0.06981983593050778,-117.3429325945059,-51.214517795618676,33.3449084936511,-0.0347,-0.8542,-0.4322,0.2869
1492078.0,1202.3800609999996,1.0,-5.06,-1.77,-8.2,34.25,-13.5,14.5,-3.19,-1.12,1.06,0.08029940953863958,-0.004075882653676088,0.010220273206243745,-117.3429325945059,-51.2272254279677,33.309024075692264,-0.0358,-0.8542,-0.4323,0.2866
1492115.0,1202.382919,1.0,-5.06,-1.85,-8.13,33.19,-14.56,13.25,-0.56,-1.0,0.06,-0.014065801773690044,-0.03506017201943101,0.0536210890637463,-117.36497526499909,-51.20181083863503,33.309024075692264,-0.0359,-0.8543,-0.4321,0.2866
1492150.0,1202.3858480000001,1.0,-5.08,-1.71,-8.13,33.19,-14.56,13.25,-1.88,-1.12,0.75,0.07945429022702273,0.055145196664682095,0.06919417093205205,-117.3429325945059,-51.2272254279677,33.32098517464778,-0.0366,-0.8542,-0.4323,0.2867
1492185.0,1202.425634,1.0,-5.1,-1.78,-8.19,33.5,-14.25,12.5,-0.88,-0.37,-0.19,0.04088393498895152,0.002958003583800939,-0.004202142096252359,-117.32089688772969,-51.2272254279677,33.309024075692264,-0.0369,-0.8541,-0.4323,0.2866
1492221.0,1202.441699,1.0,-5.08,-1.84,-8.07,33.5,-14.25,14.5,1.88,-0.69,0.5,-0.04372965893175401,-0.010701111148221476,0.09506551531626606,-117.32089688772969,-51.2272254279677,33.3449084936511,-0.0367,-0.8541,-0.4323,0.2869
1492256.0,1202.444654,1.0,-5.0,-1.97,-8.22,33.5,-14.25,14.5,0.81,1.12,1.12,-0.032365967126078865,-0.1921191957922556,-0.01227777541316577,-117.3429325945059,-51.17639894970855,33.356870714029654,-0.0363,-0.8542,-0.4319,0.287
1492289.0,1202.480448,1.0,-5.09,-1.87,-8.2,32.75,-14.56,14.88,-2.0,-1.69,-0.5,-0.011696304422290528,-0.06796899282221157,-0.02392696233937386,-117.32089688772969,-51.20181083863503,33.356870714029654,-0.0369,-0.8541,-0.4321,0.287
1492326.0,1202.4870460000004,1.0,-5.11,-1.83,-8.03,33.88,-14.56,13.25,0.25,-0.5,0.94,-0.07086759788325916,0.01983307669477164,0.11456640395940987,-117.3429325945059,-51.17639894970855,33.356870714029654,-0.0371,-0.8542,-0.4319,0.287
1492363.0,1202.503535,1.0,-5.09,-1.73,-8.16,33.88,-13.06,13.69,-1.44,-0.31,0.31,0.07134517795813294,0.022424753191620628,0.03521167209625098,-117.3429325945059,-51.17639894970855,33.356870714029654,-0.0374,-0.8542,-0.4319,0.287
1492396.0,1202.506337,1.0,-5.03,-1.85,-8.25,33.88,-13.06,13.69,-0.56,0.06,-0.56,0.05085620611627119,-0.12436668703225118,-0.03041493693398678,-117.3429325945059,-51.17639894970855,33.368833308546726,-0.0374,-0.8542,-0.4319,0.2871
1492432.0,1202.541255,1.0,-5.15,-1.79,-7.97,33.5,-14.25,12.88,-0.06,-0.31,0.06,-0.08504411054465916,0.07779571639489412,0.15086337612661005,-117.32089688772969,-51.18910455675295,33.40472333858408,-0.0378,-0.8541,-0.4320000000000001,0.2874
1492467.0,1202.547728,1.0,-5.15,-1.87,-8.0,33.19,-13.88,14.06,-0.56,-0.37,0.06,-0.1320628654787891,0.01849479903486606,0.1112068774825854,-117.32089688772969,-51.18910455675295,33.40472333858408,-0.0378,-0.8541,-0.4320000000000001,0.2874
1492504.0,1202.564531,1.0,-5.11,-1.8,-8.12,33.19,-13.88,14.06,-0.19,1.44,0.19,-0.011288206370002468,-0.0031510784939396963,0.045176614946836224,-117.32089688772969,-51.18910455675295,33.368833308546726,-0.0379,-0.8541,-0.4320000000000001,0.2871
1492539.0,1202.567467,1.0,-5.07,-1.89,-8.3,33.5,-14.56,12.88,-0.12,-0.25,0.25,0.019502828546975826,-0.14339604772087844,-0.10021919330101524,-117.32089688772969,-51.18910455675295,33.356870714029654,-0.0379,-0.8541,-0.4320000000000001,0.287
1492576.0,1202.604408,1.0,-5.04,-1.75,-8.22,33.5,-14.56,11.69,-2.0,0.12,0.37,0.09483246394263076,-0.05561563721404928,0.007649351735919294,-117.32089688772969,-51.214517795618676,33.32098517464778,-0.0383,-0.8541,-0.4322,0.2867
1492611.0,1202.611543,1.0,-5.12,-1.7,-8.05,33.5,-14.25,14.06,-0.88,-0.88,-0.44,0.016667580655133296,0.07921100868061083,0.11643081734685624,-117.32089688772969,-51.2272254279677,33.332946647245606,-0.0387,-0.8541,-0.4323,0.2868
1492647.0,1202.629372,1.0,-5.18,-1.78,-8.03,33.5,-14.25,14.06,0.31,-0.56,-0.12,-0.08101260683158706,0.07859916254419398,0.08713565363568597,-117.32089688772969,-51.2272254279677,33.332946647245606,-0.0387,-0.8541,-0.4323,0.2868
1492684.0,1202.632378,1.0,-5.06,-1.94,-8.18,33.5,-13.5,13.25,-0.5,-0.75,-0.5,-0.07574461845962804,-0.15341872045990024,-0.0040750215764777655,-117.29886813726064,-51.2272254279677,33.3449084936511,-0.0386,-0.8540000000000001,-0.4323,0.2869
1492719.0,1202.712365,1.0,-5.09,-1.88,-8.02,33.5,-14.25,13.25,-0.25,1.75,0.69,-0.12172556439049495,-0.04420611234865335,0.12439154927659325,-117.32089688772969,-51.2272254279677,33.32098517464778,-0.0387,-0.8541,-0.4323,0.2867
1492752.0,1202.768373,1.0,-4.95,-1.91,-8.28,33.5,-14.25,13.25,-1.31,-1.37,0.12,0.04043768698633275,-0.24199992731729514,-0.024362197563872808,-117.32089688772969,-51.214517795618676,33.32098517464778,-0.0385,-0.8541,-0.4322,0.2867
1492787.0,1202.777879,1.0,-5.07,-1.88,-8.13,33.5,-13.88,14.06,-1.88,0.5,1.06,-0.06633827823704665,-0.09662194993100247,0.04332764377145715,-117.3429325945059,-51.20181083863503,33.309024075692264,-0.0389,-0.8542,-0.4321,0.2866
1492824.0,1202.827951,1.0,-5.11,-1.82,-7.97,33.19,-14.56,13.69,-1.88,0.5,1.19,-0.12171115273135985,0.01050006070258358,0.1666045569522332,-117.38702490663178,-51.17639894970855,33.285102998046874,-0.0395,-0.8544,-0.4319,0.2864
1492858.0,1202.831794,1.0,-5.14,-1.77,-8.13,33.19,-14.56,13.69,-3.56,1.31,1.37,-0.04102677875280286,0.007413850193591198,0.026687738403561312,-117.43114513306999,-51.16369401723818,33.2133487153414,-0.0401,-0.8546,-0.4318,0.2858
1492891.0,1202.879843,1.0,-5.06,-1.72,-8.31,32.75,-14.25,13.69,-1.06,0.88,1.56,0.09541059213065624,-0.0789844113549445,-0.07276082664711048,-117.4973779425748,-51.15098975907829,33.11769717298479,-0.0407,-0.8549,-0.4317,0.285
1492928.0,1202.88289,1.0,-5.05,-1.72,-8.21,33.5,-14.56,13.69,-2.13,-0.56,1.19,0.04908743235891297,-0.061446916048162666,0.015898511963310824,-117.51946956763666,-51.125583264636,33.105742400688804,-0.0411,-0.855,-0.4315,0.2849
1492963.0,1202.938641,1.0,-5.12,-1.61,-8.15,33.19,-14.56,14.56,-2.13,-1.37,1.0,0.06226134621928639,0.058643136374527775,0.04849010648917584,-117.51946956763666,-51.125583264636,33.09378799906577,-0.0422,-0.855,-0.4315,0.2848
1492998.0,1202.979397,1.0,-5.11,-1.77,-8.22,33.19,-14.56,14.56,-1.12,-1.69,0.44,-0.022930709700352603,-0.07910668384305575,-0.0323853345805194,-117.4973779425748,-51.125583264636,33.11769717298479,-0.0426,-0.8549,-0.4315,0.285
1493035.0,1203.040428,1.0,-5.21,-1.76,-8.23,34.25,-15.0,14.06,-4.13,-1.37,0.75,-0.06297586310326816,-0.02203797176169575,-0.0913370866993457,-117.45321573278471,-51.138286174965344,33.12965231611837,-0.0436,-0.8547,-0.4316,0.2851
1493069.0,1203.058235,1.0,-5.17,-1.62,-8.23,33.88,-14.56,12.88,-4.13,-3.06,0.81,0.05209888241905189,0.01582880575938284,-0.046432520478498766,-117.43114513306999,-51.16369401723818,33.12965231611837,-0.0449,-0.8546,-0.4318,0.2851
1493104.0,1203.103361,1.0,-5.32,-1.48,-8.12,33.88,-14.56,12.88,-1.06,-1.81,-0.31,0.04233840269690997,0.21982455558865133,-0.010533130838364713,-117.3429325945059,-51.16369401723818,33.20139097173225,-0.0461,-0.8542,-0.4318,0.2857
1493139.0,1203.119159,1.0,-5.33,-1.3,-8.12,33.88,-14.56,13.25,-0.63,-0.63,-2.19,0.17441653671254506,0.3269503775698173,0.01400059739560966,-117.29886813726064,-51.20181083863503,33.22530683110648,-0.0468,-0.8540000000000001,-0.4321,0.2859
1493176.0,1203.163908,1.0,-5.26,-1.39,-8.03,33.88,-14.56,13.69,4.38,3.63,-3.5,0.10137021403188216,0.2671750391552222,0.1113448692596819,-117.29886813726064,-51.23993373594613,33.20139097173225,-0.046,-0.8540000000000001,-0.4324,0.2857
1493209.0,1203.21807,1.0,-5.22,-1.54,-8.17,33.88,-14.56,13.69,5.63,4.88,-4.56,0.07591396658281585,0.13329903792359654,-0.008917657357688569,-117.27684633570152,-51.31619778683095,33.15356371555689,-0.0444,-0.8539,-0.433,0.2853
1493243.0,1203.224704,1.0,-5.36,-1.54,-8.28,33.5,-15.38,13.25,0.94,0.19,-7.13,0.07777579742620698,0.22891665531912075,-0.17338747940118004,-117.14486104081259,-51.494242185161674,33.15356371555689,-0.043,-0.8533,-0.4344,0.2853
1493278.0,1203.281346,1.0,-5.37,-1.41,-8.14,33.5,-15.0,14.06,1.56,-2.94,-8.75,0.12898244789864088,0.3657891205267009,-0.03886480865467057,-116.92543657528313,-51.697885027971715,33.22530683110648,-0.0429,-0.8523,-0.436,0.2859
1493313.0,1203.29904,1.0,-5.38,-1.43,-8.14,34.69,-14.25,14.06,3.75,-0.25,-10.0,0.14386782942284068,0.37436614921134814,-0.04667695255677984,-116.59757736800644,-51.97818068894304,33.3449084936511,-0.0422,-0.8508,-0.4382,0.2869
1493348.0,1203.340556,1.0,-5.47,-1.47,-8.05,34.69,-14.25,14.06,8.63,4.56,-13.69,0.06425856802673957,0.4740230327034103,-0.024701534804453473,-116.35810942215919,-52.23328523623708,33.416687431310486,-0.0407,-0.8497,-0.4402,0.2875
1493383.0,1203.359839,1.0,-5.15,-1.72,-8.2,32.75,-13.5,14.06,6.88,1.56,-15.81,0.13895860973539328,0.12669812256030655,-0.026230457450914457,-115.98960027739392,-52.65481814526298,33.46454755353707,-0.0364,-0.848,-0.4435,0.2879
1493420.0,1203.399374,1.0,-5.22,-1.7,-7.94,33.5,-13.06,13.25,7.94,2.31,-16.94,0.049605993240017215,0.329355485152357,0.15931543495900335,-115.64449198892322,-53.03869667359706,33.524381159227765,-0.0336,-0.8464,-0.4465,0.2884
1493452.0,1203.405839,1.0,-5.17,-1.73,-8.0,33.5,-13.06,13.25,6.81,3.38,-20.44,0.13311638609824378,0.33010813232497915,0.13219349595156338,-115.06583600138664,-53.667084063629616,33.58422417640036,-0.0303,-0.8437,-0.4514,0.2889
1493489.0,1203.4594849999999,1.0,-5.11,-1.83,-7.89,33.5,-12.0,14.06,2.63,1.63,-23.0,0.07139410291640375,0.3151484793408551,0.2354074308223737,-114.57650555012708,-54.20709186156805,33.62013451285477,-0.0281,-0.8414,-0.4556,0.2892
1493524.0,1203.476231,1.0,-5.06,-1.81,-7.67,33.88,-12.0,14.88,2.56,5.19,-25.19,0.050009667383042015,0.43316729480706295,0.4515195825297127,-113.85904656766621,-55.05832168724145,33.58422417640036,-0.0256,-0.838,-0.4622,0.2889
1493559.0,1203.537243,1.0,-4.93,-2.31,-7.59,33.88,-12.0,14.88,5.06,5.44,-27.44,-0.28291182359280986,0.1571105318593582,0.4715347258938323,-113.29417835148298,-55.73131367504011,33.57225481905068,-0.0222,-0.8353,-0.4674,0.2888
1493594.0,1203.5408539999999,1.0,-4.91,-2.53,-7.63,33.19,-10.5,13.69,3.25,6.5,-28.06,-0.3753114399304658,0.13440347765857408,0.395647023257796,-112.48564315719341,-56.70567847737765,33.476513522752754,-0.0173,-0.8314,-0.4749,0.28800000000000003
1493628.0,1203.620274,1.0,-4.65,-2.63,-7.61,34.25,-9.25,14.19,-1.5,9.38,-29.37,-0.3458544319425612,-0.01548729372929869,0.5151676179665152,-111.91038320685793,-57.50146795059126,33.2731430190265,-0.013999999999999999,-0.8286,-0.48100000000000004,0.2863
1493665.0,1203.630667,1.0,-4.46,-2.9,-7.64,34.25,-8.5,14.56,0.19,11.88,-28.0,-0.4496313417503292,-0.17688753217034825,0.5094599698092352,-111.09591679955122,-58.56288867530428,33.01011755272957,-0.0092,-0.8246,-0.4891,0.2841
1493698.0,1203.6813300000001,1.0,-4.36,-2.95,-7.63,34.25,-8.5,14.56,-7.56,14.63,-26.69,-0.4741428252779241,-0.16990208018878072,0.5505535298682727,-110.61126490677215,-59.36587885432352,32.60397465615993,-0.0064,-0.8222,-0.4952,0.2807
1493735.0,1203.717032,1.0,-4.28,-2.84,-7.67,34.75,-7.06,15.0,-9.31,17.44,-25.75,-0.3815181346504203,-0.04823201578327097,0.5835801430821643,-110.00958136957878,-60.43713492448142,31.935947193238352,-0.0035,-0.8192,-0.5033,0.2751
1493770.0,1203.720524,1.0,-4.14,-2.86,-7.63,33.56,-6.75,16.19,-10.31,23.87,-25.25,-0.4087252351967957,-0.0385727250893626,0.676066457476967,-109.5910749517882,-61.247744610159856,31.328533702747045,-0.0007,-0.8171,-0.5094,0.27
1493805.0,1203.780542,1.0,-3.89,-2.76,-7.95,33.56,-6.75,16.19,-9.44,28.44,-25.31,-0.19115401071182728,-0.0959759834817695,0.5380768220624432,-109.19450172299595,-62.30262894881712,30.24694330618832,0.0035,-0.8151,-0.5173,0.2609
1493839.0,1203.798243,1.0,-3.54,-3.21,-8.35,34.75,-6.38,15.38,-3.56,28.37,-22.62,-0.3605222203005368,-0.4937282844420872,0.20537632877223544,-108.85892668852871,-63.215350872502476,29.215470253177052,0.0092,-0.8134,-0.5241,0.2522
1493876.0,1203.85224,1.0,-3.16,-3.43,-8.48,33.56,-5.56,16.56,-7.88,28.94,-19.44,-0.4450232612718093,-0.7988096325036069,0.1720894252801326,-108.68182460772249,-63.835322154787036,28.387306821530828,0.0128,-0.8125,-0.5287,0.2452
1493911.0,1203.97446,1.0,-3.02,-3.6,-8.55,33.56,-5.56,16.56,-10.81,28.37,-17.25,-0.6363213812370598,-0.8204390670109294,0.10588328612099572,-108.52472019757442,-64.57934727558172,27.23040514019141,0.0166,-0.8117,-0.5342,0.2354
1493946.0,1203.983932,1.0,-3.02,-3.08,-8.68,33.56,-4.88,17.37,-18.5,35.25,-13.38,-0.2771825212264972,-0.4908462529352762,0.1303159934711875,-108.52472019757442,-65.13597459719793,26.123377437941194,0.0178,-0.8117,-0.5383,0.226
1493983.0,1204.031659,1.0,-2.8,-3.05,-8.88,32.88,-5.56,18.19,-17.12,36.81,-10.88,-0.2908661499997682,-0.5089304662827725,0.026400173780141145,-108.68182460772249,-65.69433435122963,24.56125248965988,0.0208,-0.8125,-0.5424,0.2127
1494018.0,1204.046852,1.0,-2.59,-3.44,-8.93,32.88,-4.88,17.75,-15.19,37.56,-7.13,-0.6735839649613309,-0.7084056411539477,-0.05899980575168407,-108.87862832095405,-65.96734252761773,23.436594836002673,0.0237,-0.8135,-0.5444,0.2031
1494052.0,1204.049359,1.0,-2.88,-3.03,-8.79,32.88,-4.88,17.75,-24.31,42.31,-4.75,-0.6963843893284685,-0.05914000206577553,0.09835708917086272,-109.253864399006,-66.32288574654007,21.625511921173292,0.0252,-0.8154,-0.547,0.1876
1494087.0,1204.052108,1.0,-2.43,-2.63,-9.14,30.25,-4.88,20.25,-25.25,43.75,0.25,-0.2718987785343111,-0.20916116406671525,-0.0037385071732938258,-109.67062310358135,-66.45982503485911,20.180594156388953,0.0263,-0.8175,-0.5479999999999999,0.1752
1494124.0,1204.088598,1.0,-1.61,-2.92,-9.47,30.25,-5.5,20.69,-17.06,47.88,2.44,-0.3965145030265278,-0.8796114836750981,-0.18677083005997552,-110.28980246010521,-66.50092772303125,18.20486640453508,0.0295,-0.8206,-0.5483,0.1582
1494161.0,1204.1461279999999,1.0,-1.66,-2.89,-9.47,30.25,-5.5,20.69,-26.12,40.06,5.94,-0.576664220833105,-0.6776025221677515,-0.1931956587270829,-110.81284195033062,-66.44612628524789,16.813549410004512,0.0306,-0.8232,-0.5479,0.1462
1494194.0,1204.1630810000001,1.0,-1.54,-2.28,-9.43,28.0,-6.25,21.56,-33.5,44.25,10.63,-0.3012058417211961,-0.3841434181581571,-0.004395248861040813,-111.58357510903522,-66.2407734880853,14.812064314477515,0.0292,-0.8270000000000001,-0.5464,0.1289
