TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
1380626.0,1291.678768,1.0,2.51,1.18,-9.32,2.38,-13.75,27.37,1.31,1.44,-0.69,-0.04766067114712435,0.012826085900165984,0.08284087229976933,-141.53859212209682,-34.339061261923746,-16.709303811577858,-0.0197,-0.9442,-0.2952,-0.1453
1380661.0,1291.72397,1.0,2.59,1.11,-9.45,2.0,-14.19,28.5,-4.94,0.75,1.12,-0.07590527052605475,-0.0843829027086036,-0.05386813626631337,-141.5038163967487,-34.30308206548676,-16.79038251334145,-0.02,-0.9441,-0.2949,-0.146
1380696.0,1291.736405,1.0,2.49,1.48,-9.28,2.0,-14.56,28.5,-0.75,-3.44,0.25,0.09876514020797353,0.25175983333868324,0.08884353797386169,-141.53859212209682,-34.267106355147284,-16.755633464025784,-0.0209,-0.9442,-0.2946,-0.1457
1380732.0,1291.807772,1.0,2.55,1.17,-9.26,2.38,-14.56,29.75,-0.69,3.56,-0.12,-0.016264960925213602,-0.0239189153757583,0.13100204564917384,-141.53859212209682,-34.279097871531036,-16.767216307875252,-0.0201,-0.9442,-0.2947,-0.1458
1380765.0,1291.812764,1.0,2.56,1.21,-9.37,2.38,-14.56,29.75,-1.56,4.0,0.0,-0.04559063828733655,0.013059830909625258,0.018271639182657395,-141.46907086921098,-34.279097871531036,-16.929394296591493,-0.0203,-0.9440000000000001,-0.2947,-0.1472
1380802.0,1291.823323,1.0,2.53,1.28,-9.42,2.38,-14.56,29.69,-4.81,5.38,-0.19,-0.0716149660393221,0.09258337784321148,-0.030117742240653562,-141.39967008106163,-34.255115225601216,-17.080018727926856,-0.0206,-0.9438,-0.2945,-0.1485
1380837.0,1291.8632699999996,1.0,2.61,1.45,-9.3,2.0,-14.56,28.87,-3.5,5.31,1.0,0.08470604803837141,0.1771568031734032,0.04109623421103237,-141.33038910827102,-34.23113412634732,-17.26544349477142,-0.0214,-0.9436,-0.2943,-0.1501
1380872.0,1291.871046,1.0,2.8,1.47,-9.47,2.0,-14.56,28.87,-1.31,3.44,-0.06,0.16424834295987775,0.1087845378323371,-0.17548345964496548,-141.26122730722247,-34.20715457242007,-17.450913825320047,-0.0212,-0.9434,-0.2941,-0.1517
1380907.0,1291.883966,1.0,2.8,1.27,-9.6,2.0,-14.19,30.5,4.25,4.63,0.25,0.005552554677309453,-0.0285299014025352,-0.2736305126575012,-141.226690896529,-34.21914415630217,-17.54366623938741,-0.0203,-0.9433,-0.2942,-0.1525
1380941.0,1291.926555,1.0,2.85,1.25,-9.57,1.25,-14.56,28.87,-2.0,1.5,-1.25,0.025852443243683472,-0.06691433073946851,-0.2563890103348001,-141.1232586742633,-34.267106355147284,-17.648026557290144,-0.0201,-0.943,-0.2946,-0.1534
1380976.0,1291.98758,1.0,2.83,1.44,-9.48,1.25,-14.56,28.87,-0.37,-0.75,0.75,0.14076926012153254,0.093417794355661,-0.18956714105403985,-141.15770665873933,-34.24312448272413,-17.648026557290144,-0.0203,-0.9431,-0.2944,-0.1534
1381011.0,1292.044737,1.0,2.82,1.32,-9.63,1.56,-15.25,28.87,2.56,-4.06,-0.31,0.04117540804508117,0.008141016107893641,-0.3141176739281537,-141.19218403998903,-34.24312448272413,-17.54366623938741,-0.02,-0.9432,-0.2944,-0.1525
1381046.0,1292.057072,1.0,2.52,1.25,-9.14,1.56,-15.69,28.87,0.06,-0.88,-0.81,-0.07302236270342935,0.0908593461663526,0.2442804027840744,-141.19218403998903,-34.279097871531036,-17.474100846214462,-0.0199,-0.9432,-0.2947,-0.1519
1381083.0,1292.1221890000004,1.0,2.58,1.18,-9.02,2.38,-14.56,30.06,3.5,-0.75,2.25,-0.019680655589523387,0.002504130964567141,0.35102699561135964,-141.26122730722247,-34.267106355147284,-17.439320584956548,-0.0193,-0.9434,-0.2946,-0.1516
1381117.0,1292.125506,1.0,2.51,1.1,-8.97,2.38,-14.56,30.06,2.44,-1.44,0.5,-0.08943643343468853,-0.0128677325985036,0.42779956160232224,-141.29579335128196,-34.23113412634732,-17.381357078894993,-0.0184,-0.9435,-0.2943,-0.1511
1381154.0,1292.179897,1.0,2.31,0.96,-8.55,2.0,-15.0,28.06,0.69,2.81,2.44,-0.20016902382739202,-0.032535415016261886,0.9005243659956292,-141.29579335128196,-34.20715457242007,-17.404541942676424,-0.0181,-0.9435,-0.2941,-0.1513
1381189.0,1292.188241,1.0,2.35,1.01,-8.11,1.25,-14.56,28.06,-2.31,7.5,4.25,-0.046140467548468206,-0.01628395781633385,1.3029857374616274,-141.33038910827102,-34.039340850884635,-17.6712197397126,-0.0177,-0.9436,-0.2927,-0.1536
1381222.0,1292.2400699999996,1.0,2.25,0.92,-7.63,1.25,-14.56,28.06,-3.69,14.31,3.19,-0.07806745083357884,-0.03855065032097305,1.7992647013847165,-141.26122730722247,-33.931500337029355,-18.054013364312716,-0.0173,-0.9434,-0.2918,-0.1569
1381257.0,1292.2435039999998,1.0,2.2,0.83,-7.55,1.56,-15.25,30.06,-5.56,16.69,4.56,-0.2302153329452173,-0.05672607556562021,1.9025255669696173,-141.08884000838947,-33.751834870470574,-18.738911537329376,-0.0171,-0.9429,-0.2903,-0.1628
1381294.0,1292.293282,1.0,2.46,0.86,-7.49,0.88,-15.25,29.25,-13.38,29.81,10.56,-0.09609752504499114,-0.13841436204483004,1.8780368343789176,-140.91718374591224,-33.4525819599508,-19.54075377357945,-0.0169,-0.9424,-0.2878,-0.1697
