acc_x,acc_y,acc_z,eul_x,eul_y,eul_z
2.12,0.06,-9.56,-150.79583135983617,-26.335166138238048,-12.019765115233204
2.08,0.0,-9.53,-150.84131999821054,-26.335166138238048,-11.962154211464537
2.11,-0.03,-9.56,-150.84131999821054,-26.335166138238048,-11.950632395319571
1.99,-0.16,-9.45,-150.84131999821054,-26.335166138238048,-11.881504040605064
2.02,-0.12,-9.54,-150.9325061978301,-26.27632678993584,-11.89302513102135
2.23,-0.18,-9.72,-150.88687816852098,-26.26455976697084,-11.985198208002224
2.28,0.06,-9.7,-150.9325061978301,-26.20572887768385,-12.03128766143814
2.17,0.03,-9.58,-150.97820441576042,-26.170433719349266,-11.973676148985312
2.07,0.0,-9.61,-150.97820441576042,-26.158669228245632,-11.973676148985312
2.08,0.09,-9.61,-151.0239731545222,-26.1233774379412,-11.985198208002224
2.12,0.08,-9.57,-150.97820441576042,-26.1233774379412,-12.019765115233204
2.18,-0.03,-9.66,-150.97820441576042,-26.13514108768563,-12.00824269100582
2.11,0.01,-9.46,-150.97820441576042,-26.1469050177391,-12.019765115233204
2.14,-0.09,-9.58,-150.9325061978301,-26.158669228245632,-12.054333120262198
2.15,-0.07,-9.61,-150.9325061978301,-26.170433719349266,-12.054333120262198
2.07,-0.06,-9.51,-150.9325061978301,-26.170433719349266,-12.054333120262198
2.2,-0.11,-9.58,-150.84131999821054,-26.20572887768385,-12.123472436717575
2.15,-0.13,-9.58,-150.84131999821054,-26.21749449261709,-12.181091916848366
2.3,-0.02,-9.78,-150.84131999821054,-26.19396354392425,-12.204140573704526
2.23,0.01,-9.68,-150.84131999821054,-26.19396354392425,-12.204140573704526
2.11,-0.12,-9.53,-150.84131999821054,-26.19396354392425,-12.169567773976445
1.99,-0.12,-9.35,-150.84131999821054,-26.19396354392425,-12.111948910357556
1.67,-0.23,-8.61,-150.84131999821054,-26.19396354392425,-12.146519858742266
1.72,-0.34,-8.13,-150.70506138327715,-26.20572887768385,-12.446181578242712
1.77,-0.42,-6.28,-150.56941987552764,-26.26455976697084,-12.803582439206052
0.72,-0.12,-5.15,-150.29995438645182,-26.25279302590076,-13.553381828311744
0.54,-0.5,-4.58,-149.85607839466778,-26.13514108768563,-14.650301303680088
1.3,-0.61,-4.86,-148.85861645005238,-25.700071520307283,-17.253853117357277
2.63,0.28,-5.8,-147.39783944401512,-24.65508094243751,-21.007514103633174
2.98,1.1,-5.84,-146.4319313048688,-23.190884791431422,-23.89320452199912
4.18,0.76,-5.8,-143.75733722307018,-21.602179804976902,-28.682903338517608
7.27,2.56,-7.34,-140.71214769326966,-20.157316215575328,-33.2731430190265
8.8,3.88,-8.77,-135.8217429117077,-18.51827857520288,-39.449267117403366
8.16,1.98,-7.87,-132.86795984370113,-17.996001378555594,-42.889024777076095
9.6,1.62,-9.17,-128.81789729217328,-17.137959104392678,-47.58180340274293
10.86,3.04,-9.83,-125.92268154117136,-16.072546557241562,-50.89704579606666
11.58,4.09,-10.25,-123.33299743586116,-14.38461134345722,-54.026945257147645
9.98,2.99,-9.23,-122.63671936413527,-13.888093938659914,-54.8774841925425
10.02,2.18,-9.34,-122.3270942285192,-13.414914406298776,-55.40750082753502
14.16,3.53,-11.55,-122.20841159701892,-12.261764386292771,-55.84800465854668
12.36,2.66,-11.41,-123.30885743015295,-11.639588800101585,-54.83875259027354
10.62,0.25,-10.0,-127.09397976921672,-11.754779974813852,-51.17639894970855
10.99,-0.62,-10.43,-130.0792914251156,-11.132886214620822,-48.34685890896744
9.59,-0.44,-9.22,-134.64810211296725,-10.005090889774308,-43.92504042696694
8.31,-0.26,-8.52,-138.5209607780903,-8.832292528579133,-40.21712102458852
7.05,0.61,-8.04,-143.86802831777294,-6.856665996646211,-35.15553486649333
