acc_x,acc_y,acc_z,eul_x,eul_y,eul_z
-0.37,-0.38,-9.7,-110.97447448991244,-68.92962456147485,2.9911793597011727
-0.39,-0.32,-9.62,-110.99470186962544,-68.92962456147485,2.968253297538604
-0.31,-0.4,-9.86,-110.91382347990452,-69.01303790274106,2.8421620551927376
-0.13,-0.5,-10.06,-110.85321906669196,-69.06866999114753,2.738999060214957
-0.23,-0.55,-9.98,-110.77248545181584,-69.15215299440362,2.6473004867786654
-0.09,-0.42,-10.11,-110.75231492282506,-69.1660709028975,2.5670656278548973
-0.13,-0.42,-10.09,-110.81284195033062,-69.11040625696496,2.544141615361497
-0.21,-0.48,-9.92,-110.81284195033062,-69.11040625696496,2.6014518395409367
-0.24,-0.25,-9.76,-110.81284195033062,-69.0964930055083,2.681687249969397
-0.29,-0.25,-9.85,-110.81284195033062,-69.0964930055083,2.7733864743736323
-0.14,-0.47,-9.97,-110.75231492282506,-69.1660709028975,2.830699387947472
-0.52,-0.36,-9.71,-110.63139954579825,-69.29138458685418,2.968253297538604
-0.36,-0.41,-10.29,-110.57101095130196,-69.31924492932319,3.140201723904295
-0.57,-0.13,-10.12,-110.45037134177934,-69.41679304080012,3.6331610823402585
-0.89,-0.26,-9.72,-110.37004645806756,-69.47256064706727,4.2867240536107065
-0.71,-0.56,-10.06,-110.16958750511162,-69.61206209055514,4.883078110442899
-0.86,-0.64,-9.87,-110.06954622730552,-69.69581964045186,5.215716631990905
-0.74,-0.43,-9.71,-109.94966130041858,-69.76565017151245,5.456620099259026
-0.53,-0.03,-9.94,-109.86983734458828,-69.83551038215226,5.525454047712893
-0.31,0.05,-10.45,-109.5910749517882,-70.10125098879591,5.697547703194251
-0.34,-0.07,-10.44,-109.19450172299597,-70.45156998938438,6.087674884576738
-0.16,-0.97,-10.81,-108.56396821294662,-70.94329161439869,7.155161830094744
-0.04,-3.02,-10.6,-108.211405674282,-71.11222790088254,8.361141590530956
-0.72,-3.53,-9.52,-108.2309531214748,-70.80264683442816,10.097117916179354
-1.15,-3.22,-8.4,-108.7801674720705,-70.08725387641728,11.029269725697889
-1.42,-2.46,-8.01,-110.1495692444103,-68.5825161330216,11.674144907935558
-1.78,-0.77,-7.57,-112.01279388618184,-66.8438272739107,10.660928195342471
-2.15,0.49,-7.27,-113.62840124543835,-65.3536633459727,9.303593121383251
-1.87,1.87,-7.98,-115.06583600138664,-64.03793803426306,7.315910364212048
-1.36,3.07,-8.83,-116.40158899740273,-62.78528219858725,4.298191253728037
-1.12,4.02,-8.88,-116.90353178561008,-62.30262894881712,1.7877008349543104
-0.86,2.63,-9.58,-116.59757736800644,-62.691336115096064,0.3093975852894872
-0.39,2.69,-9.82,-115.68754007027454,-63.673390007198286,-1.6845565907051554
0.17,1.92,-10.73,-114.64014641159572,-64.80993560444892,-2.670224968889185
0.22,-0.49,-10.93,-113.16922611259191,-66.50092772303125,-2.888013009772368
0.81,-0.33,-11.35,-112.21802358107666,-67.49032089207272,-3.35801326652208
0.92,-0.75,-11.38,-111.3190497567916,-68.44387353354183,-3.369477361207863
0.37,-1.15,-10.48,-111.01493444523936,-68.76292273675115,-3.2089830530311807
0.47,-0.86,-10.35,-111.1972622086614,-68.56864672938487,-3.1860558160551733
0.67,-0.58,-10.33,-111.7059670825154,-68.0148037838229,-3.117274866889664
0.02,0.51,-9.32,-112.83702493862924,-66.78891793624743,-3.1860558160551733
-0.12,0.76,-9.37,-114.238012277231,-65.20397390849297,-3.656090990936744
-0.51,2.72,-8.55,-115.21541543771308,-63.99739696031453,-4.321125783265932
-0.57,2.91,-8.77,-116.33637960164222,-62.71817306273571,-4.986306217889054
-0.26,2.08,-9.37,-116.88163381383896,-62.12863965657575,-5.491036825631306
0.34,2.43,-10.0,-117.45321573278471,-61.42093529139101,-6.259812004164343
-0.27,3.11,-8.82,-117.94055354353924,-60.63615363736209,-7.23553431499132
-0.17,2.26,-8.97,-118.20783138151,-60.19857784037951,-8.23475966058657
0.36,2.52,-9.5,-118.31950504112476,-59.88094864187493,-9.280599254023052
0.63,2.8,-9.37,-118.4089753719448,-59.497821729807775,-10.637910557080565
1.25,2.85,-9.87,-118.38659680691794,-59.31312595403664,-11.651107384541652
0.98,2.74,-9.51,-118.25247900079262,-59.19448243873018,-12.88430304585338
1.44,3.65,-9.43,-118.0517930817869,-59.11542551802431,-13.899637842978937
1.95,3.45,-10.2,-117.56367389565744,-59.39226049534915,-14.985414779298193
1.55,3.14,-9.45,-117.07896160834984,-59.84128068972836,-15.505674829864253
1.47,2.91,-9.19,-116.22782989578606,-60.63615363736209,-16.269308165184984
2.32,2.85,-10.23,-115.51550165897758,-61.23442867267935,-17.033669594732867
2.08,2.5,-9.53,-114.44938861164486,-62.22230638887762,-17.62483410357088
2.49,1.84,-10.48,-113.77509319472593,-62.94644210281149,-17.763999776816537
2.05,2.59,-9.55,-113.02370899765695,-63.64641513634406,-17.996001378555594
2.59,2.38,-10.35,-112.46502386355527,-64.24077819073915,-18.019205613951
2.18,1.99,-9.86,-111.7672353937944,-65.12237782833996,-17.59004678708234
2.13,2.1,-9.91,-111.3190497567916,-65.68069497759913,-17.288624783675054
2.15,2.54,-9.88,-110.63139954579825,-66.41873200300768,-17.056843809922572
1.9,1.83,-9.55,-110.2898024601052,-66.95369808518734,-16.51243337847321
2.05,1.9,-9.81,-109.75024971660667,-67.62818664851126,-16.10726571114575
1.74,1.78,-9.64,-109.53146516582775,-67.91806721211006,-15.817984589415364
1.65,2.3,-9.47,-109.29346359122704,-68.2776528480455,-15.39003407585724
1.64,2.2,-9.35,-108.99693778149953,-68.62413121482328,-15.112560354905924
1.69,2.02,-9.47,-108.8195376256316,-68.91572639057479,-14.73117911928188
1.49,2.02,-9.35,-108.7211476270906,-69.05476022725051,-14.604088706058509
2.1,1.38,-10.34,-108.66217014935285,-69.17998997689496,-14.38461134345722
