acc_x,acc_y,acc_z,eul_x,eul_y,eul_z
-2.17,-2.89,-9.08,-112.89920199482374,-62.27585098329318,21.054133663315955
-2.2,-3.11,-9.16,-112.94068164320149,-62.30262894881712,20.867676487915
-1.99,-2.91,-9.3,-113.00294363849156,-62.27585098329318,20.716221183013424
-2.15,-2.83,-9.06,-113.00294363849156,-62.30262894881712,20.64633108966224
-2.37,-2.9,-8.95,-113.06525678920109,-62.235691121359,20.669626923426364
-2.36,-2.93,-9.06,-113.06525678920109,-62.262463418184296,20.623036118505983
-2.33,-2.83,-8.89,-113.08603923231148,-62.30262894881712,20.518219394705007
-2.25,-2.99,-8.92,-113.08603923231148,-62.32941069730318,20.39013361769746
-2.12,-2.82,-9.01,-113.00294363849156,-62.5706171740576,19.982758376303032
-2.13,-2.93,-9.01,-113.00294363849156,-62.6779190768701,19.66867198617123
-1.96,-2.73,-9.18,-113.02370899765695,-62.85241532591269,19.06418290551579
-1.97,-2.92,-9.3,-113.02370899765695,-63.01363300906978,18.576333132780547
-2.24,-2.81,-8.93,-113.06525678920109,-63.22880649321045,17.856791554733764
-2.17,-2.77,-8.7,-113.02370899765695,-63.57899519003461,16.96415115593626
-2.17,-2.64,-8.97,-113.25250462483363,-63.781328955958536,15.459416628401115
-1.34,-2.55,-9.5,-113.29417835148298,-64.18666547503379,13.611082444309169
-1.39,-3.18,-9.69,-113.19003713661378,-64.57934727558172,11.985198208002224
0.11,-3.5,-10.6,-113.3984635573788,-64.57934727558172,9.844059122531188
2.01,-5.92,-12.59,-114.15363047105912,-63.64641513634406,7.281463046960031
2.12,-4.5,-12.86,-116.4886280777146,-61.18117407576951,6.076199569788739
1.43,-3.27,-12.95,-118.92572331092975,-58.56288867530428,7.269980754447582
0.13,-1.51,-12.06,-122.63671936413527,-54.27146504851861,10.384744735841709
-0.63,-3.14,-10.74,-124.0372118533993,-51.81251117235129,13.703410648771609
-1.11,-1.78,-9.49,-125.07180537967444,-49.20242077437143,19.157145947707967
-2.41,-0.65,-7.51,-125.3707171892468,-47.1313522186008,23.17918701849416
-2.13,-2.94,-7.12,-124.33100356461244,-45.11370802914807,27.560654449020664
-3.13,-2.3,-4.96,-123.7205290097115,-43.76445989390753,30.496292553249216
-3.23,-2.9,-4.82,-123.86648635871312,-42.70441132531611,31.507090202315183
-2.79,-2.93,-4.75,-125.1215196986378,-40.87678270719479,31.614261757826505
-2.7,-2.91,-4.8,-126.149991690663,-39.948769456648414,30.98354512892485
-2.84,-3.79,-4.95,-128.0277034878583,-38.87762497174376,29.1681050221712
-2.81,-3.24,-5.38,-129.97078188553854,-37.979621244835975,27.077153605664893
-1.92,-3.02,-5.97,-132.7820481898819,-36.97527104810168,23.08561363949995
-1.86,-4.31,-6.36,-135.06606324188033,-35.97385559965812,19.912948378447748
-1.09,-2.7,-6.68,-138.7806141249359,-34.53100937438062,14.788953503219902
-0.24,-3.53,-6.94,-141.3650146581067,-33.536349009079444,9.798053639345571
1.87,-2.73,-8.6,-144.46400874868328,-31.82869013670581,1.8106219718874
2.9,-1.0,-9.42,-146.59103083752737,-29.985877446985693,-3.701951248377608
3.21,-0.23,-10.86,-147.6436957459843,-28.24548909512887,-10.13162973120474
4.37,0.82,-11.34,-147.27558529764082,-26.65302123047702,-16.16513427708501
5.15,1.46,-13.47,-145.84171829017612,-25.89992116016652,-20.55315637010219
5.33,0.84,-13.25,-143.46374555627918,-25.700071520307283,-24.842788298368426
4.71,0.24,-12.31,-142.6678687639012,-25.30060996520192,-26.558820285317804
5.05,-0.24,-12.07,-141.85294621850556,-24.831054609816945,-28.23367294753045
5.4,0.04,-12.4,-141.5733981273395,-24.44399042905254,-28.978694933911964
5.63,0.58,-12.41,-142.24057734218397,-23.56534364989273,-28.91952089539617
5.51,0.29,-12.99,-143.72051272987528,-22.73485185773412,-27.67865707365
6.45,0.86,-13.74,-145.8027223342799,-21.998949913651906,-25.52379962585345
4.62,0.37,-12.57,-150.479330837061,-20.809420100088573,-20.075850034388896
2.85,0.08,-11.61,-153.66083809692267,-20.14567756040377,-15.725436142775802
2.84,-0.35,-11.67,-156.5307030363511,-19.412860145181693,-9.959079806154524
2.65,-2.22,-10.38,-157.56748354792904,-18.86667840059343,-5.169832905126534
2.13,-1.44,-10.13,-158.04377345766537,-17.346581127291525,0.6417160846123932
-0.05,-1.91,-7.86,-156.87120131517742,-15.910543420989349,6.89110540785609
-1.92,-1.98,-5.67,-155.0021140741398,-15.343782195666376,11.086833319532731
-2.57,-1.85,-5.35,-152.81901206638815,-14.627194705880914,14.973857013009212
-1.98,-2.68,-6.07,-151.95469309277132,-13.8765501759761,16.59349169701811
-2.23,-1.82,-6.02,-151.57882322936237,-13.091899903813276,18.286108128329392
-2.52,-2.82,-5.8,-151.06981274894218,-13.207250097467805,19.017706136871343
-2.5,-2.47,-6.97,-151.20776005427302,-12.757459245108164,19.33148601143644
-2.63,-2.8,-7.72,-151.06981274894218,-12.549930441445206,19.645412292934687
-2.95,-2.92,-7.91,-150.84131999821054,-12.699808169946316,19.83151281371854
-2.66,-3.07,-8.58,-150.79583135983617,-12.480763390340035,20.00603003933895
-2.82,-3.21,-9.02,-150.479330837061,-12.423127669242316,20.4134200209308
-3.46,-2.99,-8.23,-150.21066214535367,-12.50381856554563,20.79776947557341
-3.29,-3.12,-8.72,-150.0772121119661,-12.549930441445206,21.112413070583106
-3.55,-3.0,-8.68,-149.85607839466778,-12.411600904099071,21.50886039245491
-3.83,-2.8,-8.36,-149.46197984083236,-12.549930441445206,22.104021805228783
-3.43,-2.95,-8.69,-149.24516700325162,-12.711338126294772,22.22079043012782
-3.31,-3.21,-8.47,-148.90133503664836,-12.838176201349,22.431032941974188
-3.43,-3.53,-8.62,-148.56117141184754,-13.057297449093689,22.66472550596455
-3.22,-3.39,-8.65,-148.30838490049834,-13.138038375794716,22.95697570537593
-3.49,-3.28,-8.49,-148.0575479662478,-13.184178987120148,23.28447580744025
-3.84,-3.3,-8.29,-147.6436957459843,-13.322613734970494,23.740958889771715
-3.87,-3.3,-8.11,-147.43869005154224,-13.530302549412,23.998630403703213
-3.9,-3.25,-8.18,-147.35703857325038,-13.541842119876778,24.18610517042096
-3.85,-3.51,-8.35,-147.27558529764082,-13.541842119876778,24.303310245881057
-4.01,-3.26,-8.4,-147.35703857325038,-13.51876311679545,24.350199497398
-3.87,-3.37,-8.82,-147.52054122823532,-13.461068017168213,24.22126399043484
-4.04,-3.06,-8.81,-147.6025936178383,-13.44952940908047,24.080642561887807
-3.95,-3.3,-8.9,-147.6436957459843,-13.357225465957494,23.998630403703213
-3.85,-3.39,-8.59,-147.72605283657722,-13.299539926123945,23.89320452199912
-3.81,-3.35,-8.4,-147.72605283657722,-13.357225465957494,23.83464346005029
-3.96,-3.38,-8.17,-147.6025936178383,-13.39183842112712,23.858067126010045
-3.49,-3.26,-8.31,-147.6025936178383,-13.51876311679545,23.71754026504909
-3.49,-3.57,-8.2,-147.6436957459843,-13.541842119876778,23.600462193143148
-3.48,-3.36,-8.18,-147.68484875398153,-13.507223821905177,23.58875576239612
