acc_x,acc_y,acc_z,eul_x,eul_y,eul_z
0.92,2.57,-9.38,-147.72605283657722,-25.94695623100749,-10.718474180434589
1.19,3.07,-9.29,-147.43869005154224,-25.923438140144054,-10.925662281710132
1.18,3.18,-9.24,-147.113267463602,-25.9116795113663,-11.063807546045703
1.19,3.23,-9.25,-146.871240884656,-25.93519704664329,-11.224997424028942
1.4,3.5,-9.28,-146.5113892939378,-25.970475433904987,-11.466824127666603
1.36,3.46,-9.13,-146.31308564363076,-26.076325639174165,-11.512892133606984
1.38,3.32,-9.24,-146.1159090950019,-26.25279302590076,-11.651107384541652
1.5,3.32,-9.38,-145.9981360073074,-26.35870385587789,-11.777819636455906
1.62,3.18,-9.29,-145.9589661948812,-26.45286606002896,-11.904546342091734
1.35,3.24,-9.09,-145.88075748629691,-26.499953978465857,-11.950632395319571
1.42,3.29,-9.28,-145.8027223342799,-26.48818157203767,-12.042810329741007
1.39,3.33,-9.11,-145.76376947074462,-26.46463761296408,-12.07737906844118
1.27,3.43,-9.05,-145.68599243347148,-26.46463761296408,-12.123472436717575
1.41,3.38,-9.21,-145.6471679681556,-26.46463761296408,-12.169567773976445
1.29,3.16,-9.13,-145.6471679681556,-26.48818157203767,-12.181091916848366
1.33,3.33,-9.13,-145.5696464213463,-26.48818157203767,-12.250239375241623
1.31,3.45,-9.12,-145.49229376528544,-26.46463761296408,-12.307865676783145
1.49,3.43,-9.35,-145.49229376528544,-26.42932380663794,-12.526874248925028
1.29,3.56,-8.93,-145.37657897397716,-26.45286606002896,-12.642160322280048
1.46,3.41,-9.2,-145.29964361056955,-26.499953978465857,-12.826644816909525
1.49,3.42,-9.18,-145.22287322309495,-26.535272907054928,-13.06883146764636
1.59,3.44,-9.13,-145.06982302382067,-26.58236880563043,-13.4841456448157
1.47,3.35,-9.08,-144.9554604078314,-26.617693729981983,-13.691869135619404
1.53,3.23,-9.24,-144.841458151918,-26.64124511049845,-14.08435967436596
1.53,2.96,-9.12,-144.72781275910324,-26.65302123047702,-14.569430825374988
2.05,1.95,-10.09,-144.7656551188059,-26.32339770363258,-15.586632804931574
4.65,0.44,-12.98,-145.7248595525418,-25.07751783117069,-16.30403579859025
6.12,2.91,-14.45,-147.1943287474599,-22.08067087291992,-16.38507281218067
3.16,4.68,-12.19,-149.72415559222358,-19.250121718432275,-13.253393932396618
1.59,5.14,-11.81,-154.79119639620873,-14.511670666824136,-7.47667331573405
-0.05,5.56,-9.6,-158.96550158142097,-10.246675787285364,-1.8106219718874
-0.54,7.31,-5.9,-160.66576217664587,-4.6078223124450055,7.281463046960031
-1.69,6.89,-4.04,-158.28578665640208,-2.910938660030132,13.611082444309169
-3.2,4.56,-2.14,-154.42620867150097,-3.5414428939599265,20.52986483879688
-3.16,2.96,-2.12,-152.19213918576153,-5.628708719478254,23.95177191669858
-2.73,1.28,-1.39,-151.95469309277132,-7.683390239501281,24.38536915234885
-2.89,-0.69,-1.98,-153.36074062083046,-11.651107384541652,21.683846183764324
-1.11,-0.2,-4.44,-155.3754969883622,-14.569430825374988,17.056843809922572
0.03,-0.32,-6.43,-157.863978815261,-17.740803669389525,9.085166406176857
1.34,-0.27,-7.9,-157.863978815261,-19.878046180611587,1.8793858210517669
3.51,3.05,-8.63,-154.27134430279995,-21.56718332965744,-8.556479215940191
5.21,4.4,-10.53,-146.1159090950019,-25.03056340197877,-19.017706136871343
7.13,0.99,-11.74,-140.00247242955643,-27.59605210118816,-25.8058643261674
5.62,0.89,-10.01,-133.93995871664828,-28.71838798339577,-33.177476600322066
8.61,2.29,-9.27,-129.5927197609984,-28.17459680285253,-39.278884517127096
10.77,1.89,-10.74,-123.81779521129648,-26.91216865613784,-47.431566664841
12.2,1.99,-11.23,-119.94836140851372,-25.876405289927124,-52.37371140576522
10.95,2.61,-10.29,-118.88063215220504,-22.62966555670664,-55.12294254171616
9.68,3.76,-9.18,-120.96377821929032,-18.901528010085144,-54.52914355096097
9.43,5.2,-9.02,-126.02359896120804,-13.461068017168213,-51.20181083863503
7.55,7.0,-7.83,-132.38305943270692,-9.372576979838527,-45.78458156617274
6.63,6.75,-8.24,-136.9320256088512,-8.487533709607298,-41.34183738204944
4.7,4.31,-6.96,-144.20208645663692,-9.25760576115156,-33.751834870470574
4.26,3.57,-7.37,-148.35037934063973,-10.476799088278916,-29.037876869982465
3.82,2.71,-7.04,-152.7702885732456,-12.757459245108164,-23.21428107252436
3.08,1.18,-6.24,-154.89643727544532,-14.788953503219902,-19.401234664747328
2.7,-0.22,-6.14,-155.8639137604186,-17.578451378167774,-15.598198868035936
3.49,-2.32,-7.39,-155.48320588867858,-19.56400979675284,-14.061267443693245
4.13,-3.04,-9.01,-155.32181611488016,-20.09912503821932,-13.841919736512358
3.39,-2.63,-8.45,-155.80916562137492,-19.505871262305693,-13.738036026791262
3.51,-1.68,-9.74,-156.814109146573,-17.996001378555594,-14.08435967436596
3.16,0.05,-9.77,-158.96550158142097,-14.858287755594215,-14.003539375629764
2.57,1.3,-10.11,-160.59764077497127,-12.296340166976414,-13.703410648771609
1.57,2.89,-9.1,-162.22975145954382,-9.591048446078224,-13.126503557539667
1.34,4.18,-9.12,-163.78077108801162,-6.259812004164343,-12.423127669242316
1.39,4.2,-9.2,-164.27566318431926,-4.080321683767285,-12.07737906844118
1.05,3.46,-8.95,-164.44410289964102,-3.3121572228147254,-11.720221376139571
1.14,2.62,-9.02,-164.70021747025422,-3.0026424356334624,-11.432274343860266
1.55,1.92,-9.56,-164.96066657615674,-2.87655022805785,-11.30560069930953
1.31,1.8,-9.05,-164.96066657615674,-3.3121572228147254,-11.121372822035768
2.03,1.5,-9.55,-164.96066657615674,-3.4153340784378665,-11.121372822035768
1.98,1.74,-9.53,-164.78654130633294,-3.5529075421905287,-11.144399719947115
1.95,1.49,-9.45,-164.78654130633294,-3.701951248377608,-11.075320376717384
1.73,1.77,-9.34,-164.70021747025422,-3.7592774051414257,-10.994732910342313
1.82,1.69,-9.72,-164.52900617164656,-3.782208130568333,-11.063807546045703
1.8,1.86,-9.46,-164.44410289964102,-3.7592774051414257,-11.09834637461124
1.97,1.69,-9.75,-164.35965769726891,-3.7592774051414257,-11.236511835589647
2.04,2.03,-9.66,-164.27566318431926,-3.6790210459755386,-11.259541000283244
1.76,1.84,-9.38,-164.27566318431926,-3.77074274897392,-11.259541000283244
1.82,1.78,-9.49,-164.19211217641143,-3.816604503074617,-11.31711591010567
1.59,1.76,-9.2,-164.19211217641143,-3.896864048753203,-11.294085603048902
1.79,1.51,-9.58,-164.1089976777972,-3.977125506843028,-11.4092417341199
1.97,1.67,-9.52,-163.94405112777469,-3.965659465674837,-11.547444362906596
1.83,1.68,-9.44,-163.86220596785728,-4.000057708800217,-11.605033754368794
1.9,1.88,-9.64,-163.69974033883318,-4.000057708800217,-11.743260322870698
2.11,2.07,-9.58,-163.53886738912243,-4.103254614165427,-11.823900394126868
2.01,1.88,-9.51,-163.53886738912243,-4.11472114096103,-11.835420883076134
1.98,1.69,-9.64,-163.53886738912243,-4.160587661476331,-11.835420883076134
1.9,1.71,-9.41,-163.45901362866948,-4.1720543955147065,-11.869983070722633
1.97,1.97,-9.44,-163.37954086931006,-4.103254614165427,-11.916067673936476
2.0,2.09,-9.39,-163.30044367130742,-4.068855279934243,-11.950632395319571
2.08,1.63,-9.76,-163.30044367130742,-4.263789782102698,-12.042810329741007
1.87,2.01,-9.24,-163.30044367130742,-4.194987989089829,-11.996720388635616
1.91,1.95,-9.45,-163.22171672296716,-4.194987989089829,-12.054333120262198
1.89,1.93,-9.45,-163.22171672296716,-4.194987989089829,-12.054333120262198
1.87,2.11,-9.28,-163.14335483645732,-4.137654318321577,-12.042810329741007
1.87,1.93,-9.32,-163.06535294380294,-4.194987989089829,-12.100425506938455
2.05,1.83,-9.65,-162.91040944456057,-4.355527902560735,-12.215665087929844
1.93,1.97,-9.29,-162.8334582675195,-4.378462866761455,-12.250239375241623
2.12,1.82,-9.71,-162.75684793649998,-4.412865642375664,-12.353968967121856
2.02,2.08,-9.62,-162.68057392822612,-4.263789782102698,-12.342442956629045
