acc_x,acc_y,acc_z,eul_x,eul_y,eul_z
0.72,3.24,-9.12,-125.1215196986378,-49.99769103660336,-12.630631138714769
0.63,3.4,-9.07,-125.1215196986378,-49.985047701010245,-12.653689634339962
0.68,3.41,-9.19,-125.1215196986378,-49.985047701010245,-12.665219075015518
0.66,3.38,-9.1,-125.09665734949913,-49.985047701010245,-12.67674864442774
0.63,3.48,-9.06,-125.07180537967444,-49.9724050156561,-12.699808169946316
0.61,3.54,-9.07,-125.07180537967444,-49.947121594647854,-12.711338126294772
0.72,3.28,-9.23,-125.1215196986378,-49.947121594647854,-12.711338126294772
0.63,3.36,-9.07,-125.07180537967444,-49.947121594647854,-12.7228682118641
0.53,3.49,-9.08,-125.07180537967444,-49.90920133357593,-12.7228682118641
0.62,3.42,-9.15,-125.07180537967444,-49.8965625443208,-12.745928771149693
0.59,3.47,-9.03,-125.1215196986378,-49.80810916227225,-12.768989848771891
0.38,3.44,-9.0,-125.19616916396942,-49.68180213505561,-12.768989848771891
0.51,3.27,-9.28,-125.8974793863132,-48.975666100652674,-12.642160322280048
0.22,3.29,-9.03,-127.17120439382435,-47.694537953351535,-12.400074265032766
0.66,3.69,-9.55,-128.97730409708814,-45.80946044511175,-11.962154211464537
0.3,5.14,-8.9,-131.0660093808112,-43.55460618777381,-10.557352206642197
-0.43,4.58,-8.84,-132.61066542040177,-42.43385492531204,-8.76333445653462
-1.0,4.3,-8.31,-133.444524198005,-42.22495842729175,-6.994427393261249
-0.41,2.85,-9.04,-134.7075870499225,-42.163546289132256,-4.860139072417077
-0.67,2.93,-9.44,-134.88648767208014,-42.63059851955768,-3.4153340784378665
-1.22,1.73,-8.32,-134.5590130176977,-43.61631189309636,-0.4239897358038088
-1.0,1.59,-8.43,-134.0866361818657,-44.531125521078216,0.5958787923837214
-0.78,1.25,-8.42,-132.95401941873996,-46.30751972941107,0.4812859628976946
0.14,-0.46,-8.91,-132.07176372350168,-47.631901603380186,-0.2979383891459227
0.68,0.07,-8.45,-130.10645331555745,-49.70705837910808,-3.5987664920103746
2.85,-2.07,-9.83,-127.94929869917114,-51.36705403350072,-7.763786880218299
4.78,-0.48,-10.13,-124.57692406667049,-52.69317728708804,-15.86426270309298
6.08,-0.3,-10.11,-122.70838865597604,-52.18224209821447,-21.75385480831424
6.54,0.87,-9.75,-121.43061785942284,-50.44061941505198,-27.631452438914533
7.05,1.01,-9.7,-122.13730880568986,-47.09384957314965,-31.56662645811723
6.51,2.47,-9.3,-123.98838434414272,-43.96211035016289,-32.914516343671416
