TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
929171.0,898.121367,1.0,1.57,1.36,-9.64,-5.06,-21.37,33.69,-0.31,-1.5,0.5,-0.019104494812501118,0.0649205920917506,-0.054360107235485344,-167.13036680379562,-4.745446786894516,-9.637046865121436,-0.0627,-0.9937,-0.0414,-0.084
929206.0,898.124928,1.0,1.49,1.26,-9.6,-5.06,-21.37,33.69,2.0,0.75,0.88,-0.09607843932509742,-0.013674523678530393,0.010820175993309531,-167.13036680379562,-4.71104003397371,-9.62554711472919,-0.0623,-0.9937,-0.0411,-0.0839
929241.0,898.1814039999997,1.0,1.6,1.24,-9.78,-4.0,-21.06,33.25,1.0,-1.88,1.81,-0.02037004419559792,-0.05619925415146532,-0.18046303155883334,-167.13036680379562,-4.6766337060034,-9.62554711472919,-0.0619,-0.9937,-0.0408,-0.0839
929273.0,898.20011,1.0,1.37,1.28,-9.49,-4.0,-21.75,33.69,-0.94,0.06,0.31,-0.18849127931365173,0.03436978027888893,0.13510980436278608,-167.13036680379562,-4.642227799866185,-9.591048446078224,-0.0621,-0.9937,-0.0405,-0.0836
929310.0,898.2573269999997,1.0,1.36,1.52,-9.65,-4.75,-20.69,34.19,-8.69,-1.56,3.0,-0.208951343040151,0.22703138128326106,-0.0517117344949547,-167.13036680379562,-4.584885551911774,-9.579549083642284,-0.0635,-0.9937,-0.04,-0.0835
929343.0,898.269202,1.0,1.07,1.24,-9.51,-4.75,-20.69,34.19,-1.25,-0.12,5.63,-0.4925512097597958,-0.02684552999507728,0.16926069462878598,-167.13036680379562,-4.355527902560735,-9.579549083642284,-0.0646,-0.9937,-0.038,-0.0835
929380.0,898.325483,1.0,0.7,2.32,-9.58,-4.38,-21.5,34.19,-12.31,5.31,2.88,-0.8262381732704581,1.0101811007217238,0.011464211829602888,-166.92746455946425,-4.160587661476331,-9.694547078719877,-0.0674,-0.9935,-0.0363,-0.0845
929417.0,898.36283,1.0,0.49,2.09,-9.29,-4.0,-21.06,34.88,-1.56,4.25,-5.31,-1.0280407995601042,0.8107257673553726,0.36217246841648176,-166.62885834304856,-4.309658496908005,-9.901568214246721,-0.0689,-0.9932,-0.0376,-0.0863
929449.0,898.378886,1.0,-0.51,3.43,-9.43,-4.0,-21.06,34.88,-10.19,15.56,-16.12,-1.9809712111644289,2.1535748547065854,0.19479438280967187,-166.05072408085044,-4.699571210920838,-10.177646918437086,-0.0719,-0.9926,-0.040999999999999995,-0.0887
929484.0,898.420891,1.0,-0.3,4.39,-9.67,-5.06,-21.75,33.69,2.38,23.94,-29.81,-1.8138325176954868,3.0612204788148665,-0.20384153527612808,-165.04848521846108,-5.823757869537403,-10.960197096754332,-0.0724,-0.9915,-0.0508,-0.0955
929521.0,898.4793970000003,1.0,0.12,4.71,-9.64,-5.5,-21.87,34.56,7.69,19.69,-74.62,-1.3122401177106575,3.3730950566999414,-0.2942586527864961,-164.02631287450075,-7.660420468145224,-11.38620958683243,-0.0711,-0.9903,-0.0668,-0.0992
