acc_x,acc_y,acc_z,eul_x,eul_y,eul_z
-4.98,4.21,-7.34,-116.29293986048516,46.30751972941107,39.72937892373464
-4.92,4.31,-7.53,-116.33637960164222,46.30751972941107,39.656282501806686
-4.92,3.85,-7.67,-116.37984588512,46.29505700445262,39.61974059674283
-4.96,4.34,-7.55,-116.3581094221592,46.29505700445262,39.63192076517069
-4.91,3.96,-7.76,-116.40158899740273,46.29505700445262,39.5953816587114
-4.88,4.13,-7.67,-116.3146564167026,46.30751972941107,39.656282501806686
-4.94,4.08,-7.57,-116.24952660685352,46.36984205375654,39.71719501771099
-4.99,4.34,-7.36,-116.16277934389494,46.407242416234105,39.81467938235785
-4.99,4.14,-7.27,-116.01122474494797,46.48205884773244,39.93657709614047
-4.97,4.17,-7.22,-115.94637091735842,46.54442190080458,39.96096228867753
-4.96,4.19,-7.39,-115.90316761296934,46.59432285421078,39.97315559242056
-5.07,4.93,-7.19,-115.79527299684044,46.63175471031061,40.05852194281655
-5.48,5.7,-7.22,-115.96798233708935,46.35737642818546,40.15611188549902
-5.41,5.4,-6.45,-116.59757736800644,45.78458156617274,40.0463253316736
-5.48,5.73,-6.85,-118.00727569803878,44.580659579875785,39.558846745858816
-5.38,4.59,-6.99,-119.97126580924144,42.790549766583936,39.01132279075521
-5.36,3.6,-6.85,-121.196776153626,41.62366360590611,38.69539839808244
-4.93,4.18,-8.06,-122.70838865597604,40.0341291935956,38.306987464775865
-5.08,3.1,-7.58,-123.84213593724544,38.75612925877516,38.16145144122449
-4.95,2.8,-7.71,-125.1215196986378,37.37423381555307,37.83422856646789
-4.86,3.3,-7.94,-125.97311846044452,36.34754136011127,37.676791133557344
-5.02,2.95,-7.32,-127.17120439382435,34.97527349807247,37.41052638436744
-4.76,3.48,-7.42,-128.23732310544656,33.96744372977673,36.92694357562125
-4.76,2.85,-7.71,-130.02500909601727,32.305608836158264,36.1305141127441
-4.81,2.95,-7.44,-131.2600452849924,31.233335490801053,35.51632781311482
-4.37,1.82,-8.16,-133.32867360141205,29.78425385642316,34.19516537453249
-4.35,2.37,-7.98,-134.8267795347168,28.52916895270361,33.23726531919248
-4.15,2.67,-8.09,-136.58990657854866,27.324738438026905,31.88827384989475
-3.95,2.1,-8.54,-137.91042216197232,26.48818157203767,30.817102104618424
-4.04,2.25,-8.19,-139.3046731473042,25.570799441600013,29.665695841620533
-3.73,1.99,-8.43,-140.40650617828152,25.05404008221464,28.6474215027532
-3.43,1.87,-9.22,-141.46907086921098,24.51434453810049,27.560654449020664
-3.79,2.04,-8.56,-142.16981440543415,23.96348615709585,26.87682214392707
-3.42,2.25,-8.94,-142.95536907296346,23.740958889771715,25.758842544663853
-3.48,1.84,-9.31,-143.3178010626215,23.70583132960312,25.13621688663897
-3.41,2.19,-9.11,-143.35423456188457,23.83464346005029,24.50261820231894
-3.06,2.82,-9.13,-143.35423456188457,24.080642561887807,23.975200651636385
-3.33,2.8,-8.62,-143.3178010626215,24.31503217113493,23.30787601995589
-2.96,2.82,-9.08,-143.5003197378201,24.53779799191312,22.51281453874211
-2.54,2.72,-9.21,-143.64697188895283,24.842788298368426,21.53218888989049
-2.63,2.66,-9.14,-143.53692935464713,25.265378432632108,20.937591354374124
-2.52,3.14,-9.34,-143.53692935464713,25.71182517460624,19.95948754584176
-2.3,3.48,-9.56,-143.20870960086745,26.21749449261709,19.38960938592485
-2.44,3.24,-9.33,-142.6678687639012,26.93573444675805,18.80859962930239
-2.44,3.76,-9.42,-141.88802849828062,27.855717200127582,18.262895263137004
-2.21,3.54,-9.3,-141.53859212209682,28.37548698522077,17.868391355752113
-2.0,3.31,-9.31,-141.05445058328866,29.1444243172648,17.26544349477142
-1.86,3.42,-9.19,-140.50813431460048,29.89098396291072,16.83671699887327
-1.75,3.7,-9.15,-139.76858389100772,30.91220422108664,16.327188391573927
-1.7,3.64,-9.09,-139.14021367291954,31.721461697138416,15.875832638109523
-1.73,3.96,-9.04,-138.4239905330992,32.61591400140699,15.470980940849389
-1.67,4.25,-9.04,-137.3712305266047,33.811713840931375,14.869843995469047
-1.36,5.22,-9.55,-136.4970459556038,34.831128724414064,14.24602144035678
-1.18,4.67,-10.0,-135.97435612355386,35.45617049212599,13.922726077012074
-1.56,4.91,-8.79,-135.06606324188033,36.32342057290312,14.026630173419028
-1.17,4.41,-9.38,-134.5590130176977,36.86654380200172,13.85346307502466
-0.88,4.71,-9.75,-133.93995871664828,37.47102265081461,13.599542044193305
-0.84,3.85,-9.58,-133.56064768554154,37.89480115121914,13.541842119876778
-0.81,4.0,-9.31,-132.89662989290295,38.52541202617238,13.634163660769715
-0.66,3.88,-9.53,-132.32631788342704,39.23022039326242,13.553381828311744
-0.65,4.24,-9.73,-131.20453254720215,40.31476039756773,13.85346307502466
-0.88,5.03,-9.36,-130.2152395796288,41.17041905633896,14.303764676023915
-1.02,4.99,-9.22,-129.0571819857357,42.29866977331948,14.869843995469047
-1.06,5.3,-9.06,-128.2110774660985,43.061436120560906,15.39003407585724
-1.05,5.0,-9.51,-127.3259688536123,43.91268486070203,16.014684599323402
-1.21,4.99,-9.34,-126.60729740721462,44.617815884427785,16.651395613206027
-1.4,4.96,-9.02,-125.8974793863132,45.2750645639147,17.508882729880764
-1.41,4.6,-9.05,-125.47069041747116,45.69752343772229,18.019205613951
-1.38,4.85,-9.16,-124.72495975966048,46.407242416234105,18.704070115126303
-1.71,5.0,-8.48,-124.30646648477428,46.769049990136345,19.284990927591146
-1.71,4.7,-8.59,-123.79346416819727,47.21887922414317,19.889680039418103
-1.83,4.48,-8.54,-123.45383923298036,47.544236088592434,20.331921330362565
-1.94,4.51,-8.26,-122.82802018843608,48.09577032776433,20.984205642908503
-1.94,4.92,-8.44,-122.3270942285192,48.47249577682955,21.403893300909647
-1.85,4.14,-8.74,-121.87727845049912,48.92530395295319,21.85888316581779
-2.11,4.66,-8.37,-121.38378152894909,49.366315839864654,22.232468575814032
-1.87,5.31,-8.52,-120.98704033013556,49.66917497940315,22.54786734834884
