acc_x,acc_y,acc_z,eul_x,eul_y,eul_z
-4.42,3.55,-7.87,-136.40437355406192,25.42981308247912,31.53090365657372
-4.29,3.5,-8.14,-136.55893204947213,25.42981308247912,31.340435037267948
-4.28,3.51,-8.29,-136.58990657854866,25.42981308247912,31.26903222594612
-4.43,3.59,-7.98,-136.58990657854866,25.38282633662164,31.28093182906108
-4.4,3.61,-8.2,-136.62090215577362,25.32409900412527,31.25713296863673
-4.53,3.43,-7.87,-136.65191882638644,25.19492264637575,31.364238746739588
-4.54,3.55,-7.92,-136.68295663578678,25.06577882303193,31.388043844509305
-4.37,3.48,-8.03,-136.83846436491558,24.924931536010146,31.304732073341743
-4.24,3.48,-8.18,-136.99450746728783,24.831054609816945,31.221437269957967
-4.29,3.36,-8.26,-137.1824741414482,24.65508094243751,31.161951340157948
-4.16,3.35,-8.28,-137.30822333899698,24.57298013035922,31.078685498016352
-4.2,3.48,-8.14,-137.3712305266047,24.49089212710032,31.078685498016352
-4.32,3.42,-7.98,-137.4343266309111,24.32675435471253,31.19764186362961
-4.62,3.23,-7.6,-137.5291383748013,24.162667241251803,31.28093182906108
-4.5,3.52,-7.96,-137.6241524258607,24.02206117401117,31.24523405697452
-4.52,3.19,-8.02,-137.87852272532075,23.79950985538602,31.161951340157948
-4.35,3.2,-8.35,-138.0702668424954,23.62387580431868,31.06679175207397
-4.41,2.83,-8.23,-138.3272359651665,23.38978453262475,30.99543647635929
-4.17,2.92,-8.5,-138.4562899093435,23.28447580744025,30.971654123503782
-4.26,3.07,-8.56,-138.4239905330992,23.190884791431422,31.10247401988412
-4.52,3.61,-7.88,-138.23069557304194,23.08561363949995,31.41185033184749
-4.55,3.81,-8.06,-138.03825139668672,22.88682192770989,31.82869013670581
-4.98,5.22,-7.5,-137.78296246704429,22.606293449751373,32.412994497933816
-5.19,5.19,-7.65,-138.4239905330992,21.24064723466595,33.08183396795116
-5.36,3.85,-6.96,-139.76858389100772,19.470990576087328,33.309024075692264
-5.14,1.69,-7.8,-142.09917876057762,16.97573712493423,32.878671967526124
-4.98,-1.36,-8.3,-143.53692935464713,15.73700413286234,32.25789123557385
-3.96,-1.32,-9.51,-144.53918747848587,14.638747929971784,31.78102952643836
-4.2,-1.9,-8.4,-144.46400874868328,14.45391421483677,32.067078184397204
-4.28,-3.1,-8.67,-144.46400874868328,14.511670666824136,32.12669742786024
-3.87,-2.25,-9.22,-144.0161283848301,15.332219618835126,32.18632560419117
-4.17,-0.1,-9.29,-142.45363711540872,17.056843809922572,32.878671967526124
-4.21,1.56,-9.32,-140.44035437538835,19.56400979675284,33.64407662582565
-4.52,1.04,-9.45,-138.9763854221543,21.543853477197025,34.14721243955784
-4.79,1.91,-9.1,-136.58990657854866,23.998630403703213,35.287783624982225
-5.33,3.33,-7.51,-134.4108976122917,26.076325639174165,36.34754136011127
-4.93,3.92,-8.02,-132.15647345628565,28.76570522000204,37.05986053192884
-5.47,2.94,-7.22,-130.76254599505174,30.24694330618832,37.616257937648726
-5.59,2.56,-7.04,-129.00391708769308,32.25789123557385,38.20995633245823
-4.83,2.63,-8.59,-127.636771729627,33.871602322817786,38.57397055139104
-5.59,2.82,-7.25,-125.42068267085124,35.612600576556765,39.81467938235785
-5.74,2.87,-6.74,-123.74483108000663,36.963188541466,40.74229316618828
-5.55,3.25,-6.89,-121.80654521371449,38.707543665525726,41.611404826079344
-5.88,3.7,-6.41,-120.22373946495335,39.87562235967538,42.53221028877852
-6.3,3.04,-5.78,-119.24220793672814,40.66895994437228,43.061436120560906
-6.11,3.98,-5.96,-118.16321281406336,41.48884440066444,43.62865462912293
-6.33,3.35,-6.19,-117.74077335444636,41.83213929656368,43.86326796394638
-6.64,3.16,-5.91,-117.07896160834984,42.42156281061413,44.15989850900582
-6.63,2.83,-6.2,-116.70669462733449,42.74132469735878,44.32070338877077
-6.61,3.42,-6.03,-116.40158899740273,42.95058853731749,44.49398072982355
-6.59,3.13,-6.35,-116.07613737802976,43.32024532286975,44.5682752426895
-6.6,3.27,-6.15,-115.98960027739392,43.4312345665289,44.580659579875785
-6.46,4.15,-5.82,-116.1411089977447,43.24627621237414,44.55589145397279
-6.51,3.91,-5.98,-116.64120406641231,42.86440291129757,44.28358642561688
-6.62,3.58,-5.66,-117.29886813726064,42.29866977331948,43.98682632143316
-6.61,3.6,-5.77,-118.38659680691794,41.182660023882,43.65334169783373
-6.34,3.01,-6.45,-119.97126580924144,39.85124375899717,42.91364872106161
-6.17,2.13,-6.86,-121.33697927503368,38.91408254537286,42.065313242449655
-6.13,1.9,-6.91,-122.3984110822012,38.23421144458892,41.34183738204944
-5.84,2.45,-7.2,-123.8908464883956,36.90278239165085,40.63229985656115
-5.65,2.61,-7.66,-125.3457502614118,35.56446095223015,39.97315559242056
-5.69,2.56,-7.32,-126.5308282926202,34.41103013134001,39.46144077446525
-5.45,1.89,-8.06,-127.7407542896587,33.40472333858408,38.8168714421915
-5.24,1.32,-8.55,-128.89754271482937,32.436861947325646,38.17357699786608
-5.26,1.18,-8.43,-129.56581673326838,31.63808150954527,37.979621244835975
-5.34,1.9,-8.36,-130.0792914251156,30.93598315774567,37.87057079932817
-5.36,1.79,-8.31,-130.40615307468192,30.306298828005648,37.919033262141134
-5.41,2.14,-8.11,-130.70755912152916,29.96215210560615,37.77366695276425
-5.33,2.27,-7.86,-130.9830718545965,29.55902139879445,37.664683622171815
-5.24,2.55,-7.91,-131.31561745343842,29.262840587223423,37.47102265081461
-5.14,2.28,-8.12,-131.76235907719015,28.87218733809866,37.180738981785375
-5.26,1.76,-7.91,-131.93089302515688,28.74204597594341,37.09611957275582
-5.33,2.39,-7.52,-131.98719464152978,28.6474215027532,37.04777503969204
-5.19,1.72,-7.91,-132.32631788342704,28.48187662578674,36.78200193719797
-5.2,1.56,-8.07,-132.46829135766265,28.588291341239625,36.54056778374004
-5.13,1.72,-7.62,-132.32631788342704,28.81302746748213,36.48023552286196
-4.85,1.95,-7.43,-132.12822120462246,29.1444243172648,36.34754136011127
-4.78,1.75,-7.05,-131.7904095910964,29.760539648089328,36.16667598822457
-4.51,2.31,-6.7,-131.59437695002578,30.258813745298948,35.865440443720345
-4.34,2.21,-6.54,-131.48269259246572,30.817102104618424,35.408051904136364
-4.46,3.24,-6.5,-131.2878239276356,31.602352407672463,34.73506381234489
-4.14,2.88,-6.8,-131.59437695002578,32.222106806155665,33.524381159227765
-4.07,2.52,-6.86,-131.84655671079122,32.73532749855365,32.49653690025889
-3.64,3.19,-6.85,-131.90276546625157,33.440616741828144,31.173847836723343
-3.22,3.76,-6.64,-132.07176372350168,34.039340850884635,29.902844499943303
-2.66,2.89,-7.32,-133.18424101457546,34.42302630295278,27.4544775660039
-2.22,2.26,-7.84,-133.7645266360233,34.87917065061918,25.61780363221793
-2.23,3.02,-7.72,-133.41553604515124,36.01000138130928,23.78779915841677
-1.96,3.93,-7.46,-133.2997533527462,36.57677217345314,22.232468575814032
-2.36,4.12,-8.42,-133.3576107786115,37.1323824635344,19.71519382901285
-1.01,3.92,-10.22,-133.50255170239728,38.11295365085032,16.651395613206027
-0.94,3.67,-10.61,-133.12658560187518,38.79257320860052,14.881400387429183
-1.77,5.28,-9.04,-131.76235907719015,39.48578948035391,13.588001782657653
-0.2,5.4,-9.67,-131.4269409010407,39.88781236546699,11.916067673936476
0.33,3.6,-10.9,-131.67829939723129,39.85124375899717,9.280599254023052
-0.3,5.58,-8.68,-130.70755912152916,40.32696746513329,8.246248510013665
0.75,4.28,-10.37,-130.2152395796288,40.65673943236753,6.11062569758793
1.2,4.35,-10.79,-129.27076347961943,41.20714343304567,4.573417240623146
0.55,4.8,-9.0,-128.18484420355122,42.053036389733045,4.000057708800217
1.01,4.31,-8.86,-127.19696922706022,42.72901972322527,2.9338644268256844
1.06,5.0,-8.01,-126.3527930632596,43.27093047786308,2.0398374773549266
1.75,5.68,-8.42,-125.3457502614118,43.86326796394638,0.5844194845105756
