acc_x,acc_y,acc_z,eul_x,eul_y,eul_z
0.61,1.09,-9.62,-165.5865648948541,-11.800859775906506,-7.35035834348681
0.61,1.46,-9.62,-165.13681976050614,-12.019765115233204,-7.660420468145224
0.74,1.68,-9.83,-164.61437509688025,-12.423127669242316,-7.94756506816392
0.38,1.95,-9.73,-163.78077108801162,-13.380300633180664,-8.062436803571838
0.11,2.67,-9.32,-162.60463181843892,-14.742733694368155,-8.326672787534774
1.75,1.57,-9.96,-160.59764077497127,-17.26544349477142,-8.68288738926451
2.15,-1.91,-9.2,-158.5304946671076,-19.157145947707967,-8.878266355561609
2.92,-2.96,-10.03,-155.6456486519571,-21.43888030792546,-9.21161989509871
2.59,-2.71,-9.35,-154.73873772257048,-22.384305799332328,-8.912747665103913
1.98,-0.69,-9.0,-154.73873772257048,-22.86343926833653,-8.23475966058657
1.9,-0.93,-8.78,-154.16860854190614,-23.296175790566195,-8.384121213370948
1.91,-1.55,-8.54,-152.8678214061549,-23.8463551666527,-9.832557602907888
1.0,-0.5,-5.59,-151.6255402012684,-24.18610517042096,-12.181091916848366
4.67,0.58,-9.54,-145.76376947074462,-25.570799441600013,-21.054133663315955
6.2,-0.91,-10.28,-140.1367137765361,-26.45286606002896,-27.855717200127582
4.68,-0.42,-7.76,-137.78296246704429,-26.41755310589251,-31.06679175207397
4.95,0.82,-7.52,-134.38132917213414,-26.535272907054928,-35.66074669721593
8.51,0.34,-10.84,-131.7904095910964,-26.74724052277769,-38.53755098296754
7.31,-0.88,-9.02,-131.90276546625157,-26.46463761296408,-38.40404714248387
5.34,1.01,-6.98,-133.12658560187518,-26.06456338881546,-37.483123203499495
6.43,0.22,-8.34,-132.95401941873996,-25.99399574998519,-37.62836370499113
7.16,-0.91,-8.9,-133.88141126071122,-25.38282633662164,-36.842386864351504
5.93,-0.51,-7.44,-135.85222545366122,-24.608164621444825,-35.15553486649333
5.51,-0.58,-6.89,-137.94234469461358,-23.34297818708293,-33.67999263161277
6.23,-1.47,-7.86,-138.5209607780903,-22.290862814695288,-33.751834870470574
5.83,-0.69,-7.39,-139.80191665328087,-20.05257586733213,-33.94348108559176
5.38,0.4,-7.54,-140.71214769326966,-18.193261198253683,-34.23113412634732
5.38,0.78,-7.96,-141.33038910827102,-15.875832638109523,-34.89118212049759
5.29,1.42,-8.25,-141.78287468010964,-13.8765501759761,-35.37196719600466
4.76,2.14,-8.07,-142.0286696964437,-11.916067673936476,-35.9015751355927
5.3,2.15,-8.84,-141.71292660191068,-11.075320376717384,-36.51643362197993
5.33,2.29,-8.97,-141.5733981273395,-10.407757691617306,-36.842386864351504
4.61,2.26,-8.49,-141.64310130769366,-10.545844298925708,-36.73370161256758
4.98,1.92,-8.47,-141.71292660191068,-11.144399719947115,-36.48023552286196
5.2,1.2,-8.59,-141.53859212209682,-12.365495103087907,-36.25106819831296
5.37,1.02,-8.45,-141.64310130769366,-13.426452603767608,-35.745018073663594
5.0,1.36,-8.1,-141.64310130769366,-15.29753283007483,-34.9512454084058
5.67,0.66,-8.51,-141.39967008106163,-16.66297690980209,-34.56701075551299
5.85,-0.15,-7.96,-140.98575914579104,-18.51827857520288,-33.96744372977673
6.0,1.07,-8.11,-140.54206620040912,-19.773350749034485,-33.70393852830112
5.96,0.04,-8.16,-140.06953899210683,-21.275624852029367,-33.26118341298741
5.52,-0.29,-7.94,-139.80191665328087,-22.267504416511223,-32.795047946580326
5.46,0.4,-8.07,-139.96897956123578,-22.88682192770989,-32.23403459047365
5.82,-0.22,-8.33,-140.0359922172176,-23.40148673707778,-31.70954918748255
5.01,-0.03,-8.07,-140.30512782111506,-24.02206117401117,-30.86465043933479
5.13,0.38,-8.49,-140.30512782111506,-24.44399042905254,-30.52004779633356
5.25,0.28,-8.79,-140.30512782111506,-24.63162225772855,-30.36566267714048
4.96,-0.08,-8.31,-140.33889297208822,-24.831054609816945,-30.06892651053725
5.07,0.28,-8.77,-140.27139021079807,-24.854522251558684,-30.12825716684205
4.86,0.32,-8.36,-140.06953899210683,-24.88972570037191,-30.34191613696452
5.11,0.19,-8.56,-139.8686617976523,-24.87799095241944,-30.62696303514804
4.76,0.17,-7.92,-139.40365501423122,-24.842788298368426,-31.20953939428692
4.75,1.01,-7.45,-137.91042216197232,-24.8662564695287,-33.05792701658909
5.89,0.88,-8.19,-134.49971207203987,-25.512050354420897,-36.673335709404434
5.75,0.8,-7.5,-132.46829135766265,-26.029278313836883,-38.707543665525726
4.96,1.09,-4.88,-127.351803991908,-26.91216865613784,-44.0239043163285
9.08,1.38,-7.67,-120.108859015364,-28.009224192772628,-51.443358765022325
10.33,0.58,-8.17,-115.23680905302648,-28.446410631571,-56.35439663135928
7.56,1.27,-4.87,-114.810125415467,-28.83669047331989,-56.70567847737765
8.78,1.24,-6.05,-114.32249031100716,-28.91952089539617,-57.17496080016431
9.15,1.13,-6.12,-115.38674111389928,-28.34002932498839,-56.36739676228097
7.67,1.48,-5.29,-117.32089688772967,-27.973794960271835,-54.50336228612648
7.53,1.35,-5.2,-118.7680354914018,-27.560654449020664,-53.16679865181976
8.44,0.17,-5.89,-118.79053985855312,-27.14787893324093,-53.34626194049607
8.46,0.3,-5.57,-119.28754177396172,-26.06456338881546,-53.461705766242936
8.1,0.16,-4.95,-119.62852711601612,-25.0892571067724,-53.64140160793269
7.83,0.22,-4.78,-119.58296175366009,-23.272776070440536,-54.69679474885505
