acc_x,acc_y,acc_z,eul_x,eul_y,eul_z
6.35,3.42,-6.93,-132.5821583872238,-5.020716482682318,-41.14593859433644
6.2,3.51,-6.87,-132.63918862221735,-4.906017344265488,-41.07250897869503
5.97,3.75,-6.75,-132.69628364910096,-4.768384859798278,-40.93793375462537
5.95,3.84,-6.65,-132.66772802198363,-4.6766337060034,-40.90124166576177
5.92,3.99,-6.83,-132.63918862221735,-4.642227799866185,-40.84009791641019
6.01,4.03,-6.8,-132.63918862221735,-4.68810243496922,-40.81564381829703
6.31,4.08,-6.63,-132.5821583872238,-4.791323123878448,-40.85232569399261
6.23,3.74,-6.7,-132.69628364910096,-4.906017344265488,-40.81564381829703
5.97,3.52,-6.86,-132.81066902216784,-4.997776256010228,-40.73006975326216
6.03,3.65,-6.96,-132.86795984370113,-5.009246344236124,-40.70562437914749
5.98,3.79,-6.93,-132.98273895587266,-5.0321866714644,-40.59564411041757
5.61,3.74,-6.73,-133.27085000109963,-5.101008867683621,-40.33917501022326
6.05,3.74,-6.99,-133.706188934986,-5.204245622111723,-40.02193352838936
6.37,3.7,-7.02,-134.1160248878201,-5.284543793645802,-39.71719501771099
5.87,3.19,-7.18,-134.7075870499225,-5.273072468222583,-39.278884517127096
5.53,3.58,-7.29,-135.24632190274465,-5.181303758795194,-38.78042477210455
5.93,3.59,-6.99,-137.4343266309111,-4.6536963885673295,-36.78200193719797
5.77,3.64,-7.46,-138.5533323833026,-4.4587366294239885,-35.72093850046968
4.93,3.26,-7.19,-138.81318085103794,-4.2867240536107065,-35.612600576556765
4.33,2.8,-6.16,-138.0702668424954,-4.206454848857137,-36.57677217345314
4.31,2.11,-4.69,-133.64792062272215,-4.550480755424785,-41.31734313597096
9.69,4.96,-6.96,-120.45410373713348,-5.582817194583068,-54.12986845766676
9.32,4.69,-3.86,-110.7321495345978,-6.868145731332586,-63.6868789211639
8.07,3.8,-2.93,-107.58829882460172,-6.822227205491183,-66.77519331232165
7.55,4.21,-2.4,-103.79349620326416,-7.189606746883267,-70.42351668923327
10.17,4.15,-2.09,-98.96366523953266,-7.453706284964303,-75.41056702241764
9.41,3.72,-0.9,-95.53100117217964,-7.8212153932673,-78.82513609744035
8.6,3.66,-1.06,-95.03777424913532,-7.936078336486531,-79.25593194400129
8.69,3.94,-0.81,-94.69896470096,-7.890132207309978,-79.52399794108469
8.69,4.43,-0.4,-93.97417767912142,-7.936078336486531,-80.09163739911392
9.14,4.2,-0.51,-92.83791553872564,-8.016487142063689,-81.2189848647937
8.8,4.04,-1.0,-93.12086388400516,-7.936078336486531,-80.93249704821434
9.03,3.96,-0.6,-94.14229255211988,-7.717845476549469,-79.98689521343867
8.69,3.71,-0.92,-94.8682331378412,-7.568544455864768,-79.30057349706065
8.61,3.93,-1.02,-95.70162205923631,-7.338875609975954,-78.4400339000036
8.93,4.07,-1.2,-96.43851781128038,-7.1207175606295605,-77.70240232798936
8.94,4.18,-1.13,-97.73667466579631,-6.879625535030392,-76.41335815769425
8.85,4.12,-1.57,-98.59396637382844,-6.707435672786218,-75.56997527074246
8.8,4.07,-1.67,-99.63621890239712,-6.569694717687418,-74.57286253577672
8.67,3.91,-1.82,-100.42085372385355,-6.535260971441648,-73.81143181449299
8.44,3.98,-2.02,-101.21199312357184,-6.4778727055513645,-73.02526419838799
8.66,4.0,-2.22,-102.04626885327214,-6.4319632645356775,-72.24306941788456
8.76,4.03,-2.5,-102.61275550473172,-6.615607303690656,-71.71905293720884
8.58,3.89,-2.35,-103.9421788631584,-6.627085616027943,-70.42351668923327
8.57,3.7,-2.82,-104.97114038563048,-6.569694717687418,-69.44467449288967
8.32,3.83,-2.96,-106.27930542410908,-6.5008278159272015,-68.09776471776088
8.68,3.91,-3.07,-107.04685331847428,-6.420486066048695,-67.32502809337325
8.4,3.81,-3.31,-108.2309531214748,-6.328670789467022,-66.13135014443881
8.16,3.94,-3.23,-109.09565995624818,-6.225383461526625,-65.21757686713724
8.39,4.04,-3.26,-109.86983734458828,-6.04177399090254,-64.4302992386677
8.71,4.03,-3.6,-110.32991436609802,-6.007348957796251,-63.98388526065868
8.09,3.86,-3.91,-111.52245118481588,-5.904077101832591,-62.78528219858725
7.68,3.8,-3.55,-112.44441011743348,-5.7319679651977244,-61.84791552643628
7.94,3.91,-3.86,-113.06525678920109,-5.6516548202737225,-61.16786271295341
7.84,3.93,-4.08,-113.37759496408128,-5.617235753841245,-60.82208696099747
7.65,3.9,-3.92,-113.94309450479722,-5.605762844556931,-60.2250699460729
8.14,4.02,-4.14,-114.02723737175656,-5.617235753841245,-60.14560427540305
8.43,4.19,-4.31,-114.32249031100716,-5.640181741583799,-59.8677251126705
7.77,3.8,-4.09,-115.27961518989136,-5.284543793645802,-58.93107948112415
7.9,3.7,-4.46,-115.42963584973434,-5.273072468222583,-58.79950628412525
7.91,3.71,-4.31,-115.27961518989136,-5.273072468222583,-58.95740435856217
8.23,3.85,-4.56,-115.1726470817956,-5.215716631990905,-59.04956837226242
7.88,3.53,-4.33,-115.38674111389928,-5.296015172064578,-58.87843997243265
8.46,3.46,-4.55,-115.57996801372803,-4.96336629149859,-58.69430899208943
8.9,3.18,-5.07,-116.1194452258842,-4.561948975165956,-58.0118417792849
7.35,4.14,-4.61,-119.62852711601612,-3.4841201823987773,-53.718457713676216
7.58,3.92,-5.91,-123.5991628945627,-2.4180613422720283,-49.11421404634533
6.26,3.63,-6.32,-129.2975202216285,-0.4239897358038088,-42.71671526594671
4.7,3.9,-5.95,-133.0977829759083,1.283452294756085,-37.664683622171815
5.35,4.27,-6.65,-133.85216386873807,2.452446574526375,-36.22695406441953
5.55,5.06,-6.91,-133.50255170239728,3.793673550039814,-35.4802322080149
4.9,4.51,-6.49,-133.32867360141205,4.332593112917143,-35.31183406453793
5.0,5.18,-6.23,-132.7820481898819,4.825730880475589,-35.35993976529708
5.41,4.84,-6.55,-132.46829135766265,4.6766337060034,-35.877484931095594
5.57,4.78,-6.58,-132.01536875371886,4.194987989089829,-36.685408046310336
6.14,4.09,-7.07,-131.87465337051762,3.793673550039814,-37.24119428419274
5.8,4.25,-6.54,-131.53850453910292,3.4611913427691,-37.74944537405314
5.86,4.45,-6.38,-130.76254599505174,2.807774138332147,-38.80472209856705
6.2,3.61,-6.63,-129.9436888935972,1.8106219718874,-40.36359153375482
6.59,4.7,-6.34,-129.40467932878911,1.3636717386286217,-40.88901194320904
5.77,4.58,-6.01,-127.68873899317936,0.1145915781247664,-42.95058853731749
7.26,3.38,-6.4,-125.47069041747116,-0.5958787923837214,-45.74726752330664
7.23,4.55,-5.74,-123.57491843142247,-1.100095864564908,-47.481635948605785
6.78,4.12,-5.34,-122.89990924402274,-1.3751317128217122,-48.25894988610853
6.24,3.86,-4.97,-120.777980646449,-1.9023072532875973,-50.49129103156368
7.98,4.73,-4.87,-117.36497526499907,-2.738999060214957,-53.92406916451298
7.39,4.42,-4.66,-116.44509519750316,-2.9911793597011727,-54.89039623695746
7.65,4.5,-4.55,-115.94637091735842,-2.9911793597011727,-55.42044409850313
7.5,4.44,-4.51,-115.85999031103984,-2.910938660030132,-55.43338813739566
7.67,4.47,-4.35,-115.77371350268422,-2.956790311078442,-55.53696813006854
7.38,4.39,-4.42,-115.38674111389928,-3.025568677774776,-55.88691564523484
7.65,4.69,-4.35,-115.10854164041076,-3.117274866889664,-56.15948929286995
7.83,4.4,-4.32,-115.0018244008949,-3.140201723904295,-56.34139729043255
7.37,4.17,-4.37,-115.10854164041076,-3.15166519950434,-56.25042399767553
7.63,4.77,-4.11,-115.0018244008949,-3.15166519950434,-56.27641242483391
7.53,4.27,-4.48,-115.0231553616165,-3.163128706652845,-56.302404004510144
