acc_x,acc_y,acc_z,eul_x,eul_y,eul_z
4.12,2.81,-9.01,-146.63092085313292,17.798795314151782,-19.6570420373131
3.41,2.36,-8.68,-146.83107004149562,17.77559810564146,-19.55238168351347
3.84,2.68,-8.91,-146.79094642726758,17.752401631441728,-19.56400979675284
3.77,2.8,-8.92,-146.83107004149562,17.682816604505923,-19.505871262305693
3.57,2.55,-8.68,-146.992038514199,17.555261104447528,-19.43611171140661
3.96,3.37,-8.99,-147.1943287474599,17.161136490218524,-19.343110284151184
3.64,3.21,-8.95,-147.89138385145154,16.234582036054892,-19.192010366536685
3.92,2.98,-8.87,-148.4345315385202,15.517239777173634,-19.157145947707967
3.42,2.49,-8.65,-148.98694437514695,14.650301303680088,-18.959614614971
2.91,3.53,-8.37,-149.54912686270868,13.380300633180664,-18.669230437467
3.39,2.69,-8.88,-150.1661139822511,12.019765115233204,-19.18038869449432
3.08,3.55,-8.71,-150.479330837061,10.718474180434589,-19.38960938592485
3.08,3.62,-8.5,-150.88687816852098,8.567970434690707,-19.81987998842397
3.4,2.99,-8.54,-151.20776005427302,6.604129057804274,-20.436707276203283
3.34,2.34,-8.55,-151.34635737161238,4.11472114096103,-21.43888030792546
3.89,1.22,-8.56,-150.88687816852098,2.670224968889185,-22.54786734834884
5.93,0.65,-9.23,-150.479330837061,1.5928739664684124,-23.70583132960312
5.14,0.21,-9.04,-149.81204156148604,1.7189378496716434,-24.37364567505576
5.73,1.21,-9.16,-148.26644461114088,2.830699387947472,-25.124476539770274
5.47,2.59,-8.46,-146.9114591288739,5.123950007684243,-25.25363512809168
4.56,1.24,-7.97,-145.6471679681556,7.315910364212048,-25.47680417585264
6.24,4.12,-8.35,-142.95536907296346,10.741493332748478,-25.59430098947942
4.68,2.67,-8.03,-141.74788525089278,13.276466658923828,-25.17143953683573
4.51,4.09,-7.56,-139.1730548258568,16.940979741891212,-24.479166312304468
5.28,4.54,-8.2,-137.4343266309111,19.30823806837105,-24.13923033811999
4.77,4.22,-8.27,-135.45749811569678,22.57123707542117,-23.21428107252436
4.15,5.68,-7.67,-133.64792062272215,25.58255007875368,-21.275624852029367
4.45,4.95,-8.34,-132.98273895587266,27.36011828826252,-20.05257586733213
3.5,5.45,-7.73,-132.32631788342704,29.59457663056109,-17.961196420173227
3.78,4.71,-8.08,-132.269639855159,30.86465043933479,-16.720885966499374
3.36,4.71,-8.44,-132.41145409892673,32.23403459047365,-15.008530771963963
2.82,4.19,-7.87,-132.7820481898819,32.99816611056945,-13.541842119876778
2.59,4.89,-7.82,-133.15540493778332,33.62013451285477,-12.158043754647911
2.29,5.06,-7.91,-133.56064768554154,33.56028583882476,-11.674144907935558
2.14,4.87,-7.93,-134.52935339042858,33.0459740960127,-11.351662230904264
2.61,4.5,-7.9,-135.66962888300523,32.18632560419117,-11.593515641253695
2.54,5.0,-7.89,-137.3712305266047,30.34191613696452,-12.169567773976445
2.39,4.43,-8.08,-139.96897956123578,27.58425258560056,-13.24185777158118
4.08,1.51,-8.83,-141.71292660191068,25.688318141008548,-14.696516297153034
4.0,2.69,-8.53,-142.84730495776557,23.31957649574687,-15.968397992715149
3.38,3.57,-7.93,-142.95536907296346,21.07744476440248,-17.474100846214462
5.69,1.6,-9.19,-143.09992952909138,18.947996901150287,-20.49492914898236
4.76,1.99,-8.67,-143.20870960086745,17.648026557290144,-21.672178876755066
4.41,1.81,-8.04,-142.91931394004666,16.10726571114575,-23.10900551875196
5.6,2.73,-8.48,-141.53859212209682,15.135679738336451,-25.53554917014508
5.19,1.84,-8.13,-140.8487237731441,14.650301303680088,-27.041794884833607
5.43,2.51,-7.93,-139.8686617976523,14.46546520944767,-28.45823232032684
5.74,1.69,-8.04,-138.4239905330992,14.46546520944767,-30.28255562108873
6.25,2.52,-8.01,-136.00493912570792,15.262847451308849,-32.556220911511176
6.17,2.4,-7.6,-134.52935339042858,15.852692930840096,-33.811713840931375
7.02,1.75,-7.76,-132.61066542040177,17.485694626999518,-35.43211039129503
6.95,2.26,-7.5,-131.23228149999522,19.157145947707967,-35.877484931095594
6.35,2.75,-7.1,-129.2975202216285,21.602179804976902,-36.09435595913239
6.49,2.93,-7.05,-127.94929869917114,23.869779338261072,-36.23901092380315
6.04,3.03,-6.59,-125.92268154117136,26.97108530932781,-36.16667598822457
6.53,3.07,-6.68,-122.46980875996977,29.49976914452507,-37.94326713356112
6.71,3.58,-6.45,-120.17776326239716,31.10247401988412,-39.05995387185956
5.55,3.89,-5.92,-117.87389590745228,32.68755772174567,-40.15611188549902
6.8,3.49,-5.87,-115.34387175567552,33.22530683110648,-42.38468953590336
7.1,4.21,-5.51,-111.6447470313604,32.890619725136126,-46.12063959224854
6.61,4.15,-4.66,-109.889785903268,31.85252256097231,-48.34685890896744
7.65,4.95,-4.54,-107.74364009530142,29.547170301814948,-51.77429627625306
6.96,3.63,-3.65,-107.0854130457935,27.242195772473625,-54.50336228612648
7.53,3.3,-2.54,-105.4428449688075,22.68809999960854,-59.23402251666461
11.94,2.01,-2.72,-102.75951351944929,17.010496081346126,-65.66705665174257
9.61,1.49,-2.6,-102.66776223181776,13.749578099392744,-67.58681526824894
9.39,3.09,-2.16,-101.66447905765742,9.706047414595153,-69.55624736247115
9.98,3.19,-1.77,-100.38504889165011,6.879625535030392,-71.49298753090414
10.53,3.05,-1.45,-98.4710413426878,3.4841201823987773,-74.38574166511974
9.23,3.71,-1.53,-97.84125321339737,0.9969591404369118,-75.17900592971374
9.98,2.86,-1.39,-98.0332655181114,-1.8450038134157023,-75.48300403742995
9.86,3.73,-1.52,-99.7428387240718,-3.300693295071686,-74.01219332198103
9.2,2.92,-2.48,-104.05385291977898,-4.917487034889402,-69.90540033624497
9.6,2.77,-2.95,-107.008311133202,-5.181303758795194,-67.22868060325891
8.64,3.04,-3.15,-111.8081078109232,-4.997776256010228,-62.36959041979664
8.01,2.91,-4.1,-116.33637960164222,-4.045922594423996,-57.82848630952777
7.71,2.63,-4.14,-118.25247900079262,-2.9911793597011727,-55.8609742090792
6.96,4.3,-4.23,-118.67809259864173,-1.79916139442209,-55.07124433789578
7.79,3.02,-4.69,-118.56583115924386,-0.8938232239278141,-55.135868994465206
8.08,3.03,-4.2,-116.3146564167026,0.7677691897415189,-56.94018936700064
8.13,4.47,-3.74,-113.90105869290856,1.7877008349543104,-58.85212533574583
8.49,3.38,-3.82,-110.51066825702888,2.7619239753850606,-62.08851089054388
8.34,4.17,-3.0,-107.25914966329704,4.263789782102698,-64.90496933686148
8.44,3.79,-2.82,-104.87710290187228,4.825730880475589,-67.07738608365682
8.6,3.17,-2.33,-100.52834892064112,5.387788121139308,-71.25314422862833
9.33,3.37,-1.46,-96.83485491073408,6.133576755953128,-74.68812953802521
9.25,3.14,-0.87,-93.43797599516576,6.7533514707706495,-77.84962137759723
10.45,1.32,-0.24,-90.77943113369116,7.970538771598189,-80.25639506580565
9.61,3.38,0.31,-87.7043277374761,9.878564278366849,-82.14295016552349
