acc_x,acc_y,acc_z,eul_x,eul_y,eul_z
-0.97,0.35,-9.93,-164.96066657615674,-13.426452603767608,6.087674884576738
-1.14,0.4,-9.74,-164.96066657615674,-13.414914406298776,6.133576755953128
-1.16,0.45,-9.8,-164.96066657615674,-13.414914406298776,6.145052377433653
-1.04,0.35,-9.79,-164.96066657615674,-13.414914406298776,6.133576755953128
-0.96,0.41,-10.02,-164.96066657615674,-13.414914406298776,6.145052377433653
-1.31,0.45,-9.4,-164.87335484809628,-13.403376345459217,6.3057176080928565
-1.12,0.35,-9.75,-164.87335484809628,-13.44952940908047,6.271288310584378
-1.08,0.41,-9.86,-164.87335484809628,-13.437990937987554,6.248335760592128
-1.28,0.41,-9.45,-164.87335484809628,-13.461068017168213,6.271288310584378
-1.12,0.04,-9.78,-164.87335484809628,-13.507223821905177,6.145052377433653
-1.23,0.65,-9.4,-164.87335484809628,-13.426452603767608,6.271288310584378
-1.05,0.45,-9.84,-164.87335484809628,-13.414914406298776,6.3057176080928565
-1.04,0.4,-9.96,-164.87335484809628,-13.437990937987554,6.248335760592128
-0.95,0.27,-9.98,-164.87335484809628,-13.461068017168213,6.236859579751598
-1.27,0.35,-9.53,-164.87335484809628,-13.4841456448157,6.340147475413157
-1.18,0.39,-9.84,-164.87335484809628,-13.461068017168213,6.3631010384043885
-1.07,0.45,-9.84,-164.78654130633294,-13.47260676237266,6.3631010384043885
-1.13,0.38,-9.62,-164.78654130633294,-13.44952940908047,6.420486066048695
-1.09,0.27,-9.8,-164.78654130633294,-13.47260676237266,6.420486066048695
-1.23,0.49,-9.51,-164.87335484809628,-13.47260676237266,6.374577915681861
-1.08,0.2,-9.78,-164.87335484809628,-13.4841456448157,6.340147475413157
-1.18,0.38,-9.62,-164.87335484809628,-13.461068017168213,6.374577915681861
-1.11,0.49,-9.86,-164.87335484809628,-13.47260676237266,6.317194167065648
-1.13,0.36,-9.66,-164.87335484809628,-13.47260676237266,6.271288310584378
-1.1,0.41,-9.79,-164.87335484809628,-13.47260676237266,6.2024314124588535
-1.1,0.3,-9.88,-164.87335484809628,-13.4841456448157,6.2024314124588535
-1.22,0.49,-9.45,-164.87335484809628,-13.44952940908047,6.236859579751598
-0.98,0.45,-9.98,-164.96066657615674,-13.44952940908047,6.145052377433653
