acc_x,acc_y,acc_z,eul_x,eul_y,eul_z
-0.95,2.25,-9.71,-111.13643927299914,66.50092772303125,12.838176201349
-1.09,2.31,-9.55,-111.09591679955122,66.52833488574433,12.88430304585338
-1.04,2.66,-9.47,-111.0351722213916,66.56945369468808,12.953497246186648
-1.12,2.59,-9.5,-111.0351722213916,66.59687161580996,12.988096123558291
-1.06,2.62,-9.57,-111.0351722213916,66.58316211676657,13.034229810442689
-1.1,2.79,-9.53,-110.93403529967291,66.67915125155818,13.06883146764636
-1.19,2.64,-9.47,-110.95425230146972,66.63800657923225,13.161108413553292
-0.95,2.54,-9.95,-111.05541520272617,66.55574634912462,13.138038375794716
-1.15,2.53,-9.43,-111.0756633938936,66.5420400796265,13.172643633299913
-0.92,2.44,-9.74,-111.13643927299914,66.51463076702889,13.161108413553292
-1.23,2.57,-9.74,-111.0756633938936,66.56945369468808,13.24185777158118
-1.27,2.67,-9.66,-111.0756633938936,66.59687161580996,13.288003224878931
-1.46,2.12,-9.58,-111.0756633938936,66.62429384659232,13.276466658923828
-1.48,2.07,-9.39,-110.95425230146972,66.8300983122929,13.207250097467805
-1.56,1.88,-8.68,-110.69183416222988,67.13238693393745,13.126503557539667
-1.32,1.39,-7.77,-110.3098558920654,67.61439507717935,12.838176201349
-1.23,1.62,-6.92,-109.90973941260324,68.05627918144376,12.469235993000286
-0.72,1.35,-7.55,-109.69052239052932,68.37459501300991,11.535926836248436
-0.04,1.4,-7.29,-109.3528985741182,68.73515523864087,10.787532942523711
-0.47,2.09,-6.18,-108.52472019757442,69.52834707781919,10.016593913069029
-1.28,1.68,-6.06,-108.15279095507611,69.87744078129813,8.487533709607298
0.69,0.96,-9.57,-108.07470230594728,69.79359069064598,6.604129057804274
1.76,3.25,-9.02,-106.604670219113,70.78858910682754,5.192774664418371
1.0,1.88,-7.58,-105.78405748823393,71.36596675624855,4.206454848857137
2.01,1.69,-9.94,-104.61433000481748,71.80391056917499,1.9366895446536667
2.55,4.81,-9.41,-102.83298081073578,72.82578699012866,0.5615008861828721
2.93,4.2,-10.02,-101.10372013014188,73.46788204137806,-1.6730962049034406
4.93,3.42,-12.28,-99.86737745872108,73.88310198436405,-3.5299782811888885
5.18,4.4,-12.52,-97.77152203051998,74.93336628710402,-5.146891353190199
5.59,4.57,-12.29,-96.57619970569807,75.43953757831886,-5.949975106955117
6.38,5.22,-14.47,-95.2755931282083,75.81667229763626,-6.684478178549483
7.03,5.79,-14.62,-94.68205278958663,76.09288289681452,-6.374577915681861
6.36,5.59,-13.64,-94.80049313653744,76.28216959343423,-5.4336758888612415
4.77,4.27,-12.04,-95.36065966207356,76.42794195968905,-3.942727502383202
5.24,3.04,-12.83,-96.43851781128038,76.02014547215987,-1.6501754833924644
3.83,3.84,-10.9,-96.90394078060578,76.6030617698578,1.6043342375287626
2.0,3.53,-9.02,-97.26741602219175,76.88076806545367,4.412865642375664
1.99,3.9,-9.8,-97.78895026657293,76.8953989710222,7.717845476549469
0.69,2.75,-8.2,-98.0856967948129,77.12969565730245,9.878564278366849
0.88,3.91,-6.88,-98.24315676541242,77.33501898155158,12.849707716341904
0.83,4.09,-6.78,-98.61153960499006,77.18832949283414,14.58098330322708
-1.01,4.39,-4.97,-99.12253530851764,77.12969565730245,16.234582036054892
-1.93,2.59,-4.54,-100.02773556408856,76.74915654963284,16.29245975343786
-1.29,1.94,-5.79,-101.55568290678625,75.88930894202932,15.147239662385427
-0.34,0.59,-7.08,-102.2651416958551,75.64249040650832,14.026630173419028
-1.37,1.28,-5.51,-102.0644885076778,75.93290816428274,13.85346307502466
-1.79,1.47,-5.27,-101.827911474709,76.32588599826201,13.253393932396618
-1.88,0.71,-6.05,-101.70077262436088,76.55926202381508,12.515346343653173
-2.46,0.16,-4.88,-101.06765675595229,77.23232058732376,11.00624507066077
-0.9,-0.22,-6.49,-100.42085372385355,77.57003532685165,9.016196458354324
1.49,1.98,-8.44,-97.7192555331491,78.72135037210387,6.776309776380446
1.25,4.93,-7.28,-94.64823708998428,80.12157851666187,5.869654220523909
1.84,3.9,-6.54,-91.54895776302855,81.0982837378557,4.022990071019942
3.52,2.52,-6.52,-89.90170904203455,80.9927594143726,1.741858774764144
4.45,5.01,-8.41,-86.34544823903026,81.26427589274175,-0.3666936147093117
5.23,5.47,-6.82,-83.56427059214394,81.52121595690518,-1.7533192633889718
6.78,4.63,-7.03,-80.21144137505003,81.2189848647937,-3.6675560000932936
7.94,6.24,-6.53,-77.17366878994224,80.87226170457619,-5.112479412053579
9.7,7.6,-7.84,-72.96824451527324,80.01681335104666,-6.581172764918962
11.81,8.29,-8.4,-70.0172862891219,79.28569137845204,-7.844187348567063
12.86,9.39,-8.6,-68.26380850791266,79.25593194400129,-8.41859128124216
12.7,9.15,-7.87,-67.29749473790226,79.10723062788524,-8.395611151395807
11.79,8.38,-7.49,-67.14613988325526,79.4196881806162,-7.809729533725751
11.09,7.79,-7.18,-68.05627918144376,80.12157851666187,-6.064724315991072
11.18,6.79,-8.2,-69.33317685680693,80.7067534127589,-3.6904861286986015
