acc_x,acc_y,acc_z,eul_x,eul_y,eul_z
-0.18,-1.31,-9.7,-132.07176372350168,47.2313854664036,-3.117274866889664
0.22,-1.43,-9.94,-132.07176372350168,47.24389230544818,-3.243374149708243
0.22,-1.54,-9.82,-132.15647345628565,47.14385428992954,-3.243374149708243
0.2,-1.05,-9.9,-132.1847414191665,47.15635695640368,-3.163128706652845
0.05,-1.1,-9.83,-132.2130251212284,47.106349860444496,-3.174592245464794
0.01,-1.31,-9.67,-132.269639855159,47.05635227559625,-3.140201723904295
-0.09,-1.46,-9.61,-132.29797094336487,46.9938686467816,-3.1287382797377283
0.05,-1.12,-9.67,-132.32631788342704,46.98137369898728,-3.1287382797377283
-0.05,-1.38,-9.6,-132.32631788342704,46.94389240735087,-3.15166519950434
0.11,-1.2,-9.6,-132.38305943270692,46.8939256305629,-3.163128706652845
0.33,-1.43,-10.06,-132.38305943270692,46.85645674888645,-3.254837913384077
0.04,-1.11,-9.94,-132.41145409892673,46.8189931753183,-3.2204467196467967
-0.02,-1.3,-9.66,-132.4398647310081,46.769049990136345,-3.300693295071686
0.08,-1.27,-9.72,-132.46829135766265,46.69415285279771,-3.4153340784378665
0.05,-1.19,-9.94,-132.5821583872238,46.50700231874489,-3.564372225995784
-0.2,-1.5,-9.5,-132.66772802198363,46.319983034035175,-3.82807003686826
-0.14,-0.44,-9.6,-132.7820481898819,45.92144367093,-4.504608331312204
-0.03,-1.6,-9.56,-132.86795984370113,45.361988090099786,-5.284543793645802
-0.28,-1.83,-9.3,-132.7820481898819,44.617815884427785,-5.697547703194251
-0.43,-2.66,-8.76,-132.69628364910096,43.87562138331682,-5.904077101832591
0.16,-4.23,-9.02,-132.1847414191665,43.07375512826057,-6.902585349926143
0.64,-5.2,-9.5,-131.53850453910292,42.82747400563139,-7.281463046960031
0.74,-6.92,-9.13,-131.01070305716067,43.19697398702748,-6.6500424405205285
-0.89,-5.68,-6.95,-131.20453254720215,45.11370802914807,-2.2117544130994498
-1.03,0.04,-7.39,-131.59437695002578,47.09384957314965,-0.8136069048374162
-0.98,3.25,-7.4,-131.2600452849924,48.61076799855758,-2.2919839967771853
0.65,0.74,-7.17,-130.43348264858346,49.05122823331522,-6.707435672786218
1.99,1.33,-7.4,-128.1586232989387,48.522767881927,-16.570331326030242
7.21,-0.67,-12.42,-124.25742213626366,47.05635227559625,-27.312945744821853
4.79,0.23,-8.22,-123.38130576448056,46.33244691855332,-30.318170931025325
5.48,-1.94,-8.48,-121.43061785942284,44.878048779944685,-35.52836049051285
6.29,-2.04,-8.41,-120.45410373713348,44.03626472561431,-37.9069169867096
6.76,-1.98,-8.61,-119.67412364784865,43.18464974314042,-40.009738335861776
6.08,-2.09,-7.86,-119.31022017941788,42.63059851955768,-41.04803635831072
6.81,-3.58,-8.15,-119.15163191547693,41.80760523510253,-42.10214683605518
6.14,-4.16,-8.33,-119.31022017941788,41.47659109099214,-42.22495842729175
6.26,-2.99,-7.99,-119.31022017941788,41.90575353350423,-41.78307317970489
6.35,-2.93,-7.96,-119.71975142044464,42.22495842729175,-40.93793375462537
6.13,-2.35,-7.97,-120.31578829659291,42.95058853731749,-39.37623490539532
7.06,-3.21,-9.74,-121.45404882910115,43.65334169783373,-37.04777503969204
5.21,-2.38,-9.31,-123.42965193046732,44.878048779944685,-32.61591400140699
5.04,-1.59,-9.47,-125.8974793863132,46.54442190080458,-25.98223545272544
3.13,-2.94,-9.06,-127.50706277493772,47.24389230544818,-21.24064723466595
1.87,-2.65,-7.55,-128.2635811405088,48.44736344772761,-16.15356023236983
2.14,-1.92,-9.81,-128.23732310544656,49.41676675386262,-13.541842119876778
2.56,-1.32,-11.4,-128.05386288415187,50.65604685467434,-9.568049817899787
0.07,-0.35,-8.26,-128.05386288415187,51.0747783558906,-4.584885551911774
-0.72,-0.99,-8.69,-127.58485235552216,51.36705403350072,-1.9252287616436885
-0.56,-1.01,-9.23,-126.9655039569828,51.54513650446032,0.2635608181333149
-2.2,-2.13,-6.79,-126.60729740721462,51.54513650446032,0.9167422509706517
-0.43,-2.86,-10.03,-126.45446035214496,51.78703388751428,0.2521016332198253
-1.25,-1.92,-8.81,-126.149991690663,52.15672470466425,0.5844194845105756
-0.98,-2.41,-9.31,-125.67114640173416,52.82108707040818,0.8250663536663884
-0.9,-0.67,-9.88,-125.42068267085124,53.28215172783013,0.9969591404369118
-1.47,-2.21,-8.26,-125.1215196986378,53.64140160793269,0.4125305035633525
-1.18,-2.02,-7.28,-124.30646648477428,54.954967799820345,-2.2346770389286066
1.76,0.67,-11.54,-123.57491843142247,55.95178287128961,-5.192774664418371
-1.61,-1.75,-3.15,-122.68448977939887,56.01666960756123,-11.19045487105573
5.4,1.23,-9.15,-119.92546492630352,55.80910067345633,-19.52912606682039
15.23,3.18,-21.37,-114.64014641159572,54.31009785710634,-31.79294414962257
6.23,-2.51,-9.53,-114.32249031100716,53.962642188164594,-33.368833308546726
5.5,-0.93,-8.43,-113.69123402259356,54.31009785710634,-33.9794256257345
6.53,-1.5,-8.81,-113.29417835148298,54.12986845766676,-35.095437786143385
5.38,-2.21,-8.41,-113.16922611259191,53.962642188164594,-35.72093850046968
5.28,-1.43,-7.99,-113.10682738081556,54.07840095968836,-35.60056506187857
5.34,-1.44,-7.92,-113.14842081555727,54.07840095968836,-35.43211039129503
6.29,-1.72,-8.37,-112.79560178360884,53.9755013315704,-36.21489761998581
5.44,-1.52,-7.91,-112.85774497558256,53.92406916451298,-36.22695406441953
5.56,-1.39,-8.07,-112.9614299666055,53.84694292088121,-36.14256765746203
5.63,-2.0,-8.14,-112.9614299666055,53.61572206207956,-36.46817032738551
5.79,-1.97,-8.09,-112.89920199482374,53.57720819427434,-36.63712122701613
5.49,-1.54,-7.88,-112.94068164320149,53.65424247190823,-36.504367169981776
5.76,-1.42,-8.01,-112.85774497558256,53.57720819427434,-36.769926221818416
5.81,-1.9,-8.19,-112.87847065921488,53.47453647164073,-36.86654380200172
5.42,-1.76,-7.73,-112.94068164320149,53.538700860812206,-36.66126379400549
5.84,-1.35,-7.99,-112.94068164320149,53.57720819427434,-36.63712122701613
5.59,-2.17,-8.07,-113.08603923231148,53.38473671711783,-36.69748080490138
5.51,-1.67,-7.87,-113.12762124009944,53.38473671711783,-36.62505057506963
5.92,-1.56,-8.0,-113.10682738081556,53.37191107016693,-36.66126379400549
5.66,-1.75,-7.91,-113.23167638730342,53.29497233017572,-36.57677217345314
5.58,-1.23,-8.12,-113.23167638730342,53.29497233017572,-36.52850049317351
5.92,-1.83,-8.03,-113.23167638730342,53.23087651093563,-36.63712122701613
5.67,-1.59,-7.91,-113.29417835148298,53.21805950342704,-36.56470362370221
5.41,-1.78,-7.93,-113.46110408162376,53.11554927222101,-36.44404119171296
5.55,-1.57,-7.87,-113.46110408162376,53.10273871771936,-36.43197725116238
5.5,-1.64,-7.97,-113.56562110150703,52.97467248448692,-36.44404119171296
5.68,-1.76,-8.01,-113.62840124543835,52.88506854972636,-36.45610555039494
5.87,-1.52,-7.98,-113.58654197734045,52.93626652690735,-36.46817032738551
5.55,-1.28,-7.79,-113.64933964888505,52.88506854972636,-36.38372566673132
5.81,-1.69,-8.07,-113.71219000408917,52.769914659011285,-36.44404119171296
5.77,-1.67,-8.06,-113.8590465676662,52.64203317675828,-36.37166381418113
5.63,-1.5,-7.85,-113.83804937327128,52.66760381963542,-36.37166381418113
5.83,-1.52,-7.99,-113.8590465676662,52.6036825036909,-36.40785062374676
5.72,-1.81,-8.14,-113.98515404910734,52.539778806860255,-36.33548075823788
5.55,-1.53,-7.91,-114.00619273526416,52.55255813835036,-36.23901092380315
5.84,-1.42,-7.97,-113.98515404910734,52.539778806860255,-36.27518399341682
5.64,-1.53,-7.93,-114.00619273526416,52.51422225376784,-36.263125888125366
5.69,-1.6,-8.12,-114.06934451880512,52.46311757943749,-36.25106819831296
