TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
508506.0,480.637449,1.0,-0.25,2.51,-9.46,21.25,-26.0,38.25,12.63,8.94,1.06,-0.3121031085075075,-0.2442906821776203,0.024159840932055587,-119.51467199760063,-57.475328633054886,-6.8107477456860686,-0.1377,-0.8639,-0.4808,-0.0594
508542.0,480.64369000000005,1.0,-0.44,3.34,-9.02,21.69,-24.75,37.5,24.5,14.75,0.31,0.4093512627617413,0.5180339652215888,0.2007313893437459,-119.69693362458544,-57.50146795059126,-6.9025853499261425,-0.1318,-0.8647,-0.48100000000000004,-0.0602
508577.0,480.64653200000004,1.0,-0.13,2.49,-9.77,21.69,-24.75,37.5,18.31,17.06,-1.44,-0.23515179112507645,-0.1630710394744721,-0.27243782932341354,-119.78825181236216,-57.64529274825973,-7.005907963772472,-0.1245,-0.8651,-0.4821,-0.0611
508614.0,480.69618899999995,1.0,-0.09,2.74,-9.82,21.69,-24.06,37.88,8.0,0.37,-0.44,0.009868681489749731,-0.00786011133098019,-0.388836296777388,-119.78825181236216,-57.74995501006216,-7.063311874799694,-0.1207,-0.8651,-0.4829,-0.0616
508649.0,480.699476,1.0,-0.16,2.35,-9.38,19.75,-23.69,39.88,12.44,1.19,-1.19,-0.19725369804644072,-0.0478875495251625,0.13756018961931815,-119.85682289966007,-57.802305908948476,-6.89110540785609,-0.11800000000000001,-0.8654,-0.4833,-0.0601
508682.0,480.73658200000006,1.0,-0.09,2.45,-9.53,19.75,-23.69,39.88,0.94,5.56,0.44,-0.09520962688430062,-0.04060406165495056,-0.03310540535056638,-119.85682289966007,-57.8546700143526,-6.925545442265205,-0.1159,-0.8654,-0.4837,-0.0604
508717.0,480.789913,1.0,-0.03,2.61,-9.84,20.5,-24.06,39.5,-1.94,3.5,-0.25,-0.020028735902586248,-0.03894768320529174,-0.37356030861892897,-119.83395800048694,-57.867763106675405,-7.074792869515193,-0.1157,-0.8653,-0.4838,-0.0617
508753.0,480.84160999999995,1.0,-0.13,2.67,-9.4,20.87,-23.25,39.5,-3.75,-1.06,-2.31,0.057572931871587414,0.128450518885193,0.03495691119937838,-119.76541050535587,-57.907047347217045,-7.13219891205416,-0.1165,-0.865,-0.4841,-0.0622
508788.0,480.848071,1.0,-0.22,2.7,-9.31,20.87,-23.25,39.5,-3.81,1.25,-1.56,0.037605370205515735,0.21958721052487284,0.11310228550941835,-119.67412364784865,-57.94633904000565,-7.189606746883267,-0.1175,-0.8646,-0.4844,-0.0627
508821.0,480.907942,1.0,-0.26,2.76,-9.38,20.5,-24.06,40.69,0.31,6.81,-1.5,0.02799920817261348,0.2811074855577549,0.029646643863459943,-119.58296175366009,-58.02494481779507,-7.338875609975954,-0.1177,-0.8642,-0.485,-0.064
508856.0,480.96141500000004,1.0,-0.02,2.58,-9.59,20.87,-24.06,39.06,0.56,10.44,-1.5,-0.060403015774804676,-0.0027387449470328558,-0.12417292536531832,-119.51467199760063,-58.10358051110581,-7.557060298129735,-0.1163,-0.8639,-0.4856,-0.0659
508893.0,481.02249900000004,1.0,0.12,2.58,-9.74,19.0,-24.06,40.25,2.44,2.25,-1.56,-0.024590926686312242,-0.11478049313656967,-0.2692926717662516,-119.44645197451608,-58.19536005826746,-7.660420468145224,-0.1151,-0.8636,-0.4863,-0.0668
508925.0,481.039307,1.0,0.03,2.42,-9.64,19.0,-24.06,40.25,2.88,3.25,-1.63,-0.17052823013152066,-0.08566615744808281,-0.1306776806290486,-119.4010105824342,-58.2740608132382,-7.671905315233598,-0.114,-0.8634,-0.4869,-0.0669
508962.0,481.04209299999997,1.0,0.0,2.79,-9.51,19.75,-23.69,40.25,1.5,4.88,-3.0,0.14152891308915772,0.1651805251321059,-0.10177494854136172,-119.31022017941788,-58.352791710028974,-7.786758050274272,-0.1131,-0.863,-0.4875,-0.0679
508997.0,481.07847999999996,1.0,-0.03,2.61,-9.49,19.75,-24.06,39.06,5.5,0.06,-1.94,0.00418544911179175,0.1266672192804874,-0.03494732449846971,-119.28754177396172,-58.457813250600395,-7.7523014124211596,-0.1115,-0.8629,-0.4883,-0.0676
509032.0,481.13402300000007,1.0,-0.23,2.72,-9.22,19.75,-24.06,39.06,2.63,1.5,-3.5,0.07222656607280759,0.3952400900654136,0.19945120980322173,-119.19690467351394,-58.57602690065555,-7.694875241065197,-0.1106,-0.8625,-0.4892,-0.0671
509067.0,481.144997,1.0,0.14,2.59,-9.73,19.37,-23.0,40.25,1.56,4.19,-3.06,0.05007016566988698,-0.016189475589530208,-0.2629989948453506,-119.15163191547691,-58.66801815565057,-7.7523014124211596,-0.1088,-0.8623,-0.4899,-0.0676
509104.0,481.19397699999996,1.0,-0.2,2.64,-9.35,20.19,-23.25,40.19,4.88,3.56,-5.0,0.010349889744465268,0.3542148527051829,0.09549534579407926,-118.9708445669936,-58.87843997243265,-7.763786880218299,-0.1082,-0.8615,-0.4915,-0.0677
509136.0,481.21382300000016,1.0,-0.12,2.56,-9.39,20.19,-23.25,40.19,3.13,6.88,-6.19,-0.01937328641990044,0.26066830761412696,0.07670772323499797,-118.79053985855312,-59.07590865675504,-7.8212153932673,-0.1071,-0.8607,-0.493,-0.0682
509171.0,481.25327599999997,1.0,0.16,2.15,-9.61,20.19,-23.0,39.88,15.06,14.06,-5.31,-0.23470581348248945,-0.10569241972900878,-0.0388536587027577,-118.6107135023718,-59.39226049534915,-7.970538771598189,-0.1016,-0.8599,-0.4954,-0.0695
509206.0,481.31075999999996,1.0,0.36,1.61,-10.25,19.75,-23.25,39.5,9.5,13.81,-3.44,-0.7098740355084968,-0.5097807401798689,-0.5384165754577186,-118.49856306250858,-59.61664459342119,-8.165828301178744,-0.0969,-0.8594,-0.4971,-0.0712
509243.0,481.314358,1.0,0.26,1.87,-9.89,19.37,-21.87,40.69,2.56,2.88,3.13,-0.4607144036046872,-0.21832546622053672,-0.2490288049892886,-118.54340107943031,-59.577029137074135,-8.280715556970401,-0.095,-0.8596,-0.4968,-0.0722
509278.0,481.364854,1.0,0.75,1.68,-10.14,19.37,-21.87,40.69,-0.69,8.63,-0.56,-0.4563523788865966,-0.7269260063742389,-0.4631027276727249,-118.49856306250858,-59.59023341780746,-8.487533709607298,-0.0942,-0.8594,-0.4969,-0.07400000000000001
509315.0,481.371677,1.0,0.75,1.74,-9.98,19.0,-22.25,40.25,-16.37,-0.56,7.75,-0.4334494935141894,-0.6896660011952847,-0.3189108409296342,-118.58826863083307,-59.418645600644645,-8.774827247055486,-0.0961,-0.8598,-0.4956,-0.0765
509349.0,481.42401900000004,1.0,0.47,2.52,-9.86,18.25,-23.0,41.0,-23.75,-14.13,9.94,0.026518648481874463,-0.1260979350703748,-0.3803169711869448,-118.79053985855312,-59.06273808576779,-8.935735653853008,-0.1014,-0.8607,-0.4929,-0.0779
509382.0,481.47305700000004,1.0,0.4,3.38,-9.14,18.25,-23.0,41.0,-13.06,-7.5,7.31,0.7967198149095733,0.30912909239700515,0.09100916983525664,-119.0385830310132,-58.58916597096109,-8.901253805563371,-0.1093,-0.8618,-0.4893,-0.0776
509417.0,481.479754,1.0,0.44,2.71,-9.71,20.19,-23.25,40.69,2.0,4.06,0.31,0.1114874324688283,-0.11358053630093926,-0.2827736710614488,-119.06117764081604,-58.52347906562028,-8.993207204284674,-0.1093,-0.8619,-0.4888,-0.0784
509454.0,481.537964,1.0,0.35,2.26,-9.65,18.69,-23.69,39.88,-2.0,-7.38,-0.81,-0.2807851337856189,-0.2642487128218356,-0.10313972160443896,-119.06117764081604,-58.56288867530428,-8.912747665103913,-0.1095,-0.8619,-0.4891,-0.0777
509489.0,481.555358,1.0,0.04,2.39,-9.18,18.69,-23.69,39.88,-11.19,-5.81,-1.75,-0.2375009360043817,0.07173842800266694,0.3237945807001399,-118.99341650256764,-58.536614758122084,-8.866772764864926,-0.1122,-0.8616,-0.4889,-0.0773
509523.0,481.603972,1.0,0.1,2.63,-9.58,19.0,-23.69,40.69,-16.31,4.13,-2.0,-0.1897484184271888,0.039810953301514296,-0.12641149309977884,-118.79053985855312,-58.56288867530428,-9.142643881088318,-0.1165,-0.8607,-0.4891,-0.0797
509558.0,481.664462,1.0,-0.05,2.73,-9.49,19.0,-24.06,39.88,-11.69,0.75,-1.5,-0.2240141097734789,0.20472074935455686,-0.06367963448567515,-118.63316578204837,-58.58916597096109,-9.395572354596672,-0.1191,-0.86,-0.4893,-0.0819
