,TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
0,85979.0,146.79532,1.0,4.81,2.56,8.13,2.5,-12.75,-41.25,-0.19,-0.25,0.06,-0.04805993222051208,-0.03235422769198126,0.019758591239735782,-32.2936788968098,8.751841754333862,-88.69365764034536,-0.6544,-0.2781,0.0763,-0.6990000000000001
1,85979.0,146.79532,1.0,4.81,2.56,8.13,2.5,-12.75,-41.25,-0.19,-0.25,0.06,-0.04805993222051208,-0.03235422769198126,0.019758591239735782,-32.2936788968098,8.751841754333862,-88.69365764034536,-0.6544,-0.2781,0.0763,-0.6990000000000001
2,86013.0,146.798931,1.0,4.83,2.55,8.08,2.5,-12.75,-41.25,0.31,0.37,-0.31,-0.05271002430135924,-0.07465344987527311,0.054242680996148714,-32.2936788968098,8.751841754333862,-88.69365764034536,-0.6544,-0.2781,0.0763,-0.6990000000000001
3,86013.0,146.798931,1.0,4.83,2.55,8.08,2.5,-12.75,-41.25,0.31,0.37,-0.31,-0.05271002430135924,-0.07465344987527311,0.054242680996148714,-32.2936788968098,8.751841754333862,-88.69365764034536,-0.6544,-0.2781,0.0763,-0.6990000000000001
4,86048.0,146.841489,1.0,4.93,2.52,7.97,3.56,-12.0,-42.06,0.12,0.69,-0.12,-0.05475255447676891,-0.22024579700915314,0.10486181705774024,-32.28174931703743,8.740349140335567,-88.69365764034536,-0.6544,-0.278,0.0762,-0.6990000000000001
5,86048.0,146.841489,1.0,4.93,2.52,7.97,3.56,-12.0,-42.06,0.12,0.69,-0.12,-0.05475255447676891,-0.22024579700915314,0.10486181705774024,-32.28174931703743,8.740349140335567,-88.69365764034536,-0.6544,-0.278,0.0762,-0.6990000000000001
6,86083.0,146.875399,1.0,4.83,2.57,8.17,3.56,-12.75,-40.06,0.19,-1.37,-0.19,-0.04521335359376138,-0.0268540865002358,-0.0259455174966412,-32.305608836158264,8.76333445653462,-88.67763467052185,-0.6544,-0.2782,0.0764,-0.6989
7,86083.0,146.875399,1.0,4.83,2.57,8.17,3.56,-12.75,-40.06,0.19,-1.37,-0.19,-0.04521335359376138,-0.0268540865002358,-0.0259455174966412,-32.305608836158264,8.76333445653462,-88.67763467052185,-0.6544,-0.2782,0.0764,-0.6989
8,86120.0,146.941226,1.0,4.83,2.56,8.08,3.19,-12.75,-41.69,-0.88,-0.06,-0.44,-0.0629138959477557,-0.06919566242270614,0.05164339815709873,-32.305608836158264,8.774827247055486,-88.67763467052185,-0.6544,-0.2782,0.0765,-0.6989
9,86120.0,146.941226,1.0,4.83,2.56,8.08,3.19,-12.75,-41.69,-0.88,-0.06,-0.44,-0.0629138959477557,-0.06919566242270614,0.05164339815709873,-32.305608836158264,8.774827247055486,-88.67763467052185,-0.6544,-0.2782,0.0765,-0.6989
10,86155.0,146.94648899999999,1.0,4.83,2.58,8.07,3.19,-12.75,-41.69,0.81,-0.88,-0.63,-0.08151331217773411,-0.0691315988542569,0.05478984913761842,-32.329469794230796,8.774827247055486,-88.66161388971882,-0.6545,-0.2784,0.0765,-0.6988
11,86155.0,146.94648899999999,1.0,4.83,2.58,8.07,3.19,-12.75,-41.69,0.81,-0.88,-0.63,-0.08151331217773411,-0.0691315988542569,0.05478984913761842,-32.329469794230796,8.774827247055486,-88.66161388971882,-0.6545,-0.2784,0.0765,-0.6988
12,86190.0,146.991869,1.0,5.09,2.79,8.09,2.75,-12.38,-41.69,-0.63,-1.19,-0.75,-0.2715790507215702,-0.25964748363362666,-0.14318055149442974,-32.329469794230796,8.774827247055486,-88.61356466933819,-0.6547,-0.2784,0.0765,-0.6985
13,86190.0,146.991869,1.0,5.09,2.79,8.09,2.75,-12.38,-41.69,-0.63,-1.19,-0.75,-0.2715790507215702,-0.25964748363362666,-0.14318055149442974,-32.329469794230796,8.774827247055486,-88.61356466933819,-0.6547,-0.2784,0.0765,-0.6985
