,TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
0,3598940.0,3572.7671159999995,1.0,1.93,-0.07,-9.65,-4.75,-19.19,35.38,1.06,1.12,0.94,-0.01928431071748849,-0.03762456539791513,-0.03461579802815784,-167.65213833847682,-4.733977821845079,-11.38620958683243,0.0057,-0.9942,-0.0413,-0.0992
1,3598940.0,3572.7671159999995,1.0,1.93,-0.07,-9.65,-4.75,-19.19,35.38,1.06,1.12,0.94,-0.01928431071748849,-0.03762456539791513,-0.03461579802815784,-167.65213833847682,-4.733977821845079,-11.38620958683243,0.0057,-0.9942,-0.0413,-0.0992
2,3598977.0,3572.7887969999997,1.0,2.02,-0.04,-9.83,-6.0,-19.56,35.75,0.94,1.94,1.81,0.029960500716905987,-0.006236491275380875,-0.22878539038408616,-167.65213833847682,-4.6766337060034,-11.420757981123572,0.0059,-0.9942,-0.0408,-0.0995
3,3598977.0,3572.7887969999997,1.0,2.02,-0.04,-9.83,-6.0,-19.56,35.75,0.94,1.94,1.81,0.029960500716905987,-0.006236491275380875,-0.22878539038408616,-167.65213833847682,-4.6766337060034,-11.420757981123572,0.0059,-0.9942,-0.0408,-0.0995
4,3599011.0,3572.83815,1.0,2.08,-0.16,-9.77,-5.56,-19.19,36.69,1.88,0.94,2.75,0.08331616942540886,-0.11387356752278775,-0.1825937765094068,-167.54604215985927,-4.584885551911774,-11.466824127666605,0.0067,-0.9941,-0.04,-0.0999
5,3599011.0,3572.83815,1.0,2.08,-0.16,-9.77,-5.56,-19.19,36.69,1.88,0.94,2.75,0.08331616942540886,-0.11387356752278775,-0.1825937765094068,-167.54604215985927,-4.584885551911774,-11.466824127666605,0.0067,-0.9941,-0.04,-0.0999
6,3599046.0,3572.851431,1.0,2.67,-1.71,-10.25,-5.56,-19.19,36.69,12.56,1.19,8.88,0.44373555185621705,-1.639792571530343,-0.7872010034063042,-167.65213833847682,-4.412865642375664,-11.478340954533572,0.0091,-0.9942,-0.0385,-0.1
7,3599046.0,3572.851431,1.0,2.67,-1.71,-10.25,-5.56,-19.19,36.69,12.56,1.19,8.88,0.44373555185621705,-1.639792571530343,-0.7872010034063042,-167.65213833847682,-4.412865642375664,-11.478340954533572,0.0091,-0.9942,-0.0385,-0.1
8,3599079.0,3572.9005939999997,1.0,2.57,-2.25,-10.65,-6.25,-18.87,37.0,0.31,-6.31,16.25,0.2833120262921733,-2.1174732015051085,-1.1717807410788872,-167.97602060615887,-3.82807003686826,-11.294085603048902,0.0105,-0.9945,-0.0334,-0.0984
9,3599079.0,3572.9005939999997,1.0,2.57,-2.25,-10.65,-6.25,-18.87,37.0,0.31,-6.31,16.25,0.2833120262921733,-2.1174732015051085,-1.1717807410788872,-167.97602060615887,-3.82807003686826,-11.294085603048902,0.0105,-0.9945,-0.0334,-0.0984
10,3599116.0,3572.9577689999996,1.0,1.52,-0.78,-10.98,-6.0,-18.87,36.19,-27.12,-15.25,23.06,-0.6254229729322572,-0.6847778053517255,-1.2667020427297082,-168.6513771745933,-3.117274866889664,-10.902639624835572,0.0054,-0.9951,-0.0272,-0.095
11,3599116.0,3572.9577689999996,1.0,1.52,-0.78,-10.98,-6.0,-18.87,36.19,-27.12,-15.25,23.06,-0.6254229729322572,-0.6847778053517255,-1.2667020427297082,-168.6513771745933,-3.117274866889664,-10.902639624835572,0.0054,-0.9951,-0.0272,-0.095
12,3599153.0,3572.976757,1.0,1.6,-0.24,-10.43,-5.56,-18.87,36.19,1.37,-15.88,34.06,-0.3029967152834157,-0.18130477864303016,-0.7421803412164429,-169.4938307856925,-1.8793858210517669,-10.327214181692757,0.0038,-0.9958,-0.0164,-0.09
13,3599153.0,3572.976757,1.0,1.6,-0.24,-10.43,-5.56,-18.87,36.19,1.37,-15.88,34.06,-0.3029967152834157,-0.18130477864303016,-0.7421803412164429,-169.4938307856925,-1.8793858210517669,-10.327214181692757,0.0038,-0.9958,-0.0164,-0.09
