,TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
0,1288101.0,874.870264,1.0,4.27,3.57,8.03,-6.06,-18.69,-35.0,-1.0,-0.56,-0.37,0.04653224734181907,0.0014849256341307182,0.03646409875159407,-34.89118212049759,-2.142987063023817,-99.99207732629806,-0.5684,-0.2998,-0.0187,-0.7659999999999999
1,1288101.0,874.870264,1.0,4.27,3.57,8.03,-6.06,-18.69,-35.0,-1.0,-0.56,-0.37,0.04653224734181907,0.0014849256341307182,0.03646409875159407,-34.89118212049759,-2.142987063023817,-99.99207732629806,-0.5684,-0.2998,-0.0187,-0.7659999999999999
2,1288138.0,874.9294269999999,1.0,4.3,3.55,7.97,-6.06,-18.69,-35.0,-1.06,-0.12,-0.25,0.027074386084624855,-0.05037978056833348,0.07987618463202573,-34.87917065061918,-2.1315259137202647,-99.99207732629806,-0.5684,-0.2997,-0.0186,-0.7659999999999999
3,1288138.0,874.9294269999999,1.0,4.3,3.55,7.97,-6.06,-18.69,-35.0,-1.06,-0.12,-0.25,0.027074386084624855,-0.05037978056833348,0.07987618463202573,-34.87917065061918,-2.1315259137202647,-99.99207732629806,-0.5684,-0.2997,-0.0186,-0.7659999999999999
4,1288173.0,874.9465560000001,1.0,4.34,3.57,7.83,-6.75,-18.69,-33.75,-0.81,-0.19,-0.12,-0.06947358338816942,-0.12213644264556778,0.1697596244385391,-34.85514889719688,-2.1086036789736795,-99.99207732629806,-0.5685,-0.2995,-0.0184,-0.7659999999999999
5,1288173.0,874.9465560000001,1.0,4.34,3.57,7.83,-6.75,-18.69,-33.75,-0.81,-0.19,-0.12,-0.06947358338816942,-0.12213644264556778,0.1697596244385391,-34.85514889719688,-2.1086036789736795,-99.99207732629806,-0.5685,-0.2995,-0.0184,-0.7659999999999999
6,1288210.0,874.9563789999999,1.0,4.3,3.54,7.97,-7.06,-18.37,-35.0,0.0,-0.25,-0.5,0.026737009905947438,-0.05241788085591903,0.08353128746399108,-34.843138613311,-2.085681528609333,-99.99207732629806,-0.5686,-0.2994,-0.0182,-0.7659999999999999
7,1288210.0,874.9563789999999,1.0,4.3,3.54,7.97,-7.06,-18.37,-35.0,0.0,-0.25,-0.5,0.026737009905947438,-0.05241788085591903,0.08353128746399108,-34.843138613311,-2.085681528609333,-99.99207732629806,-0.5686,-0.2994,-0.0182,-0.7659999999999999
8,1288245.0,874.99541,1.0,4.26,3.61,8.01,-7.06,-18.37,-35.0,-1.0,-0.12,0.12,-0.00844648259677605,0.0215517268568155,0.04246728048879511,-34.843138613311,-2.0742204847835874,-99.99207732629806,-0.5686,-0.2994,-0.0181,-0.7659999999999999
9,1288245.0,874.99541,1.0,4.26,3.61,8.01,-7.06,-18.37,-35.0,-1.0,-0.12,0.12,-0.00844648259677605,0.0215517268568155,0.04246728048879511,-34.843138613311,-2.0742204847835874,-99.99207732629806,-0.5686,-0.2994,-0.0181,-0.7659999999999999
10,1288280.0,875.0528519999999,1.0,4.28,3.57,7.89,-7.06,-18.0,-35.0,-0.94,0.06,-0.12,-0.04020882670423995,-0.047550889798104734,0.14686107046667907,-34.8191192303352,-2.051298459271143,-99.99207732629806,-0.5687,-0.2992,-0.0179,-0.7659999999999999
11,1288280.0,875.0528519999999,1.0,4.28,3.57,7.89,-7.06,-18.0,-35.0,-0.94,0.06,-0.12,-0.04020882670423995,-0.047550889798104734,0.14686107046667907,-34.8191192303352,-2.051298459271143,-99.99207732629806,-0.5687,-0.2992,-0.0179,-0.7659999999999999
12,1288314.0,875.068259,1.0,4.29,3.52,7.94,-7.06,-18.0,-35.0,0.0,-0.37,-0.37,0.02391395235324756,-0.056867309457534265,0.11983967709195475,-34.8191192303352,-2.0398374773549266,-99.99207732629806,-0.5687,-0.2992,-0.0178,-0.7659999999999999
13,1288314.0,875.068259,1.0,4.29,3.52,7.94,-7.06,-18.0,-35.0,0.0,-0.37,-0.37,0.02391395235324756,-0.056867309457534265,0.11983967709195475,-34.8191192303352,-2.0398374773549266,-99.99207732629806,-0.5687,-0.2992,-0.0178,-0.7659999999999999
14,1288351.0,875.17531,1.0,4.19,3.53,8.05,-7.06,-18.0,-35.38,-1.31,0.19,-0.69,0.08213802627803833,0.07000171356471707,0.0697175721386909,-34.80711013090355,-2.016915574628728,-99.97425316489787,-0.5689,-0.2991,-0.0176,-0.7659
15,1288351.0,875.17531,1.0,4.19,3.53,8.05,-7.06,-18.0,-35.38,-1.31,0.19,-0.69,0.08213802627803833,0.07000171356471707,0.0697175721386909,-34.80711013090355,-2.016915574628728,-99.97425316489787,-0.5689,-0.2991,-0.0176,-0.7659
16,1288384.0,875.1815039999999,1.0,4.27,3.52,7.88,-7.06,-18.0,-35.38,-0.81,1.12,0.31,-0.01243040181493281,-0.06336493715649039,0.1778634528877472,-34.747070547477996,-2.016915574628728,-99.99207732629806,-0.569,-0.2986,-0.0176,-0.7659999999999999
17,1288384.0,875.1815039999999,1.0,4.27,3.52,7.88,-7.06,-18.0,-35.38,-0.81,1.12,0.31,-0.01243040181493281,-0.06336493715649039,0.1778634528877472,-34.747070547477996,-2.016915574628728,-99.99207732629806,-0.569,-0.2986,-0.0176,-0.7659999999999999
18,1288421.0,875.1888220000001,1.0,4.29,3.58,7.87,-6.75,-18.37,-35.0,-1.63,0.44,0.31,-0.07699632292993709,-0.06370642970370599,0.15535925434998354,-34.723057470664465,-2.0054546535892377,-100.00990479193828,-0.569,-0.2984,-0.0175,-0.7661
19,1288421.0,875.1888220000001,1.0,4.29,3.58,7.87,-6.75,-18.37,-35.0,-1.63,0.44,0.31,-0.07699632292993709,-0.06370642970370599,0.15535925434998354,-34.723057470664465,-2.0054546535892377,-100.00990479193828,-0.569,-0.2984,-0.0175,-0.7661
20,1288458.0,875.227617,1.0,4.33,3.52,7.98,-7.5,-17.56,-35.38,-0.63,1.0,0.12,0.011385146774890956,-0.08827720144841322,0.06951605236749359,-34.675036035061034,-1.9825328715837252,-100.02773556408856,-0.5692,-0.298,-0.0173,-0.7662
21,1288458.0,875.227617,1.0,4.33,3.52,7.98,-7.5,-17.56,-35.38,-0.63,1.0,0.12,0.011385146774890956,-0.08827720144841322,0.06951605236749359,-34.675036035061034,-1.9825328715837252,-100.02773556408856,-0.5692,-0.298,-0.0173,-0.7662
22,1288493.0,875.298749,1.0,4.34,3.6,7.89,-7.5,-17.56,-35.38,-0.12,1.44,0.25,-0.10701598008479987,-0.10301456157075073,0.10996832119302268,-34.62702088107143,-1.9939937526124858,-100.02773556408856,-0.5692,-0.2976,-0.0174,-0.7662
23,1288493.0,875.298749,1.0,4.34,3.6,7.89,-7.5,-17.56,-35.38,-0.12,1.44,0.25,-0.10701598008479987,-0.10301456157075073,0.10996832119302268,-34.62702088107143,-1.9939937526124858,-100.02773556408856,-0.5692,-0.2976,-0.0174,-0.7662
24,1288525.0,875.382234,1.0,4.35,3.63,7.82,-6.38,-18.0,-34.88,0.0,0.12,-0.31,-0.16891212930886362,-0.12566595054205232,0.15224806298459906,-34.61501807279963,-2.0054546535892377,-100.04556964502136,-0.5692,-0.2975,-0.0175,-0.7663
25,1288525.0,875.382234,1.0,4.35,3.63,7.82,-6.38,-18.0,-34.88,0.0,0.12,-0.31,-0.16891212930886362,-0.12566595054205232,0.15224806298459906,-34.61501807279963,-2.0054546535892377,-100.04556964502136,-0.5692,-0.2975,-0.0175,-0.7663
26,1288562.0,875.4353359999999,1.0,4.29,3.78,8.01,-6.38,-18.37,-34.06,0.5,0.19,-0.56,-0.1972861467741508,0.039263601393587866,-0.032665857614116334,-34.61501807279963,-2.0054546535892377,-100.04556964502136,-0.5692,-0.2975,-0.0175,-0.7663
27,1288562.0,875.4353359999999,1.0,4.29,3.78,8.01,-6.38,-18.37,-34.06,0.5,0.19,-0.56,-0.1972861467741508,0.039263601393587866,-0.032665857614116334,-34.61501807279963,-2.0054546535892377,-100.04556964502136,-0.5692,-0.2975,-0.0175,-0.7663
28,1288597.0,875.4938289999999,1.0,4.48,4.13,7.88,-7.06,-18.69,-34.06,0.25,1.31,-0.25,-0.5859163236505625,-0.04979989355565806,-0.1369872637119922,-34.63902408126335,-2.051298459271143,-100.02773556408856,-0.5692,-0.2977,-0.0179,-0.7662
29,1288597.0,875.4938289999999,1.0,4.48,4.13,7.88,-7.06,-18.69,-34.06,0.25,1.31,-0.25,-0.5859163236505625,-0.04979989355565806,-0.1369872637119922,-34.63902408126335,-2.051298459271143,-100.02773556408856,-0.5692,-0.2977,-0.0179,-0.7662
30,1288632.0,875.5121019999999,1.0,4.71,4.76,7.72,-7.06,-18.69,-34.06,7.44,-3.81,-6.0,-1.2080204020364471,-0.08594499139432266,-0.34093100074682425,-34.795101425948374,-2.1659094260652934,-99.86737745872108,-0.5696,-0.299,-0.0189,-0.7653
31,1288632.0,875.5121019999999,1.0,4.71,4.76,7.72,-7.06,-18.69,-34.06,7.44,-3.81,-6.0,-1.2080204020364471,-0.08594499139432266,-0.34093100074682425,-34.795101425948374,-2.1659094260652934,-99.86737745872108,-0.5696,-0.299,-0.0189,-0.7653
32,1288667.0,875.5152380000001,1.0,4.97,5.62,7.81,-6.38,-18.37,-33.25,13.0,-5.56,-8.25,-1.8323567448491975,-0.002327688096183777,-0.8668622308204501,-35.26373479080068,-2.544141615361497,-99.47650902646944,-0.5704,-0.3029,-0.0222,-0.7631
33,1288667.0,875.5152380000001,1.0,4.97,5.62,7.81,-6.38,-18.37,-33.25,13.0,-5.56,-8.25,-1.8323567448491975,-0.002327688096183777,-0.8668622308204501,-35.26373479080068,-2.544141615361497,-99.47650902646944,-0.5704,-0.3029,-0.0222,-0.7631
34,1288704.0,875.55517,1.0,5.79,6.99,7.42,-7.88,-19.5,-35.75,13.5,-10.88,-22.12,-3.220160816307412,-0.4126871532286134,-1.4583779019041252,-35.67278424373711,-2.7963115557322795,-98.84027760077332,-0.5734,-0.3063,-0.0244,-0.7595
35,1288704.0,875.55517,1.0,5.79,6.99,7.42,-7.88,-19.5,-35.75,13.5,-10.88,-22.12,-3.220160816307412,-0.4126871532286134,-1.4583779019041252,-35.67278424373711,-2.7963115557322795,-98.84027760077332,-0.5734,-0.3063,-0.0244,-0.7595
36,1288736.0,875.562203,1.0,5.4,8.63,7.79,-7.88,-19.5,-35.75,34.69,-20.69,-29.56,-4.030479048557542,0.5394042852542951,-2.350046987923488,-36.963188541465996,-3.6675560000932936,-97.49308186392095,-0.5773,-0.317,-0.032,-0.7518
37,1288736.0,875.562203,1.0,5.4,8.63,7.79,-7.88,-19.5,-35.75,34.69,-20.69,-29.56,-4.030479048557542,0.5394042852542951,-2.350046987923488,-36.963188541465996,-3.6675560000932936,-97.49308186392095,-0.5773,-0.317,-0.032,-0.7518
38,1288773.0,875.5803710000001,1.0,5.24,9.45,7.46,-7.06,-19.06,-34.06,63.0,-22.19,-53.88,-4.422238401507478,0.7421471003421187,-2.534530057096904,-38.464723978916496,-5.020716482682318,-96.06084314103792,-0.5803,-0.3294,-0.0438,-0.7435
39,1288773.0,875.5803710000001,1.0,5.24,9.45,7.46,-7.06,-19.06,-34.06,63.0,-22.19,-53.88,-4.422238401507478,0.7421471003421187,-2.534530057096904,-38.464723978916496,-5.020716482682318,-96.06084314103792,-0.5803,-0.3294,-0.0438,-0.7435
