,TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
0,1776031.0,1715.643943,1.0,7.95,3.13,4.43,-28.19,-23.87,-29.69,-0.63,0.5,-0.25,-0.2277778691752289,-0.034815323100639395,0.18525690255348687,-60.47692253879284,9.717547848465047,-95.94096400729772,-0.433,-0.5036,0.0847,-0.7428
1,1776031.0,1715.643943,1.0,7.95,3.13,4.43,-28.19,-23.87,-29.69,-0.63,0.5,-0.25,-0.2277778691752289,-0.034815323100639395,0.18525690255348687,-60.47692253879284,9.717547848465047,-95.94096400729772,-0.433,-0.5036,0.0847,-0.7428
2,1776066.0,1715.7043640000002,1.0,7.89,3.06,4.46,-28.19,-23.87,-30.5,0.44,-0.63,-0.81,-0.14691429975449316,-0.027234284417914974,0.24187219378412014,-60.49018686629133,9.717547848465047,-95.92384977618164,-0.4331,-0.5037,0.0847,-0.7427
3,1776066.0,1715.7043640000002,1.0,7.89,3.06,4.46,-28.19,-23.87,-30.5,0.44,-0.63,-0.81,-0.14691429975449316,-0.027234284417914974,0.24187219378412014,-60.49018686629133,9.717547848465047,-95.92384977618164,-0.4331,-0.5037,0.0847,-0.7427
4,1776103.0,1715.708632,1.0,7.78,2.95,4.62,-28.56,-23.5,-29.69,0.69,-0.31,-0.88,0.060238599084509736,0.05191388731204505,0.2898765835796784,-60.503452089085286,9.683046840720888,-95.88962981558167,-0.4333,-0.5038,0.0844,-0.7425
5,1776103.0,1715.708632,1.0,7.78,2.95,4.62,-28.56,-23.5,-29.69,0.69,-0.31,-0.88,0.060238599084509736,0.05191388731204505,0.2898765835796784,-60.503452089085286,9.683046840720888,-95.88962981558167,-0.4333,-0.5038,0.0844,-0.7425
6,1776138.0,1715.7516489999998,1.0,7.81,2.98,4.57,-28.56,-23.5,-29.69,-0.06,0.5,-0.31,0.0020851340426005227,0.025533492734794997,0.2798066774211723,-60.503452089085286,9.683046840720888,-95.872524082521,-0.4333,-0.5038,0.0844,-0.7424
7,1776138.0,1715.7516489999998,1.0,7.81,2.98,4.57,-28.56,-23.5,-29.69,-0.06,0.5,-0.31,0.0020851340426005227,0.025533492734794997,0.2798066774211723,-60.503452089085286,9.683046840720888,-95.872524082521,-0.4333,-0.5038,0.0844,-0.7424
8,1776173.0,1715.806732,1.0,7.86,2.99,4.46,-28.19,-24.19,-30.06,-0.31,-0.06,-1.31,-0.08314082162982911,-0.06382936728079612,0.2882303089141267,-60.503452089085286,9.660046657878476,-95.872524082521,-0.4336,-0.5038,0.0842,-0.7424
9,1776173.0,1715.806732,1.0,7.86,2.99,4.46,-28.19,-24.19,-30.06,-0.31,-0.06,-1.31,-0.08314082162982911,-0.06382936728079612,0.2882303089141267,-60.503452089085286,9.660046657878476,-95.872524082521,-0.4336,-0.5038,0.0842,-0.7424
10,1776207.0,1715.822691,1.0,7.74,2.98,4.78,-27.5,-23.5,-29.69,0.37,1.19,0.44,0.14976800853738592,0.17029986740573902,0.23664647341860426,-60.46365910623083,9.637046865121436,-95.90673837953938,-0.4337,-0.5035,0.084,-0.7426
11,1776207.0,1715.822691,1.0,7.74,2.98,4.78,-27.5,-23.5,-29.69,0.37,1.19,0.44,0.14976800853738592,0.17029986740573902,0.23664647341860426,-60.46365910623083,9.637046865121436,-95.90673837953938,-0.4337,-0.5035,0.084,-0.7426
12,1776244.0,1715.8640309999998,1.0,8.19,3.0,4.33,-28.19,-23.5,-30.06,0.19,4.0,1.31,-0.2399030788913233,-0.3313610569286207,0.07743387727512817,-60.3443284261737,9.614047461503418,-96.02657774273015,-0.4335,-0.5026,0.0838,-0.7433
13,1776244.0,1715.8640309999998,1.0,8.19,3.0,4.33,-28.19,-23.5,-30.06,0.19,4.0,1.31,-0.2399030788913233,-0.3313610569286207,0.07743387727512817,-60.3443284261737,9.614047461503418,-96.02657774273015,-0.4335,-0.5026,0.0838,-0.7433
14,1776277.0,1715.907723,1.0,8.04,3.06,4.43,-28.19,-23.5,-30.06,0.19,-1.37,0.25,-0.19808379817451702,-0.15043233540229914,0.133582600184873,-60.35758382043169,9.62554711472919,-96.02657774273015,-0.4333,-0.5027,0.0839,-0.7433
15,1776277.0,1715.907723,1.0,8.04,3.06,4.43,-28.19,-23.5,-30.06,0.19,-1.37,0.25,-0.19808379817451702,-0.15043233540229914,0.133582600184873,-60.35758382043169,9.62554711472919,-96.02657774273015,-0.4333,-0.5027,0.0839,-0.7433
16,1776314.0,1715.9383260000002,1.0,7.9,2.95,4.44,-27.5,-23.06,-30.06,0.25,-0.94,-1.5,-0.08463625462598018,-0.13162838924166076,0.2776620856646819,-60.41061431817495,9.62554711472919,-95.95808107467859,-0.4335,-0.5031,0.0839,-0.7429
