,TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
0,1836087.0,1775.8067449999999,1.0,2.44,-1.06,-9.95,-14.06,-7.5,33.56,-2.0,-0.56,-3.94,0.044904093153331326,0.3148208198786732,-0.4879394271597342,-148.22455825803132,28.0210345439132,-14.095906005217,0.0356,-0.9618,0.2421,-0.1227
1,1836087.0,1775.8067449999999,1.0,2.44,-1.06,-9.95,-14.06,-7.5,33.56,-2.0,-0.56,-3.94,0.044904093153331326,0.3148208198786732,-0.4879394271597342,-148.22455825803132,28.0210345439132,-14.095906005217,0.0356,-0.9618,0.2421,-0.1227
2,1836122.0,1775.8605350000003,1.0,2.19,-0.93,-9.76,-14.06,-8.56,34.75,-2.25,-10.94,-10.25,-0.14679777124549642,0.3186305028007653,-0.23304745644968605,-148.56117141184754,27.702261187008638,-13.899637842978935,0.036000000000000004,-0.9626,0.2394,-0.121
3,1836122.0,1775.8605350000003,1.0,2.19,-0.93,-9.76,-14.06,-8.56,34.75,-2.25,-10.94,-10.25,-0.14679777124549642,0.3186305028007653,-0.23304745644968605,-148.56117141184754,27.702261187008638,-13.899637842978935,0.036000000000000004,-0.9626,0.2394,-0.121
4,1836156.0,1775.8679260000001,1.0,1.67,-0.77,-9.31,-14.06,-8.56,34.75,1.25,-6.5,-22.75,-0.4907555858032757,0.21869654107002973,0.33198743197537794,-149.37507492345586,27.018223861950197,-13.530302549412001,0.0361,-0.9645,0.2336,-0.1178
5,1836156.0,1775.8679260000001,1.0,1.67,-0.77,-9.31,-14.06,-8.56,34.75,1.25,-6.5,-22.75,-0.4907555858032757,0.21869654107002973,0.33198743197537794,-149.37507492345586,27.018223861950197,-13.530302549412001,0.0361,-0.9645,0.2336,-0.1178
6,1836191.0,1775.886064,1.0,1.79,-0.58,-9.72,-13.25,-7.75,34.0,0.0,-3.06,-27.37,-0.5505593497057529,0.4344834766304408,-0.06892636348313097,-150.1661139822511,26.1821984911941,-13.44952940908047,0.0357,-0.9663,0.2265,-0.1171
7,1836191.0,1775.886064,1.0,1.79,-0.58,-9.72,-13.25,-7.75,34.0,0.0,-3.06,-27.37,-0.5505593497057529,0.4344834766304408,-0.06892636348313097,-150.1661139822511,26.1821984911941,-13.44952940908047,0.0357,-0.9663,0.2265,-0.1171
8,1836228.0,1775.9373899999998,1.0,1.93,-0.24,-9.59,-13.69,-8.56,33.56,8.81,1.25,-37.19,-0.5283145722215017,0.7716018630904222,0.06621293189808243,-151.34635737161238,24.854522251558684,-13.47260676237266,0.0351,-0.9689,0.2152,-0.1173
9,1836228.0,1775.9373899999998,1.0,1.93,-0.24,-9.59,-13.69,-8.56,33.56,8.81,1.25,-37.19,-0.5283145722215017,0.7716018630904222,0.06621293189808243,-151.34635737161238,24.854522251558684,-13.47260676237266,0.0351,-0.9689,0.2152,-0.1173
10,1836263.0,1775.9916309999999,1.0,2.03,-0.7,-9.52,-13.69,-8.56,33.56,21.94,5.81,-47.0,-0.2846001640362005,0.420781841023204,0.06071518650490049,-152.28767595523584,23.541932535122797,-13.738036026791262,0.038,-0.9709,0.204,-0.1196
11,1836263.0,1775.9916309999999,1.0,2.03,-0.7,-9.52,-13.69,-8.56,33.56,21.94,5.81,-47.0,-0.2846001640362005,0.420781841023204,0.06071518650490049,-152.28767595523584,23.541932535122797,-13.738036026791262,0.038,-0.9709,0.204,-0.1196
12,1836296.0,1776.024379,1.0,2.19,-1.63,-9.52,-14.06,-9.0,33.56,24.75,13.31,-51.06,0.05735112134191206,-0.324829069661411,-0.09156180438081662,-153.4604028099656,21.532188889890495,-14.442363367873067,0.0438,-0.9733,0.1868,-0.1257
13,1836296.0,1776.024379,1.0,2.19,-1.63,-9.52,-14.06,-9.0,33.56,24.75,13.31,-51.06,0.05735112134191206,-0.324829069661411,-0.09156180438081662,-153.4604028099656,21.532188889890495,-14.442363367873067,0.0438,-0.9733,0.1868,-0.1257
14,1836331.0,1776.081598,1.0,2.85,-2.61,-10.35,-12.56,-8.56,33.56,16.69,2.75,-38.13,0.6585636360236495,-0.9548205478242516,-1.1802381699396562,-154.52996593229264,19.8664125287693,-14.823619947246295,0.0473,-0.9754,0.1725,-0.129
15,1836331.0,1776.081598,1.0,2.85,-2.61,-10.35,-12.56,-8.56,33.56,16.69,2.75,-38.13,0.6585636360236495,-0.9548205478242516,-1.1802381699396562,-154.52996593229264,19.8664125287693,-14.823619947246295,0.0473,-0.9754,0.1725,-0.129
16,1836367.0,1776.0884989999997,1.0,2.87,-2.55,-10.42,-13.25,-8.56,34.5,-5.63,-30.25,-5.06,0.7372845485278581,-0.878238646729773,-1.2387521372647343,-155.214797761141,19.43611171140661,-14.24602144035678,0.0477,-0.9767,0.1688,-0.124
17,1836367.0,1776.0884989999997,1.0,2.87,-2.55,-10.42,-13.25,-8.56,34.5,-5.63,-30.25,-5.06,0.7372845485278581,-0.878238646729773,-1.2387521372647343,-155.214797761141,19.43611171140661,-14.24602144035678,0.0477,-0.9767,0.1688,-0.124
18,1836402.0,1776.1251899999997,1.0,1.91,-1.57,-9.41,-13.25,-8.56,34.5,-7.69,-46.13,13.38,0.09965869334618396,-0.2779106001842384,0.08173694932721888,-155.8639137604186,19.773350749034485,-12.526874248925028,0.048,-0.9779,0.1717,-0.1091
19,1836402.0,1776.1251899999997,1.0,1.91,-1.57,-9.41,-13.25,-8.56,34.5,-7.69,-46.13,13.38,0.09965869334618396,-0.2779106001842384,0.08173694932721888,-155.8639137604186,19.773350749034485,-12.526874248925028,0.048,-0.9779,0.1717,-0.1091
20,1836439.0,1776.146243,1.0,1.31,-1.35,-8.75,-14.06,-8.56,33.56,8.94,-11.75,3.25,-0.281727033346898,-0.25020955261072675,0.8646633606416109,-155.75453926974473,20.168955080859906,-11.916067673936475,0.0506,-0.9777,0.1751,-0.1038
21,1836439.0,1776.146243,1.0,1.31,-1.35,-8.75,-14.06,-8.56,33.56,8.94,-11.75,3.25,-0.281727033346898,-0.25020955261072675,0.8646633606416109,-155.75453926974473,20.168955080859906,-11.916067673936475,0.0506,-0.9777,0.1751,-0.1038
22,1836476.0,1776.2045679999999,1.0,1.79,-1.56,-9.51,-11.06,-8.88,35.25,5.94,6.13,-8.19,0.019700961172837872,-0.204792048017892,0.0068810185802110615,-155.91878451766874,19.83151281371854,-12.100425506938455,0.0525,-0.978,0.1722,-0.1054
23,1836476.0,1776.2045679999999,1.0,1.79,-1.56,-9.51,-11.06,-8.88,35.25,5.94,6.13,-8.19,0.019700961172837872,-0.204792048017892,0.0068810185802110615,-155.91878451766874,19.83151281371854,-12.100425506938455,0.0525,-0.978,0.1722,-0.1054
24,1836509.0,1776.220698,1.0,1.87,-2.09,-9.78,-11.06,-8.88,35.25,7.63,1.31,-7.31,0.1662095275205721,-0.6320931153162203,-0.3464890558059057,-156.02889725740351,19.55238168351347,-12.261764386292771,0.0542,-0.9782,0.1698,-0.1068
25,1836509.0,1776.220698,1.0,1.87,-2.09,-9.78,-11.06,-8.88,35.25,7.63,1.31,-7.31,0.1662095275205721,-0.6320931153162203,-0.3464890558059057,-156.02889725740351,19.55238168351347,-12.261764386292771,0.0542,-0.9782,0.1698,-0.1068
26,1836544.0,1776.281558,1.0,1.44,-1.67,-9.26,-11.75,-8.56,34.0,1.25,-7.31,-0.75,-0.21779060987009274,-0.40169210334611416,0.298689613862404,-156.13951067883625,19.4826172689267,-12.06585603312212,0.0551,-0.9784,0.1692,-0.1051
