,TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
0,2606229.0,857.296426,1.0,9.31,2.7,-2.2,-35.19,-24.06,11.0,0.88,1.37,-2.31,-0.16365369829483306,0.1347265576023553,-0.1312152748822797,-96.92121959185582,-23.366380865675165,-78.32175344327142,-0.0056,-0.7485,-0.2025,-0.6315
1,2606229.0,857.296426,1.0,9.31,2.7,-2.2,-35.19,-24.06,11.0,0.88,1.37,-2.31,-0.16365369829483306,0.1347265576023553,-0.1312152748822797,-96.92121959185582,-23.366380865675165,-78.32175344327142,-0.0056,-0.7485,-0.2025,-0.6315
2,2606266.0,857.359496,1.0,10.42,2.65,-2.09,-35.19,-24.75,12.25,5.5,-6.13,-21.44,0.06266034255413967,-0.3622397911978046,-1.140123771990725,-96.88666490875971,-23.740958889771715,-78.18880666556636,-0.0075,-0.7483,-0.2057,-0.6306
3,2606266.0,857.359496,1.0,10.42,2.65,-2.09,-35.19,-24.75,12.25,5.5,-6.13,-21.44,0.06266034255413967,-0.3622397911978046,-1.140123771990725,-96.88666490875971,-23.740958889771715,-78.18880666556636,-0.0075,-0.7483,-0.2057,-0.6306
4,2606303.0,857.3813789999999,1.0,10.83,2.35,-2.39,-34.75,-24.37,12.56,6.81,-25.44,-49.56,-0.1825400173003576,-1.0639115500912004,-1.4786621957554438,-97.1287952916504,-25.277122006902648,-77.26165547882309,-0.0168,-0.7497,-0.2188,-0.6243
5,2606303.0,857.3813789999999,1.0,10.83,2.35,-2.39,-34.75,-24.37,12.56,6.81,-25.44,-49.56,-0.1825400173003576,-1.0639115500912004,-1.4786621957554438,-97.1287952916504,-25.277122006902648,-77.26165547882309,-0.0168,-0.7497,-0.2188,-0.6243
6,2606336.0,857.387782,1.0,11.01,3.63,-2.57,-34.75,-24.37,12.56,-3.44,-38.63,-95.12,0.16800774126070228,-0.4821184547726362,-2.0567911194410247,-97.49308186392095,-27.03000922772236,-76.00560231797398,-0.0332,-0.7518,-0.2337,-0.6157
7,2606336.0,857.387782,1.0,11.01,3.63,-2.57,-34.75,-24.37,12.56,-3.44,-38.63,-95.12,0.16800774126070228,-0.4821184547726362,-2.0567911194410247,-97.49308186392095,-27.03000922772236,-76.00560231797398,-0.0332,-0.7518,-0.2337,-0.6157
8,2606370.0,857.440487,1.0,12.25,4.86,-3.34,-33.69,-26.25,12.56,2.19,-64.75,-141.81,0.16838957889914638,-1.0061355822300084,-3.750526554868969,-97.597406347569,-30.93598315774567,-73.56800446686195,-0.0652,-0.7524,-0.2667,-0.5988
9,2606370.0,857.440487,1.0,12.25,4.86,-3.34,-33.69,-26.25,12.56,2.19,-64.75,-141.81,0.16838957889914638,-1.0061355822300084,-3.750526554868969,-97.597406347569,-30.93598315774567,-73.56800446686195,-0.0652,-0.7524,-0.2667,-0.5988
