,TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
0,823508.0,792.273623,1.0,3.03,3.52,8.66,10.5,-15.88,-39.5,1.25,-0.25,0.0,-0.0928290442065032,-0.06301810678159203,-0.01955534523726321,-27.36011828826252,-3.1860558160551733,-91.40119221425032,-0.6566,-0.2365,-0.0278,-0.7157
1,823508.0,792.273623,1.0,3.03,3.52,8.66,10.5,-15.88,-39.5,1.25,-0.25,0.0,-0.0928290442065032,-0.06301810678159203,-0.01955534523726321,-27.36011828826252,-3.1860558160551733,-91.40119221425032,-0.6566,-0.2365,-0.0278,-0.7157
2,823543.0,792.2767299999999,1.0,3.11,3.39,8.67,10.5,-15.19,-39.06,1.94,-0.56,0.94,0.037939844791686966,-0.15138552086734625,-0.00705179862058536,-27.407295558849807,-3.2204467196467967,-91.43401211484779,-0.6562,-0.2369,-0.0281,-0.7159
3,823543.0,792.2767299999999,1.0,3.11,3.39,8.67,10.5,-15.19,-39.06,1.94,-0.56,0.94,0.037939844791686966,-0.15138552086734625,-0.00705179862058536,-27.407295558849807,-3.2204467196467967,-91.43401211484779,-0.6562,-0.2369,-0.0281,-0.7159
4,823580.0,792.3427320000001,1.0,3.1,3.59,8.77,9.75,-15.19,-38.69,1.19,-2.06,4.75,-0.11078939229267924,-0.0671932176743606,-0.1630145270567649,-27.478070348739482,-3.15166519950434,-91.51610407003919,-0.6555,-0.2375,-0.0275,-0.7164
5,823580.0,792.3427320000001,1.0,3.1,3.59,8.77,9.75,-15.19,-38.69,1.19,-2.06,4.75,-0.11078939229267924,-0.0671932176743606,-0.1630145270567649,-27.478070348739482,-3.15166519950434,-91.51610407003919,-0.6555,-0.2375,-0.0275,-0.7164
6,823613.0,792.4083009999999,1.0,3.28,3.26,8.79,9.75,-15.19,-38.69,4.0,-2.25,7.5,0.2082316566355932,-0.2492354902049281,-0.12031435208654705,-27.643253148970494,-3.140201723904295,-91.77920529298514,-0.6533,-0.2389,-0.0274,-0.718
7,823613.0,792.4083009999999,1.0,3.28,3.26,8.79,9.75,-15.19,-38.69,4.0,-2.25,7.5,0.2082316566355932,-0.2492354902049281,-0.12031435208654705,-27.643253148970494,-3.140201723904295,-91.77920529298514,-0.6533,-0.2389,-0.0274,-0.718
8,823650.0,792.423948,1.0,3.85,2.83,8.72,10.06,-15.19,-38.25,2.31,4.19,49.63,0.5199812700348638,-0.8233670404235964,-0.08887859606585558,-27.725866499273085,-3.025568677774776,-92.73822662555115,-0.6465,-0.2396,-0.0264,-0.7238
9,823650.0,792.423948,1.0,3.85,2.83,8.72,10.06,-15.19,-38.25,2.31,4.19,49.63,0.5199812700348638,-0.8233670404235964,-0.08887859606585558,-27.725866499273085,-3.025568677774776,-92.73822662555115,-0.6465,-0.2396,-0.0264,-0.7238
10,823685.0,792.501001,1.0,4.06,2.79,8.66,9.75,-15.88,-37.5,-0.81,4.0,90.25,0.3205597759985662,-0.8806432613644755,-0.11227175975922954,-27.690458980540107,-2.372214704126748,-95.83832110194956,-0.6257,-0.2393,-0.0207,-0.7422
11,823685.0,792.501001,1.0,4.06,2.79,8.66,9.75,-15.88,-37.5,-0.81,4.0,90.25,0.3205597759985662,-0.8806432613644755,-0.11227175975922954,-27.690458980540107,-2.372214704126748,-95.83832110194956,-0.6257,-0.2393,-0.0207,-0.7422
12,823719.0,792.5060940000001,1.0,4.32,2.55,9.11,9.75,-15.88,-37.5,-4.31,-0.12,131.25,0.42921010612044697,-0.8403252532798751,-0.5503105654122393,-27.60785191517117,-1.3636717386286217,-99.06954993305422,-0.6034,-0.2386,-0.0119,-0.7608
